RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,33448,Justin Thomas,7,5,2
2,0,29485,Brett Stegmaier,10,6,4
3,0,33204,Shane Lowry,12,4,8
4,0,28237,Rory McIlroy,15,2,13
5,0,20472,Alex Cejka,17,11,6
5,0,31416,Derek Fathauer,17,2,15
7,0,25818,Scott Piercy,18,12,6
8,0,47128,Richy Werenski,20,9,11
9,0,23325,Vaughn Taylor,28,27,1
10,0,25493,Nick Taylor,30,10,20
11,0,29908,C.T. Pan,36,33,3
11,0,25632,Jimmy Walker,36,20,16
13,0,46970,Jon Rahm,37,1,36
14,0,46440,Smylie Kaufman,43,17,26
15,0,33461,Morgan Hoffmann,46,30,16
15,0,27974,Sung Kang,46,17,29
17,0,46601,Trey Mullinax,48,24,24
18,0,23621,Rory Sabbatini,49,25,24
19,0,31420,Anirban Lahiri,50,17,33
19,0,32640,Troy Merritt,50,34,16
19,0,23320,Ryan Palmer,50,20,30
22,0,33141,Keegan Bradley,55,13,42
23,0,32102,Rickie Fowler,58,44,14
24,0,29223,Sam Saunders,59,29,30
25,0,29476,Kyle Reifers,60,49,11
26,0,48081,Xander Schauffele,62,27,35
27,0,30692,Scott Stallings,63,22,41
28,0,40009,Dominic Bozzelli,66,38,28
29,0,24358,Robert Garrigus,67,7,60
29,0,24140,Sean O'Hair,67,41,26
29,0,22056,Cameron Percy,67,14,53
32,0,32448,James Hahn,68,32,36
33,0,35450,Patrick Cantlay,70,34,36
34,0,34174,John Huh,71,49,22
35,0,23497,Tag Ridings,73,8,65
36,0,27958,Ryan Blaum,75,15,60
37,0,30110,Kyle Stanley,78,44,34
38,0,29926,Danny Lee,79,22,57
39,0,29289,S.Y. Noh,80,30,50
40,0,06522,Ernie Els,81,60,21
41,0,35545,Blayne Barber,82,37,45
41,0,24024,Zach Johnson,82,52,30
43,0,34021,Bud Cauley,83,34,49
44,0,24357,K.J. Choi,88,79,9
45,0,01810,Phil Mickelson,89,15,74
46,0,27644,Brian Harman,92,56,36
47,0,26951,Johnson Wagner,93,46,47
48,0,39975,Michael Kim,94,41,53
49,0,27895,Jonas Blixt,99,46,53
50,0,19846,Brian Gay,102,86,16
50,0,37454,Whee Kim,102,52,50
52,0,34409,David Lingmerth,105,41,64
53,0,27129,Luke List,108,39,69
54,0,20157,Retief Goosen,110,26,84
55,0,23108,Matt Kuchar,111,61,50
56,0,34099,Harris English,112,40,72
57,0,23353,J.J. Henry,114,52,62
58,0,46732,Rick Lamb,115,58,57
58,0,29221,Webb Simpson,115,92,23
60,0,25349,Tim Wilkinson,116,112,4
61,0,25240,D.A. Points,117,72,45
62,0,34466,Peter Malnati,123,79,44
63,0,26596,Ryan Moore,124,88,36
64,0,33948,Byeong Hun An,127,52,75
64,0,34046,Jordan Spieth,127,61,66
66,0,30944,Jason Kokrak,133,48,85
67,0,29461,Jamie Lovemark,141,56,85
68,0,24507,Jason Bohn,147,137,10
69,0,40058,Zac Blair,151,74,77
69,0,26329,Louis Oosthuizen,151,49,102
69,0,28132,Tyrone Van Aswegen,151,76,75
72,0,39954,Cody Gribble,153,58,95
72,0,22405,Justin Rose,153,65,88
74,0,27936,Martin Laird,154,66,88
75,0,28093,Miguel Angel Carballo,155,70,85
76,0,20771,Steven Alker,162,83,79
77,0,26300,Matt Jones,164,105,59
78,0,30191,Julián Etulain,165,88,77
79,0,26499,Rafa Cabrera Bello,168,97,71
79,0,25198,Francesco Molinari,168,78,90
81,0,22046,Geoff Ogilvy,171,92,79
82,0,23541,Ben Crane,173,94,79
83,0,30926,Chris Kirk,174,131,43
84,0,34213,Grayson Murray,176,76,100
85,0,29420,Billy Horschel,178,112,66
85,0,37278,Nicholas Lindheim,178,112,66
85,0,33418,Shawn Stefani,178,99,79
85,0,33419,Cameron Tringale,178,88,90
89,0,27436,Graham DeLaet,179,117,62
89,0,26758,David Hearn,179,68,111
91,0,27963,Chris Stroud,180,82,98
92,0,35879,Kelly Kraft,181,72,109
92,0,27214,Kevin Streelman,181,91,90
94,0,32757,Patton Kizzire,186,66,120
95,0,34098,Russell Henley,193,146,47
96,0,28089,Jason Day,196,63,133
96,0,35532,Tom Hoge,196,63,133
96,0,29478,Kevin Kisner,196,79,117
99,0,24502,Adam Scott,201,74,127
100,0,28252,Seamus Power,202,84,118
101,0,25720,Chad Collins,203,108,95
101,0,37189,Harold Varner III,203,108,95
103,0,25686,Jason Dufner,210,99,111
103,0,24924,Bill Haas,210,85,125
105,0,29518,Brendan Steele,211,121,90
106,0,35891,Cameron Smith,212,112,100
107,0,26476,Chez Reavie,213,134,79
108,0,25834,Daniel Summerhays,216,144,72
109,0,39324,J.J. Spaun,217,86,131
110,0,20593,Greg Chalmers,218,162,56
110,0,26851,Marc Leishman,218,105,113
112,0,24781,Hunter Mahan,225,70,155
113,0,31560,Brian Stuard,228,126,102
114,0,31202,William McGirt,231,116,115
114,0,27770,Camilo Villegas,231,141,90
116,0,32839,Hideki Matsuyama,232,104,128
117,0,28307,Matt Every,235,94,141
118,0,27141,J.B. Holmes,237,69,168
