RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,28420,Ryan Brehm,206.1,6389.7,31
2,0,35300,Andrew Loupe,204.0,8362.0,41
3,0,27064,Jhonattan Vegas,203.2,9957.2,49
4,0,46550,Brandon Hagy,202.8,11558.1,57
5,0,27129,Luke List,202.0,13939.2,69
6,0,28237,Rory McIlroy,201.3,5636.9,28
7,0,31323,Gary Woodland,201.2,10263.2,51
8,0,36689,Brooks Koepka,200.9,9040.3,45
9,0,29725,Tony Finau,200.8,15460.6,77
10,0,30925,Dustin Johnson,199.8,8593.3,43
11,0,27141,J.B. Holmes,199.2,7967.5,40
12,0,21209,Sergio Garcia,199.0,6765.4,34
13,0,25804,Bubba Watson,198.1,8124.1,41
14,0,34213,Grayson Murray,197.8,12264.0,62
15,0,46601,Trey Mullinax,197.5,12248.1,62
15,0,36699,Patrick Rodgers,197.5,9280.6,47
17,0,24502,Adam Scott,197.3,5918.5,30
18,0,34099,Harris English,195.8,11946.4,61
19,0,32366,Kevin Chappell,195.3,10544.3,54
20,0,28089,Jason Day,195.0,8972.2,46
20,0,46970,Jon Rahm,195.0,10137.7,52
20,0,27095,Nick Watney,195.0,11117.5,57
23,0,48081,Xander Schauffele,194.9,8967.1,46
24,0,30944,Jason Kokrak,194.7,13238.4,68
25,0,23497,Tag Ridings,194.6,8174.6,42
26,0,46440,Smylie Kaufman,194.5,11087.3,57
26,0,32333,Kevin Tway,194.5,10310.5,53
28,0,26300,Matt Jones,194.3,8936.7,46
29,0,24358,Robert Garrigus,193.7,10655.4,55
29,0,26851,Marc Leishman,193.7,11235.4,58
29,0,29461,Jamie Lovemark,193.7,11038.7,57
29,0,34264,Hudson Swafford,193.7,11231.8,58
33,0,33448,Justin Thomas,193.4,9474.7,49
34,0,29518,Brendan Steele,192.9,11381.1,59
35,0,37189,Harold Varner III,192.2,14415.8,75
36,0,40026,Daniel Berger,192.1,9990.9,52
37,0,46443,Brian Campbell,191.7,7285.8,38
37,0,28252,Seamus Power,191.7,9201.3,48
39,0,23320,Ryan Palmer,191.4,7847.2,41
40,0,32839,Hideki Matsuyama,191.2,8796.9,46
40,0,26331,Charl Schwartzel,191.2,7075.7,37
42,0,34360,Patrick Reed,191.1,11845.6,62
43,0,47959,Bryson DeChambeau,191.0,12036.0,63
44,0,33141,Keegan Bradley,190.6,13722.9,72
45,0,29289,S.Y. Noh,190.4,13324.5,70
46,0,22405,Justin Rose,190.0,7791.4,41
47,0,12716,Charley Hoffman,189.8,14048.0,74
48,0,27936,Martin Laird,189.2,9461.0,50
48,0,24140,Sean O'Hair,189.2,10404.4,55
50,0,33204,Shane Lowry,188.4,3956.4,21
51,0,33948,Byeong Hun An,188.2,9032.2,48
51,0,29974,Branden Grace,188.2,6399.8,34
53,0,28500,Martin Flores,188.1,11847.8,63
54,0,40009,Dominic Bozzelli,188.0,9398.8,50
54,0,25364,Paul Casey,188.0,9586.0,51
54,0,28307,Matt Every,188.0,10151.7,54
54,0,24924,Bill Haas,188.0,10529.0,56
54,0,25632,Jimmy Walker,188.0,7144.0,38
59,0,26329,Louis Oosthuizen,187.8,6759.7,36
60,0,35506,Mackenzie Hughes,187.6,16699.1,89
60,0,30692,Scott Stallings,187.6,10503.9,56
62,0,01810,Phil Mickelson,187.5,10499.4,56
63,0,35450,Patrick Cantlay,187.3,6554.5,35
64,0,27436,Graham DeLaet,186.9,11399.8,61
64,0,29720,Andres Gonzales,186.9,9345.6,50
64,0,33399,Adam Hadwin,186.9,13083.7,70
67,0,27974,Sung Kang,186.8,11770.4,63
68,0,46732,Rick Lamb,186.4,6523.9,35
69,0,20229,Stewart Cink,186.3,13037.7,70
70,0,22371,Aaron Baddeley,186.2,8191.4,44
70,0,48822,Sebastián Muñoz,186.2,6516.1,35
70,0,24361,Pat Perez,186.2,10055.9,54
73,0,25274,Steven Bowditch,186.1,7814.6,42
73,0,39954,Cody Gribble,186.1,9865.3,53
75,0,24781,Hunter Mahan,186.0,10603.7,57
76,0,29926,Danny Lee,185.5,11497.9,62
76,0,34409,David Lingmerth,185.5,10942.4,59
78,0,30852,Ryo Ishikawa,185.4,7232.0,39
79,0,23353,J.J. Henry,185.3,12414.7,67
80,0,25818,Scott Piercy,185.2,8148.4,44
81,0,29740,Brad Fritsch,185.0,7216.8,39
82,0,32102,Rickie Fowler,184.9,9429.2,51
83,0,39324,J.J. Spaun,184.8,10904.9,59
84,0,37455,Si Woo Kim,184.7,9419.8,51
85,0,34046,Jordan Spieth,184.5,10698.2,58
85,0,34431,Robert Streb,184.5,12917.4,70
87,0,32448,James Hahn,184.3,12531.0,68
87,0,29420,Billy Horschel,184.3,11796.1,64
89,0,32200,Roberto Castro,184.1,8651.3,47
90,0,27214,Kevin Streelman,183.9,13242.0,72
91,0,31557,Jim Herman,183.8,9923.2,54
91,0,30110,Kyle Stanley,183.8,15251.8,83
93,0,25900,Lucas Glover,183.6,11751.6,64
93,0,35891,Cameron Smith,183.6,11751.8,64
95,0,35110,Brett Drewitt,183.5,6423.1,35
96,0,31420,Anirban Lahiri,183.4,7884.8,43
97,0,32757,Patton Kizzire,183.3,12833.6,70
97,0,49771,J.T. Poston,183.3,12284.2,67
99,0,20157,Retief Goosen,183.0,6404.8,35
99,0,21961,Charles Howell III,183.0,10614.7,58
99,0,33418,Shawn Stefani,183.0,9881.0,54
102,0,28132,Tyrone Van Aswegen,182.8,10784.1,59
103,0,27649,Brandt Snedeker,182.6,6207.9,34
104,0,35532,Tom Hoge,182.5,7299.8,40
104,0,47128,Richy Werenski,182.5,9857.5,54
106,0,31646,Emiliano Grillo,182.4,10759.9,59
107,0,25686,Jason Dufner,182.2,11658.7,64
107,0,34098,Russell Henley,182.2,13298.0,73
109,0,29223,Sam Saunders,182.0,10374.5,57
109,0,46501,Ollie Schniederjans,182.0,10739.5,59
111,0,31416,Derek Fathauer,181.9,9276.0,51
112,0,26289,Boo Weekley,181.8,9271.1,51
113,0,30191,Julián Etulain,181.4,8709.1,48
114,0,26499,Rafa Cabrera Bello,181.3,6346.6,35
114,0,34021,Bud Cauley,181.3,12146.6,67
114,0,23983,Luke Donald,181.3,5075.8,28
117,0,28093,Miguel Angel Carballo,181.2,6886.7,38
118,0,32640,Troy Merritt,181.1,11588.7,64
118,0,23621,Rory Sabbatini,181.1,8512.7,47
120,0,33120,Mark Anderson,181.0,7603.0,42
121,0,25191,Gonzalo Fernandez-Castaño,180.9,6152.0,34
121,0,36801,Mark Hubbard,180.9,10130.1,56
123,0,29479,Scott Brown,180.5,11553.4,64
123,0,29478,Kevin Kisner,180.5,11734.6,65
123,0,27963,Chris Stroud,180.5,6677.5,37
126,0,31202,William McGirt,180.4,11727.9,65
127,0,35545,Blayne Barber,180.3,11361.4,63
128,0,35879,Kelly Kraft,180.1,10266.4,57
128,0,25493,Nick Taylor,180.1,13325.0,74
130,0,25198,Francesco Molinari,179.8,8450.7,47
131,0,37454,Whee Kim,179.7,9164.5,51
131,0,33122,Russell Knox,179.7,8265.3,46
131,0,29485,Brett Stegmaier,179.7,9523.9,53
134,0,24846,Ricky Barnes,179.6,8981.2,50
135,0,33461,Morgan Hoffmann,179.4,13636.3,76
136,0,33413,Ben Martin,179.2,11829.7,66
137,0,27895,Jonas Blixt,178.8,9477.6,53
137,0,22046,Geoff Ogilvy,178.8,11266.2,63
139,0,29908,C.T. Pan,178.4,11414.8,64
139,0,26951,Johnson Wagner,178.4,8740.3,49
141,0,27958,Ryan Blaum,178.1,12822.6,72
141,0,28679,Fabián Gómez,178.1,8194.2,46
141,0,33419,Cameron Tringale,178.1,10331.7,58
144,0,39975,Michael Kim,178.0,13346.7,75
144,0,22056,Cameron Percy,178.0,9079.7,51
144,0,25834,Daniel Summerhays,178.0,12460.0,70
147,0,25396,Kevin Na,177.6,9056.9,51
148,0,23108,Matt Kuchar,177.2,11163.7,63
148,0,32150,Michael Thompson,177.2,7087.0,40
150,0,19803,Ryan Armour,177.1,7438.3,42
151,0,34358,Jonathan Randolph,177.0,8143.6,46
152,0,12510,Chad Campbell,176.1,12682.6,72
153,0,30926,Chris Kirk,176.0,11442.5,65
154,0,26758,David Hearn,175.7,10716.9,61
155,0,24138,Ian Poulter,175.4,8593.6,49
156,0,25892,Steve Wheatcroft,175.2,5430.1,31
157,0,22986,Søren Kjeldsen,175.0,4725.0,27
158,0,29221,Webb Simpson,174.5,12217.1,70
159,0,25720,Chad Collins,174.4,8197.2,47
160,0,29476,Kyle Reifers,174.2,11842.4,68
161,0,27644,Brian Harman,174.0,11133.8,64
162,0,20472,Alex Cejka,173.8,9211.0,53
163,0,27770,Camilo Villegas,173.3,8839.6,51
164,0,24024,Zach Johnson,173.0,9515.4,55
165,0,29222,Billy Hurley III,172.7,11569.8,67
165,0,26596,Ryan Moore,172.7,10362.9,60
167,0,34466,Peter Malnati,172.3,12580.1,73
168,0,25572,Graeme McDowell,172.2,6371.9,37
169,0,23541,Ben Crane,172.0,11181.1,65
169,0,25240,D.A. Points,172.0,8602.1,50
171,0,06522,Ernie Els,171.9,4641.2,27
172,0,34174,John Huh,171.7,12532.3,73
173,0,48084,Wesley Bryan,171.5,9775.5,57
174,0,23800,Bryce Molder,170.7,10240.6,60
174,0,23325,Vaughn Taylor,170.7,12289.5,72
176,0,20572,Rod Pampling,170.4,8347.9,49
176,0,26476,Chez Reavie,170.4,11757.5,69
178,0,37278,Nicholas Lindheim,169.8,6624.0,39
179,0,20771,Steven Alker,169.3,7278.3,43
180,0,10809,Jim Furyk,169.2,6261.0,37
181,0,20593,Greg Chalmers,169.1,10655.4,63
182,0,25345,Carl Pettersson,169.0,6589.8,39
182,0,31560,Brian Stuard,169.0,10309.3,61
184,0,19846,Brian Gay,168.3,11109.0,66
185,0,24357,K.J. Choi,168.2,8914.4,53
186,0,40058,Zac Blair,167.7,12580.3,75
187,0,27466,Spencer Levin,165.9,10449.5,63
188,0,25349,Tim Wilkinson,165.3,7105.9,43
189,0,20104,Ken Duke,164.0,7218.0,44
190,0,24507,Jason Bohn,163.3,9471.7,58
