RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,28420,Ryan Brehm,128.18,3973.54,31
2,0,46550,Brandon Hagy,126.49,7209.99,57
3,0,35300,Andrew Loupe,124.63,5234.60,42
4,0,36689,Brooks Koepka,124.28,5841.19,47
5,0,46501,Ollie Schniederjans,123.34,7277.13,59
6,0,27064,Jhonattan Vegas,123.16,6035.08,49
7,0,29725,Tony Finau,123.11,9602.93,78
8,0,34264,Hudson Swafford,122.67,7360.05,60
8,0,31323,Gary Woodland,122.67,6256.39,51
10,0,32333,Kevin Tway,122.57,6495.95,53
11,0,27141,J.B. Holmes,121.68,4989.06,41
12,0,36699,Patrick Rodgers,121.55,5712.91,47
13,0,25804,Bubba Watson,121.46,5101.23,42
14,0,30925,Dustin Johnson,121.17,5331.41,44
15,0,27129,Luke List,120.71,8329.32,69
16,0,34213,Grayson Murray,120.48,7710.76,64
17,0,46601,Trey Mullinax,120.29,7457.69,62
18,0,28237,Rory McIlroy,120.03,3360.75,28
19,0,32366,Kevin Chappell,119.95,6597.20,55
20,0,21209,Sergio Garcia,119.76,4071.92,34
21,0,30944,Jason Kokrak,119.54,8248.07,69
22,0,28089,Jason Day,119.47,5495.64,46
23,0,27095,Nick Watney,119.36,6803.41,57
24,0,26331,Charl Schwartzel,119.35,4416.06,37
25,0,37189,Harold Varner III,118.82,9030.14,76
26,0,40026,Daniel Berger,118.78,6176.52,52
27,0,24502,Adam Scott,118.55,3556.60,30
28,0,29461,Jamie Lovemark,118.54,6756.53,57
29,0,26851,Marc Leishman,118.53,6993.42,59
30,0,48081,Xander Schauffele,118.34,5561.77,47
31,0,26300,Matt Jones,118.29,5441.50,46
32,0,32839,Hideki Matsuyama,118.13,5552.14,47
33,0,48822,Sebastián Muñoz,118.11,4133.88,35
34,0,28252,Seamus Power,117.93,5660.54,48
35,0,28500,Martin Flores,117.85,7542.48,64
36,0,34099,Harris English,117.82,7187.31,61
37,0,47959,Bryson DeChambeau,117.74,7417.83,63
38,0,29518,Brendan Steele,117.37,6925.09,59
39,0,46443,Brian Campbell,117.31,4457.63,38
40,0,46440,Smylie Kaufman,117.28,6802.09,58
41,0,24358,Robert Garrigus,117.24,6448.00,55
42,0,12716,Charley Hoffman,117.23,8674.74,74
43,0,28307,Matt Every,117.14,6325.78,54
44,0,33448,Justin Thomas,117.07,5853.71,50
45,0,34360,Patrick Reed,116.86,7712.98,66
46,0,22405,Justin Rose,116.84,4907.47,42
47,0,30852,Ryo Ishikawa,116.70,4668.19,40
48,0,27436,Graham DeLaet,116.69,7118.32,61
49,0,46970,Jon Rahm,116.68,6300.57,54
50,0,29289,S.Y. Noh,116.62,8279.71,71
51,0,23320,Ryan Palmer,116.59,5013.53,43
52,0,25274,Steven Bowditch,116.55,5011.86,43
53,0,23497,Tag Ridings,116.43,4890.08,42
54,0,39954,Cody Gribble,116.39,6168.90,53
55,0,25900,Lucas Glover,116.35,7562.67,65
56,0,29720,Andres Gonzales,116.30,5814.89,50
57,0,25364,Paul Casey,116.27,5929.84,51
58,0,29420,Billy Horschel,116.12,7431.49,64
59,0,31557,Jim Herman,116.11,6386.18,55
60,0,21961,Charles Howell III,116.05,6847.15,59
61,0,34431,Robert Streb,116.04,8238.98,71
62,0,29740,Brad Fritsch,116.03,4525.25,39
63,0,24846,Ricky Barnes,115.95,5797.70,50
64,0,20229,Stewart Cink,115.88,8111.25,70
65,0,22371,Aaron Baddeley,115.80,5095.18,44
65,0,25191,Gonzalo Fernandez-Castaño,115.80,4052.94,35
67,0,46732,Rick Lamb,115.79,4168.32,36
