RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SMASH FACTOR,TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
1,0,35450,Patrick Cantlay,1.504,54.145,36,1.519,1.485
1,0,29908,C.T. Pan,1.504,97.749,65,1.520,1.469
1,0,47128,Richy Werenski,1.504,81.221,54,1.519,1.466
4,0,25632,Jimmy Walker,1.503,58.626,39,1.519,1.460
5,0,35545,Blayne Barber,1.502,96.144,64,1.517,1.461
5,0,31416,Derek Fathauer,1.502,76.598,51,1.524,1.423
5,0,30944,Jason Kokrak,1.502,103.666,69,1.518,1.448
8,0,24358,Robert Garrigus,1.501,82.563,55,1.517,1.454
8,0,25818,Scott Piercy,1.501,66.040,44,1.524,1.451
8,0,31560,Brian Stuard,1.501,96.090,64,1.523,1.462
8,0,33448,Justin Thomas,1.501,75.044,50,1.523,1.470
12,0,27129,Luke List,1.500,103.476,69,1.520,1.431
12,0,28237,Rory McIlroy,1.500,42.011,28,1.518,1.429
12,0,25345,Carl Pettersson,1.500,58.519,39,1.520,1.433
12,0,29476,Kyle Reifers,1.500,102.012,68,1.522,1.422
12,0,23325,Vaughn Taylor,1.500,109.529,73,1.519,1.407
12,0,27770,Camilo Villegas,1.500,76.488,51,1.522,1.427
18,0,46970,Jon Rahm,1.499,79.443,53,1.518,1.451
18,0,24502,Adam Scott,1.499,44.971,30,1.518,1.462
18,0,25493,Nick Taylor,1.499,110.913,74,1.519,1.454
21,0,25364,Paul Casey,1.498,76.394,51,1.517,1.420
21,0,21961,Charles Howell III,1.498,88.378,59,1.519,1.448
21,0,31420,Anirban Lahiri,1.498,67.416,45,1.517,1.439
21,0,26596,Ryan Moore,1.498,89.879,60,1.518,1.455
21,0,23497,Tag Ridings,1.498,62.915,42,1.532,1.446
26,0,25686,Jason Dufner,1.497,95.829,64,1.521,1.456
26,0,32102,Rickie Fowler,1.497,79.332,53,1.515,1.456
26,0,33461,Morgan Hoffmann,1.497,113.737,76,1.522,1.428
26,0,26329,Louis Oosthuizen,1.497,53.886,36,1.515,1.463
26,0,22056,Cameron Percy,1.497,76.338,51,1.527,1.443
26,0,29485,Brett Stegmaier,1.497,79.341,53,1.519,1.453
32,0,34099,Harris English,1.496,91.273,61,1.521,1.456
32,0,29974,Branden Grace,1.496,50.873,34,1.519,1.414
32,0,37278,Nicholas Lindheim,1.496,58.348,39,1.521,1.442
32,0,28252,Seamus Power,1.496,71.812,48,1.516,1.467
32,0,34046,Jordan Spieth,1.496,86.757,58,1.517,1.470
32,0,30692,Scott Stallings,1.496,83.800,56,1.518,1.450
38,0,34021,Bud Cauley,1.495,101.641,68,1.519,1.449
38,0,20472,Alex Cejka,1.495,79.215,53,1.517,1.430
38,0,29720,Andres Gonzales,1.495,74.740,50,1.539,1.449
38,0,30926,Chris Kirk,1.495,97.163,65,1.518,1.456
38,0,46601,Trey Mullinax,1.495,92.698,62,1.521,1.460
43,0,22371,Aaron Baddeley,1.494,65.732,44,1.519,1.440
43,0,20104,Ken Duke,1.494,67.222,45,1.520,1.420
43,0,27644,Brian Harman,1.494,98.578,66,1.519,1.433
43,0,34213,Grayson Murray,1.494,95.605,64,1.519,1.451
43,0,24138,Ian Poulter,1.494,74.715,50,1.519,1.449
43,0,28132,Tyrone Van Aswegen,1.494,91.152,61,1.516,1.456
49,0,24507,Jason Bohn,1.493,88.075,59,1.516,1.460
49,0,23541,Ben Crane,1.493,97.060,65,1.518,1.431
49,0,34098,Russell Henley,1.493,108.955,73,1.526,1.442
49,0,32757,Patton Kizzire,1.493,104.514,70,1.519,1.455
49,0,35879,Kelly Kraft,1.493,85.114,57,1.516,1.442
49,0,34409,David Lingmerth,1.493,89.552,60,1.520,1.455
49,0,29461,Jamie Lovemark,1.493,85.084,57,1.518,1.435
49,0,33204,Shane Lowry,1.493,31.352,21,1.514,1.465
49,0,24140,Sean O'Hair,1.493,82.138,55,1.519,1.405
49,0,23320,Ryan Palmer,1.493,64.203,43,1.517,1.421
59,0,33948,Byeong Hun An,1.492,71.625,48,1.519,1.450
59,0,33141,Keegan Bradley,1.492,107.418,72,1.514,1.420
59,0,46440,Smylie Kaufman,1.492,86.516,58,1.517,1.413
59,0,23108,Matt Kuchar,1.492,95.495,64,1.514,1.421
59,0,01810,Phil Mickelson,1.492,85.050,57,1.520,1.401
59,0,23621,Rory Sabbatini,1.492,70.114,47,1.518,1.440
59,0,30110,Kyle Stanley,1.492,123.864,83,1.522,1.440
66,0,25720,Chad Collins,1.491,70.079,47,1.519,1.431
66,0,27936,Martin Laird,1.491,77.554,52,1.521,1.433
66,0,25349,Tim Wilkinson,1.491,64.093,43,1.518,1.427
69,0,27895,Jonas Blixt,1.490,78.996,53,1.518,1.400
69,0,48084,Wesley Bryan,1.490,86.407,58,1.515,1.448
69,0,26499,Rafa Cabrera Bello,1.490,52.149,35,1.518,1.462
69,0,20229,Stewart Cink,1.490,104.298,70,1.518,1.415
69,0,23353,J.J. Henry,1.490,102.789,69,1.521,1.399
69,0,24024,Zach Johnson,1.490,83.449,56,1.513,1.446
69,0,26300,Matt Jones,1.490,68.527,46,1.515,1.441
76,0,40009,Dominic Bozzelli,1.489,74.450,50,1.518,1.446
76,0,34431,Robert Streb,1.489,105.706,71,1.520,1.444
76,0,27095,Nick Watney,1.489,84.855,57,1.518,1.426
79,0,27958,Ryan Blaum,1.488,107.118,72,1.518,1.436
79,0,27974,Sung Kang,1.488,93.733,63,1.519,1.422
79,0,29289,S.Y. Noh,1.488,105.634,71,1.516,1.433
79,0,25240,D.A. Points,1.488,77.392,52,1.519,1.403
79,0,29518,Brendan Steele,1.488,87.805,59,1.522,1.427
79,0,27064,Jhonattan Vegas,1.488,72.895,49,1.518,1.370
85,0,40058,Zac Blair,1.487,113.019,76,1.518,1.428
85,0,34174,John Huh,1.487,108.543,73,1.518,1.404
85,0,39975,Michael Kim,1.487,111.522,75,1.517,1.431
85,0,32640,Troy Merritt,1.487,98.159,66,1.515,1.447
89,0,33120,Mark Anderson,1.486,62.404,42,1.517,1.415
89,0,12510,Chad Campbell,1.486,106.999,72,1.517,1.411
89,0,30925,Dustin Johnson,1.486,65.379,44,1.517,1.415
89,0,29926,Danny Lee,1.486,92.107,62,1.517,1.442
89,0,33413,Ben Martin,1.486,98.057,66,1.516,1.414
89,0,31202,William McGirt,1.486,96.581,65,1.518,1.358
95,0,25274,Steven Bowditch,1.485,63.859,43,1.516,1.430
95,0,28093,Miguel Angel Carballo,1.485,56.439,38,1.522,1.439
95,0,20593,Greg Chalmers,1.485,93.565,63,1.520,1.419
95,0,25198,Francesco Molinari,1.485,69.794,47,1.516,1.431
95,0,26331,Charl Schwartzel,1.485,54.937,37,1.516,1.407
95,0,26951,Johnson Wagner,1.485,72.787,49,1.518,1.416
101,0,34466,Peter Malnati,1.484,108.330,73,1.528,1.444
101,0,32333,Kevin Tway,1.484,78.629,53,1.522,1.415
101,0,26289,Boo Weekley,1.484,77.192,52,1.519,1.407
104,0,24357,K.J. Choi,1.483,78.595,53,1.518,1.411
104,0,06522,Ernie Els,1.483,40.039,27,1.516,1.411
104,0,19846,Brian Gay,1.483,97.884,66,1.518,1.418
104,0,29223,Sam Saunders,1.483,84.514,57,1.515,1.424
104,0,29221,Webb Simpson,1.483,103.837,70,1.519,1.411
104,0,32150,Michael Thompson,1.483,59.331,40,1.515,1.447
110,0,25900,Lucas Glover,1.482,96.309,65,1.516,1.435
110,0,20157,Retief Goosen,1.482,51.875,35,1.519,1.412
110,0,35532,Tom Hoge,1.482,59.260,40,1.522,1.381
110,0,46732,Rick Lamb,1.482,53.368,36,1.520,1.444
110,0,36699,Patrick Rodgers,1.482,69.638,47,1.517,1.407
115,0,47959,Bryson DeChambeau,1.481,93.283,63,1.512,1.431
115,0,29725,Tony Finau,1.481,115.485,78,1.519,1.430
115,0,33399,Adam Hadwin,1.481,103.643,70,1.516,1.405
115,0,12716,Charley Hoffman,1.481,109.613,74,1.518,1.435
115,0,29222,Billy Hurley III,1.481,99.209,67,1.520,1.413
115,0,25834,Daniel Summerhays,1.481,103.654,70,1.510,1.439
115,0,25804,Bubba Watson,1.481,60.703,41,1.516,1.405
122,0,24846,Ricky Barnes,1.480,74.018,50,1.523,1.387
122,0,32448,James Hahn,1.480,102.151,69,1.514,1.431
124,0,35506,Mackenzie Hughes,1.479,133.147,90,1.517,1.437
124,0,37454,Whee Kim,1.479,75.419,51,1.514,1.424
