RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,46550,Brandon Hagy,186.79,10647.13,57
2,0,28420,Ryan Brehm,184.85,5730.37,31
3,0,27064,Jhonattan Vegas,183.24,8978.53,49
4,0,35300,Andrew Loupe,182.77,7676.28,42
5,0,29725,Tony Finau,182.32,14221.18,78
6,0,32333,Kevin Tway,181.83,9637.01,53
7,0,46501,Ollie Schniederjans,181.37,10701.07,59
8,0,27129,Luke List,181.07,12493.80,69
9,0,31323,Gary Woodland,180.49,9205.08,51
10,0,28237,Rory McIlroy,180.12,5043.37,28
10,0,36699,Patrick Rodgers,180.12,8465.78,47
12,0,30925,Dustin Johnson,180.06,7922.79,44
13,0,36689,Brooks Koepka,180.03,8461.20,47
14,0,34213,Grayson Murray,180.01,11520.93,64
15,0,46601,Trey Mullinax,179.89,11153.49,62
16,0,25804,Bubba Watson,179.88,7555.16,42
17,0,30944,Jason Kokrak,179.65,12395.60,69
18,0,27141,J.B. Holmes,179.44,7357.21,41
19,0,24502,Adam Scott,177.78,5333.30,30
20,0,27095,Nick Watney,177.70,10129.17,57
21,0,26331,Charl Schwartzel,177.23,6557.38,37
22,0,32366,Kevin Chappell,177.08,9739.60,55
23,0,29461,Jamie Lovemark,176.96,10086.96,57
24,0,28252,Seamus Power,176.48,8471.27,48
25,0,34099,Harris English,176.34,10756.70,61
26,0,26300,Matt Jones,176.22,8106.24,46
27,0,34264,Hudson Swafford,176.15,10569.02,60
28,0,24358,Robert Garrigus,176.04,9682.37,55
29,0,33448,Justin Thomas,175.77,8788.59,50
30,0,28089,Jason Day,175.51,8073.36,46
31,0,21209,Sergio Garcia,175.13,5954.27,34
32,0,40026,Daniel Berger,175.01,9100.34,52
33,0,46970,Jon Rahm,174.97,9448.40,54
34,0,46440,Smylie Kaufman,174.96,10147.55,58
35,0,26851,Marc Leishman,174.87,10317.24,59
36,0,29518,Brendan Steele,174.68,10306.08,59
37,0,23497,Tag Ridings,174.44,7326.62,42
38,0,47959,Bryson DeChambeau,174.39,10986.26,63
39,0,48081,Xander Schauffele,174.34,8193.75,47
40,0,25364,Paul Casey,174.12,8880.11,51
40,0,23320,Ryan Palmer,174.12,7487.34,43
42,0,21961,Charles Howell III,173.90,10260.11,59
43,0,29720,Andres Gonzales,173.89,8694.66,50
44,0,37189,Harold Varner III,173.85,13212.29,76
45,0,28500,Martin Flores,173.75,11120.27,64
46,0,12716,Charley Hoffman,173.67,12851.93,74
47,0,29289,S.Y. Noh,173.53,12320.70,71
48,0,25274,Steven Bowditch,173.13,7444.69,43
49,0,29974,Branden Grace,173.05,5883.58,34
50,0,22371,Aaron Baddeley,173.03,7613.22,44
51,0,48822,Sebastián Muñoz,172.80,6048.10,35
51,0,34431,Robert Streb,172.80,12268.80,71
53,0,20229,Stewart Cink,172.67,12086.60,70
54,0,33141,Keegan Bradley,172.60,12427.22,72
55,0,46443,Brian Campbell,172.44,6552.80,38
56,0,25900,Lucas Glover,172.41,11206.97,65
57,0,28307,Matt Every,172.39,9308.94,54
