RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,25804,Bubba Watson,34.13,342,1002,-0.246
2,0,27141,J.B. Holmes,32.27,284,880,-0.225
3,0,24358,Robert Garrigus,20.02,207,1034,-0.184
4,0,01249,John Daly,18.64,107,574,-0.093
5,0,23616,Ryan Hietala,18.12,129,712,-0.186
6,0,23322,Brett Wetterich,16.47,167,1014,-0.216
7,0,23497,Tag Ridings,14.63,183,1251,-0.175
8,0,22892,Jason Gore,14.26,144,1010,-0.243
9,0,27770,Camilo Villegas,13.90,159,1144,-0.302
10,0,12716,Charley Hoffman,13.89,172,1238,-0.244
11,0,01226,Fred Couples,13.39,60,448,-0.367
12,0,21805,Harrison Frazar,13.26,139,1048,-0.338
13,0,24502,Adam Scott,12.52,89,711,-0.360
14,0,08793,Tiger Woods,12.16,63,518,-0.317
15,0,11123,Chris Couch,12.02,112,932,-0.232
16,0,01810,Phil Mickelson,12.01,79,658,-0.354
17,0,24980,Scott Gutschewski,11.94,75,628,-0.240
18,0,25900,Lucas Glover,11.88,143,1204,-0.210
19,0,25936,Alex Aragon,11.80,89,754,-0.157
20,0,28475,Jeff Overton,11.02,134,1216,-0.231
21,0,25842,Jon Mills,10.98,83,756,-0.193
22,0,08835,Kris Cox,10.96,110,1004,-0.300
23,0,09011,David Duval,10.78,80,742,-0.225
24,0,20850,Daniel Chopra,10.69,134,1254,-0.403
25,0,01706,Davis Love III,10.40,83,798,-0.289
26,0,22046,Geoff Ogilvy,10.11,74,732,-0.189
27,0,20157,Retief Goosen,9.81,63,642,-0.206
28,0,23614,Rich Beem,9.80,89,908,-0.202
29,0,27120,Troy Matteson,9.54,117,1227,-0.231
30,0,06567,Vijay Singh,9.52,112,1176,-0.259
31,0,28780,Nicholas Thompson,9.47,103,1088,-0.262
32,0,21209,Sergio Garcia,9.45,52,550,-0.135
33,0,26360,Bubba Dickerson,9.42,113,1199,-0.230
34,0,01945,Kenny Perry,9.40,79,840,-0.025
35,0,24361,Pat Perez,9.35,55,588,-0.218
36,0,27095,Nick Watney,9.33,112,1200,-0.268
37,0,23353,J.J. Henry,9.31,100,1074,-0.300
38,0,19824,Craig Barlow,9.24,75,812,-0.347
39,0,23349,Charles Warren,9.04,102,1128,-0.284
40,0,08375,Paul Stankowski,9.00,79,878,-0.342
41,0,23409,James Driscoll,8.96,95,1060,-0.263
42,0,24925,Jonathan Byrd,8.95,67,749,-0.194
43,0,23307,Roger Tambellini,8.92,66,740,-0.167
44,0,27943,Matt Hansen,8.91,72,808,-0.167
44,0,02106,Chris Smith,8.91,73,819,-0.247
46,0,12823,Carlos Franco,8.66,93,1074,-0.323
47,0,20574,Mathew Goggin,8.62,70,812,-0.257
48,0,25632,Jimmy Walker,8.46,66,780,-0.303
49,0,22913,John Rollins,8.40,89,1060,-0.393
50,0,20378,Mathias Grönberg,8.34,92,1103,-0.261
51,0,22946,Henrik Bjornstad,8.28,103,1244,-0.272
52,0,23320,Ryan Palmer,8.22,94,1144,-0.234
53,0,02206,David Toms,8.14,71,872,-0.408
54,0,23048,Eric Axley,8.09,89,1100,-0.247
55,0,24912,Will MacKenzie,7.95,83,1044,-0.386
56,0,20094,Jonathan Kaye,7.91,95,1201,-0.284
57,0,06573,Brandt Jobe,7.79,76,976,-0.197
58,0,24924,Bill Haas,7.75,95,1226,-0.200
59,0,23621,Rory Sabbatini,7.62,68,892,-0.132
60,0,20098,Stuart Appleby,7.48,67,896,-0.179
60,0,23623,Bo Van Pelt,7.48,94,1256,-0.383
62,0,26596,Ryan Moore,7.42,60,809,-0.183
63,0,10885,Robert Allenby,7.30,61,836,-0.213
64,0,20645,John Senden,7.16,79,1103,-0.494
65,0,24140,Sean O'Hair,7.13,76,1066,-0.211
66,0,21660,Jason Schultz,7.06,64,906,-0.188
67,0,07223,Brian Bateman,6.94,57,821,-0.211
68,0,12760,Danny Ellis,6.80,57,838,-0.298
69,0,21961,Charles Howell III,6.71,74,1103,-0.149
70,0,07013,Wes Short Jr.,6.63,79,1192,-0.203
71,0,24781,Hunter Mahan,6.46,80,1238,-0.350
72,0,20766,Padraig Harrington,6.39,34,532,-0.324
73,0,12782,Tim Herron,6.37,55,864,-0.327
73,0,25345,Carl Pettersson,6.37,67,1052,-0.239
75,0,12510,Chad Campbell,6.32,59,934,-0.186
76,0,21731,Freddie Jacobson,6.22,47,756,-0.319
77,0,20229,Stewart Cink,6.21,63,1014,-0.270
78,0,22378,Trevor Immelman,6.19,63,1017,-0.349
78,0,12660,Jesper Parnevik,6.19,63,1018,-0.397
80,0,24507,Jason Bohn,5.96,74,1242,-0.243
81,0,06350,Bob May,5.88,44,748,-0.205
82,0,06595,Kevin Sutherland,5.86,71,1212,-0.225
83,0,20634,Peter Lonard,5.85,54,923,-0.074
83,0,23788,D.J. Trahan,5.85,62,1060,-0.242
85,0,06522,Ernie Els,5.81,38,654,-0.237
86,0,21959,Ted Purdy,5.80,65,1120,-0.138
87,0,20691,Greg Owen,5.77,50,866,-0.360
88,0,21949,Joe Ogilvie,5.68,62,1091,-0.323
89,0,20105,Jeff Gove,5.59,63,1127,-0.254
90,0,01553,John Huston,5.53,50,904,-0.260
91,0,06197,Michael Allen,5.46,55,1008,-0.364
92,0,25935,John Engler Jr.,5.45,48,880,-0.167
93,0,06034,Marco Dawson,5.41,58,1073,-0.241
94,0,23325,Vaughn Taylor,5.38,58,1078,-0.293
95,0,20498,Briny Baird,5.23,51,976,-0.412
96,0,01677,Tom Lehman,5.20,34,654,-0.147
97,0,20472,Alex Cejka,5.11,57,1116,-0.105
98,0,24357,K.J. Choi,5.08,56,1102,-0.196
99,0,22405,Justin Rose,5.00,60,1199,-0.383
100,0,21407,Arjun Atwal,4.99,57,1142,-0.298
100,0,01161,Mark Calcavecchia,4.99,55,1102,-0.127
102,0,25240,D.A. Points,4.94,49,992,-0.204
103,0,10860,Justin Leonard,4.84,44,909,-0.068
104,0,20572,Rod Pampling,4.75,43,906,-0.372
105,0,08537,J.P. Hayes,4.74,33,696,-0.152
106,0,10565,Ian Leggatt,4.71,46,976,-0.130
107,0,06515,Shaun Micheel,4.70,51,1084,-0.216
108,0,12680,Shigeki Maruyama,4.66,52,1116,-0.288
109,0,23541,Ben Crane,4.57,39,853,-0.026
110,0,22548,Patrick Sheehan,4.53,55,1213,-0.182
111,0,20608,David Howell,4.52,19,420,-0.263
112,0,12662,Thomas Levet,4.46,30,672,+0.067
113,0,21753,Brian Davis,4.42,50,1132,-0.300
114,0,06004,Stephen Ames,4.38,27,616,-0.259
115,0,20631,David McKenzie,4.37,42,962,-0.190
116,0,22293,Heath Slocum,4.34,51,1174,-0.098
117,0,01142,Bart Bryant,4.33,43,993,-0.070
118,0,23673,Michael Connell,4.27,25,586,-0.240
119,0,12755,Vance Veazey,4.23,32,756,-0.375
120,0,10809,Jim Furyk,4.18,40,956,-0.175
121,0,11032,Frank Lickliter II,4.15,49,1182,-0.286
122,0,01685,J.L. Lewis,4.14,29,700,-0.379
122,0,01948,Tim Petrovic,4.14,48,1160,-0.125
124,0,07749,Brett Quigley,4.13,54,1309,-0.333
124,0,20812,Tjaart van der Walt,4.13,30,726,-0.333
126,0,06621,Joe Durant,4.12,55,1336,-0.200
127,0,11011,Mike Sposa,4.07,33,810,-0.273
128,0,01313,Steve Elkington,4.06,26,640,-0.269
129,0,01761,Len Mattiace,4.01,29,723,-0.034
130,0,21646,David Branshaw,3.97,48,1210,-0.271
131,0,01473,Todd Hamilton,3.96,31,782,-0.419
132,0,07867,Woody Austin,3.94,51,1293,-0.176
133,0,20628,Arron Oberholser,3.92,34,868,-0.235
134,0,06575,Dudley Hart,3.84,38,989,-0.237
134,0,10733,Kent Jones,3.84,47,1224,-0.277
136,0,01707,Steve Lowery,3.81,44,1156,-0.182
137,0,01388,Robert Gamez,3.75,43,1146,-0.256
138,0,24138,Ian Poulter,3.74,22,588,-0.273
139,0,20127,Chris Riley,3.65,35,960,-0.257
140,0,20593,Greg Chalmers,3.64,29,796,-0.103
140,0,21350,Ryuji Imada,3.64,44,1210,-0.295
142,0,08123,Jeff Brehaut,3.63,43,1184,-0.233
143,0,01320,Bob Estes,3.55,37,1042,-0.432
144,0,23983,Luke Donald,3.49,21,602,-0.095
145,0,12602,Dean Wilson,3.32,43,1294,-0.116
146,0,26420,Richard Johnson,3.30,39,1182,-0.282
146,0,06373,José María Olazábal,3.30,18,545,-0.056
146,0,10423,Mike Weir,3.30,29,878,-0.241
149,0,12645,Brent Geiberger,3.27,41,1253,-0.220
150,0,01042,Paul Azinger,3.23,36,1114,-0.139
151,0,01666,Bernhard Langer,3.17,26,821,-0.385
152,0,01024,Billy Andrade,3.00,25,834,-0.280
153,0,24024,Zach Johnson,2.89,31,1074,-0.355
153,0,01941,Tom Pernice Jr.,2.89,35,1210,-0.286
155,0,21470,Daisuke Maruyama,2.87,28,976,-0.429
156,0,19913,Ron Whittaker,2.83,28,990,-0.107
157,0,01139,Olin Browne,2.82,34,1206,-0.176
157,0,08385,Omar Uresti,2.82,20,710,-0.100
159,0,01823,Larry Mize,2.81,16,570,E
160,0,01766,Billy Mayfair,2.79,30,1076,-0.500
161,0,01381,Fred Funk,2.78,33,1185,-0.212
162,0,02246,Duffy Waldorf,2.72,31,1140,-0.226
163,0,07457,Steve Flesch,2.71,39,1437,-0.359
164,0,01577,Lee Janzen,2.65,25,944,-0.160
164,0,02101,Joey Sindelar,2.65,28,1058,-0.179
166,0,01724,Jeff Maggert,2.63,25,950,-0.240
167,0,23718,Nathan Green,2.60,34,1310,-0.412
168,0,21878,Mark Wilson,2.59,26,1003,-0.115
169,0,06643,Paul Goydos,2.58,23,890,-0.174
170,0,10505,Shane Bertsch,2.48,31,1251,-0.129
171,0,22371,Aaron Baddeley,2.42,23,950,+0.043
172,0,06527,Steve Stricker,2.35,17,722,-0.059
172,0,02223,Bob Tway,2.35,22,936,-0.455
174,0,01035,Tommy Armour III,2.31,17,736,-0.118
175,0,01329,Brad Faxon,2.25,23,1022,-0.217
176,0,01219,John Cook,2.23,17,764,-0.235
177,0,02214,Kirk Triplett,2.19,15,686,-0.200
178,0,02110,Jerry Smith,2.13,25,1172,-0.400
179,0,02104,Jeff Sluman,2.08,24,1154,-0.042
180,0,08075,Jerry Kelly,2.05,24,1170,-0.208
181,0,22621,Ben Curtis,2.03,19,934,-0.105
181,0,06012,Greg Kraft,2.03,19,936,-0.263
183,0,19881,Robert Damron,2.01,23,1143,-0.130
184,0,01599,Steve Jones,1.97,19,964,-0.263
185,0,20121,Todd Fischer,1.92,24,1252,-0.083
186,0,06251,Chris DiMarco,1.87,16,854,-0.063
186,0,20548,Hidemichi Tanaka,1.87,17,908,-0.059
188,0,01619,Skip Kendall,1.71,14,820,-0.214
189,0,23135,Tim Clark,1.49,12,808,-0.083
190,0,02239,Scott Verplank,1.38,13,944,-0.077
191,0,01132,Mark Brooks,1.26,13,1032,-0.154
192,0,19846,Brian Gay,1.22,17,1390,-0.235
193,0,20099,Doug Barron,1.18,11,935,-0.182
194,0,01928,Corey Pavin,1.13,9,794,-0.667
195,0,20382,Stephen Leaney,1.03,11,1070,-0.455
196,0,01887,Mark O'Meara,1.00,5,500,-0.600
