RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,25804,Bubba Watson,319.6,50490,158
2,0,27141,J.B. Holmes,318.8,49098,154
3,0,24358,Robert Garrigus,309.8,51426,166
4,0,23322,Brett Wetterich,307.8,50472,164
5,0,01249,John Daly,307.1,30099,98
6,0,08793,Tiger Woods,306.4,31865,104
7,0,23616,Ryan Hietala,305.9,36096,118
8,0,23497,Tag Ridings,305.3,61054,200
9,0,21805,Harrison Frazar,304.6,55439,182
10,0,12716,Charley Hoffman,304.4,59657,196
11,0,24980,Scott Gutschewski,303.3,30933,102
12,0,25936,Alex Aragon,302.6,36914,122
13,0,27770,Camilo Villegas,302.1,56183,186
14,0,01706,Davis Love III,301.9,45884,152
15,0,01226,Fred Couples,301.5,30150,100
16,0,24502,Adam Scott,301.1,40949,136
17,0,01810,Phil Mickelson,300.7,41498,138
18,0,27095,Nick Watney,300.6,57113,190
19,0,27943,Matt Hansen,300.5,39670,132
20,0,23349,Charles Warren,300.1,54018,180
21,0,11123,Chris Couch,299.7,44959,150
22,0,22892,Jason Gore,299.6,50333,168
23,0,25900,Lucas Glover,299.4,60477,202
24,0,02106,Chris Smith,299.2,40095,134
24,0,23307,Roger Tambellini,299.2,36501,122
26,0,28475,Jeff Overton,299.1,55629,186
27,0,26360,Bubba Dickerson,298.8,57369,192
28,0,27120,Troy Matteson,298.7,60346,202
29,0,20850,Daniel Chopra,298.5,63885,214
30,0,08835,Kris Cox,298.4,48348,162
30,0,24361,Pat Perez,298.4,29844,100
32,0,25842,Jon Mills,298.2,39362,132
33,0,24925,Jonathan Byrd,298.1,39350,132
34,0,20157,Retief Goosen,297.6,35711,120
35,0,09011,David Duval,297.4,41035,138
35,0,23623,Bo Van Pelt,297.4,60663,204
37,0,06573,Brandt Jobe,297.2,52303,176
38,0,25632,Jimmy Walker,296.9,34441,116
39,0,22946,Henrik Bjornstad,296.8,56392,190
40,0,07223,Brian Bateman,296.7,38573,130
40,0,24924,Bill Haas,296.7,56973,192
40,0,24912,Will MacKenzie,296.7,52226,176
43,0,23409,James Driscoll,296.4,47418,160
44,0,20645,John Senden,296.2,55096,186
45,0,20574,Mathew Goggin,296.0,41438,140
46,0,23353,J.J. Henry,295.9,55032,186
47,0,23320,Ryan Palmer,295.8,58568,198
48,0,23614,Rich Beem,295.6,49077,166
48,0,28780,Nicholas Thompson,295.6,54984,186
50,0,22913,John Rollins,295.5,53786,182
51,0,21961,Charles Howell III,295.4,54939,186
51,0,08375,Paul Stankowski,295.4,41360,140
53,0,22046,Geoff Ogilvy,295.3,41336,140
54,0,06522,Ernie Els,295.1,37768,128
54,0,20378,Mathias Grönberg,295.1,52528,178
54,0,20691,Greg Owen,295.1,45441,154
