RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,22892,Jason Gore,427,Mercedes Champ,3,12,656
2,0,20098,Stuart Appleby,426,Mercedes Champ,1,12,656
2,0,20848,Ángel Cabrera,426,WGC-Bridgestone,2,16,036
4,0,24980,Scott Gutschewski,425,Texas Open,2,11,625
5,0,26360,Bubba Dickerson,420,Texas Open,4,1,625
6,0,21805,Harrison Frazar,416,Texas Open,4,1,625
7,0,27141,J.B. Holmes,413,WGC-Bridgestone,2,16,036
8,0,12716,Charley Hoffman,411,Texas Open,3,11,625
9,0,07013,Wes Short Jr.,410,Mercedes Champ,4,12,656
10,0,25900,Lucas Glover,409,Mercedes Champ,3,12,656
10,0,22046,Geoff Ogilvy,409,Mercedes Champ,3,12,656
13,0,25345,Carl Pettersson,406,Mercedes Champ,4,12,656
14,0,21209,Sergio Garcia,405,Mercedes Champ,4,12,656
16,0,23063,Scott Hend,404,Honda Classic,2,17,710
16,0,06573,Brandt Jobe,404,Texas Open,4,14,625
19,0,20850,Daniel Chopra,403,Bob Hope Chrysl,5,9,723
19,0,10565,Ian Leggatt,403,Bob Hope Chrysl,2,9,723
23,0,12823,Carlos Franco,402,Zurich Classic,3,7,511
23,0,21528,Henrik Stenson,402,WGC-Bridgestone,2,16,036
29,0,01706,Davis Love III,400,WGC-Bridgestone,1,16,036
31,0,27943,Matt Hansen,399,Texas Open,2,11,625
31,0,06567,Vijay Singh,399,Mercedes Champ,3,12,656
33,0,20686,Jeev Milkha Singh,398,Reno-Tahoe Open,2,9,660
33,0,25804,Bubba Watson,398,Sony Open,4,12,006
36,0,06809,Bob Burns,397,Texas Open,1,1,625
36,0,01249,John Daly,397,Honda Classic,1,7,710
36,0,10809,Jim Furyk,397,Mercedes Champ,3,12,656
36,0,23320,Ryan Palmer,397,Texas Open,4,1,625
36,0,21660,Jason Schultz,397,Reno-Tahoe Open,2,9,660
36,0,23623,Bo Van Pelt,397,Tucson,3,18,101
43,0,23552,Hank Kuehne,396,Honda Classic,2,6,710
43,0,20634,Peter Lonard,396,Mercedes Champ,1,18,656
43,0,24140,Sean O'Hair,396,Mercedes Champ,2,12,656
43,0,01948,Tim Petrovic,396,Mercedes Champ,4,12,656
47,0,23048,Eric Axley,395,Texas Open,2,11,625
47,0,20400,Michael Campbell,395,Mercedes Champ,1,12,656
47,0,20094,Jonathan Kaye,395,Texas Open,4,1,625
47,0,02131,Mike Springer,395,Texas Open,2,11,625
47,0,28780,Nicholas Thompson,395,Texas Open,2,11,625
53,0,02206,David Toms,394,Mercedes Champ,1,18,656
53,0,08793,Tiger Woods,394,WGC-Bridgestone,2,16,036
56,0,27120,Troy Matteson,393,Bob Hope Chrysl,5,9,723
56,0,28475,Jeff Overton,393,Sony Open,1,16,006
56,0,02223,Bob Tway,393,Texas Open,2,11,625
56,0,27770,Camilo Villegas,393,Honda Classic,1,12,710
66,0,27088,Johan Edfors,392,WGC-Bridgestone,1,16,036
69,0,10944,Thomas Bjørn,391,WGC-Bridgestone,1,13,036
69,0,12510,Chad Campbell,391,Bob Hope Chrysl,5,9,723
69,0,23673,Michael Connell,391,Texas Open,2,11,625
69,0,10733,Kent Jones,391,Texas Open,4,1,625
69,0,06515,Shaun Micheel,391,Texas Open,1,14,625
69,0,24361,Pat Perez,391,Bob Hope Chrysl,5,9,723
69,0,24502,Adam Scott,391,WGC-Bridgestone,3,16,036
69,0,12755,Vance Veazey,391,84 LUMBER,4,5,696
78,0,08931,Glen Day,390,Reno-Tahoe Open,2,8,660
78,0,23409,James Driscoll,390,Honda Classic,1,17,710
78,0,22378,Trevor Immelman,390,WGC-Bridgestone,3,18,036
78,0,23497,Tag Ridings,390,Texas Open,2,11,625
78,0,23788,D.J. Trahan,390,Texas Open,4,14,625
83,0,25936,Alex Aragon,389,EDS B. Nelson,2,4,019
83,0,01042,Paul Azinger,389,Texas Open,1,11,625
83,0,24507,Jason Bohn,389,Mercedes Champ,2,12,656
83,0,08835,Kris Cox,389,Texas Open,1,11,625
83,0,24358,Robert Garrigus,389,Bob Hope Chrysl,5,9,723
83,0,21007,Gabriel Hjertstedt,389,Reno-Tahoe Open,2,10,660
83,0,06012,Greg Kraft,389,Texas Open,4,1,625
83,0,20628,Arron Oberholser,389,WGC-Bridgestone,4,8,036
83,0,21959,Ted Purdy,389,Mercedes Champ,1,18,656
83,0,27415,Jeremy Tucker,389,Sony Open,2,1,006
83,0,12602,Dean Wilson,389,Bob Hope Chrysl,5,9,723
94,0,08537,J.P. Hayes,388,Texas Open,4,1,625
94,0,23616,Ryan Hietala,388,B.C. Open,1,2,730
94,0,22405,Justin Rose,388,Texas Open,4,1,625
94,0,22548,Patrick Sheehan,388,Bob Hope Chrysl,2,9,723
100,0,20574,Mathew Goggin,387,Bob Hope Chrysl,2,18,723
100,0,06643,Paul Goydos,387,Texas Open,1,11,625
108,0,21407,Arjun Atwal,386,Bob Hope Chrysl,5,9,723
108,0,24925,Jonathan Byrd,386,Honda Classic,2,6,710
108,0,21753,Brian Davis,386,Reno-Tahoe Open,1,9,660
108,0,20378,Mathias Grönberg,386,Honda Classic,2,17,710
108,0,01945,Kenny Perry,386,Mercedes Champ,4,12,656
108,0,08375,Paul Stankowski,386,Reno-Tahoe Open,1,9,660
116,0,22946,Henrik Bjornstad,385,Honda Classic,1,17,710
116,0,19972,José Coceres,385,Texas Open,2,11,625
116,0,01226,Fred Couples,385,Honda Classic,2,17,710
116,0,01771,Blaine McCallister,385,Texas Open,4,1,625
116,0,12660,Jesper Parnevik,385,Bob Hope Chrysl,5,9,723
116,0,26331,Charl Schwartzel,385,WGC-Bridgestone,2,16,036
127,0,28089,Jason Day,384,Texas Open,2,11,625
127,0,09011,David Duval,384,Bob Hope Chrysl,5,9,723
136,0,01161,Mark Calcavecchia,383,Mercedes Champ,4,12,656
136,0,29718,Anthony Kim,383,Texas Open,4,1,625
136,0,10860,Justin Leonard,383,Mercedes Champ,1,18,656
136,0,20645,John Senden,383,Texas Open,4,1,625
145,0,06034,Marco Dawson,382,Texas Open,4,14,625
145,0,24781,Hunter Mahan,382,Texas Open,2,1,625
145,0,21949,Joe Ogilvie,382,Reno-Tahoe Open,2,8,660
145,0,02246,Duffy Waldorf,382,Reno-Tahoe Open,1,10,660
158,0,21646,David Branshaw,381,Bob Hope Chrysl,5,9,723
158,0,01139,Olin Browne,381,Mercedes Champ,4,12,656
158,0,20105,Jeff Gove,381,Sony Open,1,1,006
158,0,24138,Ian Poulter,381,WGC-Bridgestone,2,16,036
158,0,02101,Joey Sindelar,381,84 LUMBER,2,6,696
158,0,23349,Charles Warren,381,FBR Open,2,13,510
170,0,24357,K.J. Choi,380,WGC-Bridgestone,2,18,036
170,0,19881,Robert Damron,380,Texas Open,4,1,625
170,0,01468,Gary Hallberg,380,Texas Open,4,14,625
181,0,08075,Jerry Kelly,379,Texas Open,4,1,625
194,0,10885,Robert Allenby,378,Honda Classic,1,12,710
