RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,25804,Bubba Watson,52.53,83,158,-0.31
2,0,27141,J.B. Holmes,45.52,61,134,-0.49
3,0,24358,Robert Garrigus,30.72,51,166,-0.27
4,0,23497,Tag Ridings,25.51,50,196,-0.16
5,0,08793,Tiger Woods,25.00,19,76,-0.42
6,0,23616,Ryan Hietala,23.73,28,118,-0.18
7,0,23322,Brett Wetterich,23.72,37,156,-0.32
8,0,01226,Fred Couples,23.68,18,76,-0.06
9,0,25936,Alex Aragon,22.95,28,122,-0.04
10,0,21805,Harrison Frazar,21.26,37,174,-0.62
10,0,27770,Camilo Villegas,21.26,37,174,-0.41
12,0,01249,John Daly,20.93,18,86,-0.28
13,0,12716,Charley Hoffman,19.68,37,188,-0.32
14,0,09011,David Duval,19.30,22,114,-0.45
15,0,27095,Nick Watney,18.42,35,190,-0.29
16,0,01706,Davis Love III,17.97,23,128,-0.39
17,0,22892,Jason Gore,17.50,28,160,-0.50
18,0,24980,Scott Gutschewski,16.67,17,102,-0.35
19,0,23353,J.J. Henry,16.47,28,170,-0.50
20,0,24502,Adam Scott,16.35,17,104,-0.41
21,0,28475,Jeff Overton,16.13,30,186,-0.10
22,0,11123,Chris Couch,15.75,23,146,-0.35
23,0,25900,Lucas Glover,15.38,28,182,-0.43
24,0,25842,Jon Mills,15.15,20,132,-0.20
25,0,24781,Hunter Mahan,14.89,28,188,-0.46
26,0,08835,Kris Cox,14.81,24,162,-0.29
27,0,23614,Rich Beem,14.79,21,142,-0.43
28,0,25632,Jimmy Walker,14.66,17,116,-0.59
29,0,23623,Bo Van Pelt,14.58,28,192,-0.46
30,0,27120,Troy Matteson,14.36,29,202,-0.38
31,0,02106,Chris Smith,14.18,19,134,-0.11
32,0,24925,Jonathan Byrd,13.71,17,124,-0.29
33,0,22946,Henrik Bjornstad,13.68,26,190,-0.27
34,0,27943,Matt Hansen,13.64,18,132,-0.06
35,0,20850,Daniel Chopra,13.59,28,206,-0.32
36,0,08375,Paul Stankowski,13.57,19,140,-0.21
37,0,24361,Pat Perez,13.54,13,96,-0.08
38,0,12823,Carlos Franco,13.37,23,172,-0.43
39,0,01810,Phil Mickelson,13.21,14,106,-0.50
40,0,20766,Padraig Harrington,13.16,10,76,-0.60
41,0,26596,Ryan Moore,13.11,16,122,-0.19
42,0,24912,Will MacKenzie,13.07,23,176,-0.39
43,0,20157,Retief Goosen,13.04,12,92,-0.33
44,0,23349,Charles Warren,12.79,22,172,-0.50
45,0,26360,Bubba Dickerson,12.50,24,192,-0.25
45,0,24924,Bill Haas,12.50,24,192,-0.21
45,0,06573,Brandt Jobe,12.50,19,152,-0.21
48,0,23048,Eric Axley,12.36,22,178,-0.23
49,0,21961,Charles Howell III,12.35,21,170,-0.24
50,0,23307,Roger Tambellini,12.30,15,122,E
51,0,20574,Mathew Goggin,12.12,16,132,-0.25
52,0,01945,Kenny Perry,12.10,15,124,-0.07
53,0,28780,Nicholas Thompson,12.09,22,182,-0.41
54,0,22046,Geoff Ogilvy,12.04,13,108,+0.15
55,0,20094,Jonathan Kaye,11.96,22,184,-0.45
56,0,19824,Craig Barlow,11.94,16,134,-0.44
57,0,20378,Mathias Grönberg,11.80,21,178,-0.05
58,0,23320,Ryan Palmer,11.58,22,190,-0.27
59,0,10885,Robert Allenby,11.48,14,122,-0.29
60,0,06522,Ernie Els,11.46,11,96,-0.36
61,0,22378,Trevor Immelman,11.18,17,152,-0.47
61,0,10565,Ian Leggatt,11.18,17,152,-0.35
63,0,22913,John Rollins,10.92,19,174,-0.58
64,0,20229,Stewart Cink,10.81,16,148,-0.25
65,0,12782,Tim Herron,10.45,14,134,-0.50
66,0,07013,Wes Short Jr.,10.33,19,184,-0.63
67,0,12760,Danny Ellis,10.16,13,128,-0.46
68,0,07223,Brian Bateman,10.00,13,130,-0.31
68,0,23409,James Driscoll,10.00,16,160,-0.56
68,0,21660,Jason Schultz,10.00,15,150,-0.13
71,0,06595,Kevin Sutherland,9.90,19,192,E
72,0,20691,Greg Owen,9.86,14,142,-0.50
73,0,24357,K.J. Choi,9.76,16,164,-0.31
74,0,20645,John Senden,9.20,16,174,-0.44
75,0,12510,Chad Campbell,8.90,13,146,-0.62
76,0,06350,Bob May,8.87,11,124,E
77,0,25240,D.A. Points,8.75,14,160,-0.21
77,0,23325,Vaughn Taylor,8.75,14,160,-0.36
