RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,01072,Chip Beck,11,2,9
1,0,01958,Dan Pohl,11,4,7
3,0,01725,John Mahaffey,13,5,8
4,0,01690,Bruce Lietzke,15,12,3
5,0,02049,Gene Sauers,16,11,5
6,0,01783,Mark McCumber,17,7,10
7,0,01837,Gil Morgan,22,9,13
8,0,01060,Dave Barr,27,25,2
9,0,01378,David Frost,32,6,26
10,0,01418,Bill Glasson,34,23,11
11,0,01006,John Adams,37,36,1
12,0,02146,Payne Stewart,38,3,35
13,0,02241,Bobby Wadkins,39,14,25
14,0,01569,Peter Jacobsen,43,13,30
15,0,02303,Robert Wrenn,46,27,19
16,0,01226,Fred Couples,47,26,21
17,0,01633,Tom Kite,50,35,15
17,0,01945,Kenny Perry,50,10,40
19,0,06284,Jim Hallet,51,24,27
20,0,02256,Tom Watson,52,16,36
21,0,02101,Joey Sindelar,53,20,33
22,0,01975,Tom Purtzer,56,33,23
23,0,02033,Dave Rummells,63,19,44
24,0,02321,Fuzzy Zoeller,64,21,43
25,0,01385,Jim Gallagher Jr.,68,39,29
26,0,02100,Tim Simpson,69,53,16
27,0,01971,Dillard Pruitt,71,59,12
28,0,01935,Calvin Peete,73,67,6
29,0,01475,Donnie Hammond,77,45,32
30,0,01682,Wayne Levi,81,61,20
31,0,01444,Ken Green,83,14,69
31,0,01797,Rocco Mediate,83,65,18
33,0,02246,Duffy Waldorf,85,28,57
34,0,01926,Steve Pate,87,37,50
35,0,01887,Mark O'Meara,88,31,57
36,0,02279,Mark Wiebe,89,44,45
37,0,01527,Scott Hoch,93,65,28
38,0,01133,Billy Ray Brown,94,46,48
39,0,01035,Tommy Armour III,95,57,38
40,0,01042,Paul Azinger,101,49,52
41,0,01156,Curt Byrum,103,30,73
41,0,01864,Larry Nelson,103,17,86
43,0,01435,Wayne Grady,104,57,47
43,0,01549,Mike Hulbert,104,87,17
45,0,01143,Brad Bryant,106,84,22
45,0,02186,Brian Tennyson,106,33,73
47,0,01203,Russ Cochran,107,69,38
47,0,02159,Curtis Strange,107,46,61
49,0,01201,Lennie Clements,108,38,70
50,0,02170,Hal Sutton,111,62,49
51,0,01706,Davis Love III,113,22,91
52,0,01161,Mark Calcavecchia,115,53,62
52,0,01235,Ben Crenshaw,115,101,14
54,0,01701,Bob Lohr,117,86,31
54,0,01877,Tim Norris,117,113,4
56,0,01014,Fulton Allem,118,77,41
57,0,02190,Doug Tewell,120,64,56
58,0,01157,Tom Byrum,126,67,59
58,0,01968,Nick Price,126,18,108
60,0,01876,Greg Norman,128,1,127
61,0,01736,Roger Maltbie,129,70,59
61,0,01771,Blaine McCallister,129,42,87
63,0,02223,Bob Tway,130,42,88
64,0,01996,Mike Reid,132,78,54
65,0,01469,Dan Halldorson,137,74,63
65,0,02267,D.A. Weibring,137,73,64
67,0,01457,Jay Haas,138,101,37
68,0,02010,Loren Roberts,143,109,34
