RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,40009,Dominic Bozzelli,36.61,149,407
2,1,29221,Webb Simpson,36.31,240,661
3,2,33448,Justin Thomas,35.64,294,825
4,-2,47959,Bryson DeChambeau,35.52,271,763
5,-1,34360,Patrick Reed,35.37,307,868
6,0,40026,Daniel Berger,35.24,271,769
7,0,30925,Dustin Johnson,35.20,214,608
8,1,22405,Justin Rose,34.88,150,430
9,4,28237,Rory McIlroy,34.47,252,731
10,4,34363,Tyrrell Hatton,34.42,180,523
11,-1,35658,Kris Ventura,34.40,183,532
12,0,28252,Seamus Power,34.34,137,399
13,-3,46046,Scottie Scheffler,34.28,349,1018
14,1,47993,Denny McCarthy,34.19,319,933
15,1,12716,Charley Hoffman,33.79,245,725
16,1,34213,Grayson Murray,33.74,139,412
17,1,51766,Wyndham Clark,33.72,231,685
17,1,34046,Jordan Spieth,33.72,234,694
19,1,34563,Chesson Hadley,33.52,245,731
20,1,29268,Bronson Burgoon,33.49,213,636
21,1,29926,Danny Lee,33.46,272,813
22,1,35450,Patrick Cantlay,33.45,189,565
23,1,24138,Ian Poulter,33.40,180,539
24,1,46970,Jon Rahm,33.38,244,731
25,0,32102,Rickie Fowler,33.33,175,525
26,10,48081,Xander Schauffele,33.30,297,892
27,8,35891,Cameron Smith,33.29,245,736
28,0,39971,Sungjae Im,33.27,377,1133
29,0,29725,Tony Finau,33.26,296,890
30,2,46442,Maverick McNealy,33.11,298,900
31,2,52372,Cameron Champ,32.98,281,852
32,2,22371,Aaron Baddeley,32.97,181,549
33,4,28307,Matt Every,32.76,172,525
34,4,27644,Brian Harman,32.75,301,919
35,9,23320,Ryan Palmer,32.71,263,804
36,3,51894,Vince Whaley,32.68,149,456
37,18,50525,Collin Morikawa,32.66,323,989
38,2,49771,J.T. Poston,32.64,296,907
39,2,31323,Gary Woodland,32.63,248,760
40,-9,46717,Viktor Hovland,32.60,296,908
41,-14,25396,Kevin Na,32.59,263,807
42,0,45157,Cam Davis,32.55,234,719
42,0,32757,Patton Kizzire,32.55,208,639
44,8,48822,Sebastián Muñoz,32.44,325,1002
45,0,32254,Xinjun Zhang,32.42,296,913
46,0,19846,Brian Gay,32.38,237,732
47,0,01810,Phil Mickelson,32.36,188,581
48,0,23325,Vaughn Taylor,32.33,226,699
49,1,31420,Anirban Lahiri,32.32,138,427
50,1,47504,Sam Burns,32.28,225,697
51,2,34466,Peter Malnati,32.24,206,639
52,4,56278,Matthew Wolff,32.17,286,889
53,4,37455,Si Woo Kim,32.15,280,871
54,-6,32839,Hideki Matsuyama,32.05,291,908
55,3,32366,Kevin Chappell,32.02,154,481
56,4,35310,Lanto Griffin,31.98,346,1082
57,2,27963,Chris Stroud,31.96,171,535
58,8,29420,Billy Horschel,31.81,299,940
59,3,27349,Alex Noren,31.69,206,650
60,3,36801,Mark Hubbard,31.68,326,1029
61,3,23108,Matt Kuchar,31.65,207,654
62,3,39546,Keith Mitchell,31.59,236,747
62,-1,30927,Brendon Todd,31.59,320,1013
64,3,37275,Sam Ryder,31.50,263,835
65,3,47128,Richy Werenski,31.49,211,670
66,3,29484,Peter Uihlein,31.43,165,525
66,3,27064,Jhonattan Vegas,31.43,198,630
68,3,36689,Brooks Koepka,31.39,151,481
69,4,29518,Brendan Steele,31.38,246,784
70,1,45526,Abraham Ancer,31.35,279,890
71,3,32139,Danny Willett,31.33,141,450
72,3,28089,Jason Day,31.28,193,617
73,10,29478,Kevin Kisner,31.27,268,857
74,3,26499,Rafa Cabrera Bello,31.20,190,609
75,3,24502,Adam Scott,31.18,145,465
76,3,25900,Lucas Glover,31.16,258,828
77,-1,45486,Joaquin Niemann,31.15,295,947
77,3,39324,J.J. Spaun,31.15,214,687
79,2,30692,Scott Stallings,31.14,260,835
80,2,33948,Byeong Hun An,31.11,275,884
81,3,46402,Talor Gooch,31.07,311,1001
82,3,27330,Josh Teater,31.05,163,525
83,3,26300,Matt Jones,31.01,280,903
84,3,36699,Patrick Rodgers,30.99,339,1094
84,3,27095,Nick Watney,30.99,172,555
86,3,34076,Joel Dahmen,30.91,280,906
87,3,32618,Rhein Gibson,30.89,181,586
88,25,35506,Mackenzie Hughes,30.87,246,797
88,3,35449,Adam Long,30.87,330,1069
90,2,19803,Ryan Armour,30.83,218,707
91,2,27214,Kevin Streelman,30.81,273,886
92,2,46550,Brandon Hagy,30.77,172,559
93,2,25632,Jimmy Walker,30.68,158,515
94,2,35230,Nelson Ledesma,30.67,138,450
95,2,37189,Harold Varner III,30.64,288,940
96,2,40098,Matt Fitzpatrick,30.63,196,640
97,2,48887,Matt Wallace,30.62,154,503
98,2,35532,Tom Hoge,30.58,267,873
98,2,53165,Doc Redman,30.58,319,1043
100,3,39977,Max Homa,30.54,248,812
100,3,35617,Martin Trainer,30.54,131,429
102,3,33449,Zack Sucher,30.47,135,443
103,3,32791,K.H. Lee,30.45,257,844
104,12,34099,Harris English,30.44,295,969
104,3,26596,Ryan Moore,30.44,165,542
106,2,40058,Zac Blair,30.41,229,753
106,2,56762,Will Gordon,30.41,125,411
108,2,30911,Tommy Fleetwood,30.37,147,484
109,2,30163,Henrik Norlander,30.35,285,939
110,4,29970,Dylan Frittelli,30.27,293,968
111,4,47347,Adam Schenk,30.24,277,916
112,4,35732,Wes Roach,30.18,147,487
113,5,27554,Scott Harrington,30.16,238,789
114,5,33667,Carlos Ortiz,30.15,259,859
115,5,46441,Robby Shelton,30.08,256,851
116,5,26329,Louis Oosthuizen,30.07,169,562
117,5,35461,Beau Hossler,30.01,235,783
117,5,32640,Troy Merritt,30.01,244,813
119,5,21209,Sergio Garcia,30.00,162,540
120,5,24024,Zach Johnson,29.99,224,747
120,5,31560,Brian Stuard,29.99,284,947
122,5,33419,Cameron Tringale,29.95,236,788
123,5,33597,Harry Higgs,29.92,295,986
124,5,40042,Tyler McCumber,29.91,189,632
125,5,34314,Sebastian Cappelen,29.90,183,612
126,5,33410,Andrew Landry,29.89,217,726
127,5,28420,Ryan Brehm,29.87,184,616
128,5,27974,Sung Kang,29.86,255,854
129,5,39953,Chase Seiffert,29.85,197,660
130,5,49960,Sepp Straka,29.81,251,842
131,5,27649,Brandt Snedeker,29.73,187,629
132,5,45609,Tyler Duncan,29.72,299,1006
133,5,25493,Nick Taylor,29.66,210,708
134,5,48045,Michael Gellerman,29.65,153,516
135,5,23788,D.J. Trahan,29.64,171,577
136,5,23621,Rory Sabbatini,29.59,229,774
137,5,32662,Michael Gligic,29.53,171,579
138,5,25804,Bubba Watson,29.50,236,800
139,7,26851,Marc Leishman,29.46,198,672
140,4,21961,Charles Howell III,29.43,251,853
141,4,27129,Luke List,29.35,253,862
142,5,49766,Hank Lebioda,29.28,195,666
143,5,46435,Austin Cook,29.21,215,736
143,5,49964,Aaron Wise,29.21,170,582
145,5,33413,Ben Martin,29.20,127,435
146,5,34255,Joseph Bramlett,29.19,195,668
147,5,36871,Matthew NeSmith,29.16,249,854
148,5,33399,Adam Hadwin,29.15,232,796
149,5,29974,Branden Grace,29.11,147,505
150,5,30944,Jason Kokrak,29.02,222,765
151,5,20229,Stewart Cink,29.01,181,624
152,5,28679,Fabián Gómez,28.96,190,656
153,5,31646,Emiliano Grillo,28.95,242,836
154,5,25818,Scott Piercy,28.89,221,765
155,5,24361,Pat Perez,28.84,201,697
156,5,30110,Kyle Stanley,28.76,199,692
157,5,32448,James Hahn,28.73,129,449
158,5,32150,Michael Thompson,28.63,207,723
159,5,25572,Graeme McDowell,28.52,156,547
159,5,32333,Kevin Tway,28.52,154,540
161,5,39997,Corey Conners,28.50,271,951
162,5,25364,Paul Casey,28.49,202,709
162,5,25349,Tim Wilkinson,28.49,159,558
164,5,34431,Robert Streb,28.48,172,604
165,5,33486,Roger Sloan,28.43,170,598
166,5,33204,Shane Lowry,28.42,156,549
167,5,26758,David Hearn,28.38,174,613
168,5,28775,Nate Lashley,28.36,171,603
169,5,29479,Scott Brown,28.34,210,741
170,7,22056,Cameron Percy,28.24,159,563
171,7,29535,Brice Garnett,28.12,205,729
172,7,34256,Andrew Putnam,28.03,148,528
173,7,33490,Bo Hoag,28.00,236,843
174,7,27936,Martin Laird,27.90,137,491
175,7,33122,Russell Knox,27.83,221,794
176,7,27556,Ted Potter Jr.,27.71,151,545
177,7,33141,Keegan Bradley,27.65,224,810
178,7,24924,Bill Haas,27.64,152,550
179,7,34021,Bud Cauley,27.62,198,717
180,7,21407,Arjun Atwal,27.37,101,369
181,7,52375,Doug Ghim,27.20,136,500
182,7,27942,Rob Oppenheim,27.14,193,711
183,7,33404,Chris Baker,26.95,166,616
183,7,34098,Russell Henley,26.95,218,809
185,7,48119,Ben Taylor,26.78,139,519
186,7,26476,Chez Reavie,26.46,245,926
187,7,31557,Jim Herman,26.34,182,691
188,8,49298,Kramer Hickok,25.90,151,583
189,8,25686,Jason Dufner,25.76,195,757
190,8,33120,Mark Anderson,25.40,143,563
191,8,29908,C.T. Pan,25.30,171,676
192,8,23623,Bo Van Pelt,24.90,125,502
193,8,10809,Jim Furyk,24.81,129,520
