RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,35658,Kris Ventura,103.59,390,30,374
2,0,40098,Matt Fitzpatrick,102.70,592,29,579
2,0,46442,Maverick McNealy,102.70,779,39,761
4,0,47993,Denny McCarthy,102.69,891,43,872
5,0,30911,Tommy Fleetwood,102.56,390,16,384
6,0,56762,Will Gordon,102.22,316,18,305
7,0,32640,Troy Merritt,102.13,752,30,738
8,0,46970,Jon Rahm,101.99,806,28,794
9,0,29420,Billy Horschel,101.94,824,33,807
10,1,34256,Andrew Putnam,101.86,431,16,423
11,7,35506,Mackenzie Hughes,101.76,851,37,829
12,0,52375,Doug Ghim,101.73,404,12,399
13,4,29478,Kevin Kisner,101.68,772,31,754
14,-1,48045,Michael Gellerman,101.67,418,23,402
15,-5,47959,Bryson DeChambeau,101.66,845,33,826
16,-1,39953,Chase Seiffert,101.59,504,19,493
17,-1,29535,Brice Garnett,101.55,647,22,635
18,14,34363,Tyrrell Hatton,101.48,472,18,461
19,0,32618,Rhein Gibson,101.44,485,20,472
19,0,47128,Richy Werenski,101.44,693,28,675
21,0,24502,Adam Scott,101.40,428,19,415
22,4,45526,Abraham Ancer,101.39,790,30,771
23,16,30925,Dustin Johnson,101.38,650,28,631
24,-2,10809,Jim Furyk,101.33,527,22,512
25,-2,30927,Brendon Todd,101.16,1036,46,1002
26,-1,29221,Webb Simpson,101.15,696,31,673
27,-1,33410,Andrew Landry,101.08,834,31,812
27,-1,30692,Scott Stallings,101.08,740,25,723
29,1,48081,Xander Schauffele,101.07,844,26,827
30,-1,32102,Rickie Fowler,101.06,566,21,551
31,9,35891,Cameron Smith,101.03,774,25,757
32,0,51766,Wyndham Clark,100.95,632,20,618
33,19,29725,Tony Finau,100.93,858,35,831
34,0,34466,Peter Malnati,100.91,657,23,640
35,0,46435,Austin Cook,100.89,675,24,657
36,0,32139,Danny Willett,100.88,453,14,443
37,0,36699,Patrick Rodgers,100.86,1042,39,1012
38,0,33490,Bo Hoag,100.85,702,22,686
39,2,31323,Gary Woodland,100.82,734,25,715
40,2,24024,Zach Johnson,100.79,756,25,737
40,2,28775,Nate Lashley,100.79,629,20,614
42,2,36871,Matthew NeSmith,100.78,765,25,746
43,2,33486,Roger Sloan,100.75,536,18,522
44,2,01810,Phil Mickelson,100.74,544,12,536
45,2,23108,Matt Kuchar,100.73,687,19,673
46,16,34360,Patrick Reed,100.67,901,31,876
47,3,35450,Patrick Cantlay,100.65,618,21,601
48,3,22056,Cameron Percy,100.64,472,14,461
49,8,25396,Kevin Na,100.63,792,29,768
50,3,27644,Brian Harman,100.60,1002,24,984
51,3,26758,David Hearn,100.57,525,17,511
52,3,46402,Talor Gooch,100.56,1068,36,1038
53,3,29479,Scott Brown,100.55,724,26,702
54,3,26329,Louis Oosthuizen,100.54,551,18,536
55,-7,34099,Harris English,100.53,938,29,914
56,4,35449,Adam Long,100.50,1006,32,979
57,4,29268,Bronson Burgoon,100.49,612,22,593
57,2,46717,Viktor Hovland,100.49,809,28,785
59,3,27349,Alex Noren,100.47,643,21,625
60,4,34076,Joel Dahmen,100.44,902,32,874
61,4,33667,Carlos Ortiz,100.43,932,26,910
62,4,19846,Brian Gay,100.42,706,23,686
63,4,34314,Sebastian Cappelen,100.40,505,15,492
64,4,33120,Mark Anderson,100.38,527,15,514
64,4,37275,Sam Ryder,100.38,789,24,768
66,4,35461,Beau Hossler,100.29,696,26,672
67,4,27649,Brandt Snedeker,100.28,705,25,682
68,4,30944,Jason Kokrak,100.27,737,21,718
69,4,47347,Adam Schenk,100.26,773,19,756
70,4,39977,Max Homa,100.25,816,17,801
71,25,33448,Justin Thomas,100.24,834,22,814
72,3,49960,Sepp Straka,100.23,878,29,851
73,3,32757,Patton Kizzire,100.15,667,20,648
74,3,25493,Nick Taylor,100.14,706,20,687
75,4,47504,Sam Burns,100.13,766,22,745
76,4,21407,Arjun Atwal,100.00,289,11,278
76,1,40026,Daniel Berger,100.00,760,19,741
76,4,26499,Rafa Cabrera Bello,100.00,561,18,543
76,4,28679,Fabián Gómez,100.00,552,23,529
76,4,32448,James Hahn,100.00,387,10,377
76,4,21961,Charles Howell III,100.00,720,24,696
76,4,36801,Mark Hubbard,100.00,1020,27,993
76,4,24361,Pat Perez,100.00,573,19,554
76,4,28252,Seamus Power,100.00,297,14,283
76,4,35732,Wes Roach,100.00,328,11,317
76,4,29518,Brendan Steele,100.00,795,25,770
76,4,27963,Chris Stroud,100.00,520,15,505
76,4,23325,Vaughn Taylor,100.00,620,18,602
89,5,33597,Harry Higgs,99.90,982,27,954
90,5,32150,Michael Thompson,99.88,805,20,784
91,6,25818,Scott Piercy,99.86,725,18,706
92,6,28089,Jason Day,99.82,571,15,555
92,6,48887,Matt Wallace,99.82,570,14,555
94,21,48822,Sebastián Muñoz,99.81,1076,32,1042
94,6,24138,Ian Poulter,99.81,513,14,498
96,6,31560,Brian Stuard,99.78,904,25,877
96,6,56278,Matthew Wolff,99.78,909,24,883
98,6,34021,Bud Cauley,99.76,825,20,803
99,6,27554,Scott Harrington,99.74,776,30,744
99,6,31557,Jim Herman,99.74,759,20,737
101,17,35310,Lanto Griffin,99.73,1119,36,1080
102,5,19803,Ryan Armour,99.70,658,25,631
102,5,53165,Doc Redman,99.70,1002,37,962
104,5,33413,Ben Martin,99.68,317,8,308
104,5,30110,Kyle Stanley,99.68,629,17,610
106,6,49771,J.T. Poston,99.66,885,33,849
107,-7,39971,Sungjae Im,99.65,1135,33,1098
107,6,32254,Xinjun Zhang,99.65,859,34,822
109,5,25572,Graeme McDowell,99.62,525,18,505
110,5,32791,K.H. Lee,99.61,776,22,751
111,-2,46046,Scottie Scheffler,99.60,1011,39,968
112,5,26300,Matt Jones,99.57,925,28,893
113,6,32839,Hideki Matsuyama,99.55,884,27,853
114,5,46441,Robby Shelton,99.52,826,23,799
115,6,48119,Ben Taylor,99.51,411,9,400
116,7,34255,Joseph Bramlett,99.47,570,16,551
117,7,35532,Tom Hoge,99.46,933,24,904
118,14,50525,Collin Morikawa,99.41,1010,29,975
118,7,49964,Aaron Wise,99.41,505,19,483
120,6,45609,Tyler Duncan,99.40,1000,36,958
121,6,22405,Justin Rose,99.36,466,12,451
121,6,29484,Peter Uihlein,99.36,468,15,450
123,6,25349,Tim Wilkinson,99.35,464,11,450
124,6,26851,Marc Leishman,99.33,751,24,722
125,5,34098,Russell Henley,99.29,844,24,814
126,6,36689,Brooks Koepka,99.27,547,17,526
127,7,51894,Vince Whaley,99.25,399,13,383
128,8,45157,Cam Davis,99.23,648,25,618
129,8,33419,Cameron Tringale,99.22,769,18,745
130,8,27556,Ted Potter Jr.,99.20,502,15,483
131,8,27095,Nick Watney,99.19,495,16,475
132,15,28237,Rory McIlroy,99.18,734,20,708
132,8,26596,Ryan Moore,99.18,489,14,471
134,7,40009,Dominic Bozzelli,99.13,344,11,330
134,7,40042,Tyler McCumber,99.13,572,19,548
134,7,39546,Keith Mitchell,99.13,693,20,667
134,7,30163,Henrik Norlander,99.13,801,20,774
138,7,29970,Dylan Frittelli,99.09,989,29,951
139,19,23320,Ryan Palmer,99.06,848,21,819
140,6,46550,Brandon Hagy,99.01,504,8,491
141,7,34046,Jordan Spieth,98.97,680,23,650
142,7,33399,Adam Hadwin,98.96,772,21,743
143,7,12716,Charley Hoffman,98.95,666,18,641
144,7,23623,Bo Van Pelt,98.93,468,11,452
145,7,34563,Chesson Hadley,98.92,651,15,629
146,7,27942,Rob Oppenheim,98.91,642,20,615
146,7,37189,Harold Varner III,98.91,829,18,802
148,7,40058,Zac Blair,98.90,724,23,693
148,7,25804,Bubba Watson,98.90,816,21,786
150,7,27064,Jhonattan Vegas,98.88,535,13,516
151,8,37455,Si Woo Kim,98.83,855,25,820
151,11,45486,Joaquin Niemann,98.83,940,21,908
153,7,32662,Michael Gligic,98.79,495,12,477
154,7,20229,Stewart Cink,98.77,650,15,627
155,8,52372,Cameron Champ,98.65,887,25,850
156,8,25364,Paul Casey,98.62,651,15,627
157,8,34431,Robert Streb,98.58,492,10,475
158,8,25632,Jimmy Walker,98.51,604,16,579
159,8,29926,Danny Lee,98.45,772,20,740
160,8,23788,D.J. Trahan,98.41,502,11,483
161,8,27936,Martin Laird,98.38,432,13,412
162,8,25900,Lucas Glover,98.37,736,19,705
163,8,33122,Russell Knox,98.35,728,16,700
164,8,27974,Sung Kang,98.34,901,18,868
165,8,22371,Aaron Baddeley,98.31,532,11,512
166,8,32366,Kevin Chappell,98.20,445,12,425
167,8,27214,Kevin Streelman,98.19,829,18,796
168,8,24924,Bill Haas,98.13,535,18,507
169,8,32333,Kevin Tway,98.11,528,9,509
170,8,27129,Luke List,98.06,876,29,830
171,8,33449,Zack Sucher,98.04,358,10,341
172,8,27330,Josh Teater,98.00,400,13,379
173,8,28307,Matt Every,97.99,597,20,565
173,8,39324,J.J. Spaun,97.99,697,16,667
175,8,26476,Chez Reavie,97.74,841,12,810
176,8,35230,Nelson Ledesma,97.71,349,7,334
177,8,49766,Hank Lebioda,97.69,606,24,568
178,8,34213,Grayson Murray,97.65,469,13,445
179,8,29974,Branden Grace,97.57,494,10,472
180,8,39997,Corey Conners,97.51,923,19,881
181,8,25686,Jason Dufner,97.50,839,17,801
182,8,23621,Rory Sabbatini,97.49,718,15,685
183,8,49298,Kramer Hickok,97.42,543,10,519
184,8,33141,Keegan Bradley,97.38,841,19,800
185,8,31646,Emiliano Grillo,97.14,733,13,699
186,8,33204,Shane Lowry,97.13,523,9,499
187,8,33404,Chris Baker,97.11,485,9,462
188,8,35617,Martin Trainer,97.00,566,10,539
189,8,33948,Byeong Hun An,96.95,885,16,842
190,8,29908,C.T. Pan,96.88,642,5,617
191,8,28420,Ryan Brehm,96.46,480,11,452
192,8,21209,Sergio Garcia,96.04,480,5,456
193,8,31420,Anirban Lahiri,95.18,332,5,311
