RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,12510,Chad Campbell,76.09,630,828,-120.00
2,0,27436,Graham DeLaet,75.17,866,1152,-216.00
3,0,10809,Jim Furyk,74.75,888,1188,-200.00
4,0,25444,Justin Hicks,74.63,1209,1620,-250.00
5,0,23353,J.J. Henry,74.07,1040,1404,-185.00
6,0,21209,Sergio Garcia,73.89,532,720,-142.00
7,0,29420,Billy Horschel,73.75,916,1242,-227.00
8,0,28237,Rory McIlroy,73.73,637,864,-224.00
9,0,26679,Kevin Stadler,73.68,862,1170,-217.00
10,0,27095,Nick Watney,73.61,742,1008,-175.00
11,0,33122,Russell Knox,73.43,1097,1494,-240.00
12,0,34264,Hudson Swafford,73.18,764,1044,-165.00
13,0,24502,Adam Scott,73.02,736,1008,-235.00
13,0,26289,Boo Weekley,73.02,736,1008,-131.00
15,0,24924,Bill Haas,72.97,1077,1476,-261.00
15,0,23623,Bo Van Pelt,72.97,880,1206,-199.00
17,0,25804,Bubba Watson,72.92,735,1008,-225.00
18,0,23108,Matt Kuchar,72.88,997,1368,-274.00
19,0,27933,John Merrick,72.84,944,1296,-194.00
20,0,21528,Henrik Stenson,72.81,498,684,-141.00
21,0,22293,Heath Slocum,72.76,812,1116,-163.00
22,0,10885,Robert Allenby,72.62,915,1260,-179.00
23,0,25632,Jimmy Walker,72.53,953,1314,-285.00
24,0,20645,John Senden,72.50,1057,1458,-270.00
25,0,27064,Jhonattan Vegas,72.48,835,1152,-172.00
26,0,34099,Harris English,72.30,963,1332,-254.00
27,0,20104,Ken Duke,72.22,858,1188,-183.00
27,0,30925,Dustin Johnson,72.22,533,738,-168.00
27,0,29425,Andrew Svoboda,72.22,858,1188,-197.00
30,0,32366,Kevin Chappell,72.16,1130,1566,-302.00
30,0,24024,Zach Johnson,72.16,1091,1512,-290.00
32,0,34021,Bud Cauley,72.10,597,828,-133.00
33,0,33418,Shawn Stefani,72.03,739,1026,-169.00
34,0,02206,David Toms,72.02,700,972,-164.00
35,0,30110,Kyle Stanley,71.91,932,1296,-159.00
36,0,25686,Jason Dufner,71.83,543,756,-138.00
36,0,36689,Brooks Koepka,71.83,543,756,-149.00
36,0,24490,George McNeill,71.83,905,1260,-238.00
36,0,29518,Brendan Steele,71.83,905,1260,-232.00
40,0,21961,Charles Howell III,71.81,1228,1710,-313.00
41,0,29222,Billy Hurley III,71.76,930,1296,-201.00
42,0,25900,Lucas Glover,71.75,607,846,-113.00
43,0,31323,Gary Woodland,71.61,941,1314,-239.00
44,0,25834,Daniel Summerhays,71.53,1133,1584,-293.00
44,0,34265,Will Wilcox,71.53,515,720,-122.00
46,0,26596,Ryan Moore,71.42,797,1116,-215.00
47,0,24781,Hunter Mahan,71.22,923,1296,-219.00
48,0,22405,Justin Rose,71.15,666,936,-184.00
49,0,33141,Keegan Bradley,71.14,858,1206,-230.00
49,0,20229,Stewart Cink,71.14,922,1296,-216.00
51,0,27770,Camilo Villegas,71.10,1075,1512,-275.00
52,0,28486,Michael Putnam,71.00,1163,1638,-259.00
53,0,33419,Cameron Tringale,70.92,1251,1764,-306.00
54,0,27936,Martin Laird,70.91,702,990,-178.00
55,0,12716,Charley Hoffman,70.83,969,1368,-274.00
56,0,28500,Martin Flores,70.75,866,1224,-195.00
57,0,29221,Webb Simpson,70.72,942,1332,-258.00
58,0,35541,John Peterson,70.71,700,990,-137.00
59,0,25345,Carl Pettersson,70.59,1080,1530,-252.00
60,0,20848,Ángel Cabrera,70.58,775,1098,-195.00
61,0,23320,Ryan Palmer,70.56,851,1206,-255.00
62,0,29479,Scott Brown,70.55,1054,1494,-278.00
63,0,29289,S.Y. Noh,70.44,951,1350,-236.00
64,0,34431,Robert Streb,70.40,811,1152,-205.00
64,0,28780,Nicholas Thompson,70.40,887,1260,-164.00
66,0,30944,Jason Kokrak,70.13,770,1098,-222.00
67,0,28475,Jeff Overton,70.03,832,1188,-202.00
68,0,27556,Ted Potter Jr.,70.00,756,1080,-153.00
69,0,06567,Vijay Singh,69.96,957,1368,-209.00
70,0,26758,David Hearn,69.92,1032,1476,-265.00
71,0,24358,Robert Garrigus,69.86,918,1314,-249.00
71,0,26331,Charl Schwartzel,69.86,679,972,-202.00
73,0,29478,Kevin Kisner,69.76,879,1260,-236.00
74,0,29535,Brice Garnett,69.73,979,1404,-234.00
75,0,34261,Scott Langley,69.69,991,1422,-248.00
76,0,27963,Chris Stroud,69.68,903,1296,-243.00
77,0,26851,Marc Leishman,69.57,864,1242,-230.00
78,0,23135,Tim Clark,69.53,776,1116,-186.00
79,0,24846,Ricky Barnes,69.52,976,1404,-243.00
80,0,33413,Ben Martin,69.49,788,1134,-202.00
81,0,24507,Jason Bohn,69.48,913,1314,-218.00
82,0,23638,Brendon de Jonge,69.44,1150,1656,-279.00
82,0,32839,Hideki Matsuyama,69.44,800,1152,-232.00
84,0,24361,Pat Perez,69.41,937,1350,-221.00
85,0,32640,Troy Merritt,69.39,687,990,-165.00
86,0,27214,Kevin Streelman,69.35,749,1080,-205.00
86,0,32150,Michael Thompson,69.35,749,1080,-195.00
88,0,32448,James Hahn,69.31,910,1313,-201.00
88,0,27644,Brian Harman,69.31,1260,1818,-339.00
90,0,25396,Kevin Na,69.30,973,1404,-263.00
91,0,08075,Jerry Kelly,69.28,823,1188,-214.00
92,0,24912,Will MacKenzie,69.25,910,1314,-236.00
93,0,32334,Charlie Beljan,69.24,835,1206,-209.00
94,0,27408,Martin Kaymer,69.21,598,864,-153.00
95,0,22046,Geoff Ogilvy,69.18,909,1314,-195.00
96,0,30750,Tommy Gainey,69.17,747,1080,-174.00
97,0,34174,John Huh,69.13,871,1260,-178.00
98,0,27330,Josh Teater,69.11,933,1350,-213.00
99,0,25364,Paul Casey,69.07,547,792,-163.00
100,0,22378,Trevor Immelman,69.05,832,1205,-175.00
101,0,01706,Davis Love III,68.96,782,1134,-169.00
101,0,25572,Graeme McDowell,68.96,571,828,-159.00
103,0,29740,Brad Fritsch,68.95,484,702,-116.00
104,0,31560,Brian Stuard,68.92,918,1332,-236.00
105,0,24925,Jonathan Byrd,68.80,805,1170,-182.00
105,0,30926,Chris Kirk,68.80,1065,1548,-305.00
107,0,29926,Danny Lee,68.76,854,1242,-204.00
108,0,31557,Jim Herman,68.75,594,864,-122.00
109,0,26329,Louis Oosthuizen,68.70,371,540,-75.00
110,0,32333,Kevin Tway,68.68,581,846,-114.00
111,0,01724,Jeff Maggert,68.56,543,792,-96.00
112,0,20498,Briny Baird,68.52,555,810,-114.00
113,0,32102,Rickie Fowler,68.46,764,1116,-223.00
113,0,30852,Ryo Ishikawa,68.46,764,1116,-223.00
115,0,20157,Retief Goosen,68.45,961,1404,-236.00
116,0,22913,John Rollins,68.41,825,1206,-163.00
117,0,31193,Jim Renner,68.38,640,936,-128.00
118,0,29461,Jamie Lovemark,68.32,578,846,-140.00
119,0,20098,Stuart Appleby,68.25,1032,1512,-264.00
120,0,21878,Mark Wilson,68.23,700,1026,-131.00
121,0,28259,Sangmoon Bae,68.21,798,1170,-221.00
122,0,30927,Brendon Todd,68.13,1116,1638,-285.00
123,0,27466,Spencer Levin,68.11,613,900,-131.00
124,0,23621,Rory Sabbatini,68.03,796,1170,-167.00
125,0,34409,David Lingmerth,67.99,820,1206,-199.00
126,0,23983,Luke Donald,67.93,538,792,-138.00
127,0,31202,William McGirt,67.92,1027,1512,-269.00
128,0,35732,Wes Roach,67.78,610,900,-141.00
128,0,28132,Tyrone Van Aswegen,67.78,793,1170,-194.00
130,0,27649,Brandt Snedeker,67.76,805,1188,-216.00
131,0,37273,Derek Ernst,67.72,768,1134,-154.00
131,0,26951,Johnson Wagner,67.72,707,1044,-152.00
133,0,27120,Troy Matteson,67.69,597,882,-131.00
134,0,23541,Ben Crane,67.66,950,1404,-220.00
135,0,22621,Ben Curtis,67.62,779,1152,-179.00
135,0,35539,Luke Guthrie,67.62,925,1368,-247.00
137,0,34563,Chesson Hadley,67.61,864,1278,-218.00
138,0,26300,Matt Jones,67.59,730,1080,-208.00
139,0,30692,Scott Stallings,67.55,766,1134,-170.00
140,0,25274,Steven Bowditch,67.52,948,1404,-230.00
141,0,28089,Jason Day,67.51,401,594,-114.00
142,0,24140,Sean O'Hair,67.41,813,1206,-186.00
143,0,34360,Patrick Reed,67.34,897,1332,-243.00
144,0,24494,Erik Compton,67.33,909,1350,-221.00
145,0,20396,Lee Westwood,67.31,521,774,-148.00
146,0,34098,Russell Henley,67.26,908,1350,-260.00
147,0,33461,Morgan Hoffmann,67.10,1087,1620,-299.00
148,0,24138,Ian Poulter,66.94,494,738,-119.00
149,0,01810,Phil Mickelson,66.89,602,900,-170.00
150,0,21753,Brian Davis,66.80,974,1458,-255.00
150,0,21731,Freddie Jacobson,66.80,974,1458,-256.00
152,0,23800,Bryce Molder,66.75,769,1152,-181.00
153,0,28307,Matt Every,66.67,780,1170,-222.00
153,0,25562,Andres Romero,66.67,864,1296,-237.00
155,0,07867,Woody Austin,66.47,682,1026,-147.00
156,0,32200,Roberto Castro,66.38,705,1062,-168.00
157,0,20160,Charlie Wi,66.32,776,1170,-185.00
158,0,27141,J.B. Holmes,66.02,915,1386,-254.00
159,0,35300,Andrew Loupe,65.89,593,900,-152.00
160,0,25240,D.A. Points,65.86,652,990,-143.00
161,0,24357,K.J. Choi,65.84,794,1206,-205.00
162,0,34046,Jordan Spieth,65.75,935,1422,-272.00
163,0,06522,Ernie Els,65.52,743,1134,-192.00
164,0,24663,Y.E. Yang,65.39,718,1098,-171.00
165,0,25191,Gonzalo Fernandez-Castaño,65.38,812,1242,-202.00
166,0,20593,Greg Chalmers,65.07,855,1314,-230.00
167,0,25349,Tim Wilkinson,64.87,829,1278,-202.00
168,0,26956,Bronson La'Cassie,64.51,418,648,-91.00
169,0,28092,D.H. Lee,64.44,522,810,-104.00
170,0,10860,Justin Leonard,64.25,717,1116,-165.00
171,0,27895,Jonas Blixt,64.21,497,774,-138.00
172,0,23409,James Driscoll,64.18,670,1044,-155.00
173,0,19846,Brian Gay,63.49,720,1134,-157.00
174,0,35139,Richard Lee,63.48,697,1098,-157.00
175,0,25720,Chad Collins,63.30,695,1098,-163.00
176,0,22371,Aaron Baddeley,62.99,669,1062,-187.00
177,0,10423,Mike Weir,61.53,587,954,-130.00
