RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
1,0,01006,John Adams,73.87,851,1152
2,0,01060,Dave Barr,73.63,1259,1710
3,0,01690,Bruce Lietzke,71.78,1124,1566
4,0,01877,Tim Norris,71.50,1094,1530
5,0,02049,Gene Sauers,71.41,1311,1836
6,0,01935,Calvin Peete,71.24,981,1377
7,0,01958,Dan Pohl,71.07,1177,1656
8,0,01725,John Mahaffey,70.97,1303,1836
9,0,01072,Chip Beck,70.61,1182,1674
10,0,01783,Mark McCumber,70.10,1022,1458
11,0,01418,Bill Glasson,70.09,1092,1558
12,0,01971,Dillard Pruitt,70.07,1051,1500
13,0,01837,Gil Morgan,69.96,957,1368
14,0,01235,Ben Crenshaw,69.78,1231,1764
15,0,01633,Tom Kite,69.77,1080,1548
16,0,02100,Tim Simpson,69.75,1268,1818
17,0,01549,Mike Hulbert,69.74,1406,2016
18,0,01797,Rocco Mediate,69.71,1328,1905
19,0,02303,Robert Wrenn,69.63,1291,1854
20,0,01682,Wayne Levi,69.61,1008,1448
21,0,01226,Fred Couples,69.58,1265,1818
22,0,01143,Brad Bryant,69.41,987,1422
23,0,01975,Tom Purtzer,69.17,996,1440
24,0,01132,Mark Brooks,69.07,1206,1746
25,0,02241,Bobby Wadkins,69.03,1404,2034
26,0,01378,David Frost,68.93,1067,1548
27,0,06284,Jim Hallet,68.89,1364,1980
28,0,01527,Scott Hoch,68.86,1382,2007
29,0,01385,Jim Gallagher Jr.,68.82,768,1116
30,0,01569,Peter Jacobsen,68.81,1090,1584
31,0,01701,Bob Lohr,68.80,1387,2016
32,0,01475,Donnie Hammond,68.68,1261,1836
33,0,02101,Joey Sindelar,68.67,1372,1998
34,0,02010,Loren Roberts,68.48,1134,1656
35,0,02146,Payne Stewart,68.45,1269,1854
36,0,02256,Tom Watson,68.38,800,1170
37,0,01457,Jay Haas,68.32,1227,1796
38,0,01035,Tommy Armour III,68.24,1115,1634
38,0,01203,Russ Cochran,68.24,1302,1908
40,0,01945,Kenny Perry,68.21,1240,1818
41,0,01014,Fulton Allem,68.10,809,1188
42,0,02180,Harry Taylor,67.93,665,979
43,0,02321,Fuzzy Zoeller,67.75,939,1386
44,0,02033,Dave Rummells,67.73,1362,2011
45,0,02279,Mark Wiebe,67.72,1414,2088
46,0,02160,Ron Streck,67.69,792,1170
47,0,01435,Wayne Grady,67.67,812,1200
48,0,01133,Billy Ray Brown,67.63,1193,1764
49,0,02170,Hal Sutton,67.61,1071,1584
50,0,01926,Steve Pate,67.46,1275,1890
50,0,02118,J.C. Snead,67.46,995,1475
52,0,01042,Paul Azinger,67.45,1117,1656
52,0,02196,Robert Thompson,67.45,1117,1656
54,0,01996,Mike Reid,67.38,946,1404
55,0,01891,David Ogrin,67.33,1115,1656
56,0,02190,Doug Tewell,67.31,937,1392
57,0,01887,Mark O'Meara,67.28,1102,1638
57,0,02246,Duffy Waldorf,67.28,1090,1620
59,0,01157,Tom Byrum,67.26,1356,2016
59,0,01736,Roger Maltbie,67.26,1017,1512
61,0,02159,Curtis Strange,67.19,1069,1591
62,0,01161,Mark Calcavecchia,67.14,1426,2124
63,0,01469,Dan Halldorson,67.12,1172,1746
64,0,01361,Dan Forsman,67.08,1467,2187
64,0,02267,D.A. Weibring,67.08,978,1458
66,0,02239,Scott Verplank,67.01,1158,1728
67,0,01313,Steve Elkington,66.97,1109,1656
68,0,01219,John Cook,66.94,1205,1800
69,0,01444,Ken Green,66.90,1156,1728
70,0,01201,Lennie Clements,66.87,1324,1980
71,0,01346,Ed Fiori,66.82,1311,1962
72,0,01715,Mark Lye,66.80,1135,1699
73,0,01156,Curt Byrum,66.78,1190,1782
73,0,02186,Brian Tennyson,66.78,1166,1746
75,0,01168,David Canipe,66.73,1045,1566
76,0,01098,Jay Don Blake,66.72,1309,1962
77,0,02094,Tony Sills,66.67,1176,1764
77,0,02126,Bruce Soulsby,66.67,684,1026
79,0,01093,Ronnie Black,66.54,1022,1536
80,0,01938,David Peoples,66.53,1157,1739
81,0,02167,Mike Sullivan,66.43,1100,1656
82,0,01061,Ray Barr Jr.,66.30,716,1080
83,0,01846,Jodie Mudd,66.24,1240,1872
84,0,01191,Barry Cheesman,66.20,846,1278
85,0,02242,Lanny Wadkins,66.19,1120,1692
86,0,01864,Larry Nelson,66.18,822,1242
87,0,01771,Blaine McCallister,66.17,1322,1998
88,0,02223,Bob Tway,66.15,1286,1944
89,0,01998,Jack Renner,66.13,1107,1674
90,0,01755,Dick Mast,66.11,1190,1800
91,0,01706,Davis Love III,66.06,1057,1600
92,0,01033,George Archer,66.02,1117,1692
93,0,01823,Larry Mize,65.99,974,1476
94,0,02104,Jeff Sluman,65.97,1425,2160
95,0,01306,David Edwards,65.91,961,1458
96,0,02090,Tom Sieckmann,65.88,925,1404
97,0,01129,Bill Britton,65.86,1138,1728
98,0,02185,Lance Ten Broeck,65.68,934,1422
99,0,01077,Mike Bender,65.60,921,1404
100,0,02195,Leonard Thompson,65.58,1210,1845
101,0,01329,Brad Faxon,65.43,1060,1620
102,0,01284,Mike Donald,65.35,1294,1980
103,0,01499,Mark Hayes,65.03,1194,1836
104,0,01662,Greg Ladehoff,64.98,1158,1782
105,0,01931,Rick Pearson,64.92,1040,1602
106,0,01303,Bob Eastwood,64.91,1110,1710
107,0,01154,Bill Buttner,64.90,993,1530
108,0,01968,Nick Price,64.88,981,1512
109,0,02148,Ray Stewart,64.86,1080,1665
110,0,01310,Dave Eichelberger,64.77,1057,1632
111,0,01571,Barry Jaeckel,64.65,896,1386
112,0,01390,Buddy Gardner,64.62,1326,2052
113,0,01200,Keith Clearwater,64.58,988,1530
113,0,01723,Andrew Magee,64.58,1081,1674
115,0,01151,Clark Burroughs,64.51,985,1527
116,0,02023,Clarence Rose,64.42,1322,2052
117,0,01175,Jim Carter,64.35,1112,1728
118,0,01648,Billy Kratzert,64.32,1042,1620
119,0,01928,Corey Pavin,64.29,972,1512
120,0,01790,Pat McGowan,64.25,1064,1656
121,0,01288,Ed Dougherty,64.16,1051,1638
122,0,01639,Kenny Knox,64.06,1303,2034
123,0,01599,Steve Jones,64.05,1003,1566
124,0,01323,Brad Fabel,64.00,1152,1800
125,0,01986,Joey Rassett,63.96,781,1221
126,0,01553,John Huston,63.95,1082,1692
127,0,01876,Greg Norman,63.79,592,928
128,0,01305,Danny Edwards,63.75,700,1098
129,0,01425,Ernie Gonzalez,63.71,906,1422
130,0,01943,Chris Perry,63.67,1209,1899
131,0,02192,Steve Thomas,63.62,836,1314
132,0,01970,Bob Proben,63.60,893,1404
133,0,01892,Aki Ohmachi,63.54,1035,1629
134,0,01261,Jay Delsing,63.53,892,1404
135,0,01024,Billy Andrade,63.52,1095,1724
136,0,02133,Craig Stadler,63.47,834,1314
137,0,02041,Bill Sander,63.41,936,1476
138,0,01135,Ken Brown,63.38,753,1188
139,0,01127,Danny Briggs,63.37,673,1062
140,0,01851,Bob Murphy,63.35,833,1315
141,0,01094,Mike Blackburn,63.31,923,1458
142,0,01717,Sandy Lyle,63.23,717,1134
143,0,01941,Tom Pernice Jr.,63.22,990,1566
144,0,02225,Howard Twitty,63.20,1240,1962
145,0,01495,Morris Hatalsky,63.19,819,1296
146,0,02007,Larry Rinker,63.17,1137,1800
147,0,01355,Raymond Floyd,63.15,773,1224
148,0,01559,Hale Irwin,63.14,841,1332
148,0,02311,Kim Young,63.14,776,1229
150,0,01858,Tommy Nakajima,63.08,615,975
151,0,01086,Roy Biancalana,63.07,806,1278
152,0,01179,Antonio Cerda,63.02,760,1206
153,0,01641,Gary Koch,62.96,918,1458
154,0,01414,Bob Gilder,62.88,1030,1638
154,0,01443,Hubert Green,62.88,781,1242
156,0,01106,Jim Booros,62.83,916,1458
157,0,01224,Jeff Coston,62.60,755,1206
157,0,02099,Scott Simpson,62.60,800,1278
159,0,01197,Bobby Clampett,62.51,1007,1611
160,0,02313,Bruce Zabriski,62.43,879,1408
161,0,01984,Sam Randolph,62.22,881,1416
161,0,02229,Brett Upper,62.22,881,1416
163,0,01185,Brandel Chamblee,61.95,814,1314
164,0,01826,Brian Mogg,61.86,746,1206
165,0,01096,Phil Blackmar,61.41,829,1350
166,0,01884,Mac O'Grady,61.37,718,1170
167,0,01476,Mike Hammond,61.34,817,1332
168,0,02322,Richard Zokol,61.18,837,1368
169,0,01707,Steve Lowery,61.11,1100,1800
170,0,01960,Don Pooley,61.04,868,1422
171,0,01782,Mike McCullough,60.99,977,1602
172,0,01557,John Inman,60.46,1110,1836
173,0,01068,Andy Bean,60.04,562,936
173,0,01964,Greg Powers,60.04,616,1026
175,0,02255,Denis Watson,59.91,825,1377
176,0,01861,Jim Nelford,59.89,733,1224
177,0,01331,Rick Fehr,59.60,826,1386
178,0,01150,George Burns,59.51,585,983
179,0,01737,Mark Maness,59.32,630,1062
180,0,02294,Willie Wood,58.98,847,1436
181,0,01214,Frank Conner,58.50,599,1024
182,0,01468,Gary Hallberg,58.22,659,1132
183,0,02215,Paul Trittler,58.20,660,1134
184,0,02244,Fred Wadsworth,57.28,732,1278
185,0,01236,Richard Cromwell,55.95,715,1278
