RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,2,45522,Christiaan Bezuidenhout,282,33
2,2,47679,Victor Perez,240,154
3,2,50493,Justin Suh,206,0
4,2,29454,Bernd Wiesberger,205,17
5,2,46501,Ollie Schniederjans,190,0
6,2,39834,Guido Migliozzi,181,0
7,2,39058,Lucas Herbert,152,23
8,2,33293,Thomas Pieters,152,0
9,2,46414,Aaron Rai,133,86
10,2,40250,Taylor Pendrith,119,0
11,2,46340,Alex Smalley,109,0
12,2,56630,Akshay Bhatia,108,0
13,2,51634,Sahith Theegala,98,0
14,2,46646,Antoine Rozner,98,45
15,2,33653,Thomas Detry,93,33
16,2,36326,David Lipsky,92,10
17,2,51890,Greyson Sigg,84,0
18,2,56272,Wilco Nienaber,76,5
19,2,39067,MJ Daffue,75,0
20,2,54628,Lee Hodges,74,0
21,2,34587,Chan Kim,74,23
22,2,57362,Austin Eckroat,69,0
23,2,47988,Nick Hardy,64,0
24,2,28938,Justin Harding,62,0
25,2,37187,Tain Lee,61,0
26,2,23481,Marcel Siem,58,0
27,2,55182,Tom Kim,56,0
28,2,31569,Jason Scrivener,55,16
29,2,56676,John Augenstein,50,0
30,2,35314,Andy Sullivan,48,14
31,2,52374,Brandon Wu,48,0
32,2,58168,Davis Thompson,46,0
33,2,28114,Dawie van der Walt,42,0
34,2,36799,Stephan Jaeger,41,0
35,2,10381,Curtis Thompson,40,0
36,2,47056,Rikuya Hoshino,38,0
37,2,37378,Min Woo Lee,38,38
38,2,24494,Erik Compton,35,0
39,2,26341,Wade Ormsby,32,17
40,2,23802,Brad Kennedy,31,19
41,2,49773,Chase Koepka,31,0
41,2,35181,Daniel van Tonder,31,3
43,2,29461,Jamie Lovemark,29,0
44,2,47238,Jazz Janewattananond,29,0
45,2,37157,Renato Paratore,28,0
46,2,54783,Dylan Wu,27,0
47,2,26328,Shaun Norris,27,0
48,2,54364,Stephen Stallings Jr.,25,0
49,2,56320,Bryson Nimmer,25,0
50,2,52686,Rasmus Hojgaard,24,4
51,2,37250,Romain Langasque,23,0
52,2,30812,Benjamin Hebert,23,0
53,2,47591,Eric Cole,23,0
53,2,35544,Andrew Yun,23,0
53,2,29939,Fabrizio Zanotti,23,0
56,2,32775,Shugo Imahira,22,0
57,2,34500,Ryosuke Kinoshita,22,14
58,2,23814,Edoardo Molinari,22,0
59,2,47137,Trevor Simsby,21,21
60,2,33974,Dean Burmester,21,0
61,2,45847,JC Ritchie,19,4
62,2,54687,Broc Everett,17,0
63,2,47995,Davis Riley,16,0
64,2,34374,Erik Barnes,16,0
65,2,37212,Paul Barjon,14,0
66,2,30852,Ryo Ishikawa,13,0
67,2,47917,Takumi Kanaya,13,0
68,2,30996,Mark Baldwin,12,0
69,2,47989,Sam Horsfield,12,0
70,2,35225,Brandon Stone,12,12
71,2,56781,Isaiah Salinda,12,0
72,2,45836,Richard Bland,12,0
73,2,54334,Ben Cook,12,0
74,2,46732,Rick Lamb,11,0
75,2,48640,Johannes Veerman,10,0
76,2,59160,John Pak,10,0
77,2,36514,Yuki Inamori,10,10
78,2,47334,Sam Fidone,9,0
79,2,57944,Andy Ogletree,9,0
80,2,47842,Hanbyeol Kim,9,0
81,2,57975,Harry Hall,9,0
82,2,46045,Michael Miller,8,0
83,2,39831,Bobby Bai,8,0
83,2,49310,David Gazzolo,8,0
85,2,45194,Marcus Armitage,7,0
85,2,50722,Jon Thomson,7,0
87,2,50006,Willie Mack III,7,0
88,2,50188,S.H. Kim,6,0
89,2,33605,Gunn Charoenkul,6,0
90,2,52330,Dylan Meyer,6,0
91,2,55789,Taylor Montgomery,6,0
91,2,54314,Tyler Strafaci,6,0
93,2,46439,Will Grimmer,5,0
94,2,34610,Matthias Schwab,5,0
95,2,46930,Jaekyeong Lee,5,0
96,2,31997,Steve Lewton,5,0
97,2,34362,Laurie Canter,5,5
97,2,52666,Sami Valimaki,5,5
99,2,27171,Jay McLuen,4,0
99,2,29425,Andrew Svoboda,4,0
101,2,58693,George Markham,4,0
102,2,48705,Dalton Ward,4,0
103,2,52411,Kyle Westmoreland,4,0
104,2,58381,Kyle Mendoza,4,0
105,2,29936,Ryan Fox,4,0
105,2,34708,Jack Senior,4,0
107,2,57124,Michael Feagles,4,0
108,2,32199,Matthew Borchert,4,0
108,2,34656,Mikumu Horikawa,4,0
108,2,35946,Willy Pumarol,4,0
111,2,32582,Eric Dugas,3,0
112,2,36299,Edward Figueroa,3,0
113,2,46724,Jeongwoo Ham,3,0
113,2,36698,Andy Zhang,3,0
115,2,54190,Richard Mansell,3,0
116,2,34541,Poom Saksansin,3,0
117,2,35376,Roberto Díaz,3,0
118,2,47918,Naoki Sekito,3,0
119,2,59872,Brad Marek,2,0
120,2,51567,Will Cannon,2,0
121,2,49481,Tae Hee Lee,2,0
122,2,47127,David Pastore,2,0
122,2,51395,Trey Shirley,2,0
124,2,37076,Marcelo Rozo,2,0
125,2,35300,Andrew Loupe,2,0
