RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S,FEDEXCUP STROKES
1,0,35450,Patrick Cantlay,-21,4,7,-10
2,0,46970,Jon Rahm,-20,1,15,-6
3,0,25396,Kevin Na,-16,1,5,-2
4,0,33448,Justin Thomas,-15,1,7,-4
5,0,46717,Viktor Hovland,-14,1,7,-3
5,0,48081,Xander Schauffele,-14,0,8,-2
7,0,47959,Bryson DeChambeau,-13,2,9,-7
8,0,30925,Dustin Johnson,-11,1,9,-3
9,0,45526,Abraham Ancer,-10,1,9,-4
9,0,29420,Billy Horschel,-10,1,6,E
11,0,40026,Daniel Berger,-8,1,8,E
11,0,29725,Tony Finau,-8,1,8,-8
11,0,30944,Jason Kokrak,-8,2,5,-2
14,0,21209,Sergio Garcia,-7,1,4,E
14,0,28237,Rory McIlroy,-7,1,7,-2
14,0,26329,Louis Oosthuizen,-7,0,8,-3
14,0,35891,Cameron Smith,-7,1,8,-5
18,0,47504,Sam Burns,-6,1,8,-4
18,0,34099,Harris English,-6,2,8,-4
20,0,39971,Sungjae Im,-4,0,5,-3
20,0,34046,Jordan Spieth,-4,1,9,-4
22,0,39997,Corey Conners,-3,0,8,-1
22,0,46046,Scottie Scheffler,-3,0,8,-1
22,0,40006,Erik van Rooyen,-3,1,5,E
25,0,34360,Patrick Reed,-2,1,6,E
26,0,20229,Stewart Cink,E,2,3,-1
26,0,32839,Hideki Matsuyama,E,1,3,-1
26,0,50525,Collin Morikawa,E,2,8,-3
29,0,45486,Joaquin Niemann,+4,0,5,-1
30,0,36689,Brooks Koepka,1,8,-2
31,0,32791,K.H. Lee,1339,1,3,0
32,0,12716,Charley Hoffman,1338,0,5,0
33,0,27349,Alex Noren,1327,0,3,0
34,0,37455,Si Woo Kim,1293,1,5,0
35,0,39977,Max Homa,1269,1,5,0
36,0,34264,Hudson Swafford,1237,1,3,0
37,0,45157,Cam Davis,1237,1,3,0
38,0,29478,Kevin Kisner,1214,1,4,0
39,0,33141,Keegan Bradley,1206,0,4,0
40,0,29221,Webb Simpson,1195,0,6,0
41,0,27644,Brian Harman,1168,0,5,0
42,0,26851,Marc Leishman,1167,1,4,0
43,0,33419,Cameron Tringale,1165,0,4,0
44,0,37189,Harold Varner III,1162,0,1,0
45,0,33204,Shane Lowry,1103,0,4,0
46,0,25900,Lucas Glover,1102,1,4,0
47,0,26300,Matt Jones,1091,1,3,0
48,0,33667,Carlos Ortiz,1090,1,3,0
49,0,49964,Aaron Wise,1082,0,3,0
50,0,20396,Lee Westwood,1070,0,2,0
51,0,26331,Charl Schwartzel,1045,0,3,0
52,0,25364,Paul Casey,1005,0,7,0
53,0,48822,Sebastián Muñoz,999,0,4,0
54,0,35532,Tom Hoge,997,0,2,0
55,0,29974,Branden Grace,981,1,4,0
56,0,34098,Russell Henley,978,0,5,0
57,0,52372,Cameron Champ,974,1,2,0
58,0,46442,Maverick McNealy,967,0,2,0
59,0,31646,Emiliano Grillo,961,0,4,0
60,0,34431,Robert Streb,925,1,1,0
61,0,27064,Jhonattan Vegas,924,0,4,0
62,0,30926,Chris Kirk,912,0,4,0
63,0,32757,Patton Kizzire,904,0,5,0
64,0,27214,Kevin Streelman,878,0,4,0
65,0,39546,Keith Mitchell,874,0,4,0
66,0,33597,Harry Higgs,868,0,2,0
67,0,35506,Mackenzie Hughes,867,0,4,0
68,0,46402,Talor Gooch,840,0,3,0
69,0,23320,Ryan Palmer,834,0,4,0
70,0,01810,Phil Mickelson,805,1,1,0
71,0,56278,Matthew Wolff,772,0,2,0
72,0,28252,Seamus Power,749,1,4,0
73,0,40098,Matt Fitzpatrick,748,0,5,0
74,0,34363,Tyrrell Hatton,739,0,4,0
75,0,27936,Martin Laird,734,1,1,0
76,0,34076,Joel Dahmen,725,1,3,0
77,0,24138,Ian Poulter,707,0,3,0
78,0,32640,Troy Merritt,700,0,4,0
79,0,49771,J.T. Poston,697,0,2,0
