RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,50525,Collin Morikawa,108.548,2170.958
2,0,46970,Jon Rahm,105.435,2003.261
3,0,47959,Bryson DeChambeau,100.542,1910.303
4,0,26329,Louis Oosthuizen,98.815,1877.488
5,0,35450,Patrick Cantlay,97.903,2055.953
6,0,34046,Jordan Spieth,97.240,2139.280
7,0,36689,Brooks Koepka,91.859,1561.596
8,0,34099,Harris English,88.646,2038.864
9,0,33448,Justin Thomas,87.919,1758.380
10,0,48081,Xander Schauffele,85.445,1623.449
11,0,30925,Dustin Johnson,83.882,1509.884
12,0,46717,Viktor Hovland,81.756,1716.873
13,0,45526,Abraham Ancer,80.254,1926.105
14,0,47504,Sam Burns,74.820,1720.854
15,0,54421,Garrick Higgo,73.576,515.035
16,0,35891,Cameron Smith,73.263,1538.521
17,0,40026,Daniel Berger,72.198,1443.956
18,0,28237,Rory McIlroy,71.740,1291.314
19,0,30944,Jason Kokrak,67.960,1631.037
20,0,32839,Hideki Matsuyama,66.409,1593.816
21,0,20229,Stewart Cink,62.822,1444.901
22,0,34360,Patrick Reed,62.765,1380.819
23,0,45486,Joaquin Niemann,62.139,1491.346
24,0,29420,Billy Horschel,58.736,1292.185
25,0,25396,Kevin Na,56.862,1307.824
26,0,29725,Tony Finau,56.173,1348.143
27,0,46046,Scottie Scheffler,54.194,1409.040
28,0,25364,Paul Casey,51.796,932.334
29,0,20396,Lee Westwood,51.010,867.173
30,0,26851,Marc Leishman,50.148,1103.249
31,0,29478,Kevin Kisner,49.996,1199.895
32,0,34021,Bud Cauley,49.000,49.000
33,0,21209,Sergio Garcia,48.557,1019.693
34,0,29221,Webb Simpson,48.432,920.215
35,0,39977,Max Homa,46.931,1220.209
36,0,39997,Corey Conners,46.605,1211.732
37,0,45157,Cam Davis,43.844,1052.245
38,0,28252,Seamus Power,41.873,669.973
39,0,12716,Charley Hoffman,41.729,1126.675
40,0,34363,Tyrrell Hatton,41.063,739.138
41,0,47483,Will Zalatoris,40.935,1023.379
42,-1,37455,Si Woo Kim,40.916,1186.565
43,-1,34098,Russell Henley,40.810,938.628
44,-1,56278,Matthew Wolff,40.648,772.318
45,-1,27644,Brian Harman,40.472,1052.283
46,-1,33667,Carlos Ortiz,40.154,1044.003
47,-1,33419,Cameron Tringale,39.442,986.055
48,-1,40098,Matt Fitzpatrick,39.370,748.022
49,-1,23320,Ryan Palmer,38.667,812.003
50,-1,33204,Shane Lowry,38.274,727.208
51,-1,29974,Branden Grace,38.194,954.856
52,-1,01810,Phil Mickelson,37.647,790.579
53,-1,33141,Keegan Bradley,37.641,941.026
54,-1,25900,Lucas Glover,37.270,1043.568
55,-1,39971,Sungjae Im,37.044,1185.419
56,-1,26300,Matt Jones,36.909,1033.457
57,-1,27064,Jhonattan Vegas,36.086,866.059
58,-1,30926,Chris Kirk,35.560,853.442
59,-1,52372,Cameron Champ,34.965,839.160
60,-1,46442,Maverick McNealy,34.563,829.509
61,-1,32791,K.H. Lee,34.329,1064.211
62,-1,26331,Charl Schwartzel,34.267,856.678
63,-1,49964,Aaron Wise,33.677,740.904
64,-1,24502,Adam Scott,33.550,603.908
65,-1,31646,Emiliano Grillo,32.852,919.857
66,-1,25804,Bubba Watson,32.595,684.501
67,-1,24138,Ian Poulter,31.407,628.143
68,-1,27214,Kevin Streelman,29.892,836.986
69,-1,34264,Hudson Swafford,29.767,803.717
70,-1,32757,Patton Kizzire,29.688,801.579
71,-1,48887,Matt Wallace,29.547,502.301
72,-1,46402,Talor Gooch,28.421,738.957
73,-1,27936,Martin Laird,28.243,734.317
74,-1,35506,Mackenzie Hughes,27.668,719.358
75,-1,34431,Robert Streb,27.294,709.653
76,-1,40006,Erik van Rooyen,26.986,647.674
77,-1,22405,Justin Rose,25.831,439.135
78,-1,49298,Kramer Hickok,24.969,574.295
79,-1,37189,Harold Varner III,24.954,673.753
80,-1,49771,J.T. Poston,24.888,696.876
81,-1,34076,Joel Dahmen,24.858,646.296
82,-1,48822,Sebastián Muñoz,24.656,739.678
83,-1,27349,Alex Noren,24.630,566.501
84,-1,49766,Hank Lebioda,24.519,563.942
85,-1,46550,Brandon Hagy,24.453,660.226
86,-1,47529,Mito Pereira,23.922,167.456
87,-1,33597,Harry Higgs,23.632,614.432
88,-1,25198,Francesco Molinari,23.508,352.617
89,-1,51766,Wyndham Clark,23.436,609.346
90,-1,29518,Brendan Steele,23.303,535.965
