RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,27141,J.B. Holmes,89' 11",Phoenix Open,4,8 - Par 4 -
2,0,29289,S.Y. Noh,85' 8",HP Byron Nelson,2,11 - Par 4
3,0,23409,James Driscoll,83' 8",Honda Classic,2,11 - Par 4
4,0,29479,Scott Brown,78' 6",Wells Fargo,2,18 - Par 4
5,0,24024,Zach Johnson,76' 10",Wells Fargo,1,17 - Par 3
6,0,06593,Gus Ulrich,76' 9",Wyndham Champ.,2,2 - Par 4 -
7,0,20766,Padraig Harrington,75' 0",Transitions Chp,1,17 - Par 3
8,0,01766,Billy Mayfair,73' 0",Canadian Open,1,12 - Par 4
9,0,28308,Troy Kelly,71' 9",JT Shriners,1,16 - Par 5
10,0,27064,Jhonattan Vegas,70' 5",Transitions Chp,1,13 - Par 3
11,0,27302,Garth Mulroy,70' 1",The Greenbrier,4,11 - Par 4
12,0,20095,Carl Paulson,69' 10",The McGladrey,3,13 - Par 4
13,0,12652,Cameron Beckman,69' 8",Zurich Classic,2,15 - Par 4
14,0,20634,Peter Lonard,69' 7",St. Jude,1,14 - Par 3
15,0,23541,Ben Crane,69' 1",Phoenix Open,2,15 - Par 5
16,0,31558,J.J. Killeen,69' 1",St. Jude,2,17 - Par 4
17,0,21961,Charles Howell III,68' 10",The McGladrey,3,7 - Par 5 -
18,0,29926,Danny Lee,68' 4",St. Jude,2,17 - Par 4
19,0,08725,Tom Gillis,67' 7",BMW Champ,4,18 - Par 4
20,0,25562,Andres Romero,67' 2",Memorial Tourn,3,4 - Par 3 -
21,0,20623,Gavin Coles,67' 2",Children's MNHC,4,18 - Par 4
22,0,20574,Mathew Goggin,67' 0",Frys.com Open,4,3 - Par 3 -
23,0,32200,Roberto Castro,66' 8",The Greenbrier,1,3 - Par 3 -
24,0,24358,Robert Garrigus,66' 0",Transitions Chp,4,5 - Par 5 -
25,0,29476,Kyle Reifers,65' 8",Farmers Ins.,2,17 - Par 4
26,0,27095,Nick Watney,65' 5",WGC-Cadillac,1,3 - Par 4 -
27,0,28455,Will Claxton,64' 10",Wyndham Champ.,3,14 - Par 4
28,0,30925,Dustin Johnson,64' 1",AT&T Pebble,1,6 - Par 5 -
29,0,20572,Rod Pampling,63' 9",The Greenbrier,1,8 - Par 3 -
30,0,35539,Luke Guthrie,63' 9",John Deere Clas,1,2 - Par 5 -
31,0,24507,Jason Bohn,63' 7",HP Byron Nelson,1,15 - Par 4
32,0,01810,Phil Mickelson,62' 10",Wells Fargo,4,17 - Par 3
33,0,29221,Webb Simpson,62' 8",Wells Fargo,1,12 - Par 4
34,0,21805,Harrison Frazar,62' 6",HP Byron Nelson,2,17 - Par 3
35,0,22913,John Rollins,62' 2",The McGladrey,1,3 - Par 3 -
36,0,29461,Jamie Lovemark,61' 11",Shell Houston,1,2 - Par 4 -
37,0,27436,Graham DeLaet,61' 0",HP Byron Nelson,3,18 - Par 4
38,0,26444,Juvic Pagunsan,60' 9",WGC-Cadillac,4,6 - Par 4 -
39,0,33122,Russell Knox,60' 7",Zurich Classic,1,4 - Par 4 -
40,0,27895,Jonas Blixt,59' 11",HP Byron Nelson,3,1 - Par 4 -
41,0,27120,Troy Matteson,59' 10",John Deere Clas,4,17 - Par 5
42,0,29910,Blake Adams,59' 7",THE PLAYERS,2,2 - Par 5 -
43,0,20070,Matt Bettencourt,59' 3",Zurich Classic,1,3 - Par 3 -
44,0,20848,Ángel Cabrera,58' 11",Phoenix Open,1,3 - Par 5 -
45,0,28500,Martin Flores,58' 11",Arnold Palmer,1,2 - Par 3 -
46,0,22378,Trevor Immelman,58' 10",Memorial Tourn,2,3 - Par 4 -
