RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,32839,Hideki Matsuyama,9.21,469.62,-199.79,280.02
2,0,28089,Jason Day,6.35,253.94,-284.65,102.01
3,0,24502,Adam Scott,4.34,195.43,-157.77,71.66
4,0,26329,Louis Oosthuizen,4.26,208.88,-118.36,151.14
5,0,26851,Marc Leishman,3.89,202.49,-86.22,171.02
6,0,26331,Charl Schwartzel,3.64,178.36,-110.65,97.54
7,0,29974,Branden Grace,3.08,160.26,-139.56,75.74
8,0,37455,Si Woo Kim,3.03,157.47,-65.70,105.10
9,0,27064,Jhonattan Vegas,2.98,155.21,-52.52,107.52
10,0,33399,Adam Hadwin,2.60,134.96,-42.73,130.39
11,0,31646,Emiliano Grillo,2.38,123.60,-105.89,46.92
12,0,21498,Hideto Tanihara,2.37,123.42,-62.38,65.82
13,0,26908,Yuta Ikeda,2.16,112.44,-76.13,26.11
14,0,35296,Haotong Li,2.05,106.57,-34.04,78.32
15,0,33948,Byeong Hun An,2.00,103.83,-90.20,60.59
16,0,31420,Anirban Lahiri,1.89,98.47,-60.54,66.15
17,0,39958,Jeunghun Wang,1.81,94.06,-61.17,47.22
18,0,29970,Dylan Frittelli,1.68,87.27,-31.41,63.18
19,0,27974,Sung Kang,1.63,84.75,-33.33,73.54
20,0,29926,Danny Lee,1.60,83.32,-76.40,61.24
21,0,27436,Graham DeLaet,1.56,71.84,-28.99,61.58
22,0,23063,Scott Hend,1.50,78.02,-59.57,24.87
23,0,32816,Satoshi Kodaira,1.49,77.41,-38.15,42.03
24,0,29936,Ryan Fox,1.45,75.18,-33.52,44.96
25,0,35506,Mackenzie Hughes,1.43,74.27,-23.89,41.02
26,0,35225,Brandon Stone,1.41,73.55,-51.60,24.91
27,0,24459,Richard Sterne,1.37,54.74,-27.24,10.32
28,0,29939,Fabrizio Zanotti,1.35,67.37,-36.80,55.85
29,0,24511,Thongchai Jaidee,1.33,69.06,-80.30,19.25
30,0,28258,K.T. Kim,1.30,67.73,-75.10,24.32
31,0,36521,Young-han Song,1.27,65.92,-50.37,24.88
32,0,23821,Yusaku Miyazato,1.26,65.60,-39.41,47.50
33,0,33974,Dean Burmester,1.25,61.48,-37.99,54.50
34,0,29930,Mike Hendry,1.22,63.59,-29.18,38.79
35,0,32775,Shugo Imahira,1.16,60.57,-25.68,39.63
36,0,28751,Andrew Dodt,1.12,53.98,-15.91,31.51
37,0,28937,George Coetzee,1.12,56.07,-38.48,35.80
38,0,23802,Brad Kennedy,1.10,51.75,-30.63,28.31
39,0,29908,C.T. Pan,1.10,57.21,-26.68,46.49
