RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,33448,Justin Thomas,3000,5,12
80,0,29974,Branden Grace,640,0,2,5641
81,0,33461,Morgan Hoffmann,632,0,1,5649
82,0,27895,Jonas Blixt,631,1,1,5650
83,0,12510,Chad Campbell,630,0,3,5651
84,0,27963,Chris Stroud,627,1,3,5654
85,0,31202,William McGirt,621,0,3,5660
86,0,27214,Kevin Streelman,617,0,2,5664
87,0,39954,Cody Gribble,614,1,2,5667
88,0,29908,C.T. Pan,594,0,3,5687
89,0,37454,Whee Kim,583,0,2,5698
90,0,37189,Harold Varner III,574,0,1,5707
91,0,31557,Jim Herman,565,0,2,5716
92,0,30926,Chris Kirk,562,0,3,5719
93,0,25493,Nick Taylor,554,0,4,5727
94,0,34409,David Lingmerth,546,0,1,5735
95,0,27141,J.B. Holmes,543,0,2,5738
96,0,27770,Camilo Villegas,542,0,2,5739
97,0,39324,J.J. Spaun,541,0,3,5740
98,0,25818,Scott Piercy,532,0,4,5749
99,0,32757,Patton Kizzire,519,0,3,5762
100,0,39975,Michael Kim,483,0,1,5798
101,0,30692,Scott Stallings,482,0,3,5799
102,0,33948,Byeong Hun An,468,0,3,5813
103,0,28500,Martin Flores,461,0,2,5820
104,0,25240,D.A. Points,457,1,1,5824
105,0,23983,Luke Donald,456,0,1,5825
106,0,47128,Richy Werenski,455,0,3,5826
107,0,27958,Ryan Blaum,451,0,2,5830
108,0,22046,Geoff Ogilvy,450,0,1,5831
109,0,24358,Robert Garrigus,448,0,3,5833
110,0,29289,S.Y. Noh,446,0,3,5835
111,0,25632,Jimmy Walker,439,0,1,5842
112,0,19846,Brian Gay,426,0,3,5855
113,0,46550,Brandon Hagy,419,0,1,5862
114,0,23325,Vaughn Taylor,413,0,5868
115,0,06527,Steve Stricker,410,0,2,5871
116,0,31416,Derek Fathauer,408,0,2,5873
117,0,28132,Tyrone Van Aswegen,407,0,1,5874
118,0,34099,Harris English,397,0,2,5884
119,0,40009,Dominic Bozzelli,394,0,3,5887
120,0,27095,Nick Watney,386,0,1,5895
121,0,34174,John Huh,382,0,2,5899
122,0,35545,Blayne Barber,381,0,1,5900
123,0,33413,Ben Martin,378,0,2,5903
124,0,23621,Rory Sabbatini,375,0,1,5906
125,0,23353,J.J. Henry,365,0,2,5916
126,0,40058,Zac Blair,364,0,1,5917
127,0,33204,Shane Lowry,361,0,1,5920
128,0,26758,David Hearn,359,0,2,5922
129,0,29223,Sam Saunders,354,0,2,5927
130,0,28252,Seamus Power,350,0,1,5931
131,0,25834,Daniel Summerhays,348,0,1,5933
132,0,49771,J.T. Poston,340,0,1,5941
133,0,33419,Cameron Tringale,337,0,3,5944
134,0,23320,Ryan Palmer,336,0,3,5945
135,0,29222,Billy Hurley III,333,0,1,5948
136,0,25572,Graeme McDowell,331,0,5950
137,0,46601,Trey Mullinax,330,0,1,5951
138,0,22371,Aaron Baddeley,325,0,2,5956
139,0,24846,Ricky Barnes,324,0,5957
140,0,26951,Johnson Wagner,321,0,2,5960
141,0,46440,Smylie Kaufman,316,0,1,5965
142,0,20691,Greg Owen,314,0,2,5967
143,0,25720,Chad Collins,305,0,2,5976
144,0,22056,Cameron Percy,291,0,1,5990
145,0,31560,Brian Stuard,285,0,5996
146,0,22986,Søren Kjeldsen,283,0,1,5998
147,0,23541,Ben Crane,281,0,1,6000
148,0,32150,Michael Thompson,278,0,1,6003
149,0,20472,Alex Cejka,276,0,1,6005
150,0,46732,Rick Lamb,269,0,1,6012
