RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,33448,Justin Thomas,3000,5,12
2,0,34046,Jordan Spieth,2340,3,12,660
3,0,48081,Xander Schauffele,2151,2,4,849
4,0,30925,Dustin Johnson,1720,4,8,1280
5,0,46970,Jon Rahm,1620,1,11,1380
6,0,26851,Marc Leishman,1441,2,7,1559
7,0,32102,Rickie Fowler,1253,1,10,1747
8,0,32839,Hideki Matsuyama,1093,3,7,1907
9,0,22405,Justin Rose,1080,0,8,1920
10,0,36689,Brooks Koepka,1040,1,7,1960
11,0,25364,Paul Casey,920,0,9,2080
12,0,29478,Kevin Kisner,901,1,8,2099
13,0,34098,Russell Henley,792,1,5,2208
14,0,23108,Matt Kuchar,648,0,9,2352
15,0,24361,Pat Perez,596,1,6,2404
16,0,40026,Daniel Berger,556,1,6,2444
17,0,29221,Webb Simpson,527,0,6,2473
18,0,28089,Jason Day,514,0,5,2486
19,0,29725,Tony Finau,510,0,8,2490
20,0,12716,Charley Hoffman,473,0,7,2527
21,0,21209,Sergio Garcia,441,1,3,2559
22,0,34360,Patrick Reed,416,0,4,2584
23,0,27064,Jhonattan Vegas,384,1,4,2616
24,0,30110,Kyle Stanley,366,1,5,2634
25,0,27644,Brian Harman,364,1,7,2636
26,0,33399,Adam Hadwin,362,1,5,2638
27,0,32366,Kevin Chappell,352,1,5,2648
28,0,31323,Gary Woodland,321,0,5,2679
29,0,35450,Patrick Cantlay,296,0,4,2704
30,0,25686,Jason Dufner,287,1,2,2713
31,0,26329,Louis Oosthuizen,1321,0,4,4960
32,0,21528,Henrik Stenson,1306,1,3,4975
33,0,29518,Brendan Steele,1292,1,4,4989
34,0,01810,Phil Mickelson,1268,0,5,5013
35,0,24924,Bill Haas,1260,0,4,5021
36,0,35506,Mackenzie Hughes,1257,1,2,5024
37,0,25198,Francesco Molinari,1247,0,5,5034
38,0,34264,Hudson Swafford,1244,1,4,5037
39,0,26476,Chez Reavie,1151,0,4,5130
40,0,21961,Charles Howell III,1134,0,5,5147
41,0,48084,Wesley Bryan,1092,1,5,5189
42,0,29420,Billy Horschel,1086,1,4,5195
43,0,25900,Lucas Glover,1085,0,4,5196
44,0,26331,Charl Schwartzel,1081,0,3,5200
45,0,25396,Kevin Na,1073,0,5,5208
46,0,35891,Cameron Smith,1065,1,4,5216
47,0,33141,Keegan Bradley,1029,0,5,5252
48,0,24024,Zach Johnson,1017,0,4,5264
49,0,47959,Bryson DeChambeau,1017,1,2,5264
50,0,27129,Luke List,1011,0,3,5270
51,0,31420,Anirban Lahiri,989,0,3,5292
52,0,24138,Ian Poulter,985,0,2,5296
53,0,20229,Stewart Cink,958,0,3,5323
54,0,37455,Si Woo Kim,956,1,2,5325
55,0,29479,Scott Brown,951,0,2,5330
56,0,27936,Martin Laird,937,0,5,5344
57,0,29461,Jamie Lovemark,919,0,4,5362
58,0,28237,Rory McIlroy,901,0,6,5380
59,0,27974,Sung Kang,899,0,3,5382
60,0,46501,Ollie Schniederjans,897,0,5,5384
61,0,26499,Rafa Cabrera Bello,880,0,4,5401
62,0,24140,Sean O'Hair,877,0,5,5404
63,0,34431,Robert Streb,861,0,3,5420
64,0,26596,Ryan Moore,859,0,2,5422
65,0,34021,Bud Cauley,816,0,5,5465
66,0,34213,Grayson Murray,816,1,2,5465
67,0,31646,Emiliano Grillo,812,0,2,5469
68,0,32448,James Hahn,801,0,4,5480
69,0,32333,Kevin Tway,740,0,3,5541
70,0,29926,Danny Lee,697,0,4,5584
71,0,33122,Russell Knox,687,0,4,5594
72,0,35879,Kelly Kraft,684,0,3,5597
73,0,27649,Brandt Snedeker,663,0,4,5618
74,0,20572,Rod Pampling,660,1,1,5621
75,0,25804,Bubba Watson,658,0,4,5623
76,0,27436,Graham DeLaet,650,0,6,5631
77,0,30944,Jason Kokrak,649,0,1,5632
78,0,36699,Patrick Rodgers,649,0,3,5632
79,0,24502,Adam Scott,642,0,4,5639
