RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,23541,Ben Crane,.88,3,342
2,0,12660,Jesper Parnevik,.97,4,414
3,0,02010,Loren Roberts,.98,3,306
4,0,20157,Retief Goosen,1.39,4,288
5,0,24227,Justin Bolli,1.45,6,414
6,0,22548,Patrick Sheehan,1.47,9,612
7,0,07749,Brett Quigley,1.48,8,540
8,0,20160,Charlie Wi,1.59,6,378
9,0,12645,Brent Geiberger,1.75,6,342
10,0,10860,Justin Leonard,1.77,7,396
11,0,21350,Ryuji Imada,1.78,8,450
12,0,21806,Paul Gow,1.85,8,432
12,0,23108,Matt Kuchar,1.85,7,378
12,0,21878,Mark Wilson,1.85,8,432
15,0,20121,Todd Fischer,1.91,11,576
16,0,06573,Brandt Jobe,1.92,9,468
17,0,01175,Jim Carter,1.93,8,414
18,0,20094,Jonathan Kaye,1.94,7,360
19,0,02214,Kirk Triplett,1.96,6,306
20,0,01388,Robert Gamez,1.98,10,504
21,0,10809,Jim Furyk,2.00,9,450
21,0,23788,D.J. Trahan,2.00,9,450
23,0,06251,Chris DiMarco,2.02,8,396
23,0,01329,Brad Faxon,2.02,8,396
25,0,23497,Tag Ridings,2.04,11,540
26,0,20382,Stephen Leaney,2.06,10,486
27,0,23135,Tim Clark,2.08,9,432
27,0,23983,Luke Donald,2.08,6,288
27,0,20572,Rod Pampling,2.08,9,432
27,0,10425,Jay Williamson,2.08,6,288
31,0,06527,Steve Stricker,2.12,8,378
32,0,22371,Aaron Baddeley,2.14,10,468
33,0,01320,Bob Estes,2.22,10,450
34,0,25900,Lucas Glover,2.26,11,486
35,0,01042,Paul Azinger,2.27,9,396
35,0,20623,Gavin Coles,2.27,9,396
37,0,21407,Arjun Atwal,2.29,7,306
38,0,24024,Zach Johnson,2.30,12,522
38,0,06567,Vijay Singh,2.30,12,522
40,0,01313,Steve Elkington,2.34,8,342
41,0,20634,Peter Lonard,2.35,11,468
42,0,01139,Olin Browne,2.38,12,504
42,0,01887,Mark O'Meara,2.38,9,378
42,0,12454,Mario Tiziani,2.38,9,378
42,0,02206,David Toms,2.38,9,378
46,0,27095,Nick Watney,2.41,13,540
47,0,02239,Scott Verplank,2.42,10,414
48,0,01219,John Cook,2.44,11,450
48,0,08931,Glen Day,2.44,11,450
48,0,02223,Bob Tway,2.44,11,450
51,0,19846,Brian Gay,2.51,14,558
52,0,01928,Corey Pavin,2.53,10,396
53,0,01132,Mark Brooks,2.55,11,432
54,0,01142,Bart Bryant,2.56,12,468
54,0,12602,Dean Wilson,2.56,12,468
56,0,24507,Jason Bohn,2.58,13,504
57,0,06197,Michael Allen,2.59,14,540
57,0,20498,Briny Baird,2.59,14,540
57,0,01457,Jay Haas,2.59,7,270
60,0,21498,Hideto Tanihara,2.63,9,342
61,0,08123,Jeff Brehaut,2.65,10,378
61,0,08537,J.P. Hayes,2.65,10,378
61,0,01797,Rocco Mediate,2.65,10,378
64,0,20098,Stuart Appleby,2.66,11,414
64,0,20099,Doug Barron,2.66,11,414
64,0,20474,Phillip Price,2.66,11,414
67,0,12782,Tim Herron,2.67,13,486
67,0,01723,Andrew Magee,2.67,13,486
67,0,25847,Rob Rashell,2.67,12,450
67,0,22405,Justin Rose,2.67,13,486
71,0,01035,Tommy Armour III,2.68,14,522
71,0,08075,Jerry Kelly,2.68,14,522
71,0,06332,Neal Lancaster,2.68,14,522
74,0,01619,Skip Kendall,2.69,15,558
74,0,24781,Hunter Mahan,2.69,16,594
74,0,01941,Tom Pernice Jr.,2.69,15,558
74,0,25345,Carl Pettersson,2.69,16,594
78,0,19881,Robert Damron,2.78,14,504
78,0,21805,Harrison Frazar,2.78,15,540
78,0,01418,Bill Glasson,2.78,9,324
78,0,24980,Scott Gutschewski,2.78,13,468
78,0,06575,Dudley Hart,2.78,11,396
78,0,21731,Freddie Jacobson,2.78,11,396
78,0,24361,Pat Perez,2.78,13,468
78,0,26679,Kevin Stadler,2.78,16,576
78,0,02246,Duffy Waldorf,2.78,13,468
78,0,08793,Tiger Woods,2.78,10,360
88,0,01381,Fred Funk,2.87,15,522
88,0,01473,Todd Hamilton,2.87,15,522
90,0,23552,Hank Kuehne,2.88,14,486
91,0,20502,Michael Long,2.89,13,450
91,0,22295,Darron Stiles,2.89,13,450
93,0,01927,Dennis Paulson,2.90,12,414
94,0,06373,José María Olazábal,2.96,8,270
94,0,20663,Brenden Pappas,2.96,8,270
96,0,20645,John Senden,2.98,15,504
97,0,20229,Stewart Cink,3.01,13,432
98,0,01724,Jeff Maggert,3.03,12,396
98,0,10585,Scott McCarron,3.03,12,396
100,0,10885,Robert Allenby,3.07,16,522
100,0,08993,Franklin Langham,3.07,16,522
100,0,02101,Joey Sindelar,3.07,16,522
100,0,23325,Vaughn Taylor,3.07,16,522
104,0,10201,Matt Gogel,3.09,15,486
104,0,24138,Ian Poulter,3.09,10,324
104,0,02104,Jeff Sluman,3.09,15,486
107,0,06034,Marco Dawson,3.14,13,414
107,0,20691,Greg Owen,3.14,13,414
109,0,07223,Brian Bateman,3.15,17,540
110,0,24357,K.J. Choi,3.17,12,378
110,0,12680,Shigeki Maruyama,3.17,16,504
110,0,22293,Heath Slocum,3.17,16,504
113,0,01024,Billy Andrade,3.21,15,468
113,0,12510,Chad Campbell,3.21,15,468
113,0,23322,Brett Wetterich,3.21,15,468
116,0,01666,Bernhard Langer,3.22,11,342
116,0,01677,Tom Lehman,3.22,11,342
116,0,01810,Phil Mickelson,3.22,11,342
119,0,22621,Ben Curtis,3.24,14,432
