RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,24912,Will MacKenzie,3,58
2,0,01132,Mark Brooks,2,32
2,0,20850,Daniel Chopra,2,50
2,0,21753,Brian Davis,2,54
2,0,01361,Dan Forsman,2,29
2,0,10117,Bob Heintz,2,34
2,0,08075,Jerry Kelly,2,32
2,0,01685,J.L. Lewis,2,46
2,0,21949,Joe Ogilvie,2,44
2,0,20691,Greg Owen,2,46
2,0,20645,John Senden,2,41
2,0,12602,Dean Wilson,2,31
13,0,21633,Steve Allan,1,79
13,0,23036,Chris Anderson,1,26
13,0,01024,Billy Andrade,1,37
13,0,07867,Woody Austin,1,59
13,0,23614,Rich Beem,1,29
13,0,24507,Jason Bohn,1,33
13,0,01127,Danny Briggs,1,43
13,0,01142,Bart Bryant,1,36
13,0,01157,Tom Byrum,1,42
13,0,01175,Jim Carter,1,29
13,0,20472,Alex Cejka,1,47
13,0,12826,Paul Claxton,1,35
13,0,19972,José Coceres,1,40
13,0,20623,Gavin Coles,1,30
13,0,01226,Fred Couples,1,29
13,0,08931,Glen Day,1,39
13,0,06251,Chris DiMarco,1,20
13,0,21805,Harrison Frazar,1,49
13,0,08725,Tom Gillis,1,37
13,0,20378,Mathias Grönberg,1,49
13,0,24604,Hunter Haas,1,36
13,0,01473,Todd Hamilton,1,32
13,0,23063,Scott Hend,1,63
13,0,20433,Mark Hensby,1,30
13,0,12782,Tim Herron,1,41
13,0,01553,John Huston,1,49
13,0,01577,Lee Janzen,1,40
13,0,01599,Steve Jones,1,29
13,0,20094,Jonathan Kaye,1,35
13,0,23552,Hank Kuehne,1,42
13,0,12662,Thomas Levet,1,37
13,0,11032,Frank Lickliter II,1,52
13,0,24781,Hunter Mahan,1,42
13,0,06515,Shaun Micheel,1,37
13,0,01823,Larry Mize,1,26
13,0,01887,Mark O'Meara,1,23
13,0,23320,Ryan Palmer,1,40
13,0,20663,Brenden Pappas,1,24
13,0,01928,Corey Pavin,1,26
13,0,24361,Pat Perez,1,47
13,0,01948,Tim Petrovic,1,43
13,0,25345,Carl Pettersson,1,43
13,0,25240,D.A. Points,1,52
13,0,22405,Justin Rose,1,54
13,0,23621,Rory Sabbatini,1,38
13,0,02104,Jeff Sluman,1,41
13,0,21951,Joey Snyder III,1,47
13,0,06595,Kevin Sutherland,1,46
13,0,02214,Kirk Triplett,1,19
13,0,10423,Mike Weir,1,27
13,0,21878,Mark Wilson,1,34
