RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,28252,Seamus Power,27.70,637,23
2,0,20593,Greg Chalmers,27.88,725,26
3,0,01810,Phil Mickelson,27.95,587,21
4,0,23325,Vaughn Taylor,28.04,673,24
4,0,33419,Cameron Tringale,28.04,729,26
6,0,22371,Aaron Baddeley,28.05,533,19
7,0,36689,Brooks Koepka,28.09,618,22
8,0,46443,Brian Campbell,28.11,506,18
8,0,25349,Tim Wilkinson,28.11,534,19
10,0,25572,Graeme McDowell,28.12,478,17
11,0,34409,David Lingmerth,28.18,620,22
12,0,27895,Jonas Blixt,28.21,677,24
13,0,32102,Rickie Fowler,28.25,565,20
14,0,37454,Whee Kim,28.27,735,26
15,0,33461,Morgan Hoffmann,28.29,792,28
16,0,29222,Billy Hurley III,28.32,708,25
17,0,26331,Charl Schwartzel,28.35,482,17
18,0,48084,Wesley Bryan,28.41,767,27
19,0,25720,Chad Collins,28.42,682,24
19,0,24138,Ian Poulter,28.42,540,19
21,0,40009,Dominic Bozzelli,28.43,654,23
21,0,27649,Brandt Snedeker,28.43,398,14
23,0,32150,Michael Thompson,28.47,541,19
24,0,21961,Charles Howell III,28.50,627,22
24,0,25892,Steve Wheatcroft,28.50,456,16
26,0,39975,Michael Kim,28.52,770,27
26,0,25834,Daniel Summerhays,28.52,770,27
28,0,23983,Luke Donald,28.53,485,17
29,0,40026,Daniel Berger,28.54,685,24
30,0,27644,Brian Harman,28.55,828,29
30,0,46970,Jon Rahm,28.55,628,22
32,0,28089,Jason Day,28.56,514,18
32,0,34466,Peter Malnati,28.56,771,27
32,0,29221,Webb Simpson,28.56,771,27
35,0,40058,Zac Blair,28.57,857,30
35,0,29479,Scott Brown,28.57,800,28
37,0,29223,Sam Saunders,28.59,629,22
38,0,33948,Byeong Hun An,28.60,572,20
38,0,25191,Gonzalo Fernandez-Castaño,28.60,572,20
40,0,27095,Nick Watney,28.62,601,21
41,0,25364,Paul Casey,28.65,659,23
41,0,06522,Ernie Els,28.65,573,20
43,0,24846,Ricky Barnes,28.66,831,29
44,0,24361,Pat Perez,28.67,688,24
45,0,31420,Anirban Lahiri,28.68,631,22
46,0,26329,Louis Oosthuizen,28.69,459,16
