RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,27942,Rob Oppenheim,76.24,77,101,-81,-19.00
2,0,48119,Ben Taylor,71.88,46,64,-51,+2.00
3,0,35891,Cameron Smith,70.06,124,177,-131,-16.00
4,0,46970,Jon Rahm,69.19,137,198,-143,-7.00
5,0,56278,Matthew Wolff,66.90,95,142,-105,+10.00
6,0,47504,Sam Burns,66.32,126,190,-137,-12.00
7,0,36689,Brooks Koepka,66.22,98,148,-105,-6.00
8,0,47347,Adam Schenk,66.07,111,168,-114,-10.00
9,0,27330,Josh Teater,65.71,46,70,-51,-8.00
10,0,49766,Hank Lebioda,65.66,65,99,-71,-29.00
11,0,25364,Paul Casey,65.10,97,149,-103,-9.00
12,0,33597,Harry Higgs,64.97,115,177,-126,+4.00
13,0,28252,Seamus Power,64.71,66,102,-70,-8.00
13,0,48081,Xander Schauffele,64.71,121,187,-131,-3.00
13,0,46046,Scottie Scheffler,64.71,154,238,-160,E
16,0,24361,Pat Perez,64.33,101,157,-107,-25.00
17,0,33419,Cameron Tringale,64.25,115,179,-119,-27.00
18,0,45157,Cam Davis,63.90,154,241,-170,+14.00
19,0,34264,Hudson Swafford,63.69,100,157,-109,-3.00
20,0,23320,Ryan Palmer,63.54,122,192,-131,-1.00
21,0,32839,Hideki Matsuyama,63.27,143,226,-152,-4.00
22,0,40006,Erik van Rooyen,63.23,98,155,-104,-6.00
23,0,47959,Bryson DeChambeau,63.11,154,244,-170,-2.00
24,0,35450,Patrick Cantlay,63.04,116,184,-120,-13.00
25,0,33448,Justin Thomas,62.78,113,180,-126,-7.00
26,0,34360,Patrick Reed,62.75,96,153,-104,-8.00
27,0,36801,Mark Hubbard,62.73,101,161,-106,-28.00
28,0,31560,Brian Stuard,62.71,74,118,-78,-44.00
29,0,52375,Doug Ghim,62.67,94,150,-94,-23.00
30,0,40026,Daniel Berger,62.63,119,190,-127,-21.00
31,0,27770,Camilo Villegas,62.60,82,131,-89,E
