RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,25804,Bubba Watson,152.2,3885791.000,709
2,0,01249,John Daly,154.5,2886568.000,519
3,0,32334,Charlie Beljan,155.3,3316190.000,593
4,0,27141,J.B. Holmes,158.0,6070610.000,1067
5,0,30692,Scott Stallings,161.2,5436851.000,937
6,0,30925,Dustin Johnson,161.3,4232966.000,729
7,0,24940,Edward Loar,161.8,3430532.000,589
8,0,24358,Robert Garrigus,161.9,5944747.000,1020
9,0,30110,Kyle Stanley,163.1,5695790.000,970
10,0,21805,Harrison Frazar,163.2,3883788.000,661
11,0,28237,Rory McIlroy,163.3,3273939.000,557
12,0,30944,Jason Kokrak,163.5,5516299.000,937
12,0,31323,Gary Woodland,163.5,4244625.000,721
14,0,33141,Keegan Bradley,164.9,5829569.000,982
15,0,27064,Jhonattan Vegas,165.1,5592410.000,941
16,0,24140,Sean O'Hair,165.2,6227452.000,1047
17,0,23320,Ryan Palmer,165.3,5784312.000,972
17,0,25818,Scott Piercy,165.3,7049766.000,1185
19,0,27330,Josh Teater,165.5,6796602.000,1141
20,0,27436,Graham DeLaet,165.6,5811062.000,975
21,0,20850,Daniel Chopra,165.8,3498719.000,586
21,0,29420,Billy Horschel,165.8,3962135.000,664
23,0,19970,Robert Karlsson,166.6,3375722.000,563
24,0,23621,Rory Sabbatini,167.2,5953088.000,989
25,0,28308,Troy Kelly,167.5,4203669.000,697
26,0,20848,Ángel Cabrera,167.8,3038178.000,503
27,0,27302,Garth Mulroy,168.3,3829406.000,632
28,0,29479,Scott Brown,168.5,4247240.000,700
28,0,28500,Martin Flores,168.5,6828292.000,1126
28,0,26289,Boo Weekley,168.5,4865125.000,802
31,0,34099,Harris English,168.6,7271360.000,1198
31,0,30750,Tommy Gainey,168.6,7479890.000,1232
31,0,32698,Bobby Gates,168.6,6354531.000,1047
31,0,27936,Martin Laird,168.6,4509220.000,743
31,0,27120,Troy Matteson,168.6,6893949.000,1136
36,0,01706,Davis Love III,168.7,4365461.000,719
37,0,26300,Matt Jones,168.8,3608813.000,594
38,0,33120,Mark Anderson,168.9,5089164.000,837
38,0,28089,Jason Day,168.9,3920923.000,645
40,0,29289,S.Y. Noh,169.2,7127856.000,1170
40,0,26329,Louis Oosthuizen,169.2,4086544.000,671
42,0,29478,Kevin Kisner,169.3,4425189.000,726
42,0,06567,Vijay Singh,169.3,6787629.000,1114
44,0,22371,Aaron Baddeley,169.4,4629758.000,759
44,0,24502,Adam Scott,169.4,3463436.000,568
