RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,32334,Charlie Beljan,156.3,2678522000,476
2,0,26289,Boo Weekley,156.7,3775104000,669
3,0,24940,Edward Loar,157.7,2668961000,470
4,0,27141,J.B. Holmes,158.1,4849751000,852
5,0,06034,Marco Dawson,158.9,2866198000,501
6,0,27644,Brian Harman,159.1,5786479000,1010
7,0,21805,Harrison Frazar,159.2,2956845000,516
7,0,29420,Billy Horschel,159.2,3146220000,549
7,0,29478,Kevin Kisner,159.2,3530504000,616
10,0,20850,Daniel Chopra,159.3,2688919000,469
11,0,30925,Dustin Johnson,159.7,3448871000,600
12,0,29476,Kyle Reifers,159.9,5025006000,873
13,0,28308,Troy Kelly,160.1,3384178000,587
14,0,28500,Martin Flores,160.2,5422407000,940
14,0,19846,Brian Gay,160.2,5368987000,931
14,0,12782,Tim Herron,160.2,5168526000,896
17,0,22548,Patrick Sheehan,160.3,2909383000,504
18,0,26300,Matt Jones,160.5,2963633000,513
18,0,25804,Bubba Watson,160.5,3328235000,576
20,0,33120,Mark Anderson,160.8,3808543000,658
20,0,30750,Tommy Gainey,160.8,5679602000,981
20,0,24502,Adam Scott,160.8,2587903000,447
20,0,06527,Steve Stricker,160.8,3572394000,617
24,0,23542,Tommy Biershenk,160.9,3497584000,604
25,0,34021,Bud Cauley,161.0,6177723000,1066
25,0,23548,Bill Lunde,161.0,4487077000,774
25,0,23325,Vaughn Taylor,161.0,4173632000,720
28,0,21961,Charles Howell III,161.1,5137494000,886
29,0,01706,Davis Love III,161.2,3411384000,588
29,0,30692,Scott Stallings,161.2,4369355000,753
31,0,01249,John Daly,161.3,2329239000,401
31,0,27330,Josh Teater,161.3,5259980000,906
33,0,28093,Miguel Angel Carballo,161.4,3584184000,617
34,0,25457,Alexandre Rocha,161.5,3430849000,590
34,0,26287,Roland Thatcher,161.5,2795905000,481
34,0,25892,Steve Wheatcroft,161.5,2853892000,491
37,0,22582,Kyle Thompson,161.7,2398949000,412
37,0,30927,Brendon Todd,161.7,4085328000,702
39,0,20098,Stuart Appleby,161.8,4530932000,778
39,0,24507,Jason Bohn,161.8,4381470000,752
41,0,06004,Stephen Ames,161.9,2628434000,451
41,0,22371,Aaron Baddeley,161.9,3583664000,615
41,0,10860,Justin Leonard,161.9,4550641000,781
44,0,23135,Tim Clark,162.0,3469869000,595
44,0,21731,Freddie Jacobson,162.0,2915895000,500
46,0,33122,Russell Knox,162.1,3892496000,667
47,0,25345,Carl Pettersson,162.2,5309430000,909
47,0,23623,Bo Van Pelt,162.2,4128841000,707
49,0,22621,Ben Curtis,162.3,3248778000,556
49,0,23353,J.J. Henry,162.3,5000537000,856
49,0,31202,William McGirt,162.3,5456318000,934
52,0,30852,Ryo Ishikawa,162.4,2507666000,429
52,0,26329,Louis Oosthuizen,162.4,3204457000,548
54,0,22913,John Rollins,162.5,4732083000,809
55,0,20574,Mathew Goggin,162.6,3770099000,644
55,0,30944,Jason Kokrak,162.6,4636569000,792
57,0,32366,Kevin Chappell,162.7,4773095000,815
57,0,02206,David Toms,162.7,3034391000,518
59,0,27436,Graham DeLaet,162.8,4736503000,808
60,0,01797,Rocco Mediate,162.9,4041758000,689
60,0,27302,Garth Mulroy,162.9,2938494000,501
60,0,23621,Rory Sabbatini,162.9,4639719000,791
60,0,27963,Chris Stroud,162.9,5270645000,899
64,0,30711,Colt Knost,163.0,4477455000,763
65,0,11123,Chris Couch,163.1,3565072000,607
65,0,29926,Danny Lee,163.1,3868749000,659
65,0,23320,Ryan Palmer,163.1,4567652000,778
65,0,25818,Scott Piercy,163.1,5594754000,953
65,0,27214,Kevin Streelman,163.1,5254102000,895
70,0,12652,Cameron Beckman,163.2,4371621000,744
70,0,23903,Stephen Gangluff,163.2,2849067000,485
70,0,26758,David Hearn,163.2,6098333000,1038
70,0,29222,Billy Hurley III,163.2,3783325000,644
74,0,01320,Bob Estes,163.3,4431465000,754
74,0,06573,Brandt Jobe,163.3,3028257000,515
74,0,27060,John Mallinger,163.3,4292503000,730
74,0,24138,Ian Poulter,163.3,2538874000,432
78,0,01116,Michael Bradley,163.4,3806547000,647
78,0,28307,Matt Every,163.4,4193505000,713
78,0,28237,Rory McIlroy,163.4,2547763000,433
78,0,25834,Daniel Summerhays,163.4,4622905000,786
78,0,08793,Tiger Woods,163.4,3188141000,542
83,0,25686,Jason Dufner,163.5,4284189000,728
83,0,22046,Geoff Ogilvy,163.5,3777849000,642
85,0,22961,David Mathis,163.6,4705535000,799
86,0,24494,Erik Compton,163.7,4060356000,689
86,0,21753,Brian Davis,163.7,5278996000,896
86,0,20691,Greg Owen,163.7,5031412000,854
86,0,22293,Heath Slocum,163.7,5226559000,887
86,0,23788,D.J. Trahan,163.7,4084710000,693
91,0,20848,Ángel Cabrera,163.9,2442515000,414
91,0,21350,Ryuji Imada,163.9,4577793000,776
91,0,20160,Charlie Wi,163.9,4891809000,829
94,0,28455,Will Claxton,164.0,5792492000,981
94,0,28089,Jason Day,164.0,3057956000,518
94,0,34099,Harris English,164.0,5774582000,978
94,0,32102,Rickie Fowler,164.0,4352303000,737
94,0,27974,Sung Kang,164.0,4051356000,686
94,0,29289,S.Y. Noh,164.0,5828709000,987
94,0,10213,Dicky Pride,164.0,3312689000,561
94,0,27095,Nick Watney,164.0,4912274000,832
102,0,33141,Keegan Bradley,164.1,4636867000,785
102,0,24140,Sean O'Hair,164.1,4997372000,846
102,0,20572,Rod Pampling,164.1,4809658000,814
102,0,27556,Ted Potter Jr.,164.1,4152450000,703
106,0,20766,Padraig Harrington,164.2,2978784000,504
107,0,27895,Jonas Blixt,164.3,4270502000,722
107,0,20623,Gavin Coles,164.3,3891843000,658
107,0,30926,Chris Kirk,164.3,5620156000,950
107,0,23108,Matt Kuchar,164.3,4572594000,773
107,0,01724,Jeff Maggert,164.3,5357243000,906
107,0,22348,Nick O'Hern,164.3,4679101000,791
107,0,24361,Pat Perez,164.3,4618977000,781
114,0,31558,J.J. Killeen,164.4,5793303000,979
114,0,27770,Camilo Villegas,164.4,4941065000,835
114,0,24663,Y.E. Yang,164.4,3195686000,540
117,0,32698,Bobby Gates,164.5,5020995000,848
117,0,26476,Chez Reavie,164.5,4576549000,773
117,0,29518,Brendan Steele,164.5,4376690000,739
120,0,19970,Robert Karlsson,164.6,2470872000,417
121,0,32200,Roberto Castro,164.7,5176781000,873
121,0,23638,Brendon de Jonge,164.7,6896830000,1163
121,0,23800,Bryce Molder,164.7,4945053000,834
124,0,08725,Tom Gillis,164.8,4474219000,754
125,0,28259,Sangmoon Bae,164.9,3472384000,585
125,0,23541,Ben Crane,164.9,3970375000,669
125,0,06522,Ernie Els,164.9,4623600000,779
125,0,06567,Vijay Singh,164.9,5426597000,914
125,0,32150,Michael Thompson,164.9,4314763000,727
125,0,21878,Mark Wilson,164.9,4742047000,799
131,0,20070,Matt Bettencourt,165.0,3753379000,632
131,0,27120,Troy Matteson,165.0,5666396000,954
131,0,27649,Brandt Snedeker,165.0,4389491000,739
134,0,24357,K.J. Choi,165.1,3721050000,626
134,0,27797,Derek Lamely,165.1,3761835000,633
134,0,28475,Jeff Overton,165.1,6205215000,1044
137,0,20229,Stewart Cink,165.2,3591592000,604
137,0,26851,Marc Leishman,165.2,5056298000,850
137,0,27933,John Merrick,165.2,4882800000,821
137,0,26951,Johnson Wagner,165.2,5163541000,868
141,0,24846,Ricky Barnes,165.3,5373533000,903
141,0,06251,Chris DiMarco,165.3,4795339000,806
141,0,35139,Richard Lee,165.3,3891923000,654
141,0,30110,Kyle Stanley,165.3,4724952000,794
141,0,31323,Gary Woodland,165.3,3416437000,574
146,0,26596,Ryan Moore,165.6,5364272000,900
147,0,01810,Phil Mickelson,165.7,3961704000,664
148,0,29910,Blake Adams,165.8,5838543000,978
148,0,27466,Spencer Levin,165.8,4457445000,747
150,0,10885,Robert Allenby,165.9,4401532000,737
150,0,12716,Charley Hoffman,165.9,4944588000,828
152,0,28087,Kris Blanks,166.0,4020857000,673
152,0,27064,Jhonattan Vegas,166.0,4482074000,750
154,0,10809,Jim Furyk,166.1,4772200000,798
154,0,22378,Trevor Immelman,166.1,3964862000,663
156,0,21407,Arjun Atwal,166.2,4542490000,759
156,0,23983,Luke Donald,166.2,3428515000,573
158,0,29479,Scott Brown,166.3,3299148000,551
159,0,25632,Jimmy Walker,166.4,6153308000,1027
160,0,24358,Robert Garrigus,166.5,4837789000,807
160,0,33419,Cameron Tringale,166.5,5297309000,884
