RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,28135,Aaron Watkins,89' 7",89.583,1
2,0,12510,Chad Campbell,79' 7",79.583,1
3,0,25240,D.A. Points,77' 10",155.667,2
4,0,30944,Jason Kokrak,74' 2",148.250,2
5,0,32200,Roberto Castro,68' 10",137.583,2
6,0,27408,Martin Kaymer,68' 8",68.667,1
7,0,27503,Steve LeBrun,68' 3",68.250,1
8,0,23800,Bryce Molder,66' 1",66.083,1
9,0,25804,Bubba Watson,64' 10",64.833,1
10,0,23497,Tag Ridings,63' 8",63.667,1
11,0,10885,Robert Allenby,63' 2",63.167,1
12,0,22806,Doug LaBelle II,62' 1",124.167,2
13,0,28237,Rory McIlroy,58' 4",58.333,1
14,0,27214,Kevin Streelman,55' 4",55.333,1
15,0,06567,Vijay Singh,52' 6",52.500,1
16,0,33141,Keegan Bradley,52' 4",52.333,1
17,0,32334,Charlie Beljan,52' 3",52.250,1
18,0,25444,Justin Hicks,52' 1",156.333,3
19,0,27120,Troy Matteson,51' 11",51.917,1
20,0,23621,Rory Sabbatini,51' 10",51.833,1
21,0,22046,Geoff Ogilvy,51' 4",51.333,1
22,0,34098,Russell Henley,49' 10",99.667,2
23,0,01724,Jeff Maggert,49' 2",49.167,1
24,0,27095,Nick Watney,48' 11",48.917,1
25,0,34360,Patrick Reed,48' 2",48.167,1
26,0,29425,Andrew Svoboda,45' 4",45.333,1
27,0,32366,Kevin Chappell,44' 11",44.917,1
28,0,29740,Brad Fritsch,44' 3",132.667,3
29,0,30926,Chris Kirk,44' 1",88.167,2
30,0,30163,Henrik Norlander,43' 3",43.250,1
31,0,06522,Ernie Els,43' 0",43.000,1
32,0,24490,George McNeill,41' 8",41.667,1
32,0,27330,Josh Teater,41' 8",41.667,1
34,0,25274,Steven Bowditch,40' 11",81.833,2
35,0,35539,Luke Guthrie,40' 10",40.833,1
36,0,27770,Camilo Villegas,40' 6",40.500,1
37,0,26331,Charl Schwartzel,39' 11",39.917,1
38,0,24846,Ricky Barnes,39' 9",79.417,2
39,0,34409,David Lingmerth,39' 0",117.000,3
40,0,34174,John Huh,38' 5",115.333,3
41,0,23541,Ben Crane,37' 2",148.500,4
42,0,25336,Alistair Presnell,37' 1",37.083,1
43,0,20848,Ángel Cabrera,36' 11",73.750,2
44,0,30692,Scott Stallings,36' 5",36.417,1
44,0,20396,Lee Westwood,36' 5",72.750,2
46,0,24924,Bill Haas,36' 0",36.000,1
47,0,24494,Erik Compton,34' 9",69.417,2
48,0,26596,Ryan Moore,34' 4",34.333,1
49,0,20160,Charlie Wi,34' 0",68.000,2
50,0,23325,Vaughn Taylor,33' 10",33.833,1
51,0,01320,Bob Estes,32' 9",32.750,1
52,0,23638,Brendon de Jonge,31' 11",31.917,1
53,0,28780,Nicholas Thompson,31' 2",124.667,4
54,0,01116,Michael Bradley,30' 11",30.917,1
55,0,28259,Sangmoon Bae,30' 10",30.833,1
56,0,02206,David Toms,30' 5",30.417,1
57,0,30110,Kyle Stanley,30' 2",90.500,3
58,0,20691,Greg Owen,29' 8",29.667,1
59,0,27129,Luke List,28' 8",28.667,1
60,0,34099,Harris English,28' 0",28.000,1
61,0,27895,Jonas Blixt,27' 7",55.083,2
62,0,20645,John Senden,27' 3",27.250,1
63,0,34046,Jordan Spieth,26' 5",26.417,1
64,0,22792,Peter Hanson,26' 3",26.250,1
65,0,29420,Billy Horschel,25' 9",25.750,1
66,0,06573,Brandt Jobe,23' 5",23.417,1
67,0,23452,Nicolas Colsaerts,23' 3",23.250,1
68,0,24399,Scott Gardiner,21' 5",42.833,2
69,0,25818,Scott Piercy,18' 7",18.583,1
70,0,12716,Charley Hoffman,17' 1",17.083,1
71,0,22056,Cameron Percy,15' 10",15.833,1
72,0,26758,David Hearn,15' 1",15.083,1
73,0,26679,Kevin Stadler,13' 1",39.333,3
74,0,24138,Ian Poulter,10' 11",10.917,1
75,0,24358,Robert Garrigus,10' 1",10.083,1
76,0,26497,Casey Wittenberg,8' 7",8.583,1
77,0,22961,David Mathis,7' 5",7.417,1
78,0,25562,Andres Romero,6' 9",6.750,1
79,0,25900,Lucas Glover,5' 10",5.833,1
80,0,01810,Phil Mickelson,5' 0",5.000,1
81,0,20572,Rod Pampling,4' 7",4.583,1
