RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,21961,Charles Howell III,24' 4",19222.917,791
1,0,24781,Hunter Mahan,24' 4",17469.000,717
3,0,21528,Henrik Stenson,24' 3",11215.333,463
4,0,34098,Russell Henley,24' 2",15997.000,663
4,0,33419,Cameron Tringale,24' 2",18519.833,767
6,0,20848,Ángel Cabrera,24' 1",14181.500,589
6,0,22806,Doug LaBelle II,24' 1",14330.250,595
6,0,35139,Richard Lee,24' 1",17828.250,739
9,0,32698,Bobby Gates,24' 0",9832.000,410
9,0,29518,Brendan Steele,24' 0",19335.250,807
9,0,28135,Aaron Watkins,24' 0",8440.667,352
12,0,06527,Steve Stricker,23' 9",7818.500,329
13,0,26951,Johnson Wagner,23' 8",12893.750,544
14,0,21209,Sergio Garcia,23' 7",10992.250,466
14,0,06573,Brandt Jobe,23' 7",13210.250,561
16,0,23353,J.J. Henry,23' 6",19599.000,834
16,0,27408,Martin Kaymer,23' 6",10541.750,449
16,0,27936,Martin Laird,23' 6",13102.667,558
16,0,27933,John Merrick,23' 6",16768.250,713
20,0,28089,Jason Day,23' 5",13917.250,594
20,0,22378,Trevor Immelman,23' 5",15852.000,676
20,0,27120,Troy Matteson,23' 5",14346.917,612
23,0,06004,Stephen Ames,23' 4",9980.750,428
23,0,20098,Stuart Appleby,23' 4",18162.167,777
23,0,29420,Billy Horschel,23' 4",19663.583,844
23,0,30711,Colt Knost,23' 4",13802.750,591
27,0,33141,Keegan Bradley,23' 3",17199.667,740
27,0,22621,Ben Curtis,23' 3",10897.583,469
27,0,34099,Harris English,23' 3",18968.417,816
27,0,01320,Bob Estes,23' 3",14292.083,615
27,0,08725,Tom Gillis,23' 3",13918.167,599
27,0,28092,D.H. Lee,23' 3",13883.000,598
27,0,23800,Bryce Molder,23' 3",16164.250,694
27,0,27214,Kevin Streelman,23' 3",16566.917,712
35,0,25274,Steven Bowditch,23' 2",12788.167,552
35,0,24494,Erik Compton,23' 2",15024.333,649
35,0,20443,Jin Park,23' 2",10102.583,436
35,0,22056,Cameron Percy,23' 2",13581.917,587
35,0,24361,Pat Perez,23' 2",15590.833,674
35,0,20645,John Senden,23' 2",15222.750,658
35,0,27963,Chris Stroud,23' 2",17400.833,752
35,0,25834,Daniel Summerhays,23' 2",18343.917,793
43,0,20593,Greg Chalmers,23' 1",15533.417,674
43,0,24357,K.J. Choi,23' 1",14727.000,638
43,0,28475,Jeff Overton,23' 1",17203.333,746
43,0,33418,Shawn Stefani,23' 1",11630.500,504
47,0,27895,Jonas Blixt,23' 0",14890.333,647
47,0,23541,Ben Crane,23' 0",12425.000,541
47,0,27129,Luke List,23' 0",11801.833,514
50,0,28259,Sangmoon Bae,22' 11",15831.333,690
50,0,27436,Graham DeLaet,22' 11",19576.833,853
50,0,26300,Matt Jones,22' 11",15852.917,691
50,0,25336,Alistair Presnell,22' 11",10486.167,458
50,0,25562,Andres Romero,22' 11",11723.000,511
55,0,32334,Charlie Beljan,22' 10",13173.250,577
55,0,20229,Stewart Cink,22' 10",13751.750,603
55,0,24924,Bill Haas,22' 10",16680.333,730
55,0,10860,Justin Leonard,22' 10",16813.667,736
55,0,29425,Andrew Svoboda,22' 10",8661.667,380
55,0,08793,Tiger Woods,22' 10",9560.833,419
61,0,12510,Chad Campbell,22' 9",17476.000,767
61,0,31557,Jim Herman,22' 9",10759.083,473
61,0,34174,John Huh,22' 9",17398.833,764
61,0,29289,S.Y. Noh,22' 9",14805.417,651
61,0,21878,Mark Wilson,22' 9",12123.750,532
61,0,26497,Casey Wittenberg,22' 9",14070.583,618
67,0,01116,Michael Bradley,22' 8",10492.750,463
67,0,30944,Jason Kokrak,22' 8",16139.417,711
67,0,27503,Steve LeBrun,22' 8",12582.083,556
67,0,22046,Geoff Ogilvy,22' 8",9263.833,409
67,0,32150,Michael Thompson,22' 8",12325.917,543
72,0,22371,Aaron Baddeley,22' 7",12218.917,541
72,0,23409,James Driscoll,22' 7",13899.000,616
72,0,25686,Jason Dufner,22' 7",13745.750,609
72,0,37273,Derek Ernst,22' 7",11982.167,530
72,0,28500,Martin Flores,22' 7",16948.250,751
72,0,26758,David Hearn,22' 7",16204.583,718
72,0,08075,Jerry Kelly,22' 7",14520.000,643
72,0,21099,David Lynn,22' 7",12601.333,559
72,0,27556,Ted Potter Jr.,22' 7",12028.833,532
72,0,10213,Dicky Pride,22' 7",13824.500,612
72,0,31560,Brian Stuard,22' 7",14972.417,663
72,0,27095,Nick Watney,22' 7",17447.250,774
72,0,25804,Bubba Watson,22' 7",14266.750,632
85,0,24846,Ricky Barnes,22' 6",16168.917,718
85,0,24227,Justin Bolli,22' 6",10371.583,461
85,0,24024,Zach Johnson,22' 6",15479.250,689
85,0,31202,William McGirt,22' 6",16271.333,722
85,0,34360,Patrick Reed,22' 6",16068.250,714
85,0,34431,Robert Streb,22' 6",14489.917,643
85,0,31323,Gary Woodland,22' 6",19486.583,866
92,0,23638,Brendon de Jonge,22' 5",22879.833,1019
92,0,23983,Luke Donald,22' 5",9860.000,440
92,0,25900,Lucas Glover,22' 5",12257.250,547
92,0,33461,Morgan Hoffmann,22' 5",11594.833,518
92,0,23108,Matt Kuchar,22' 5",15424.333,688
92,0,26851,Marc Leishman,22' 5",14484.667,646
92,0,30163,Henrik Norlander,22' 5",13943.000,621
92,0,23788,D.J. Trahan,22' 5",8985.083,401
100,0,12782,Tim Herron,22' 4",9768.083,438
100,0,36884,Ben Kohles,22' 4",14399.250,645
102,0,29479,Scott Brown,22' 3",12872.083,578
102,0,10809,Jim Furyk,22' 3",14771.333,665
102,0,28679,Fabián Gómez,22' 3",12862.583,579
102,0,30925,Dustin Johnson,22' 3",11613.667,522
102,0,19970,Robert Karlsson,22' 3",8268.417,372
102,0,01810,Phil Mickelson,22' 3",11911.000,535
102,0,23497,Tag Ridings,22' 3",13810.917,621
109,0,25444,Justin Hicks,22' 2",15248.500,687
109,0,23325,Vaughn Taylor,22' 2",8497.583,384
111,0,23452,Nicolas Colsaerts,22' 1",8694.833,394
111,0,27644,Brian Harman,22' 1",16834.250,761
111,0,12716,Charley Hoffman,22' 1",16295.667,738
111,0,24138,Ian Poulter,22' 1",8288.083,376
111,0,27649,Brandt Snedeker,22' 1",11715.583,531
116,0,10885,Robert Allenby,22' 0",12059.167,549
116,0,28455,Will Claxton,22' 0",13417.500,611
116,0,32102,Rickie Fowler,22' 0",12782.500,582
116,0,21731,Freddie Jacobson,22' 0",9584.500,435
116,0,24490,George McNeill,22' 0",14603.833,664
116,0,26596,Ryan Moore,22' 0",12439.667,565
116,0,24140,Sean O'Hair,22' 0",11927.250,542
