RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
183,0,29420,Billy Horschel,2.91,186,64
184,0,35901,Paul Haley II,2.93,270,92
185,0,31557,Jim Herman,2.94,226,77
185,0,46601,Trey Mullinax,2.94,209,71
185,0,53165,Doc Redman,2.94,229,78
188,0,27095,Nick Watney,2.95,224,76
189,0,29970,Dylan Frittelli,2.97,232,78
190,0,51414,Brent Grant,2.98,250,84
191,0,52411,Kyle Westmoreland,3.03,239,79
192,0,51491,Brandon Matthews,3.08,182,59
193,0,32662,Michael Gligic,3.11,227,73
