RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,01599,Steve Jones,1.01,4,396
2,0,01996,Mike Reid,1.11,5,450
3,0,01378,David Frost,1.21,5,414
4,0,10809,Jim Furyk,1.23,6,486
4,0,02223,Bob Tway,1.23,6,486
6,0,01677,Tom Lehman,1.26,5,396
6,0,02010,Loren Roberts,1.26,5,396
8,0,01219,John Cook,1.28,6,468
9,0,01334,Keith Fergus,1.31,4,306
10,0,01761,Len Mattiace,1.48,8,540
11,0,12645,Brent Geiberger,1.50,7,468
12,0,01132,Mark Brooks,1.53,8,522
13,0,06056,Jim Estes,1.56,7,450
14,0,02321,Fuzzy Zoeller,1.67,6,360
15,0,01024,Billy Andrade,1.72,9,522
16,0,01042,Paul Azinger,1.77,7,396
17,0,01282,Trevor Dodds,1.79,9,504
17,0,01320,Bob Estes,1.79,9,504
17,0,08075,Jerry Kelly,1.79,10,558
20,0,20229,Stewart Cink,1.85,9,486
20,0,01249,John Daly,1.85,8,432
20,0,01457,Jay Haas,1.85,8,432
20,0,06575,Dudley Hart,1.85,8,432
20,0,01943,Chris Perry,1.85,10,540
20,0,02104,Jeff Sluman,1.85,10,540
26,0,01968,Nick Price,1.96,6,306
27,0,01302,R.W. Eaks,1.97,11,558
27,0,02008,Lee Rinker,1.97,11,558
27,0,02218,Ted Tryba,1.97,11,558
30,0,01510,Nolan Henke,2.00,9,450
30,0,01553,John Huston,2.00,9,450
32,0,09011,David Duval,2.02,8,396
32,0,01928,Corey Pavin,2.02,8,396
34,0,01139,Olin Browne,2.08,9,432
34,0,01261,Jay Delsing,2.08,9,432
36,0,02146,Payne Stewart,2.12,8,378
36,0,06527,Steve Stricker,2.12,8,378
38,0,06522,Ernie Els,2.14,5,234
38,0,02101,Joey Sindelar,2.14,10,468
40,0,10569,Mike Brisky,2.15,12,558
41,0,01810,Phil Mickelson,2.17,9,414
42,0,10195,Tim Conley,2.22,10,450
42,0,01331,Rick Fehr,2.22,8,360
42,0,01414,Bob Gilder,2.22,12,540
42,0,01960,Don Pooley,2.22,8,360
42,0,02099,Scott Simpson,2.22,8,360
42,0,02206,David Toms,2.22,10,450
48,0,01707,Steve Lowery,2.26,11,486
49,0,08537,J.P. Hayes,2.27,9,396
50,0,01306,David Edwards,2.31,10,432
51,0,08931,Glen Day,2.35,11,468
51,0,01941,Tom Pernice Jr.,2.35,11,468
51,0,02294,Willie Wood,2.35,11,468
54,0,06064,Jeff Gallagher,2.38,12,504
54,0,01633,Tom Kite,2.38,9,378
56,0,07235,John Morse,2.42,10,414
57,0,01748,Doug Martin,2.43,14,576
58,0,01353,Bruce Fleisher,2.44,11,450
58,0,21805,Harrison Frazar,2.44,11,450
58,0,02246,Duffy Waldorf,2.44,11,450
61,0,01891,David Ogrin,2.49,13,522
61,0,06595,Kevin Sutherland,2.49,13,522
63,0,02131,Mike Springer,2.53,15,594
64,0,01329,Brad Faxon,2.55,11,432
64,0,01724,Jeff Maggert,2.55,11,432
64,0,02214,Kirk Triplett,2.55,11,432
67,0,01096,Phil Blackmar,2.56,12,468
67,0,01766,Billy Mayfair,2.56,12,468
69,0,01035,Tommy Armour III,2.58,13,504
70,0,02170,Hal Sutton,2.59,14,540
71,0,12660,Jesper Parnevik,2.63,9,342
72,0,20098,Stuart Appleby,2.65,10,378
72,0,01569,Peter Jacobsen,2.65,10,378
74,0,06270,Bobby Gage,2.66,11,414
74,0,01577,Lee Janzen,2.66,11,414
74,0,01717,Sandy Lyle,2.66,11,414
77,0,08375,Paul Stankowski,2.67,12,450
78,0,06078,Esteban Toledo,2.68,14,522
79,0,02135,Mike Standly,2.69,15,558
79,0,02241,Bobby Wadkins,2.69,15,558
81,0,01475,Donnie Hammond,2.78,13,468
81,0,06617,Brian Henninger,2.78,14,504
81,0,02239,Scott Verplank,2.78,13,468
84,0,01376,Bob Friend,2.87,15,522
85,0,01093,Ronnie Black,2.88,14,486
85,0,01203,Russ Cochran,2.88,14,486
85,0,10585,Scott McCarron,2.88,14,486
85,0,12663,Phil Tataurangi,2.88,14,486
89,0,06012,Greg Kraft,2.89,13,450
89,0,10213,Dicky Pride,2.89,13,450
91,0,01887,Mark O'Meara,2.92,10,342
92,0,02133,Craig Stadler,2.94,9,306
93,0,02023,Clarence Rose,2.95,17,576
94,0,01723,Andrew Magee,2.98,15,504
95,0,20154,Guy Hill,2.99,14,468
95,0,10423,Mike Weir,2.99,14,468
97,0,01116,Michael Bradley,3.03,12,396
97,0,01408,Kelly Gibson,3.03,18,594
99,0,11032,Frank Lickliter II,3.05,17,558
100,0,01706,Davis Love III,3.06,11,360
101,0,06613,Tommy Tolles,3.09,15,486
102,0,01926,Steve Pate,3.11,14,450
103,0,02159,Curtis Strange,3.13,9,288
104,0,06791,Mark Wurtz,3.14,13,414
105,0,01771,Blaine McCallister,3.15,17,540
106,0,01014,Fulton Allem,3.17,12,378
106,0,07457,Steve Flesch,3.17,16,504
106,0,07101,Dave Stockton Jr.,3.17,12,378
109,0,07569,Mark Carnevale,3.23,18,558
109,0,01175,Jim Carter,3.23,18,558
111,0,01185,Brandel Chamblee,3.24,14,432
111,0,06621,Joe Durant,3.24,14,432
113,0,01619,Skip Kendall,3.26,17,522
114,0,19881,Robert Damron,3.29,16,486
115,0,01381,Fred Funk,3.30,19,576
116,0,01157,Tom Byrum,3.33,18,540
116,0,06643,Paul Goydos,3.33,18,540
116,0,06044,Scott Gump,3.33,18,540
116,0,01549,Mike Hulbert,3.33,18,540
116,0,10457,Frank Nobilo,3.33,12,360
121,0,01201,Lennie Clements,3.37,17,504
121,0,07749,Brett Quigley,3.37,17,504
121,0,02002,John Riegger,3.37,17,504
