RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01313,Steve Elkington,8.06,47,583,+0.09
2,0,21753,Brian Davis,8.58,109,1271,+0.12
3,0,06621,Joe Durant,8.83,78,883,+0.28
4,0,02206,David Toms,9.16,75,819,+0.07
5,0,22913,John Rollins,9.19,91,990,E
6,0,23800,Bryce Molder,9.31,91,977,+0.04
7,0,19846,Brian Gay,9.58,98,1023,+0.03
8,0,27933,John Merrick,9.83,82,834,+0.18
9,0,23541,Ben Crane,9.84,85,864,+0.02
10,0,25686,Jason Dufner,9.87,89,902,+0.09
11,0,29910,Blake Adams,9.90,144,1454,+0.13
12,0,22293,Heath Slocum,9.98,103,1032,+0.14
13,0,08075,Jerry Kelly,10.06,95,944,+0.07
14,0,27214,Kevin Streelman,10.12,100,988,+0.08
15,0,28620,Aron Price,10.32,70,678,+0.24
16,0,21878,Mark Wilson,10.54,102,968,+0.15
17,0,27330,Josh Teater,10.85,138,1272,+0.13
18,0,01797,Rocco Mediate,10.88,73,671,+0.23
19,0,06251,Chris DiMarco,10.92,124,1136,+0.10
20,0,20127,Chris Riley,10.93,103,942,+0.21
21,0,21961,Charles Howell III,11.00,137,1245,-0.09
21,0,24024,Zach Johnson,11.00,98,891,+0.09
23,0,26758,David Hearn,11.02,116,1053,+0.09
24,0,22348,Nick O'Hern,11.09,117,1055,+0.15
25,0,12510,Chad Campbell,11.18,134,1199,+0.14
25,0,29518,Brendan Steele,11.18,119,1064,+0.13
27,0,22961,David Mathis,11.20,109,973,+0.15
28,0,11123,Chris Couch,11.21,104,928,-0.04
29,0,20593,Greg Chalmers,11.22,122,1087,+0.08
30,0,06573,Brandt Jobe,11.24,126,1121,+0.10
31,0,30692,Scott Stallings,11.30,107,947,+0.11
32,0,28087,Kris Blanks,11.32,129,1140,+0.12
33,0,10733,Kent Jones,11.43,106,927,+0.18
34,0,20498,Briny Baird,11.47,78,680,+0.05
35,0,25834,Daniel Summerhays,11.48,104,906,+0.16
36,0,26289,Boo Weekley,11.49,91,792,+0.16
37,0,01766,Billy Mayfair,11.52,136,1181,+0.09
38,0,27939,Matt McQuillan,11.54,77,667,+0.21
39,0,24490,George McNeill,11.56,92,796,+0.12
39,0,24138,Ian Poulter,11.56,63,545,+0.11
41,0,33413,Ben Martin,11.58,104,898,+0.17
42,0,32640,Troy Merritt,11.62,91,783,+0.11
43,0,30110,Kyle Stanley,11.65,128,1099,+0.08
44,0,20572,Rod Pampling,11.74,98,835,+0.14
45,0,26668,Marc Turnesa,11.87,75,632,+0.08
46,0,20645,John Senden,11.89,133,1119,+0.10
47,0,27974,Sung Kang,11.91,84,705,+0.13
48,0,20472,Alex Cejka,11.96,77,644,+0.05
49,0,29720,Andres Gonzales,12.04,76,631,+0.17
50,0,10505,Shane Bertsch,12.05,87,722,+0.08
50,0,32150,Michael Thompson,12.05,114,946,+0.06
52,0,26476,Chez Reavie,12.09,138,1141,+0.12
53,0,06004,Stephen Ames,12.11,101,834,+0.07
54,0,32366,Kevin Chappell,12.14,102,840,+0.18
55,0,26851,Marc Leishman,12.29,134,1090,+0.04
56,0,20160,Charlie Wi,12.35,131,1061,+0.16
57,0,22621,Ben Curtis,12.37,107,865,+0.10
58,0,24502,Adam Scott,12.38,78,630,+0.08
59,0,07867,Woody Austin,12.46,86,690,+0.16
60,0,35087,Bio Kim,12.47,97,778,+0.05
61,0,22405,Justin Rose,12.53,110,878,+0.04
62,0,34072,Will Strickler,12.56,74,589,+0.19
63,0,25572,Graeme McDowell,12.60,65,516,+0.11
64,0,10860,Justin Leonard,12.63,129,1021,+0.16
65,0,10809,Jim Furyk,12.72,124,975,+0.20
66,0,30711,Colt Knost,12.78,119,931,+0.19
67,0,23548,Bill Lunde,12.83,137,1068,+0.13
68,0,33419,Cameron Tringale,12.85,172,1339,+0.09
69,0,01948,Tim Petrovic,12.87,136,1057,+0.16
70,0,27770,Camilo Villegas,12.88,101,784,+0.05
71,0,25444,Justin Hicks,12.89,79,613,+0.22
