RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,22293,Heath Slocum,88.56,1091,1232
2,0,23541,Ben Crane,86.35,886,1026
3,0,22621,Ben Curtis,86.01,793,922
4,0,06621,Joe Durant,85.84,849,989
5,0,20645,John Senden,85.74,1124,1311
6,0,21753,Brian Davis,85.65,1253,1463
7,0,06643,Paul Goydos,85.47,965,1129
8,0,01313,Steve Elkington,85.37,595,697
9,0,06527,Steve Stricker,85.26,827,970
10,0,01797,Rocco Mediate,85.20,633,743
11,0,26476,Chez Reavie,85.18,1092,1282
12,0,24924,Bill Haas,85.17,1097,1288
13,0,25686,Jason Dufner,84.79,920,1085
14,0,24502,Adam Scott,84.70,703,830
15,0,24024,Zach Johnson,84.62,924,1092
16,0,20472,Alex Cejka,84.37,691,819
17,0,23623,Bo Van Pelt,84.26,1060,1258
18,0,24138,Ian Poulter,84.12,604,718
19,0,21878,Mark Wilson,84.06,1018,1211
20,0,27214,Kevin Streelman,83.93,1055,1257
21,0,01766,Billy Mayfair,83.85,1101,1313
22,0,22913,John Rollins,83.69,990,1183
23,0,23788,D.J. Trahan,83.61,1061,1269
24,0,11123,Chris Couch,83.56,849,1016
25,0,23108,Matt Kuchar,83.55,1031,1234
26,0,25572,Graeme McDowell,83.53,553,662
27,0,25240,D.A. Points,83.51,1038,1243
28,0,29221,Webb Simpson,83.31,1138,1366
29,0,22405,Justin Rose,83.30,898,1078
30,0,27649,Brandt Snedeker,83.28,986,1184
31,0,23983,Luke Donald,83.16,780,938
32,0,24781,Hunter Mahan,83.11,1038,1249
33,0,25804,Bubba Watson,82.99,917,1105
34,0,10809,Jim Furyk,82.96,998,1203
34,0,08725,Tom Gillis,82.96,638,769
36,0,12716,Charley Hoffman,82.81,1065,1286
36,0,22046,Geoff Ogilvy,82.81,761,919
38,0,01706,Davis Love III,82.74,810,979
39,0,20157,Retief Goosen,82.70,564,682
40,0,30925,Dustin Johnson,82.65,824,997
41,0,31323,Gary Woodland,82.63,1070,1295
42,0,23325,Vaughn Taylor,82.59,1025,1241
43,0,24361,Pat Perez,82.53,874,1059
44,0,22378,Trevor Immelman,82.49,966,1171
45,0,22348,Nick O'Hern,82.37,1023,1242
46,0,26331,Charl Schwartzel,82.27,645,784
47,0,27936,Martin Laird,82.23,870,1058
48,0,10860,Justin Leonard,82.21,938,1141
48,0,02206,David Toms,82.21,892,1085
50,0,21350,Ryuji Imada,82.12,951,1158
51,0,24357,K.J. Choi,82.04,859,1047
52,0,23673,Michael Connell,82.00,870,1061
53,0,06522,Ernie Els,81.96,795,970
54,0,10885,Robert Allenby,81.93,952,1162
55,0,24846,Ricky Barnes,81.89,891,1088
56,0,12510,Chad Campbell,81.88,1130,1380
56,0,12602,Dean Wilson,81.88,705,861
58,0,27095,Nick Watney,81.73,877,1073
59,0,26287,Roland Thatcher,81.65,761,932
60,0,19846,Brian Gay,81.64,1023,1253
61,0,28087,Kris Blanks,81.61,1047,1283
62,0,24358,Robert Garrigus,81.60,949,1163
63,0,06567,Vijay Singh,81.47,897,1101
64,0,21209,Sergio Garcia,81.41,692,850
65,0,28475,Jeff Overton,81.29,1034,1272
66,0,24925,Jonathan Byrd,81.26,932,1147
67,0,24663,Y.E. Yang,81.23,671,826
68,0,29910,Blake Adams,81.20,1313,1617
68,0,25900,Lucas Glover,81.20,838,1032
70,0,32102,Rickie Fowler,81.13,920,1134
71,0,23800,Bryce Molder,81.10,927,1143
72,0,06573,Brandt Jobe,80.93,1129,1395
73,0,19970,Robert Karlsson,80.87,668,826
74,0,20160,Charlie Wi,80.85,937,1159
75,0,26289,Boo Weekley,80.80,745,922
76,0,23614,Rich Beem,80.78,597,739
77,0,28158,Steve Marino,80.77,857,1061
78,0,06251,Chris DiMarco,80.74,1048,1298
79,0,23638,Brendon de Jonge,80.59,1179,1463
80,0,30926,Chris Kirk,80.46,976,1213
81,0,25345,Carl Pettersson,80.45,1070,1330
82,0,01810,Phil Mickelson,80.32,865,1077
83,0,08075,Jerry Kelly,80.27,952,1186
84,0,27466,Spencer Levin,80.25,1264,1575
85,0,24604,Hunter Haas,80.21,1074,1339
86,0,24507,Jason Bohn,80.19,834,1040
87,0,20436,Garrett Willis,80.18,793,989
88,0,20127,Chris Riley,80.17,849,1059
89,0,06004,Stephen Ames,80.15,771,962
90,0,29518,Brendan Steele,80.03,994,1242
91,0,26596,Ryan Moore,80.02,837,1046
91,0,26951,Johnson Wagner,80.02,905,1131
93,0,31202,William McGirt,79.97,1150,1438
94,0,23353,J.J. Henry,79.81,1067,1337
95,0,08537,J.P. Hayes,79.62,621,780
95,0,27141,J.B. Holmes,79.62,590,741
97,0,26300,Matt Jones,79.23,782,987
98,0,20593,Greg Chalmers,79.15,972,1228
99,0,26851,Marc Leishman,79.14,960,1213
100,0,23548,Bill Lunde,79.07,1016,1285
101,0,33419,Cameron Tringale,78.96,1212,1535
102,0,25396,Kevin Na,78.70,920,1169
103,0,22371,Aaron Baddeley,78.64,847,1077
104,0,32640,Troy Merritt,78.61,691,879
105,0,01948,Tim Petrovic,78.57,964,1227
106,0,20098,Stuart Appleby,78.55,714,909
107,0,27770,Camilo Villegas,78.36,746,952
108,0,23320,Ryan Palmer,78.35,876,1118
109,0,25834,Daniel Summerhays,78.28,818,1045
110,0,21961,Charles Howell III,78.18,1179,1508
111,0,26668,Marc Turnesa,78.16,587,751
112,0,27330,Josh Teater,78.10,1134,1452
113,0,27963,Chris Stroud,78.00,957,1227
114,0,28089,Jason Day,77.98,797,1022
115,0,20070,Matt Bettencourt,77.96,916,1175
116,0,30750,Tommy Gainey,77.86,1129,1450
117,0,27120,Troy Matteson,77.76,986,1268
118,0,25632,Jimmy Walker,77.70,857,1103
119,0,24140,Sean O'Hair,77.69,759,977
120,0,09011,David Duval,77.49,723,933
121,0,20766,Padraig Harrington,77.28,636,823
122,0,21407,Arjun Atwal,77.25,985,1275
123,0,22961,David Mathis,77.16,895,1160
124,0,20498,Briny Baird,77.00,646,839
125,0,10733,Kent Jones,76.96,815,1059
126,0,23718,Nathan Green,76.92,870,1131
127,0,25562,Andres Romero,76.89,825,1073
128,0,27064,Jhonattan Vegas,76.83,902,1174
129,0,33413,Ben Martin,76.81,795,1035
130,0,29420,Billy Horschel,76.67,802,1046
131,0,21805,Harrison Frazar,76.61,619,808
132,0,10585,Scott McCarron,76.52,694,907
133,0,12782,Tim Herron,76.50,908,1187
134,0,01116,Michael Bradley,76.43,788,1031
135,0,33141,Keegan Bradley,76.36,969,1269
136,0,20229,Stewart Cink,76.31,744,975
137,0,07457,Steve Flesch,76.30,937,1228
138,0,25274,Steven Bowditch,76.23,914,1199
139,0,26758,David Hearn,76.04,936,1231
140,0,23621,Rory Sabbatini,75.93,899,1184
140,0,30110,Kyle Stanley,75.93,1038,1367
142,0,26881,Jarrod Lyle,75.89,878,1157
143,0,26679,Kevin Stadler,75.59,926,1225
144,0,30711,Colt Knost,75.47,843,1117
145,0,28620,Aron Price,75.34,611,811
146,0,12652,Cameron Beckman,75.33,748,993
147,0,25818,Scott Piercy,75.25,821,1091
148,0,30692,Scott Stallings,75.21,880,1170
149,0,32366,Kevin Chappell,75.11,818,1089
150,0,07867,Woody Austin,75.03,616,821
151,0,10505,Shane Bertsch,74.97,650,867
152,0,31401,Zack Miller,74.94,897,1197
153,0,30946,Alex Prugh,74.74,855,1144
154,0,27933,John Merrick,74.62,741,993
155,0,27974,Sung Kang,74.35,655,881
156,0,32150,Michael Thompson,74.21,820,1105
157,0,06515,Shaun Micheel,74.16,795,1072
158,0,27939,Matt McQuillan,74.15,611,824
159,0,29718,Anthony Kim,74.05,739,998
159,0,34072,Will Strickler,74.05,528,713
161,0,08375,Paul Stankowski,74.04,807,1090
162,0,20572,Rod Pampling,73.98,745,1007
163,0,28486,Michael Putnam,73.90,691,935
164,0,21731,Freddie Jacobson,73.56,946,1286
165,0,28679,Fabián Gómez,73.44,860,1171
166,0,23497,Tag Ridings,73.31,890,1214
167,0,32698,Bobby Gates,73.29,837,1142
168,0,26420,Richard Johnson,73.27,655,894
169,0,25444,Justin Hicks,73.06,613,839
170,0,01577,Lee Janzen,72.98,632,866
171,0,29478,Kevin Kisner,72.70,711,978
172,0,27797,Derek Lamely,72.20,657,910
173,0,31557,Jim Herman,72.12,696,965
174,0,23409,James Driscoll,72.05,714,991
175,0,33911,Nate Smith,72.02,664,922
176,0,20848,Ángel Cabrera,71.86,503,700
177,0,24490,George McNeill,71.70,689,961
178,0,25457,Alexandre Rocha,71.29,648,909
179,0,34255,Joseph Bramlett,71.05,724,1019
180,0,32876,Martin Piller,70.68,622,880
181,0,21949,Joe Ogilvie,70.13,735,1048
182,0,24980,Scott Gutschewski,69.69,653,937
183,0,31193,Jim Renner,69.53,632,909
184,0,29720,Andres Gonzales,69.49,583,839
185,0,35087,Bio Kim,69.29,686,990
186,0,24290,D.J. Brigman,66.17,620,937
