RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PLAYOFF POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,29221,Webb Simpson,36.45,3645,10000,1,3
2,0,22405,Justin Rose,32.04,3204,10000,1,2
3,0,24924,Bill Haas,30.15,3015,10000,1,1
4,0,30925,Dustin Johnson,28.88,2888,10000,1,1
5,0,23983,Luke Donald,25.36,2536,10000,0,3
6,0,23108,Matt Kuchar,21.95,2195,10000,0,1
7,0,24781,Hunter Mahan,21.65,2165,10000,0,2
8,0,26476,Chez Reavie,21.45,2145,10000,0,2
9,0,27649,Brandt Snedeker,21.34,2134,10000,0,2
10,0,20645,John Senden,19.73,1973,10000,0,1
11,0,28089,Jason Day,16.10,1610,10000,0,2
12,0,22046,Geoff Ogilvy,15.55,1555,10000,0,1
13,0,27770,Camilo Villegas,15.15,1136,7500,0,2
14,0,24357,K.J. Choi,12.99,1299,10000,0,2
15,0,22371,Aaron Baddeley,12.78,1278,10000,0,1
16,0,06567,Vijay Singh,11.63,1163,10000,0,1
17,0,23623,Bo Van Pelt,11.38,1138,10000,0,2
18,0,10809,Jim Furyk,10.77,808,7500,0,1
19,0,24663,Y.E. Yang,10.74,1074,10000,0,1
20,0,08075,Jerry Kelly,10.66,799,7500,0,1
21,0,31323,Gary Woodland,10.55,1055,10000,0
22,0,24502,Adam Scott,10.46,1046,10000,0,2
23,0,21961,Charles Howell III,10.31,1031,10000,0,1
24,0,30110,Kyle Stanley,10.16,762,7500,0,1
25,0,21753,Brian Davis,10.05,754,7500,0,1
26,0,24925,Jonathan Byrd,9.85,985,10000,0,1
27,0,25686,Jason Dufner,9.55,955,10000,0,1
28,0,01810,Phil Mickelson,8.84,884,10000,0,2
29,0,21209,Sergio Garcia,8.73,655,7500,0
30,0,25632,Jimmy Walker,8.50,638,7500,0
31,0,12716,Charley Hoffman,8.30,623,7500,0,1
31,0,27095,Nick Watney,8.30,830,10000,0,1
33,0,27963,Chris Stroud,8.00,600,7500,0
34,0,25345,Carl Pettersson,7.90,593,7500,0
35,0,26596,Ryan Moore,7.76,582,7500,0,1
36,0,06522,Ernie Els,7.57,568,7500,0
37,0,26331,Charl Schwartzel,7.50,375,5000,0
38,0,21878,Mark Wilson,7.33,733,10000,0
39,0,21731,Freddie Jacobson,6.93,693,10000,0
40,0,02206,David Toms,6.88,688,10000,0,1
41,0,31202,William McGirt,6.80,340,5000,0
42,0,19970,Robert Karlsson,6.77,508,7500,0
43,0,12510,Chad Campbell,6.47,485,7500,0
44,0,10885,Robert Allenby,6.23,468,7500,0
45,0,06527,Steve Stricker,6.20,620,10000,0
46,0,24024,Zach Johnson,6.03,453,7500,0
47,0,33141,Keegan Bradley,6.00,600,10000,0
48,0,25804,Bubba Watson,5.88,588,10000,0
49,0,06573,Brandt Jobe,5.80,435,7500,0,1
50,0,25900,Lucas Glover,5.73,430,7500,0
50,0,20766,Padraig Harrington,5.73,287,5000,0
52,0,26851,Marc Leishman,5.67,425,7500,0
53,0,25572,Graeme McDowell,5.60,280,5000,0
54,0,24138,Ian Poulter,5.05,253,5000,0
55,0,24140,Sean O'Hair,5.03,378,7500,0
56,0,30926,Chris Kirk,5.00,375,7500,0
57,0,29910,Blake Adams,4.92,369,7500,0,1
58,0,20593,Greg Chalmers,4.85,243,5000,0
59,0,21407,Arjun Atwal,4.80,120,2500,0
59,0,23548,Bill Lunde,4.80,240,5000,0
59,0,27330,Josh Teater,4.80,120,2500,0
62,0,33419,Cameron Tringale,4.77,358,7500,0
63,0,27936,Martin Laird,4.73,355,7500,0
64,0,29518,Brendan Steele,4.46,334,7500,0,1
