RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,01219,John Cook,38.00,95,250,0,1
2,0,23983,Luke Donald,28.77,1856,6450,1,10
3,0,06527,Steve Stricker,26.84,1865,6950,2,5
4,0,27095,Nick Watney,23.97,1906,7950,2,8
5,0,24502,Adam Scott,20.65,1332,6450,1,5
6,0,29221,Webb Simpson,20.23,1861,9200,1,7
7,0,01810,Phil Mickelson,20.14,1601,7950,1,5
8,0,26331,Charl Schwartzel,19.92,1185,5950,1,3
9,0,24357,K.J. Choi,18.95,1601,8450,1,6
10,0,25804,Bubba Watson,18.77,1577,8400,2,3
11,0,02206,David Toms,17.88,1538,8600,1,6
12,0,28089,Jason Day,16.45,1308,7950,0,8
13,0,23108,Matt Kuchar,15.72,1407,8950,0,8
14,0,31323,Gary Woodland,15.68,1466,9350,1,6
15,0,30925,Dustin Johnson,14.98,1191,7950,0,5
16,0,21878,Mark Wilson,14.68,1461,9950,2,4
17,0,22371,Aaron Baddeley,14.49,1181,8150,1,4
18,0,27936,Martin Laird,13.79,1234,8950,1,6
19,0,23135,Tim Clark,13.57,299,2200,0,1
20,0,33141,Keegan Bradley,13.51,1621,12000,2,4
21,0,21731,Freddie Jacobson,13.35,1235,9250,1,3
22,0,25686,Jason Dufner,13.14,1143,8700,0,5
23,0,23621,Rory Sabbatini,12.84,1175,9150,1,3
24,0,27649,Brandt Snedeker,12.46,1227,9850,1,5
25,0,24663,Y.E. Yang,12.40,799,6450,0,4
26,0,24925,Jonathan Byrd,12.33,1165,9450,1,4
27,0,24924,Bill Haas,12.18,1273,10450,0,6
28,0,24781,Hunter Mahan,11.92,1186,9950,0,7
29,0,19970,Robert Karlsson,11.36,789,6950,0,3
30,0,21209,Sergio Garcia,11.31,662,5850,0,3
31,0,32102,Rickie Fowler,10.99,1038,9450,0,4
32,0,24024,Zach Johnson,10.75,962,8950,0,4
33,0,26596,Ryan Moore,10.45,883,8450,0,3
34,0,24490,George McNeill,10.28,694,6750,0,4
35,0,25240,D.A. Points,10.14,1055,10400,1,3
36,0,21961,Charles Howell III,9.93,1137,11450,0,6
37,0,25900,Lucas Glover,9.89,875,8850,1,1
38,0,23320,Ryan Palmer,9.59,902,9400,0,3
39,0,28158,Steve Marino,9.54,935,9800,0,3
40,0,22405,Justin Rose,9.42,796,8450,0,3
41,0,21805,Harrison Frazar,9.23,660,7150,1,1
42,0,02239,Scott Verplank,9.12,588,6450,0,3
43,0,27466,Spencer Levin,8.95,1025,11450,0,4
44,0,30692,Scott Stallings,8.90,992,11150,1,2
45,0,12680,Shigeki Maruyama,8.75,88,1000,0,1
46,0,06567,Vijay Singh,8.73,903,10350,0,4
47,0,01677,Tom Lehman,8.67,108,1250,0
48,0,25818,Scott Piercy,8.65,571,6600,1,2
49,0,27064,Jhonattan Vegas,8.63,919,10650,1,2
50,0,23623,Bo Van Pelt,8.43,881,10450,0,3
51,0,27141,J.B. Holmes,8.26,640,7750,0,4
52,0,25572,Graeme McDowell,8.15,485,5950,0,3
53,0,06034,Marco Dawson,8.00,100,1250,0
53,0,30926,Chris Kirk,8.00,957,11950,1,4
55,0,25396,Kevin Na,7.70,778,10100,0,5
56,0,30750,Tommy Gainey,7.57,999,13200,0,6
57,0,29518,Brendan Steele,7.51,826,11000,1,1
58,0,24358,Robert Garrigus,7.43,702,9450,0,3
59,0,20645,John Senden,7.35,732,9950,0,2
60,0,06573,Brandt Jobe,7.33,803,10950,0,3
61,0,24140,Sean O'Hair,7.31,724,9900,1,1
62,0,20634,Peter Lonard,7.30,55,750,0,1
63,0,30110,Kyle Stanley,7.25,761,10500,0,2
64,0,22046,Geoff Ogilvy,7.19,571,7950,0,3
65,0,08793,Tiger Woods,7.14,318,4450,0,2
66,0,24361,Pat Perez,6.92,716,10350,0,4
67,0,01226,Fred Couples,6.90,180,2600,0,1
68,0,01320,Bob Estes,6.89,258,3750,0,1
68,0,25562,Andres Romero,6.89,651,9450,0,4
70,0,19846,Brian Gay,6.88,685,9950,0,3
71,0,11123,Chris Couch,6.86,573,8350,0,3
72,0,10885,Robert Allenby,6.82,679,9950,0,3
73,0,20157,Retief Goosen,6.81,439,6450,0,1
73,0,12716,Charley Hoffman,6.81,746,10950,0,1
75,0,01706,Davis Love III,6.71,557,8300,0,2
76,0,08075,Jerry Kelly,6.64,651,9800,0,3
77,0,23638,Brendon de Jonge,6.43,784,12200,0,3
78,0,20229,Stewart Cink,6.42,556,8650,0,1
79,0,01926,Steve Pate,6.40,16,250,0
80,0,10809,Jim Furyk,6.32,661,10450,0,3
81,0,25345,Carl Pettersson,6.31,691,10950,0,4
82,0,23541,Ben Crane,6.30,526,8350,0,2
