RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
1,0,06581,David Sutherland,.93,68,73
2,0,12661,Todd Barranger,.92,69,75
3,0,22295,Darron Stiles,.87,78,90
4,0,25450,Ty Tryon,.86,43,50
5,0,21209,Sergio Garcia,.84,48,57
5,0,25692,Akio Sadakata,.84,68,81
5,0,23034,Brent Schwarzrock,.84,49,58
8,0,23338,David Gossett,.83,76,92
9,0,23177,Kenneth Staton,.81,46,57
10,0,10885,Robert Allenby,.80,64,80
11,0,23614,Rich Beem,.78,60,77
11,0,06475,Jeff Klein,.78,45,58
13,0,19972,José Coceres,.77,48,62
14,0,20574,Mathew Goggin,.76,65,86
14,0,26950,John Morgan,.76,60,79
14,0,10912,Craig Perks,.76,60,79
14,0,24502,Adam Scott,.76,35,46
18,0,08337,Mike Heinen,.75,66,88
18,0,02106,Chris Smith,.75,69,92
20,0,20645,John Senden,.74,79,107
21,0,01685,J.L. Lewis,.73,71,97
21,0,01887,Mark O'Meara,.73,49,67
21,0,23621,Rory Sabbatini,.73,68,93
24,0,06621,Joe Durant,.72,69,96
25,0,07867,Woody Austin,.71,74,104
25,0,20472,Alex Cejka,.71,65,91
25,0,12662,Thomas Levet,.71,59,83
28,0,20099,Doug Barron,.70,62,88
28,0,23656,Jason Caron,.70,50,71
28,0,01249,John Daly,.70,39,56
31,0,01707,Steve Lowery,.69,55,80
32,0,24356,Jason Buha,.67,39,58
32,0,12823,Carlos Franco,.67,65,97
32,0,02049,Gene Sauers,.67,57,85
35,0,12652,Cameron Beckman,.66,55,83
35,0,20094,Jonathan Kaye,.66,58,88
35,0,23108,Matt Kuchar,.66,40,61
35,0,10565,Ian Leggatt,.66,45,68
35,0,20436,Garrett Willis,.66,63,96
40,0,06034,Marco Dawson,.65,55,84
40,0,01677,Tom Lehman,.65,53,82
40,0,20568,Anthony Painter,.65,55,85
40,0,22293,Heath Slocum,.65,64,98
44,0,06809,Bob Burns,.64,54,84
44,0,01161,Mark Calcavecchia,.64,54,84
44,0,22892,Jason Gore,.64,53,83
44,0,06573,Brandt Jobe,.64,49,77
44,0,08633,Per-Ulrik Johansson,.64,61,96
44,0,02206,David Toms,.64,52,81
50,0,07223,Brian Bateman,.63,42,67
50,0,08123,Jeff Brehaut,.63,67,107
50,0,12388,Michael Clark II,.63,34,54
50,0,08725,Tom Gillis,.63,43,68
50,0,23552,Hank Kuehne,.63,45,71
50,0,24361,Pat Perez,.63,59,93
50,0,26489,Cameron Yancey,.63,35,56
57,0,08075,Jerry Kelly,.62,64,104
57,0,01724,Jeff Maggert,.62,50,81
57,0,01766,Billy Mayfair,.62,65,105
57,0,01945,Kenny Perry,.62,60,97
57,0,02104,Jeff Sluman,.62,64,104
