RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,39335,Kevin Roy,59.29%,67,113,-0.06
2,0,39997,Corey Conners,58.11%,86,148,-0.01
3,0,58696,Peter Kuest,57.75%,41,71,-0.17
4,0,33141,Keegan Bradley,56.64%,81,143,-0.14
5,0,27974,Sung Kang,56.52%,39,69,-0.13
6,0,52955,Ludvig Åberg,55.84%,43,77,-0.07
7,0,32816,Satoshi Kodaira,55.17%,64,116,+0.06
8,0,45609,Tyler Duncan,54.49%,85,156,-0.07
9,0,27129,Luke List,53.95%,82,152,-0.07
10,0,52375,Doug Ghim,53.70%,87,162,-0.05
11,0,57366,Cameron Young,53.54%,68,127,-0.13
12,0,27214,Kevin Streelman,53.16%,101,190,-0.03
13,0,49453,Trevor Cone,52.94%,63,119,-0.10
14,0,24140,Sean O'Hair,52.56%,41,78,E
15,0,53165,Doc Redman,52.35%,78,149,-0.03
16,0,36801,Mark Hubbard,51.90%,109,210,-0.08
17,0,27644,Brian Harman,51.76%,103,199,-0.08
18,0,54628,Lee Hodges,51.74%,104,201,-0.15
19,0,58168,Davis Thompson,51.72%,90,174,-0.10
20,0,39324,J.J. Spaun,51.52%,85,165,-0.12
21,0,26476,Chez Reavie,51.39%,111,216,-0.11
22,0,31646,Emiliano Grillo,51.04%,98,192,-0.12
23,0,29725,Tony Finau,50.89%,86,169,-0.14
24,0,56630,Akshay Bhatia,50.88%,58,114,-0.05
25,0,46970,Jon Rahm,50.71%,71,140,-0.20
26,0,40115,Adam Svensson,50.63%,120,237,-0.13
27,0,47347,Adam Schenk,50.45%,112,222,-0.06
28,0,12716,Charley Hoffman,50.41%,62,123,-0.06
29,0,32448,James Hahn,50.33%,77,153,-0.13
30,0,46046,Scottie Scheffler,50.32%,79,157,-0.14
30,0,31323,Gary Woodland,50.32%,79,157,-0.05
32,0,39971,Sungjae Im,50.27%,93,185,-0.06
33,0,51997,Andrew Novak,50.00%,72,144,-0.07
33,0,49771,J.T. Poston,50.00%,97,194,-0.12
33,0,45242,Kevin Yu,50.00%,45,90,-0.16
36,0,54591,Ben Griffin,49.72%,90,181,-0.19
37,0,48699,Callum Tarren,49.70%,83,167,-0.04
38,0,30163,Henrik Norlander,49.68%,77,155,E
39,0,39975,Michael Kim,49.66%,74,149,-0.07
40,0,27554,Scott Harrington,49.55%,55,111,-0.04
41,0,36326,David Lipsky,49.51%,101,204,-0.07
42,0,34098,Russell Henley,49.48%,96,194,-0.06
43,0,39546,Keith Mitchell,49.35%,76,154,-0.18
44,0,52411,Kyle Westmoreland,49.23%,64,130,-0.09
45,0,33122,Russell Knox,49.22%,95,193,-0.14
46,0,25900,Lucas Glover,49.18%,90,183,-0.12
46,0,51070,Vincent Norrman,49.18%,60,122,-0.08
48,0,52513,Carson Young,49.17%,89,181,-0.12
49,0,28237,Rory McIlroy,49.15%,58,118,-0.24
50,0,35532,Tom Hoge,48.77%,99,203,-0.09
51,0,35617,Martin Trainer,48.75%,39,80,+0.13
52,0,40006,Erik van Rooyen,48.74%,58,119,-0.09
53,0,40250,Taylor Pendrith,48.72%,76,156,-0.13
54,0,50525,Collin Morikawa,48.68%,74,152,-0.04
55,0,20229,Stewart Cink,48.57%,68,140,-0.18
56,0,34255,Joseph Bramlett,48.51%,65,134,-0.14
57,0,54421,Garrick Higgo,48.47%,79,163,-0.06
58,0,47988,Nick Hardy,48.44%,93,192,-0.14
59,0,55708,Hayden Buckley,48.39%,60,124,-0.08
60,0,36799,Stephan Jaeger,48.37%,104,215,-0.12
61,0,56762,Will Gordon,48.33%,87,180,-0.05
