RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,23983,Luke Donald,3.7,30,127,+0.300
1,0,31560,Brian Stuard,3.7,31,129,+0.355
3,0,22405,Justin Rose,3.8,26,115,+0.308
4,0,24461,Thomas Aiken,3.9,26,110,+0.385
5,0,10809,Jim Furyk,4.1,25,109,+0.440
5,0,30711,Colt Knost,4.1,41,174,+0.171
7,0,45526,Abraham Ancer,4.5,24,98,+0.333
7,0,26596,Ryan Moore,4.5,41,176,+0.171
9,0,30692,Scott Stallings,4.6,40,174,+0.300
10,0,33399,Adam Hadwin,4.7,57,246,+0.158
10,0,10213,Dicky Pride,4.7,27,112,+0.370
10,0,21878,Mark Wilson,4.7,36,152,+0.222
13,0,22371,Aaron Baddeley,4.8,49,203,+0.041
13,0,33410,Andrew Landry,4.8,22,96,+0.545
15,0,32200,Roberto Castro,4.9,60,258,+0.117
15,0,34261,Scott Langley,4.9,36,151,+0.222
17,0,30926,Chris Kirk,5.0,52,219,+0.115
17,0,29461,Jamie Lovemark,5.0,57,244,+0.211
17,0,29485,Brett Stegmaier,5.0,52,221,+0.077
20,0,21209,Sergio Garcia,5.1,22,91,+0.091
20,0,34174,John Huh,5.1,56,242,+0.464
20,0,35879,Kelly Kraft,5.1,32,137,+0.156
20,0,27466,Spencer Levin,5.1,59,253,+0.305
20,0,25396,Kevin Na,5.1,49,210,+0.245
20,0,26289,Boo Weekley,5.1,50,209,+0.400
26,0,26758,David Hearn,5.3,60,255,+0.133
26,0,27974,Sung Kang,5.3,53,229,+0.113
26,0,29478,Kevin Kisner,5.3,54,227,+0.111
29,0,35539,Luke Guthrie,5.4,33,137,+0.061
29,0,28092,D.H. Lee,5.4,35,145,+0.371
29,0,24490,George McNeill,5.4,34,142,+0.294
32,0,10885,Robert Allenby,5.5,31,130,+0.161
32,0,24507,Jason Bohn,5.5,45,191,+0.244
32,0,25364,Paul Casey,5.5,44,184,+0.227
32,0,31557,Jim Herman,5.5,55,235,+0.327
32,0,08075,Jerry Kelly,5.5,46,197,+0.370
32,0,33122,Russell Knox,5.5,50,214,+0.240
32,0,31202,William McGirt,5.5,67,278,+0.239
39,0,12510,Chad Campbell,5.6,62,271,+0.113
39,0,20472,Alex Cejka,5.6,40,170,+0.125
39,0,20766,Padraig Harrington,5.6,34,145,+0.324
39,0,27141,J.B. Holmes,5.6,47,202,+0.255
39,0,32757,Patton Kizzire,5.6,58,250,+0.052
39,0,27214,Kevin Streelman,5.6,50,218,+0.100
45,0,35545,Blayne Barber,5.7,59,255,+0.220
45,0,33141,Keegan Bradley,5.7,50,213,+0.160
45,0,25720,Chad Collins,5.7,51,223,+0.235
45,0,32448,James Hahn,5.7,55,231,+0.200
45,0,24024,Zach Johnson,5.7,58,241,+0.224
50,0,32366,Kevin Chappell,5.8,63,267,+0.159
50,0,32102,Rickie Fowler,5.8,52,221,+0.269
50,0,24358,Robert Garrigus,5.8,44,185,+0.159
50,0,28679,Fabián Gómez,5.8,59,250,+0.220
50,0,29420,Billy Horschel,5.8,46,199,+0.174
50,0,29222,Billy Hurley III,5.8,48,200,E
50,0,23108,Matt Kuchar,5.8,62,268,+0.242
50,0,35300,Andrew Loupe,5.8,53,224,+0.396
50,0,32839,Hideki Matsuyama,5.8,47,201,+0.064
50,0,26329,Louis Oosthuizen,5.8,34,144,+0.324
50,0,25818,Scott Piercy,5.8,52,221,+0.154
50,0,26476,Chez Reavie,5.8,61,258,+0.295
50,0,29518,Brendan Steele,5.8,56,243,+0.250
50,0,06527,Steve Stricker,5.8,36,153,+0.222
64,0,20098,Stuart Appleby,5.9,54,223,+0.222
64,0,29720,Andres Gonzales,5.9,52,225,+0.365
64,0,20157,Retief Goosen,5.9,39,164,+0.256
64,0,24924,Bill Haas,5.9,52,215,+0.346
64,0,34098,Russell Henley,5.9,57,240,+0.281
64,0,34409,David Lingmerth,5.9,50,219,+0.140
70,0,29479,Scott Brown,6.0,58,247,+0.345
70,0,20848,Ángel Cabrera,6.0,41,175,+0.268
70,0,34262,Jon Curran,6.0,70,301,+0.071
70,0,29974,Branden Grace,6.0,35,149,+0.171
70,0,27129,Luke List,6.0,53,227,+0.189
70,0,34466,Peter Malnati,6.0,62,260,+0.258
70,0,25572,Graeme McDowell,6.0,38,164,+0.079
70,0,20691,Greg Owen,6.0,57,236,+0.158
70,0,35451,Scott Pinckney,6.0,59,252,+0.373
70,0,32150,Michael Thompson,6.0,45,188,+0.333
80,0,23541,Ben Crane,6.1,56,245,+0.107
80,0,31416,Derek Fathauer,6.1,64,271,+0.219
80,0,31646,Emiliano Grillo,6.1,62,264,+0.274
80,0,33461,Morgan Hoffmann,6.1,50,213,+0.100
80,0,28158,Steve Marino,6.1,47,197,+0.319
80,0,33667,Carlos Ortiz,6.1,51,218,+0.333
86,0,40026,Daniel Berger,6.2,62,264,+0.226
86,0,27436,Graham DeLaet,6.2,50,217,+0.260
86,0,36801,Mark Hubbard,6.2,71,300,+0.282
86,0,37454,Whee Kim,6.2,56,242,+0.107
86,0,24912,Will MacKenzie,6.2,57,241,+0.263
86,0,33448,Justin Thomas,6.2,64,274,+0.156
86,0,25892,Steve Wheatcroft,6.2,60,256,+0.200
93,0,24357,K.J. Choi,6.3,58,251,+0.172
93,0,23638,Brendon de Jonge,6.3,57,241,+0.228
93,0,22892,Jason Gore,6.3,52,222,+0.288
93,0,21731,Freddie Jacobson,6.3,62,261,+0.210
93,0,30925,Dustin Johnson,6.3,55,233,+0.364
93,0,30110,Kyle Stanley,6.3,69,295,+0.275
93,0,37189,Harold Varner III,6.3,70,297,+0.129
100,0,20104,Ken Duke,6.4,43,183,+0.163
100,0,29926,Danny Lee,6.4,63,264,+0.365
100,0,28237,Rory McIlroy,6.4,43,185,+0.140
100,0,23800,Bryce Molder,6.4,60,251,+0.200
100,0,33418,Shawn Stefani,6.4,68,286,+0.162
105,0,29725,Tony Finau,6.5,70,306,+0.129
105,0,26300,Matt Jones,6.5,57,237,+0.386
