RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,24461,Thomas Aiken,7.95,53,667,-0.06
2,0,28475,Jeff Overton,8.72,70,803,+0.13
3,0,02206,David Toms,9.15,69,754,E
4,0,10213,Dicky Pride,9.30,53,570,+0.09
5,0,23800,Bryce Molder,9.34,87,931,+0.06
6,0,34174,John Huh,9.69,106,1094,+0.11
7,0,25198,Francesco Molinari,9.72,77,792,E
8,0,34261,Scott Langley,9.88,73,739,+0.07
9,0,40058,Zac Blair,9.92,112,1129,+0.11
10,0,26289,Boo Weekley,10.20,101,990,-0.01
11,0,32200,Roberto Castro,10.33,127,1230,+0.14
12,0,21878,Mark Wilson,10.48,80,763,+0.13
13,0,24357,K.J. Choi,10.50,97,924,+0.03
14,0,30711,Colt Knost,10.51,104,990,+0.13
15,0,33410,Andrew Landry,10.61,49,462,+0.08
16,0,25572,Graeme McDowell,10.79,68,630,+0.09
17,0,28092,D.H. Lee,10.89,70,643,+0.14
18,0,12716,Charley Hoffman,11.07,109,985,+0.17
19,0,36801,Mark Hubbard,11.20,129,1152,+0.06
20,0,26758,David Hearn,11.40,130,1140,+0.14
21,0,37454,Whee Kim,11.43,103,901,+0.18
22,0,34409,David Lingmerth,11.53,97,841,+0.21
23,0,22046,Geoff Ogilvy,11.54,80,693,-0.03
24,0,37455,Si Woo Kim,11.55,159,1377,+0.11
25,0,29518,Brendan Steele,11.65,112,961,+0.07
26,0,29476,Kyle Reifers,11.70,158,1350,+0.08
27,0,30692,Scott Stallings,11.74,102,869,E
28,0,35879,Kelly Kraft,11.86,74,624,+0.14
29,0,10809,Jim Furyk,11.87,73,615,+0.16
30,0,20472,Alex Cejka,11.90,85,714,+0.09
31,0,24507,Jason Bohn,11.91,98,823,+0.07
32,0,27747,Hiroshi Iwata,11.92,110,923,+0.10
33,0,30110,Kyle Stanley,11.93,131,1098,+0.08
34,0,34098,Russell Henley,11.99,115,959,+0.08
34,0,33122,Russell Knox,11.99,109,909,+0.19
36,0,25818,Scott Piercy,12.08,109,902,+0.08
37,0,24490,George McNeill,12.13,77,635,+0.21
38,0,37273,Derek Ernst,12.21,73,598,+0.08
39,0,25892,Steve Wheatcroft,12.24,119,972,+0.05
40,0,35891,Cameron Smith,12.28,78,635,+0.09
41,0,26596,Ryan Moore,12.36,112,906,+0.13
42,0,23108,Matt Kuchar,12.43,133,1070,+0.10
42,0,28237,Rory McIlroy,12.43,83,668,-0.16
44,0,26476,Chez Reavie,12.46,132,1059,+0.07
45,0,31202,William McGirt,12.64,155,1226,+0.04
46,0,24140,Sean O'Hair,12.67,147,1160,+0.08
47,0,23320,Ryan Palmer,12.71,137,1078,+0.04
48,0,27214,Kevin Streelman,12.75,113,886,+0.02
49,0,20098,Stuart Appleby,12.77,117,916,+0.02
49,0,33399,Adam Hadwin,12.77,156,1222,+0.21
51,0,22371,Aaron Baddeley,12.82,131,1022,-0.02
52,0,25900,Lucas Glover,12.88,120,932,+0.05
53,0,31646,Emiliano Grillo,12.89,132,1024,+0.11
54,0,08075,Jerry Kelly,12.97,108,833,+0.13
55,0,28679,Fabián Gómez,12.98,133,1025,+0.19
56,0,34360,Patrick Reed,13.06,141,1080,+0.09
57,0,35732,Wes Roach,13.17,79,600,+0.15
58,0,30163,Henrik Norlander,13.18,97,736,+0.23
59,0,26300,Matt Jones,13.19,115,872,+0.05
60,0,39975,Michael Kim,13.30,158,1188,+0.08
61,0,24924,Bill Haas,13.33,118,885,+0.04
61,0,36699,Patrick Rodgers,13.33,131,983,+0.05
63,0,24024,Zach Johnson,13.41,137,1022,+0.08
64,0,34466,Peter Malnati,13.42,139,1036,+0.17
64,0,34264,Hudson Swafford,13.42,170,1267,+0.05
66,0,27895,Jonas Blixt,13.43,125,931,+0.06
67,0,21209,Sergio Garcia,13.49,58,430,-0.09
68,0,40026,Daniel Berger,13.50,135,1000,+0.06
69,0,27644,Brian Harman,13.51,173,1281,+0.03
70,0,29745,Tyler Aldridge,13.55,126,930,+0.14
71,0,29268,Bronson Burgoon,13.56,122,900,+0.14
72,0,20572,Rod Pampling,13.57,70,516,+0.07
73,0,25364,Paul Casey,13.58,108,795,+0.08
74,0,29974,Branden Grace,13.60,79,581,-0.04
75,0,32640,Troy Merritt,13.84,125,903,+0.09
76,0,25493,Nick Taylor,13.94,128,918,+0.16
77,0,33413,Ben Martin,13.95,156,1118,+0.11
78,0,33461,Morgan Hoffmann,13.99,114,815,+0.13
79,0,30925,Dustin Johnson,14.06,123,875,-0.06
79,0,20645,John Senden,14.06,154,1095,+0.07
79,0,34046,Jordan Spieth,14.06,114,811,+0.02
82,0,37189,Harold Varner III,14.09,156,1107,+0.12
83,0,22892,Jason Gore,14.10,117,830,+0.06
83,0,23621,Rory Sabbatini,14.10,76,539,+0.05
