RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,30711,Colt Knost,73.36,881,1201
2,0,24461,Thomas Aiken,72.36,665,919
3,0,08075,Jerry Kelly,71.20,754,1059
4,0,31560,Brian Stuard,71.07,656,923
5,0,40058,Zac Blair,69.86,927,1327
6,0,32200,Roberto Castro,69.37,940,1355
7,0,10809,Jim Furyk,69.09,503,728
8,0,33122,Russell Knox,68.51,853,1245
9,0,34174,John Huh,68.30,810,1186
10,0,26476,Chez Reavie,68.22,818,1199
11,0,02206,David Toms,67.98,588,865
12,0,27466,Spencer Levin,67.79,947,1397
13,0,25572,Graeme McDowell,67.70,570,842
14,0,24507,Jason Bohn,67.56,633,937
15,0,34409,David Lingmerth,67.36,747,1109
16,0,26289,Boo Weekley,66.98,777,1160
17,0,31646,Emiliano Grillo,66.93,846,1264
18,0,26596,Ryan Moore,66.52,751,1129
19,0,21878,Mark Wilson,66.20,572,864
20,0,24357,K.J. Choi,66.18,673,1017
21,0,26758,David Hearn,65.94,875,1327
22,0,20472,Alex Cejka,65.89,620,941
23,0,10213,Dicky Pride,65.86,488,741
24,0,23108,Matt Kuchar,65.67,880,1340
25,0,31557,Jim Herman,65.59,852,1299
26,0,33410,Andrew Landry,65.55,449,685
27,0,45526,Abraham Ancer,65.42,439,671
28,0,29222,Billy Hurley III,65.36,602,921
29,0,25396,Kevin Na,65.30,847,1297
30,0,29476,Kyle Reifers,65.29,1012,1550
31,0,31202,William McGirt,65.28,895,1371
32,0,24024,Zach Johnson,65.23,788,1208
33,0,29478,Kevin Kisner,64.92,857,1320
34,0,36801,Mark Hubbard,64.82,877,1353
35,0,34261,Scott Langley,64.81,571,881
36,0,25364,Paul Casey,64.67,670,1036
37,0,33141,Keegan Bradley,64.57,740,1146
38,0,30110,Kyle Stanley,64.54,801,1241
39,0,12510,Chad Campbell,64.39,810,1258
40,0,25900,Lucas Glover,64.37,674,1047
40,0,27214,Kevin Streelman,64.37,737,1145
42,0,34262,Jon Curran,64.35,890,1383
43,0,20104,Ken Duke,64.18,482,751
44,0,29926,Danny Lee,64.05,807,1260
45,0,20572,Rod Pampling,63.95,447,699
46,0,25198,Francesco Molinari,63.76,570,894
47,0,29479,Scott Brown,63.65,781,1227
48,0,22892,Jason Gore,63.63,656,1031
49,0,33399,Adam Hadwin,63.62,827,1300
50,0,37454,Whee Kim,63.48,690,1087
51,0,27644,Brian Harman,63.41,922,1454
52,0,30163,Henrik Norlander,63.39,594,937
53,0,06527,Steve Stricker,63.23,466,737
54,0,23541,Ben Crane,63.18,671,1062
55,0,34098,Russell Henley,63.15,670,1061
56,0,35451,Scott Pinckney,63.05,749,1188
57,0,37455,Si Woo Kim,62.84,957,1523
58,0,25686,Jason Dufner,62.83,894,1423
59,0,23800,Bryce Molder,62.53,681,1089
60,0,35545,Blayne Barber,62.37,696,1116
61,0,25349,Tim Wilkinson,62.36,593,951
62,0,24924,Bill Haas,62.34,715,1147
63,0,20098,Stuart Appleby,62.24,600,964
64,0,23621,Rory Sabbatini,62.18,467,751
65,0,29221,Webb Simpson,62.17,608,978
66,0,33413,Ben Martin,62.14,765,1231
67,0,32839,Hideki Matsuyama,62.04,634,1022
68,0,30926,Chris Kirk,62.02,738,1190
69,0,33204,Shane Lowry,61.85,467,755
70,0,21209,Sergio Garcia,61.76,441,714
71,0,26329,Louis Oosthuizen,61.67,481,780
72,0,23325,Vaughn Taylor,61.59,619,1005
73,0,28679,Fabián Gómez,61.44,682,1110
74,0,34264,Hudson Swafford,61.43,892,1452
75,0,22046,Geoff Ogilvy,61.24,504,823
76,0,26951,Johnson Wagner,61.13,736,1204
77,0,28237,Rory McIlroy,61.06,530,868
78,0,24490,George McNeill,60.99,433,710
78,0,35732,Wes Roach,60.99,469,769
80,0,29485,Brett Stegmaier,60.93,722,1185
81,0,32640,Troy Merritt,60.89,657,1079
82,0,28092,D.H. Lee,60.85,485,797
83,0,24912,Will MacKenzie,60.81,678,1115
84,0,32448,James Hahn,60.71,723,1191
84,0,29420,Billy Horschel,60.71,595,980
86,0,27963,Chris Stroud,60.70,678,1117
87,0,32366,Kevin Chappell,60.68,787,1297
88,0,20766,Padraig Harrington,60.66,458,755
89,0,32150,Michael Thompson,60.57,576,951
90,0,26851,Marc Leishman,60.55,729,1204
91,0,34466,Peter Malnati,60.54,721,1191
92,0,35879,Kelly Kraft,60.36,498,825
93,0,25892,Steve Wheatcroft,60.32,681,1129
94,0,29518,Brendan Steele,60.29,709,1176
95,0,27436,Graham DeLaet,60.11,553,920
96,0,37273,Derek Ernst,60.10,479,797
97,0,20645,John Senden,60.07,722,1202
98,0,29223,Sam Saunders,59.78,541,905
99,0,33419,Cameron Tringale,59.57,641,1076
100,0,25240,D.A. Points,59.47,424,713
