RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,29221,Webb Simpson,68.31,1093,16
2,0,40026,Daniel Berger,68.53,1028,15
3,0,47504,Sam Burns,68.58,823,12
3,0,30944,Jason Kokrak,68.58,823,12
5,0,34098,Russell Henley,68.72,1237,18
6,0,23320,Ryan Palmer,68.73,756,11
7,0,47959,Bryson DeChambeau,68.89,1309,19
8,0,25396,Kevin Na,68.91,758,11
9,0,25900,Lucas Glover,68.92,827,12
9,0,28252,Seamus Power,68.92,827,12
11,0,45526,Abraham Ancer,68.93,965,14
11,0,46717,Viktor Hovland,68.93,965,14
13,0,29535,Brice Garnett,69.00,966,14
14,0,27644,Brian Harman,69.05,1450,21
15,0,33122,Russell Knox,69.08,829,12
16,0,40098,Matt Fitzpatrick,69.09,760,11
17,0,27770,Camilo Villegas,69.10,691,10
18,0,33448,Justin Thomas,69.12,1175,17
19,0,19803,Ryan Armour,69.15,899,13
20,0,46402,Talor Gooch,69.28,1247,18
21,0,29725,Tony Finau,69.31,901,13
21,0,47347,Adam Schenk,69.31,1109,16
23,0,45486,Joaquin Niemann,69.33,832,12
24,0,34099,Harris English,69.35,1179,17
25,0,32333,Kevin Tway,69.36,763,11
26,0,32448,James Hahn,69.38,902,13
26,0,30163,Henrik Norlander,69.38,1110,16
28,0,27129,Luke List,69.39,1249,18
29,0,35450,Patrick Cantlay,69.41,1180,17
30,0,31646,Emiliano Grillo,69.44,1250,18
30,0,33419,Cameron Tringale,69.44,1111,16
32,0,34046,Jordan Spieth,69.45,1389,20
33,0,34076,Joel Dahmen,69.46,903,13
34,0,48081,Xander Schauffele,69.47,1042,15
35,0,34256,Andrew Putnam,69.50,1112,16
36,0,32791,K.H. Lee,69.52,1460,21
37,0,32150,Michael Thompson,69.53,1043,15
38,0,29478,Kevin Kisner,69.55,765,11
39,0,26329,Louis Oosthuizen,69.58,835,12
40,0,39971,Sungjae Im,69.60,1392,20
41,0,34360,Patrick Reed,69.65,1184,17
42,0,27936,Martin Laird,69.69,906,13
