RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,28093,Miguel Angel Carballo,39.20,236,602,+0.025
2,0,34409,David Lingmerth,38.57,371,962,-0.094
3,0,24024,Zach Johnson,37.71,359,952,-0.106
4,0,23621,Rory Sabbatini,37.33,277,742,-0.097
5,0,29479,Scott Brown,36.88,402,1090,-0.065
6,0,47128,Richy Werenski,36.74,313,852,-0.019
7,0,30191,Julián Etulain,35.99,257,714,-0.012
8,0,25198,Francesco Molinari,35.96,297,826,-0.128
9,0,27895,Jonas Blixt,35.89,295,822,-0.003
10,0,27644,Brian Harman,35.86,431,1202,-0.063
10,0,27963,Chris Stroud,35.86,241,672,-0.058
12,0,24138,Ian Poulter,35.51,272,766,-0.154
13,0,29221,Webb Simpson,35.49,416,1172,-0.091
14,0,29926,Danny Lee,35.47,376,1060,-0.056
15,0,26289,Boo Weekley,35.45,302,852,-0.083
16,0,33399,Adam Hadwin,35.21,388,1102,-0.077
17,0,01810,Phil Mickelson,35.20,340,966,-0.109
18,0,26951,Johnson Wagner,35.18,280,796,-0.064
19,0,29478,Kevin Kisner,35.16,379,1078,-0.108
20,0,25493,Nick Taylor,35.06,406,1158,-0.064
21,0,34358,Jonathan Randolph,35.01,250,714,+0.012
22,0,35532,Tom Hoge,34.98,191,546,-0.042
23,0,22056,Cameron Percy,34.94,269,770,-0.045
24,0,46443,Brian Campbell,34.84,200,574,-0.060
25,0,34360,Patrick Reed,34.78,409,1176,-0.064
26,0,06522,Ernie Els,34.69,179,516,-0.050
27,0,32200,Roberto Castro,34.66,262,756,-0.050
28,0,23108,Matt Kuchar,34.54,371,1074,-0.081
29,0,31557,Jim Herman,34.42,318,924,-0.094
30,0,35879,Kelly Kraft,34.33,311,906,+0.042
31,0,39324,J.J. Spaun,34.29,345,1006,-0.049
32,0,35545,Blayne Barber,34.26,320,934,-0.022
33,0,39975,Michael Kim,34.22,401,1172,-0.065
34,0,27214,Kevin Streelman,34.19,372,1088,-0.043
35,0,33120,Mark Anderson,34.18,201,588,-0.060
36,0,26476,Chez Reavie,34.02,394,1158,-0.096
37,0,24357,K.J. Choi,33.95,256,754,-0.070
38,0,40009,Dominic Bozzelli,33.94,260,766,E
39,0,27958,Ryan Blaum,33.92,388,1144,-0.144
40,0,31202,William McGirt,33.89,343,1012,-0.052
41,0,32640,Troy Merritt,33.84,331,978,-0.106
42,0,20472,Alex Cejka,33.80,292,864,-0.034
43,0,25191,Gonzalo Fernandez-Castaño,33.77,208,616,-0.034
44,0,33418,Shawn Stefani,33.65,282,838,-0.035
45,0,20572,Rod Pampling,33.55,310,924,-0.058
46,0,33413,Ben Martin,33.40,326,976,-0.071
47,0,34098,Russell Henley,33.33,400,1200,-0.113
47,0,37454,Whee Kim,33.33,289,867,+0.010
47,0,25892,Steve Wheatcroft,33.33,186,558,-0.097
50,0,31646,Emiliano Grillo,33.23,307,924,-0.013
51,0,37455,Si Woo Kim,33.21,280,843,+0.018
52,0,34021,Bud Cauley,33.13,379,1144,-0.047
53,0,32757,Patton Kizzire,33.00,332,1006,+0.039
54,0,29720,Andres Gonzales,32.96,263,798,-0.053
55,0,26499,Rafa Cabrera Bello,32.92,212,644,-0.038
56,0,49771,J.T. Poston,32.91,335,1018,-0.075
57,0,20157,Retief Goosen,32.87,188,572,+0.074
58,0,29223,Sam Saunders,32.86,280,852,-0.014
59,0,34466,Peter Malnati,32.84,335,1020,-0.015
60,0,29740,Brad Fritsch,32.82,193,588,+0.021
61,0,21961,Charles Howell III,32.81,311,948,-0.045
62,0,32448,James Hahn,32.80,372,1134,-0.073
63,0,30852,Ryo Ishikawa,32.78,196,598,+0.056
64,0,35110,Brett Drewitt,32.56,196,602,+0.041
65,0,31416,Derek Fathauer,32.55,291,894,-0.079
66,0,34431,Robert Streb,32.54,382,1174,-0.094
67,0,24924,Bill Haas,32.47,326,1004,-0.058
68,0,29476,Kyle Reifers,32.46,335,1032,-0.063
69,0,28679,Fabián Gómez,32.45,233,718,-0.133
70,0,35506,Mackenzie Hughes,32.27,435,1348,-0.039
71,0,29485,Brett Stegmaier,32.22,261,810,+0.111
72,0,25834,Daniel Summerhays,32.20,369,1146,-0.076
73,0,28307,Matt Every,32.16,274,852,-0.022
73,0,30110,Kyle Stanley,32.16,422,1312,-0.055
75,0,29908,C.T. Pan,32.11,341,1062,-0.041
76,0,31420,Anirban Lahiri,32.08,265,826,-0.004
77,0,23325,Vaughn Taylor,32.02,342,1068,-0.108
78,0,25900,Lucas Glover,31.92,383,1200,-0.078
79,0,24781,Hunter Mahan,31.87,262,822,+0.034
80,0,21209,Sergio Garcia,31.83,205,644,-0.024
81,0,22405,Justin Rose,31.81,236,742,-0.119
82,0,25364,Paul Casey,31.79,316,994,-0.098
83,0,46732,Rick Lamb,31.77,169,532,+0.047
84,0,33461,Morgan Hoffmann,31.73,363,1144,-0.008
85,0,19846,Brian Gay,31.64,305,964,-0.098
86,0,28132,Tyrone Van Aswegen,31.63,353,1116,-0.003
87,0,35450,Patrick Cantlay,31.41,201,640,-0.109
88,0,29974,Branden Grace,31.27,207,662,-0.039
89,0,35891,Cameron Smith,31.21,309,990,-0.084
90,0,25345,Carl Pettersson,31.13,226,726,-0.093
91,0,26758,David Hearn,31.11,308,990,-0.094
92,0,36801,Mark Hubbard,31.10,265,852,-0.053
93,0,33122,Russell Knox,31.00,235,758,-0.026
94,0,39954,Cody Gribble,30.96,304,982,-0.003
95,0,27770,Camilo Villegas,30.88,268,868,-0.093
96,0,26596,Ryan Moore,30.77,280,910,-0.043
97,0,27649,Brandt Snedeker,30.74,182,592,-0.082
98,0,22046,Geoff Ogilvy,30.66,287,936,+0.003
99,0,20229,Stewart Cink,30.62,346,1130,-0.113
100,0,29289,S.Y. Noh,30.44,319,1048,+0.069
101,0,24361,Pat Perez,30.41,312,1026,-0.147
102,0,40026,Daniel Berger,30.27,293,968,-0.031
103,0,23983,Luke Donald,30.17,181,600,-0.122
104,0,24140,Sean O'Hair,30.16,295,978,-0.017
105,0,32150,Michael Thompson,30.13,185,614,-0.038
106,0,33419,Cameron Tringale,30.07,273,908,-0.084
107,0,12716,Charley Hoffman,30.06,392,1304,-0.074
108,0,33141,Keegan Bradley,30.00,381,1270,-0.076
109,0,20593,Greg Chalmers,29.87,285,954,-0.049
110,0,12510,Chad Campbell,29.85,354,1186,-0.138
111,0,25686,Jason Dufner,29.76,300,1008,-0.100
112,0,24507,Jason Bohn,29.68,257,866,-0.035
113,0,30926,Chris Kirk,29.65,290,978,-0.069
114,0,25396,Kevin Na,29.61,273,922,-0.084
115,0,25572,Graeme McDowell,29.45,205,696,-0.054
116,0,26329,Louis Oosthuizen,29.41,210,714,-0.110
117,0,27436,Graham DeLaet,29.29,290,990,E
117,0,34046,Jordan Spieth,29.29,280,956,-0.118
119,0,29518,Brendan Steele,29.26,292,998,-0.072
120,0,25818,Scott Piercy,29.24,200,684,+0.025
121,0,26331,Charl Schwartzel,29.19,195,668,-0.031
122,0,33204,Shane Lowry,29.14,155,532,+0.032
123,0,37189,Harold Varner III,29.12,350,1202,+0.003
124,0,27936,Martin Laird,28.93,291,1006,-0.069
125,0,25720,Chad Collins,28.78,217,754,-0.124
126,0,24502,Adam Scott,28.74,169,588,+0.071
127,0,24846,Ricky Barnes,28.72,309,1076,-0.023
128,0,28500,Martin Flores,28.53,267,936,-0.041
129,0,23497,Tag Ridings,28.43,199,700,+0.020
130,0,26300,Matt Jones,28.29,202,714,-0.045
131,0,32102,Rickie Fowler,28.23,249,882,-0.129
132,0,34174,John Huh,28.21,299,1060,-0.054
133,0,25274,Steven Bowditch,28.18,177,628,+0.045
133,0,29420,Billy Horschel,28.18,315,1118,+0.035
135,0,23353,J.J. Henry,28.11,294,1046,+0.031
136,0,48822,Sebastián Muñoz,28.02,153,546,-0.078
137,0,30692,Scott Stallings,27.95,265,948,-0.038
138,0,22371,Aaron Baddeley,27.86,180,646,-0.028
139,0,33948,Byeong Hun An,27.83,221,794,E
140,0,20771,Steven Alker,27.73,198,714,-0.111
141,0,25804,Bubba Watson,27.69,206,744,-0.010
142,0,27466,Spencer Levin,27.56,258,936,-0.078
143,0,34099,Harris English,27.49,276,1004,-0.014
143,0,27974,Sung Kang,27.49,315,1146,-0.044
145,0,20104,Ken Duke,27.45,230,838,-0.048
146,0,27095,Nick Watney,27.35,244,892,+0.020
147,0,34264,Hudson Swafford,27.17,288,1060,+0.028
148,0,24358,Robert Garrigus,27.15,227,836,-0.009
149,0,46970,Jon Rahm,27.06,250,924,-0.148
150,0,47959,Bryson DeChambeau,27.01,275,1018,-0.029
151,0,29222,Billy Hurley III,26.65,258,968,-0.081
152,0,25240,D.A. Points,26.60,216,812,-0.120
153,0,46440,Smylie Kaufman,26.48,233,880,+0.009
154,0,23541,Ben Crane,26.40,254,962,-0.126
155,0,25632,Jimmy Walker,26.28,185,704,-0.022
156,0,29461,Jamie Lovemark,26.16,292,1116,-0.096
157,0,27064,Jhonattan Vegas,26.15,261,998,+0.019
158,0,33448,Justin Thomas,26.10,238,912,-0.134
159,0,34213,Grayson Murray,25.76,306,1188,+0.069
160,0,26851,Marc Leishman,25.73,263,1022,-0.065
161,0,30944,Jason Kokrak,25.65,297,1158,+0.098
162,0,46501,Ollie Schniederjans,25.53,289,1132,-0.028
163,0,19803,Ryan Armour,25.51,175,686,-0.120
164,0,23320,Ryan Palmer,25.22,173,686,+0.029
165,0,25349,Tim Wilkinson,25.16,161,640,-0.106
166,0,32366,Kevin Chappell,25.00,252,1008,+0.020
167,0,37278,Nicholas Lindheim,24.84,153,616,+0.039
168,0,23800,Bryce Molder,24.83,222,894,-0.054
169,0,32839,Hideki Matsuyama,24.82,206,830,-0.136
170,0,40058,Zac Blair,24.73,280,1132,-0.086
171,0,35300,Andrew Loupe,24.70,162,656,+0.160
172,0,28252,Seamus Power,24.68,234,948,-0.128
173,0,31560,Brian Stuard,24.64,238,966,-0.055
174,0,48084,Wesley Bryan,24.49,263,1074,-0.084
174,0,29725,Tony Finau,24.49,312,1274,-0.064
176,0,31323,Gary Woodland,24.05,228,948,+0.018
177,0,48081,Xander Schauffele,23.84,247,1036,-0.036
178,0,32333,Kevin Tway,23.65,245,1036,+0.012
179,0,46550,Brandon Hagy,23.40,226,966,+0.018
180,0,27129,Luke List,23.17,278,1200,-0.011
181,0,46601,Trey Mullinax,23.11,226,978,+0.031
182,0,28089,Jason Day,22.74,176,774,-0.074
183,0,36699,Patrick Rodgers,22.13,204,922,+0.108
184,0,10809,Jim Furyk,21.73,133,612,-0.075
185,0,22986,Søren Kjeldsen,21.40,101,472,-0.010
186,0,27141,J.B. Holmes,20.96,179,854,+0.095
187,0,28420,Ryan Brehm,20.33,185,910,+0.108
188,0,36689,Brooks Koepka,20.15,189,938,+0.074
189,0,30925,Dustin Johnson,19.88,165,830,-0.079
190,0,28237,Rory McIlroy,16.67,84,504,+0.036
