RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,25274,Steven Bowditch,7.27,8,110,+0.50
2,0,23983,Luke Donald,5.21,5,96,+0.20
3,0,10809,Jim Furyk,4.90,5,102,E
4,0,33120,Mark Anderson,4.81,5,104,+0.40
5,0,20771,Steven Alker,4.76,6,126,+0.67
6,0,25396,Kevin Na,4.73,7,148,E
7,0,32150,Michael Thompson,4.46,5,112,+1.00
8,0,22986,Søren Kjeldsen,4.44,4,90,+0.25
9,0,48084,Wesley Bryan,4.40,8,182,+0.75
10,0,35532,Tom Hoge,4.35,4,92,+1.00
10,0,27095,Nick Watney,4.35,6,138,+0.50
12,0,24507,Jason Bohn,4.23,6,142,+0.83
13,0,40058,Zac Blair,4.21,8,190,-0.13
14,0,46501,Ollie Schniederjans,4.02,7,174,+0.29
15,0,24846,Ricky Barnes,3.98,7,176,+0.14
16,0,25240,D.A. Points,3.68,5,136,+0.40
17,0,30926,Chris Kirk,3.61,6,166,+0.50
18,0,20104,Ken Duke,3.52,5,142,-0.20
19,0,28093,Miguel Angel Carballo,3.51,4,114,+0.50
20,0,19803,Ryan Armour,3.39,4,118,+0.50
20,0,27963,Chris Stroud,3.39,4,118,+0.25
22,0,29222,Billy Hurley III,3.29,5,152,+0.60
23,0,33419,Cameron Tringale,3.16,5,158,-0.40
24,0,29221,Webb Simpson,3.03,6,198,+0.17
25,0,31560,Brian Stuard,3.01,5,166,+0.20
26,0,37455,Si Woo Kim,2.99,4,134,+0.25
27,0,29740,Brad Fritsch,2.88,3,104,+0.67
27,0,35506,Mackenzie Hughes,2.88,6,208,+0.83
29,0,22371,Aaron Baddeley,2.83,3,106,+0.67
30,0,20593,Greg Chalmers,2.82,4,142,E
30,0,20572,Rod Pampling,2.82,4,142,+0.25
32,0,34431,Robert Streb,2.78,5,180,+0.20
33,0,25572,Graeme McDowell,2.68,3,112,+0.33
34,0,19846,Brian Gay,2.56,4,156,+0.25
35,0,01810,Phil Mickelson,2.50,4,160,+0.50
36,0,26758,David Hearn,2.47,4,162,+0.25
37,0,25686,Jason Dufner,2.44,4,164,E
38,0,25720,Chad Collins,2.42,3,124,+0.33
38,0,33122,Russell Knox,2.42,3,124,+1.33
40,0,30191,Julián Etulain,2.38,3,126,E
41,0,29908,C.T. Pan,2.33,4,172,+0.25
42,0,27214,Kevin Streelman,2.27,4,176,E
43,0,36699,Patrick Rodgers,2.14,3,140,+0.67
44,0,25892,Steve Wheatcroft,2.13,2,94,+0.50
45,0,35879,Kelly Kraft,2.11,3,142,E
45,0,26596,Ryan Moore,2.11,3,142,+0.67
47,0,48822,Sebastián Muñoz,2.04,2,98,+0.50
48,0,23800,Bryce Molder,2.03,3,148,+1.00
49,0,34099,Harris English,1.97,3,152,+1.00
50,0,46443,Brian Campbell,1.96,2,102,+2.00
51,0,40026,Daniel Berger,1.92,3,156,+0.33
51,0,21961,Charles Howell III,1.92,3,156,+1.00
51,0,35300,Andrew Loupe,1.92,2,104,+2.00
54,0,23541,Ben Crane,1.90,3,158,+0.33
55,0,34466,Peter Malnati,1.85,3,162,+0.33
56,0,27936,Martin Laird,1.81,3,166,+0.33
56,0,46970,Jon Rahm,1.81,3,166,+0.33
58,0,29476,Kyle Reifers,1.79,3,168,+1.00
58,0,23325,Vaughn Taylor,1.79,3,168,+0.33
60,0,39324,J.J. Spaun,1.74,3,172,+0.67
61,0,49771,J.T. Poston,1.72,3,174,+1.33
61,0,25349,Tim Wilkinson,1.72,2,116,+0.50
63,0,25345,Carl Pettersson,1.69,2,118,+1.00
64,0,29478,Kevin Kisner,1.67,3,180,+0.33
65,0,25632,Jimmy Walker,1.64,2,122,+0.50
66,0,12510,Chad Campbell,1.61,3,186,E
66,0,24357,K.J. Choi,1.61,2,124,+0.50
66,0,20229,Stewart Cink,1.61,3,186,-0.67
69,0,25493,Nick Taylor,1.58,3,190,+0.67
70,0,32200,Roberto Castro,1.56,2,128,E
70,0,27644,Brian Harman,1.56,3,192,E
70,0,24138,Ian Poulter,1.56,2,128,+1.00
70,0,22405,Justin Rose,1.56,2,128,E
74,0,40009,Dominic Bozzelli,1.54,2,130,+1.00
75,0,33418,Shawn Stefani,1.47,2,136,+0.50
76,0,27895,Jonas Blixt,1.43,2,140,E
76,0,36801,Mark Hubbard,1.43,2,140,+1.00
78,0,31416,Derek Fathauer,1.41,2,142,+1.00
78,0,24781,Hunter Mahan,1.41,2,142,+0.50
80,0,24358,Robert Garrigus,1.39,2,144,+1.00
80,0,12716,Charley Hoffman,1.39,3,216,+0.33
80,0,27141,J.B. Holmes,1.39,2,144,+1.00
80,0,22046,Geoff Ogilvy,1.39,2,144,-0.50
80,0,29485,Brett Stegmaier,1.39,2,144,+1.50
80,0,27770,Camilo Villegas,1.39,2,144,+0.50
86,0,26289,Boo Weekley,1.37,2,146,+0.50
87,0,47128,Richy Werenski,1.35,2,148,E
88,0,32640,Troy Merritt,1.32,2,152,+0.50
89,0,31646,Emiliano Grillo,1.27,2,158,+0.50
89,0,33413,Ben Martin,1.27,2,158,E
91,0,28252,Seamus Power,1.25,2,160,E
91,0,29518,Brendan Steele,1.25,2,160,E
93,0,27466,Spencer Levin,1.23,2,162,E
94,0,46601,Trey Mullinax,1.22,2,164,E
94,0,35891,Cameron Smith,1.22,2,164,E
96,0,24361,Pat Perez,1.16,2,172,E
97,0,23108,Matt Kuchar,1.14,2,176,+1.50
97,0,28237,Rory McIlroy,1.14,1,88,E
99,0,47959,Bryson DeChambeau,1.12,2,178,+0.50
100,0,33204,Shane Lowry,1.11,1,90,E
101,0,20157,Retief Goosen,1.09,1,92,+1.00
101,0,32448,James Hahn,1.09,2,184,E
103,0,28132,Tyrone Van Aswegen,1.08,2,186,+1.00
104,0,37189,Harold Varner III,1.05,2,190,+0.50
105,0,06522,Ernie Els,1.04,1,96,E
106,0,27974,Sung Kang,1.02,2,196,+0.50
107,0,46732,Rick Lamb,1.00,1,100,+2.00
107,0,27649,Brandt Snedeker,1.00,1,100,E
107,0,30110,Kyle Stanley,1.00,2,200,+0.50
110,0,26499,Rafa Cabrera Bello,.96,1,104,+1.00
111,0,35110,Brett Drewitt,.94,1,106,+3.00
112,0,29974,Branden Grace,.91,1,110,+1.00
113,0,26300,Matt Jones,.89,1,112,+2.00
113,0,37278,Nicholas Lindheim,.89,1,112,+1.00
115,0,26329,Louis Oosthuizen,.86,1,116,+1.00
116,0,28679,Fabián Gómez,.85,1,118,E
116,0,25818,Scott Piercy,.85,1,118,E
116,0,23497,Tag Ridings,.85,1,118,-1.00
119,0,26951,Johnson Wagner,.79,1,126,E
120,0,46440,Smylie Kaufman,.75,1,134,+1.00
121,0,25198,Francesco Molinari,.74,1,136,E
122,0,29720,Andres Gonzales,.72,1,138,-1.00
123,0,29223,Sam Saunders,.71,1,140,E
124,0,37454,Whee Kim,.69,1,144,E
125,0,20472,Alex Cejka,.68,1,146,+1.00
126,0,32757,Patton Kizzire,.66,1,152,E
127,0,39954,Cody Gribble,.65,1,154,E
127,0,30692,Scott Stallings,.65,1,154,E
129,0,34046,Jordan Spieth,.64,1,156,E
