RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,30925,Dustin Johnson,439,WGC-Bridgestone,1,16,036
2,0,24502,Adam Scott,435,WGC-Bridgestone,2,16,036
3,0,34264,Hudson Swafford,433,WGC-Bridgestone,1,16,036
4,0,23063,Scott Hend,424,WGC-Bridgestone,1,16,036
5,0,36689,Brooks Koepka,420,WGC-Bridgestone,4,16,036
6,0,28420,Ryan Brehm,415,Texas Open,3,11,770
7,0,31323,Gary Woodland,410,WGC-Bridgestone,4,16,036
8,0,27141,J.B. Holmes,409,The Greenbrier,4,10,771
8,0,33448,Justin Thomas,409,T of C,4,7,656
10,0,51766,Wyndham Clark,408,Quicken Loans,2,2,237
10,0,25632,Jimmy Walker,408,T of C,1,7,656
12,0,29725,Tony Finau,406,T of C,4,12,656
12,0,37189,Harold Varner III,406,WGC-Bridgestone,2,16,036
14,0,48081,Xander Schauffele,404,WGC-Bridgestone,1,16,036
15,0,46550,Brandon Hagy,403,Byron Nelson,1,1,019
15,0,28237,Rory McIlroy,403,NORTHERN TRUST,4,12,238
15,0,34360,Patrick Reed,403,WGC-Bridgestone,2,16,036
18,0,21209,Sergio Garcia,400,WGC-Mexico,3,10,240
18,0,26328,Shaun Norris,400,WGC-Bridgestone,2,16,036
18,0,25804,Bubba Watson,400,the Memorial,1,1,023
21,0,32102,Rickie Fowler,398,WGC-Bridgestone,1,16,036
21,0,39954,Cody Gribble,398,T of C,4,7,656
21,0,26331,Charl Schwartzel,398,WGC-Mexico,3,9,240
21,0,29518,Brendan Steele,398,T of C,4,7,656
21,0,31560,Brian Stuard,398,T of C,4,17,656
26,0,28089,Jason Day,397,T of C,4,12,656
26,0,33968,Thorbjørn Olesen,397,WGC-Bridgestone,2,8,036
28,0,12716,Charley Hoffman,396,WGC-Bridgestone,1,16,036
29,0,39324,J.J. Spaun,395,John Deere,1,14,669
30,0,46970,Jon Rahm,393,WGC-Bridgestone,1,16,036
31,0,35506,Mackenzie Hughes,392,T of C,4,6,656
32,0,33293,Thomas Pieters,391,WGC-Bridgestone,4,16,036
32,0,36699,Patrick Rodgers,391,the Memorial,4,13,023
32,0,27649,Brandt Snedeker,391,T of C,4,17,656
35,0,32366,Kevin Chappell,390,WGC-HSBC Champ.,4,18,766
35,0,35879,Kelly Kraft,390,Byron Nelson,1,1,019
35,0,35300,Andrew Loupe,390,Byron Nelson,1,3,019
38,0,20229,Stewart Cink,389,the Memorial,4,1,023
38,0,27129,Luke List,389,Wells Fargo,1,6,235
40,0,32839,Hideki Matsuyama,388,T of C,3,17,656
40,0,31202,William McGirt,388,T of C,2,17,656
40,0,27064,Jhonattan Vegas,388,Canadian Open,4,18,032
43,0,31420,Anirban Lahiri,387,Byron Nelson,1,3,019
43,0,34046,Jordan Spieth,387,T of C,3,17,656
45,0,40026,Daniel Berger,386,John Deere,2,14,669
45,0,32200,Roberto Castro,386,WGC-Mexico,1,10,240
45,0,47959,Bryson DeChambeau,386,DEAN & DELUCA,2,11,021
45,0,34363,Tyrrell Hatton,386,WGC-Bridgestone,1,8,036
45,0,26596,Ryan Moore,386,T of C,3,17,656
50,0,33120,Mark Anderson,385,Texas Open,2,8,770
50,0,47663,Kevin Dougherty,385,U.S. Open,4,8,236
50,0,20572,Rod Pampling,385,T of C,4,17,656
50,0,20396,Lee Westwood,385,WGC-Mexico,4,10,240
54,0,32448,James Hahn,384,the Memorial,4,13,023
55,0,25686,Jason Dufner,383,WGC-Bridgestone,1,8,036
55,0,29461,Jamie Lovemark,383,Byron Nelson,2,1,019
55,0,37157,Renato Paratore,383,WGC-Bridgestone,2,16,036
55,0,25818,Scott Piercy,383,WGC-Mexico,4,4,240
59,0,27896,Ross Fisher,381,WGC-Bridgestone,1,8,036
59,0,47610,Tyler Light,381,U.S. Open,2,10,236
59,0,47996,Jack Maguire,381,U.S. Open,2,8,236
