RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
46,0,47993,Denny McCarthy,1.48,371,250
46,0,24502,Adam Scott,1.48,299,202
49,0,31646,Emiliano Grillo,1.47,349,237
49,0,39977,Max Homa,1.47,336,228
49,0,46601,Trey Mullinax,1.47,344,234
49,0,30692,Scott Stallings,1.47,390,265
53,0,45157,Cam Davis,1.46,342,234
53,0,51890,Greyson Sigg,1.46,335,229
55,0,34174,John Huh,1.45,300,207
55,0,26851,Marc Leishman,1.45,295,203
55,0,34256,Andrew Putnam,1.45,342,236
55,0,27214,Kevin Streelman,1.45,317,219
55,0,30927,Brendon Todd,1.45,315,217
60,0,49947,Taylor Moore,1.44,341,236
60,0,22056,Cameron Percy,1.44,176,122
60,0,23325,Vaughn Taylor,1.44,200,139
63,0,27644,Brian Harman,1.43,330,231
64,0,46340,Alex Smalley,1.42,355,250
64,0,39324,J.J. Spaun,1.42,369,259
64,0,51894,Vince Whaley,1.42,361,255
67,0,32150,Michael Thompson,1.41,323,229
68,0,28089,Jason Day,1.40,229,163
68,0,37455,Si Woo Kim,1.40,384,275
68,0,29478,Kevin Kisner,1.40,260,186
71,0,35310,Lanto Griffin,1.39,306,220
71,0,40115,Adam Svensson,1.39,413,297
73,0,33141,Keegan Bradley,1.38,311,226
73,0,30926,Chris Kirk,1.38,313,226
73,0,27936,Martin Laird,1.38,234,169
76,0,52374,Brandon Wu,1.37,285,208
77,0,51766,Wyndham Clark,1.36,375,276
77,0,54628,Lee Hodges,1.36,343,252
77,0,32816,Satoshi Kodaira,1.36,202,148
77,0,30944,Jason Kokrak,1.36,235,173
77,0,34466,Peter Malnati,1.36,412,303
77,0,46414,Aaron Rai,1.36,321,236
77,0,50095,Austin Smotherman,1.36,295,217
77,0,27064,Jhonattan Vegas,1.36,298,219
85,0,32662,Michael Gligic,1.35,272,202
85,0,33419,Cameron Tringale,1.35,357,265
87,0,32448,James Hahn,1.34,250,187
87,0,33122,Russell Knox,1.34,309,231
87,0,32791,K.H. Lee,1.34,375,280
87,0,40162,Justin Lower,1.34,286,213
87,0,24361,Pat Perez,1.34,239,178
92,0,47988,Nick Hardy,1.33,232,175
92,0,26300,Matt Jones,1.33,241,181
92,0,48117,Kurt Kitayama,1.33,276,208
92,0,48822,Sebastián Muñoz,1.33,323,243
92,0,29289,S.Y. Noh,1.33,247,186
92,0,36699,Patrick Rodgers,1.33,307,231
92,0,34610,Matthias Schwab,1.33,262,197
99,0,55708,Hayden Buckley,1.32,339,256
99,0,29535,Brice Garnett,1.32,271,205
99,0,24980,Scott Gutschewski,1.32,204,154
99,0,36884,Ben Kohles,1.32,249,188
99,0,32640,Troy Merritt,1.32,344,260
99,0,29908,C.T. Pan,1.32,304,230
105,0,34563,Chesson Hadley,1.31,304,232
105,0,29518,Brendan Steele,1.31,257,196
105,0,34264,Hudson Swafford,1.31,267,204
108,0,32757,Patton Kizzire,1.30,346,267
108,0,36326,David Lipsky,1.30,336,258
108,0,22405,Justin Rose,1.30,219,168
108,0,23621,Rory Sabbatini,1.30,219,169
112,0,46435,Austin Cook,1.29,245,190
112,0,34076,Joel Dahmen,1.29,330,256
114,0,23983,Luke Donald,1.28,248,193
114,0,34363,Tyrrell Hatton,1.28,255,199
114,0,49766,Hank Lebioda,1.28,296,232
114,0,37275,Sam Ryder,1.28,342,267
114,0,29221,Webb Simpson,1.28,231,181
114,0,48699,Callum Tarren,1.28,269,210
120,0,24924,Bill Haas,1.26,313,248
120,0,36799,Stephan Jaeger,1.26,333,264
122,0,36871,Matthew NeSmith,1.25,336,268
122,0,26476,Chez Reavie,1.25,299,239
122,0,45540,Jared Wolfe,1.25,212,169
125,0,19803,Ryan Armour,1.24,162,131
125,0,27129,Luke List,1.24,305,246
125,0,51997,Andrew Novak,1.24,281,227
125,0,25818,Scott Piercy,1.24,295,237
125,0,47983,Chad Ramey,1.24,286,231
125,0,47856,Seth Reeves,1.24,268,217
131,0,30978,Kiradech Aphibarnrat,1.23,198,161
131,0,52372,Cameron Champ,1.23,216,175
131,0,31420,Anirban Lahiri,1.23,257,209
131,0,34360,Patrick Reed,1.23,254,206
131,0,31323,Gary Woodland,1.23,244,199
136,0,12716,Charley Hoffman,1.22,259,212
136,0,36852,Jim Knous,1.22,197,161
136,0,53165,Doc Redman,1.22,295,241
139,0,52375,Doug Ghim,1.21,283,233
139,0,25900,Lucas Glover,1.21,350,290
139,0,27974,Sung Kang,1.21,309,256
139,0,35879,Kelly Kraft,1.21,259,214
139,0,33667,Carlos Ortiz,1.21,238,196
139,0,34431,Robert Streb,1.21,284,235
145,0,29970,Dylan Frittelli,1.20,341,284
145,0,35461,Beau Hossler,1.20,250,209
145,0,36689,Brooks Koepka,1.20,181,151
145,0,23320,Ryan Palmer,1.20,242,202
145,0,49960,Sepp Straka,1.20,352,294
150,0,34255,Joseph Bramlett,1.19,302,253
150,0,39058,Lucas Herbert,1.19,205,172
150,0,29926,Danny Lee,1.19,210,177
150,0,30163,Henrik Norlander,1.19,247,207
150,0,32139,Danny Willett,1.19,217,182
155,0,20229,Stewart Cink,1.18,290,245
156,0,35506,Mackenzie Hughes,1.17,302,258
156,0,39953,Chase Seiffert,1.17,176,151
156,0,31560,Brian Stuard,1.17,297,253
156,0,25493,Nick Taylor,1.17,313,267
160,0,32366,Kevin Chappell,1.16,214,185
160,0,51950,Max McGreevy,1.16,263,226
160,0,25198,Francesco Molinari,1.16,200,173
160,0,24138,Ian Poulter,1.16,161,139
160,0,27139,David Skinns,1.16,257,221
160,0,54783,Dylan Wu,1.16,229,197
166,0,29974,Branden Grace,1.15,180,156
166,0,48887,Matt Wallace,1.15,204,177
168,0,37212,Paul Barjon,1.14,268,235
168,0,10381,Curtis Thompson,1.14,228,200
168,0,35617,Martin Trainer,1.14,285,250
168,0,56278,Matthew Wolff,1.14,183,161
172,0,33486,Roger Sloan,1.13,278,246
172,0,27770,Camilo Villegas,1.13,245,217
174,0,49298,Kramer Hickok,1.12,317,283
174,0,47347,Adam Schenk,1.12,312,278
174,0,32333,Kevin Tway,1.12,270,242
177,0,32102,Rickie Fowler,1.11,251,227
177,0,27649,Brandt Snedeker,1.11,203,183
179,0,48084,Wesley Bryan,1.09,177,162
179,0,24024,Zach Johnson,1.09,222,203
181,0,33597,Harry Higgs,1.08,261,242
181,0,40006,Erik van Rooyen,1.08,178,165
183,0,31557,Jim Herman,1.07,166,155
184,0,47128,Richy Werenski,1.05,235,223
185,0,46550,Brandon Hagy,1.03,297,287
185,0,27095,Nick Watney,1.03,254,246
187,0,33490,Bo Hoag,1.02,163,160
188,0,35110,Brett Drewitt,1.01,192,191
189,0,28114,Dawie van der Walt,.99,226,229
190,0,25686,Jason Dufner,.97,171,176
191,0,39436,Joshua Creel,.95,151,159
192,0,54421,Garrick Higgo,.92,209,228
193,0,27895,Jonas Blixt,.91,169,186
