RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,35891,Cameron Smith,26.52,296,1116,47
2,0,33448,Justin Thomas,26.32,360,1368,34
3,0,46046,Scottie Scheffler,26.12,395,1512,1
4,0,28237,Rory McIlroy,26.11,282,1080,12
5,0,35450,Patrick Cantlay,25.41,311,1224,18
6,0,57366,Cameron Young,25.27,373,1476,143
7,0,46717,Viktor Hovland,24.92,314,1260,74
8,0,48081,Xander Schauffele,24.85,322,1296,11
9,0,47483,Will Zalatoris,24.49,335,1368,8
10,0,47504,Sam Burns,24.44,352,1440,26
11,0,34098,Russell Henley,24.00,337,1404,7
12,0,46402,Talor Gooch,23.94,306,1278,16
13,0,46442,Maverick McNealy,23.93,379,1584,81
14,0,32839,Hideki Matsuyama,23.92,310,1296,36
15,0,29725,Tony Finau,23.90,370,1548,5
16,0,45486,Joaquin Niemann,23.82,343,1440,48
17,0,46970,Jon Rahm,23.81,300,1260,3
18,0,47995,Davis Riley,23.70,401,1692,75
19,0,51894,Vince Whaley,23.59,361,1530,166
20,0,21961,Charles Howell III,23.46,228,972,6
21,0,34046,Jordan Spieth,23.42,312,1332,62
22,0,49964,Aaron Wise,23.39,362,1548,21
23,0,46601,Trey Mullinax,23.31,344,1476,85
24,0,39971,Sungjae Im,23.30,369,1584,9
25,0,37189,Harold Varner III,23.19,288,1242,93
26,0,34264,Hudson Swafford,23.18,267,1152,83
27,0,45157,Cam Davis,23.17,342,1476,132
28,0,40250,Taylor Pendrith,23.16,296,1278,10
29,0,31646,Emiliano Grillo,23.08,349,1512,48
30,0,24502,Adam Scott,23.07,299,1296,55
31,0,39546,Keith Mitchell,23.06,357,1548,57
31,0,50525,Collin Morikawa,23.06,249,1080,30
33,0,40115,Adam Svensson,22.94,413,1800,61
34,0,28775,Nate Lashley,22.88,313,1368,53
35,0,39977,Max Homa,22.76,336,1476,110
35,0,26851,Marc Leishman,22.76,295,1296,99
37,0,28252,Seamus Power,22.72,319,1404,27
38,0,30692,Scott Stallings,22.57,390,1728,128
39,0,49947,Taylor Moore,22.55,341,1512,39
40,0,22405,Justin Rose,22.53,219,972,142
41,0,34174,John Huh,22.52,300,1332,79
42,0,29926,Danny Lee,22.44,210,936,188
43,0,28089,Jason Day,22.32,229,1026,146
44,0,34466,Peter Malnati,22.22,412,1854,155
44,0,22056,Cameron Percy,22.22,176,792,81
44,0,47856,Seth Reeves,22.22,268,1206,100
47,0,35532,Tom Hoge,22.16,383,1728,101
48,0,34363,Tyrrell Hatton,22.14,255,1152,159
49,0,23621,Rory Sabbatini,22.12,219,990,162
