RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,19846,Brian Gay,43.93,775,1764
2,0,27649,Brandt Snedeker,43.88,703,1602
3,0,21350,Ryuji Imada,42.84,694,1620
4,0,20160,Charlie Wi,42.69,730,1710
5,0,10423,Mike Weir,42.50,436,1026
6,0,20593,Greg Chalmers,42.00,703,1674
7,0,20766,Padraig Harrington,41.57,419,1008
8,0,26882,Michael Sim,41.18,467,1134
9,0,23983,Luke Donald,41.09,503,1224
10,0,25396,Kevin Na,41.04,687,1674
11,0,26300,Matt Jones,40.89,655,1602
12,0,24361,Pat Perez,40.80,661,1620
13,0,02239,Scott Verplank,40.79,536,1314
14,0,27141,J.B. Holmes,40.67,732,1800
15,0,02206,David Toms,40.65,622,1530
16,0,23718,Nathan Green,40.57,628,1548
17,0,24024,Zach Johnson,40.48,663,1638
18,0,22371,Aaron Baddeley,40.43,684,1692
19,0,08725,Tom Gillis,40.38,705,1746
19,0,22405,Justin Rose,40.38,567,1404
21,0,21753,Brian Davis,40.32,733,1818
22,0,23108,Matt Kuchar,40.23,688,1710
23,0,23320,Ryan Palmer,40.21,608,1512
24,0,29221,Webb Simpson,40.19,709,1764
25,0,21731,Freddie Jacobson,40.09,599,1494
26,0,06527,Steve Stricker,40.05,519,1296
27,0,25190,Jeff Quinney,39.99,655,1638
28,0,23135,Tim Clark,39.93,611,1530
29,0,01810,Phil Mickelson,39.91,546,1368
30,0,22046,Geoff Ogilvy,39.81,430,1080
31,0,10809,Jim Furyk,39.64,528,1332
32,0,20850,Daniel Chopra,39.56,527,1332
33,0,06643,Paul Goydos,39.53,555,1404
34,0,12716,Charley Hoffman,39.48,604,1530
35,0,23541,Ben Crane,39.43,582,1476
36,0,26596,Ryan Moore,39.38,560,1422
37,0,10860,Justin Leonard,39.27,622,1584
38,0,10585,Scott McCarron,39.26,636,1620
39,0,32640,Troy Merritt,39.21,607,1548
39,0,23623,Bo Van Pelt,39.21,734,1872
41,0,25562,Andres Romero,39.19,515,1314
42,0,25364,Paul Casey,39.18,409,1044
43,0,11123,Chris Couch,39.14,465,1188
44,0,20157,Retief Goosen,39.12,500,1278
45,0,28237,Rory McIlroy,39.10,366,936
46,0,20070,Matt Bettencourt,39.07,640,1638
47,0,24138,Ian Poulter,39.00,344,882
48,0,20098,Stuart Appleby,38.94,708,1818
49,0,23621,Rory Sabbatini,38.82,545,1404
50,0,24663,Y.E. Yang,38.65,487,1260
51,0,26695,Michael Letzig,38.56,583,1512
52,0,25345,Carl Pettersson,38.50,686,1782
52,0,27770,Camilo Villegas,38.50,499,1296
54,0,06522,Ernie Els,38.49,485,1260
55,0,28089,Jason Day,38.48,568,1476
56,0,24490,George McNeill,38.33,545,1422
57,0,25720,Chad Collins,38.31,600,1566
57,0,26851,Marc Leishman,38.31,600,1566
59,0,23800,Bryce Molder,38.29,579,1512
60,0,30925,Dustin Johnson,38.28,565,1476
61,0,32102,Rickie Fowler,38.27,675,1764
62,0,28475,Jeff Overton,38.20,612,1602
63,0,25818,Scott Piercy,38.19,605,1584
64,0,28307,Matt Every,38.15,412,1080
65,0,27095,Nick Watney,38.13,604,1584
66,0,24846,Ricky Barnes,38.08,706,1854
67,0,06004,Stephen Ames,38.06,507,1332
67,0,20229,Stewart Cink,38.06,548,1440
69,0,01948,Tim Petrovic,38.04,719,1890
70,0,23409,James Driscoll,37.75,530,1404
