RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,48084,Wesley Bryan,12.95,93,718,+0.043
2,0,37454,Whee Kim,9.72,99,1018,E
3,0,10809,Jim Furyk,9.53,61,640,+0.148
4,0,24361,Pat Perez,9.47,68,718,+0.103
5,0,25240,D.A. Points,8.61,58,674,+0.345
6,0,25632,Jimmy Walker,8.26,76,920,+0.184
7,0,24502,Adam Scott,8.25,69,836,+0.116
8,0,26329,Louis Oosthuizen,8.13,52,640,+0.058
9,0,37278,Nicholas Lindheim,8.01,66,824,+0.091
10,0,33419,Cameron Tringale,7.98,57,714,+0.281
11,0,24924,Bill Haas,7.93,73,920,+0.123
12,0,19803,Ryan Armour,7.89,106,1344,+0.009
13,0,31416,Derek Fathauer,7.68,73,950,+0.151
14,0,31202,William McGirt,7.55,79,1046,+0.203
15,0,25834,Daniel Summerhays,7.52,40,532,+0.475
16,0,34099,Harris English,7.37,70,950,+0.143
17,0,24846,Ricky Barnes,7.30,46,630,+0.326
18,0,34431,Robert Streb,7.28,61,838,+0.197
19,0,35506,Mackenzie Hughes,7.26,69,950,+0.058
20,0,31560,Brian Stuard,7.24,89,1230,+0.090
21,0,28132,Tyrone Van Aswegen,6.99,81,1158,+0.111
22,0,29479,Scott Brown,6.90,78,1130,+0.167
23,0,40026,Daniel Berger,6.88,60,872,-0.050
24,0,34174,John Huh,6.81,78,1146,+0.103
25,0,29222,Billy Hurley III,6.78,54,796,+0.296
26,0,32102,Rickie Fowler,6.76,58,858,-0.172
27,0,27942,Rob Oppenheim,6.75,51,756,+0.196
28,0,34098,Russell Henley,6.74,55,816,+0.036
29,0,39328,Conrad Shindler,6.66,41,616,+0.122
30,0,29908,C.T. Pan,6.63,76,1146,+0.118
31,0,27974,Sung Kang,6.53,61,934,+0.213
32,0,29461,Jamie Lovemark,6.43,70,1088,+0.143
33,0,33413,Ben Martin,6.42,51,794,+0.176
34,0,25900,Lucas Glover,6.41,41,640,+0.073
34,0,25572,Graeme McDowell,6.41,41,640,+0.146
36,0,08793,Tiger Woods,6.33,52,822,+0.058
37,0,24138,Ian Poulter,6.30,44,698,+0.159
37,0,47347,Adam Schenk,6.30,58,920,+0.224
37,0,34264,Hudson Swafford,6.30,46,730,+0.239
40,0,32150,Michael Thompson,6.25,49,784,+0.102
41,0,39975,Michael Kim,6.23,47,754,+0.085
41,0,20572,Rod Pampling,6.23,39,626,+0.128
43,0,27936,Martin Laird,6.22,53,852,+0.151
44,0,23541,Ben Crane,6.21,40,644,+0.150
44,0,29974,Branden Grace,6.21,38,612,+0.184
46,0,36699,Patrick Rodgers,6.19,63,1018,+0.063
47,0,25364,Paul Casey,6.16,42,682,-0.048
47,0,26331,Charl Schwartzel,6.16,36,584,E
49,0,25396,Kevin Na,6.12,60,980,-0.050
50,0,34563,Chesson Hadley,6.03,75,1244,+0.080
50,0,21528,Henrik Stenson,6.03,37,614,+0.054
52,0,25818,Scott Piercy,5.99,57,952,+0.088
53,0,32876,Martin Piller,5.98,56,936,+0.286
54,0,34021,Bud Cauley,5.94,34,572,+0.147
54,0,20593,Greg Chalmers,5.94,34,572,+0.382
56,0,27095,Nick Watney,5.91,66,1116,E
57,0,40009,Dominic Bozzelli,5.88,50,850,+0.060
58,0,26596,Ryan Moore,5.86,54,922,+0.130
59,0,39954,Cody Gribble,5.82,44,756,+0.295
60,0,23353,J.J. Henry,5.81,51,878,+0.039
61,0,29478,Kevin Kisner,5.80,53,914,+0.094
61,0,47128,Richy Werenski,5.80,60,1034,+0.233
63,0,20229,Stewart Cink,5.78,54,934,+0.019
64,0,27895,Jonas Blixt,5.77,39,676,+0.051
65,0,48081,Xander Schauffele,5.73,58,1012,+0.259
66,0,35879,Kelly Kraft,5.72,59,1032,+0.169
67,0,24358,Robert Garrigus,5.70,54,948,+0.056
68,0,12510,Chad Campbell,5.67,53,934,+0.019
69,0,29221,Webb Simpson,5.66,64,1130,-0.141
70,0,28307,Matt Every,5.65,48,850,+0.271
71,0,35545,Blayne Barber,5.62,47,836,+0.128
71,0,27649,Brandt Snedeker,5.62,58,1032,E
73,0,31646,Emiliano Grillo,5.58,57,1022,-0.018
74,0,26758,David Hearn,5.57,39,700,+0.154
75,0,28679,Fabián Gómez,5.56,55,990,+0.182
75,0,22405,Justin Rose,5.56,41,738,-0.220
75,0,27064,Jhonattan Vegas,5.56,50,900,+0.180
78,0,32254,Xinjun Zhang,5.53,44,796,+0.273
79,0,21961,Charles Howell III,5.51,60,1088,-0.017
80,0,27214,Kevin Streelman,5.50,63,1146,+0.143
81,0,32448,James Hahn,5.49,53,966,-0.075
81,0,33204,Shane Lowry,5.49,39,710,+0.103
81,0,46501,Ollie Schniederjans,5.49,59,1074,+0.356
84,0,47959,Bryson DeChambeau,5.48,60,1095,+0.267
84,0,25686,Jason Dufner,5.48,40,730,+0.100
86,0,46402,Talor Gooch,5.43,47,866,+0.064
86,0,33122,Russell Knox,5.43,56,1032,+0.054
88,0,30110,Kyle Stanley,5.41,51,942,+0.176
89,0,29518,Brendan Steele,5.39,41,760,+0.122
89,0,27963,Chris Stroud,5.39,44,816,+0.295
91,0,20157,Retief Goosen,5.38,30,558,+0.533
92,0,32816,Satoshi Kodaira,5.36,30,560,+0.167
92,0,33418,Shawn Stefani,5.36,45,840,+0.089
92,0,22582,Kyle Thompson,5.36,27,504,+0.333
95,0,28252,Seamus Power,5.31,49,922,+0.143
96,0,45609,Tyler Duncan,5.30,60,1132,+0.183
96,0,33399,Adam Hadwin,5.30,49,924,+0.020
96,0,30926,Chris Kirk,5.30,71,1340,E
96,0,27556,Ted Potter Jr.,5.30,57,1076,+0.123
100,0,32640,Troy Merritt,5.29,54,1020,+0.019
101,0,24024,Zach Johnson,5.28,53,1004,+0.057
102,0,34363,Tyrrell Hatton,5.27,31,588,-0.161
103,0,26476,Chez Reavie,5.25,44,838,-0.091
103,0,35544,Andrew Yun,5.25,25,476,+0.440
105,0,24140,Sean O'Hair,5.16,41,794,+0.220
106,0,35891,Cameron Smith,5.15,44,854,+0.045
107,0,32757,Patton Kizzire,5.11,56,1096,+0.143
107,0,34256,Andrew Putnam,5.11,55,1076,E
109,0,28089,Jason Day,5.10,35,686,+0.086
110,0,26499,Rafa Cabrera Bello,5.06,34,672,-0.059
111,0,30978,Kiradech Aphibarnrat,5.04,24,476,E
112,0,29223,Sam Saunders,5.03,47,934,+0.277
113,0,34358,Jonathan Randolph,5.01,42,838,+0.381
114,0,29420,Billy Horschel,5.00,54,1080,+0.130
115,0,26851,Marc Leishman,4.97,51,1026,-0.039
116,0,22371,Aaron Baddeley,4.92,48,976,+0.271
117,0,20472,Alex Cejka,4.90,41,836,+0.073
118,0,30944,Jason Kokrak,4.89,60,1228,+0.150
119,0,39997,Corey Conners,4.81,53,1102,+0.038
119,0,47993,Denny McCarthy,4.81,33,686,+0.061
121,0,27958,Ryan Blaum,4.78,48,1004,+0.375
122,0,37455,Si Woo Kim,4.76,52,1092,+0.192
123,0,37189,Harold Varner III,4.75,49,1032,+0.102
124,0,34409,David Lingmerth,4.68,45,962,+0.133
125,0,27349,Alex Noren,4.66,32,686,-0.188
126,0,47287,Ethan Tracy,4.63,35,756,+0.086
127,0,29535,Brice Garnett,4.60,52,1130,+0.077
128,0,33141,Keegan Bradley,4.57,51,1116,+0.196
128,0,30692,Scott Stallings,4.57,51,1116,+0.314
130,0,23108,Matt Kuchar,4.53,41,906,+0.171
