RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,46601,Trey Mullinax,50.00,69,138,-0.36
2,0,28237,Rory McIlroy,48.36,59,122,-0.25
3,0,50526,Tom Lovelady,45.06,73,162,-0.40
4,0,29725,Tony Finau,41.67,75,180,-0.61
5,0,36689,Brooks Koepka,40.52,47,116,-0.26
6,0,25804,Bubba Watson,39.24,62,158,-0.32
7,0,30925,Dustin Johnson,38.57,54,140,-0.52
8,0,27129,Luke List,36.78,64,174,-0.33
9,0,31323,Gary Woodland,36.75,61,166,-0.39
10,0,33448,Justin Thomas,35.81,53,148,-0.42
11,0,39546,Keith Mitchell,35.57,69,194,-0.39
12,0,32333,Kevin Tway,34.38,66,192,-0.48
13,0,37189,Harold Varner III,33.95,55,162,-0.44
14,0,46970,Jon Rahm,33.06,41,124,-0.12
15,0,29518,Brendan Steele,31.75,40,126,-0.35
16,0,27141,J.B. Holmes,31.69,45,142,-0.22
17,0,30944,Jason Kokrak,30.81,61,198,-0.33
18,0,28089,Jason Day,30.00,36,120,-0.19
19,0,30911,Tommy Fleetwood,29.84,37,124,-0.41
20,0,48081,Xander Schauffele,29.63,48,162,-0.31
21,0,34213,Grayson Murray,28.91,37,128,-0.24
22,0,32366,Kevin Chappell,28.38,42,148,-0.43
23,0,47347,Adam Schenk,27.50,44,160,-0.30
24,0,33948,Byeong Hun An,26.88,43,160,E
25,0,23320,Ryan Palmer,26.19,33,126,-0.36
26,0,27095,Nick Watney,26.11,47,180,-0.30
27,0,47959,Bryson DeChambeau,25.81,48,186,-0.33
28,0,35310,Lanto Griffin,25.00,37,148,-0.27
29,0,36699,Patrick Rodgers,24.71,42,170,-0.43
30,0,46501,Ollie Schniederjans,24.68,39,158,-0.46
31,0,08793,Tiger Woods,24.26,33,136,-0.30
32,0,27064,Jhonattan Vegas,24.03,37,154,-0.19
33,0,24358,Robert Garrigus,23.68,36,152,-0.44
34,0,24502,Adam Scott,22.86,32,140,-0.22
35,0,34264,Hudson Swafford,22.73,25,110,-0.36
36,0,24140,Sean O'Hair,22.22,28,126,-0.29
37,0,34099,Harris English,21.79,34,156,-0.38
38,0,21961,Charles Howell III,21.59,38,176,-0.37
39,0,30692,Scott Stallings,21.51,37,172,-0.38
40,0,35421,Brandon Harkins,21.05,40,190,-0.45
41,0,22405,Justin Rose,20.97,26,124,-0.31
42,0,29223,Sam Saunders,20.95,31,148,-0.32
43,0,29484,Peter Uihlein,20.71,29,140,-0.45
44,0,26331,Charl Schwartzel,20.65,19,92,-0.11
45,0,28252,Seamus Power,20.51,32,156,-0.44
46,0,25364,Paul Casey,20.34,24,118,-0.17
47,0,32839,Hideki Matsuyama,20.31,26,128,-0.15
48,0,32102,Rickie Fowler,19.59,29,148,-0.41
49,0,29268,Bronson Burgoon,19.57,27,138,-0.26
50,0,26851,Marc Leishman,19.51,32,164,-0.25
51,0,39997,Corey Conners,19.35,36,186,-0.44
52,0,25198,Francesco Molinari,18.94,25,132,-0.04
53,0,25632,Jimmy Walker,18.83,29,154,-0.41
54,0,29461,Jamie Lovemark,18.75,30,160,-0.57
54,0,49964,Aaron Wise,18.75,33,176,-0.27
56,0,26300,Matt Jones,18.55,23,124,-0.30
57,0,35450,Patrick Cantlay,18.42,28,152,-0.21
58,0,49771,J.T. Poston,18.31,26,142,-0.42
59,0,29974,Branden Grace,17.31,18,104,-0.22
60,0,34046,Jordan Spieth,17.11,26,152,-0.50
60,0,30110,Kyle Stanley,17.11,26,152,-0.42
62,0,47287,Ethan Tracy,16.91,23,136,-0.35
63,0,01810,Phil Mickelson,16.87,28,166,-0.50
64,0,36799,Stephan Jaeger,16.67,25,150,-0.52
64,0,26329,Louis Oosthuizen,16.67,18,108,-0.22
66,0,32254,Xinjun Zhang,16.20,23,142,-0.35
67,0,40009,Dominic Bozzelli,16.15,21,130,-0.33
67,0,27936,Martin Laird,16.15,21,130,-0.19
69,0,34363,Tyrrell Hatton,16.00,16,100,E
70,0,35891,Cameron Smith,15.71,22,140,-0.32
71,0,33418,Shawn Stefani,15.54,23,148,-0.48
72,0,40026,Daniel Berger,15.44,21,136,-0.33
73,0,47125,Matt Atkins,15.38,16,104,-0.31
73,0,34360,Patrick Reed,15.38,24,156,-0.21
75,0,32757,Patton Kizzire,15.17,27,178,-0.26
76,0,25818,Scott Piercy,15.13,23,152,-0.57
77,0,25686,Jason Dufner,15.00,18,120,-0.28
78,0,34563,Chesson Hadley,14.65,29,198,-0.41
79,0,24924,Bill Haas,14.29,20,140,-0.25
80,0,32448,James Hahn,14.19,21,148,-0.48
81,0,45526,Abraham Ancer,14.06,27,192,-0.37
82,0,39954,Cody Gribble,14.04,16,114,-0.38
83,0,28500,Martin Flores,14.02,23,164,-0.43
84,0,22056,Cameron Percy,14.00,14,100,-0.07
85,0,20229,Stewart Cink,13.92,22,158,-0.27
86,0,33141,Keegan Bradley,13.53,23,170,-0.52
87,0,35461,Beau Hossler,13.46,28,208,-0.32
88,0,35545,Blayne Barber,13.43,18,134,-0.33
89,0,34021,Bud Cauley,13.33,12,90,-0.17
90,0,12716,Charley Hoffman,13.13,21,160,-0.38
91,0,34076,Joel Dahmen,12.94,22,170,-0.64
92,0,26499,Rafa Cabrera Bello,12.93,15,116,-0.40
93,0,29420,Billy Horschel,12.80,21,164,-0.24
94,0,46402,Talor Gooch,12.50,18,144,-0.44
94,0,20157,Retief Goosen,12.50,13,104,+0.08
94,0,27349,Alex Noren,12.50,14,112,-0.29
94,0,37275,Sam Ryder,12.50,20,160,-0.60
98,0,39324,J.J. Spaun,12.03,19,158,-0.68
99,0,45609,Tyler Duncan,11.83,22,186,-0.32
100,0,33204,Shane Lowry,11.61,13,112,-0.38
100,0,24138,Ian Poulter,11.61,13,112,-0.46
102,0,37278,Nicholas Lindheim,11.59,16,138,-0.19
103,0,35532,Tom Hoge,11.29,21,186,-0.29
104,0,32150,Michael Thompson,11.21,13,116,-0.23
105,0,35506,Mackenzie Hughes,11.18,17,152,-0.29
106,0,29908,C.T. Pan,11.11,20,180,-0.50
107,0,29535,Brice Garnett,11.05,21,190,-0.52
108,0,28679,Fabián Gómez,10.71,18,168,-0.50
109,0,29485,Brett Stegmaier,10.66,13,122,-0.54
