RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,49771,J.T. Poston,83' 1",78737,79,465,2502001847
2,0,34099,Harris English,82' 10",77537,78,466,4002001913
3,0,24781,Hunter Mahan,81' 10",40254,41,461,0503002007
4,0,34563,Chesson Hadley,81' 9",56877,58,460,5003001846
5,0,30927,Brendon Todd,80' 11",68948,71,455,0202001916
6,0,26329,Louis Oosthuizen,80' 10",58186,60,456,4602001841
7,0,23621,Rory Sabbatini,80' 6",64690,67,452,1902001773
8,0,40098,Matt Fitzpatrick,80' 4",51071,53,455,3102001685
8,0,30925,Dustin Johnson,80' 4",59795,62,452,3104001741
8,0,49766,Hank Lebioda,80' 4",52034,54,449,4601001730
8,0,22405,Justin Rose,80' 4",39519,41,450,4102002127
12,0,24024,Zach Johnson,79' 3",72289,76,446,0203002256
13,0,40026,Daniel Berger,79' 1",69268,73,444,0202001996
14,0,35658,Kris Ventura,79' 0",49301,52,447,3501002450
15,0,36689,Brooks Koepka,78' 10",49205,52,443,1901001792
16,0,29221,Webb Simpson,78' 9",57620,61,443,1604001836
17,0,29478,Kevin Kisner,78' 7",65085,69,442,4104001830
18,0,32816,Satoshi Kodaira,78' 6",58384,62,442,3403002140
19,0,30944,Jason Kokrak,78' 3",71395,76,441,2102001657
20,0,28237,Rory McIlroy,78' 2",59089,63,439,2401001763
21,0,35450,Patrick Cantlay,78' 1",63727,68,440,5201002074
21,0,12716,Charley Hoffman,78' 1",74022,79,438,5203002130
23,0,24138,Ian Poulter,77' 11",51429,55,439,4003001694
23,0,27649,Brandt Snedeker,77' 11",67288,72,439,0501001461
25,0,40006,Erik van Rooyen,77' 10",63534,68,438,4002002111
26,0,35506,Mackenzie Hughes,77' 5",70622,76,437,4002002014
27,0,32618,Rhein Gibson,77' 3",35209,38,431,4304001700
27,0,34360,Patrick Reed,77' 3",61192,66,434,3402001568
29,0,26499,Rafa Cabrera Bello,77' 2",55533,60,435,0202001991
29,0,34046,Jordan Spieth,77' 2",68504,74,437,2403001693
31,0,24502,Adam Scott,77' 1",54566,59,433,2101001278
31,0,25632,Jimmy Walker,77' 1",58255,63,436,4002001803
33,0,33399,Adam Hadwin,77' 0",73027,79,435,4001001736
34,0,32139,Danny Willett,76' 11",25853,28,440,3101002060
35,0,32640,Troy Merritt,76' 10",73741,80,433,4201001702
35,0,48822,Sebastián Muñoz,76' 10",82067,89,432,4301001646
37,0,27942,Rob Oppenheim,76' 9",51563,56,432,4601001869
38,0,45526,Abraham Ancer,76' 8",74494,81,431,0504002072
38,0,19803,Ryan Armour,76' 8",61650,67,431,3503001556
38,0,46435,Austin Cook,76' 8",59771,65,429,3302001709
38,0,49960,Sepp Straka,76' 8",70870,77,430,1601002377
42,0,34098,Russell Henley,76' 7",71656,78,429,1601001841
42,0,29926,Danny Lee,76' 7",52411,57,431,4101001575
42,0,46442,Maverick McNealy,76' 7",60651,66,433,5101001865
42,0,48081,Xander Schauffele,76' 7",57902,63,430,1502001628
46,0,48887,Matt Wallace,76' 5",34854,38,431,1101001659
47,0,47504,Sam Burns,76' 4",66897,73,431,4904001746
47,0,47959,Bryson DeChambeau,76' 4",62263,68,430,5203001864
47,0,24361,Pat Perez,76' 4",71444,78,429,2604001737
50,0,33597,Harry Higgs,76' 3",68635,75,430,0702001868
50,0,32150,Michael Thompson,76' 3",62211,68,432,4602001658
52,0,39997,Corey Conners,76' 2",76799,84,428,1904001835
53,0,56278,Matthew Wolff,76' 1",46588,51,428,4002001621
54,0,32070,Rafael Campos,75' 10",37317,41,427,4101001662
55,0,39977,Max Homa,75' 9",60873,67,427,3301002427
55,0,39546,Keith Mitchell,75' 9",60921,67,428,1602002012
57,0,25900,Lucas Glover,75' 7",73453,81,424,1902001912
58,0,56762,Will Gordon,75' 6",61628,68,425,2003001697
58,0,32757,Patton Kizzire,75' 6",82429,91,425,3301001855
58,0,25493,Nick Taylor,75' 6",75234,83,424,3101001914
61,0,39971,Sungjae Im,75' 5",102237,113,423,3702001696
