RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,06522,Ernie Els,220.0,855451.000,108
2,0,22621,Ben Curtis,225.0,647961.000,80
3,0,08793,Tiger Woods,229.0,1186904.000,144
4,0,19825,Darren Clarke,230.7,747361.000,90
4,0,01706,Davis Love III,230.7,1353542.000,163
6,0,24502,Adam Scott,231.7,733983.000,88
7,0,01226,Fred Couples,232.5,895493.000,107
8,0,01035,Tommy Armour III,233.8,1085656.000,129
9,0,01527,Scott Hoch,234.4,641220.000,76
10,0,20157,Retief Goosen,238.4,935485.000,109
10,0,02214,Kirk Triplett,238.4,1012723.000,118
12,0,23621,Rory Sabbatini,239.5,1370863.000,159
13,0,01553,John Huston,240.6,883340.000,102
14,0,06567,Vijay Singh,240.7,2287798.000,264
15,0,20098,Stuart Appleby,241.3,1250653.000,144
16,0,12510,Chad Campbell,241.4,1346949.000,155
17,0,10860,Justin Leonard,241.5,956233.000,110
18,0,22046,Geoff Ogilvy,241.7,1444618.000,166
19,0,06515,Shaun Micheel,242.7,1266688.000,145
19,0,10423,Mike Weir,242.7,917449.000,105
21,0,12680,Shigeki Maruyama,243.0,1145921.000,131
22,0,01685,J.L. Lewis,243.3,1629351.000,186
22,0,11032,Frank Lickliter II,243.3,1322456.000,151
24,0,23541,Ben Crane,243.6,1464819.000,167
25,0,01473,Todd Hamilton,243.8,956751.000,109
26,0,02010,Loren Roberts,244.0,614974.000,70
27,0,06004,Stephen Ames,244.1,1265577.000,144
28,0,24357,K.J. Choi,244.5,871271.000,99
29,0,01945,Kenny Perry,244.9,1278512.000,145
30,0,08385,Omar Uresti,245.7,884341.000,100
31,0,06197,Michael Allen,246.0,1204425.000,136
32,0,21805,Harrison Frazar,246.1,1541425.000,174
33,0,01968,Nick Price,246.2,452021.000,51
34,0,01313,Steve Elkington,246.3,904557.000,102
35,0,11123,Chris Couch,246.7,1048100.000,118
35,0,10425,Jay Williamson,246.7,1225641.000,138
37,0,01771,Blaine McCallister,246.8,719610.000,81
38,0,20580,Andre Stolz,246.9,844422.000,95
38,0,02223,Bob Tway,246.9,906763.000,102
40,0,12652,Cameron Beckman,247.1,1601449.000,180
40,0,01249,John Daly,247.1,1476833.000,166
42,0,12760,Danny Ellis,247.3,1086153.000,122
42,0,10213,Dicky Pride,247.3,872590.000,98
44,0,23135,Tim Clark,247.5,890862.000,100
45,0,07223,Brian Bateman,247.6,1301406.000,146
46,0,22293,Heath Slocum,247.8,936745.000,105
47,0,21646,David Branshaw,248.0,1098045.000,123
47,0,01927,Dennis Paulson,248.0,1419463.000,159
49,0,01320,Bob Estes,248.4,634876.000,71
50,0,24925,Jonathan Byrd,248.5,1494018.000,167
51,0,06575,Dudley Hart,248.6,707021.000,79
51,0,02206,David Toms,248.6,877187.000,98
53,0,01677,Tom Lehman,248.7,1101046.000,123
53,0,02002,John Riegger,248.7,769924.000,86
55,0,01707,Steve Lowery,248.8,1469146.000,164
56,0,07457,Steve Flesch,248.9,1317075.000,147
56,0,10201,Matt Gogel,248.9,994788.000,111
58,0,21961,Charles Howell III,249.3,1498649.000,167
58,0,01666,Bernhard Langer,249.3,619316.000,69
60,0,22371,Aaron Baddeley,249.5,1320483.000,147
60,0,20572,Rod Pampling,249.5,1419322.000,158
62,0,22405,Justin Rose,249.7,1060894.000,118
63,0,21893,Brian Kortan,249.8,845445.000,94
64,0,12682,Hirofumi Miyase,249.9,773786.000,86
65,0,20663,Brenden Pappas,250.2,2080914.000,231
66,0,20094,Jonathan Kaye,250.3,1414965.000,157
67,0,10912,Craig Perks,250.4,892283.000,99
68,0,08881,Tripp Isenhour,250.5,640342.000,71
68,0,23325,Vaughn Taylor,250.5,1452080.000,161
70,0,01378,David Frost,250.6,938344.000,104
70,0,23320,Ryan Palmer,250.6,1758886.000,195
72,0,21633,Steve Allan,250.7,2039716.000,226
72,0,12782,Tim Herron,250.7,1182224.000,131
72,0,02101,Joey Sindelar,250.7,1660941.000,184
75,0,01577,Lee Janzen,250.8,1155915.000,128
76,0,20645,John Senden,250.9,1887935.000,209
77,0,24781,Hunter Mahan,251.1,1690356.000,187
78,0,07721,Pat Bates,251.3,1131006.000,125
78,0,01132,Mark Brooks,251.3,768902.000,85
78,0,06621,Joe Durant,251.3,1302671.000,144
78,0,23497,Tag Ridings,251.3,1013127.000,112
78,0,06613,Tommy Tolles,251.3,1158005.000,128
83,0,08931,Glen Day,251.4,1357456.000,150
84,0,20498,Briny Baird,251.5,1258442.000,139
85,0,12394,Tom Carter,251.6,1702620.000,188
85,0,20229,Stewart Cink,251.6,1367558.000,151
85,0,12823,Carlos Franco,251.6,1820535.000,201
88,0,10733,Kent Jones,251.8,1459605.000,161
88,0,02106,Chris Smith,251.8,2339090.000,258
88,0,12602,Dean Wilson,251.8,1350457.000,149
91,0,01139,Olin Browne,252.0,1025312.000,113
