RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,46414,Aaron Rai,87.73%,1044,1190
2,0,51890,Greyson Sigg,87.55%,921,1052
3,0,40026,Daniel Berger,87.24%,923,1058
4,0,54576,Patrick Fishburn,87.11%,845,970
5,0,26596,Ryan Moore,86.75%,864,996
6,0,52513,Carson Young,86.55%,1030,1190
7,0,52375,Doug Ghim,86.25%,1085,1258
8,0,46046,Scottie Scheffler,86.22%,857,994
9,0,32757,Patton Kizzire,86.11%,744,864
10,0,51696,Rico Hoey,85.91%,1000,1164
11,0,28775,Nate Lashley,85.77%,880,1026
12,0,30911,Tommy Fleetwood,85.71%,852,994
13,0,36884,Ben Kohles,85.67%,1010,1179
14,0,50525,Collin Morikawa,85.57%,943,1102
15,0,32640,Troy Merritt,85.53%,881,1030
16,0,37275,Sam Ryder,85.51%,891,1042
17,0,26476,Chez Reavie,85.49%,807,944
18,0,34076,Joel Dahmen,85.36%,1055,1236
19,0,34587,Chan Kim,85.24%,941,1104
20,0,50095,Austin Smotherman,85.23%,629,738
21,0,36801,Mark Hubbard,85.20%,1169,1372
22,0,30163,Henrik Norlander,85.19%,782,918
23,0,25900,Lucas Glover,85.15%,1107,1300
24,0,51287,Ryo Hisatsune,85.03%,988,1162
25,0,27064,Jhonattan Vegas,85.01%,845,994
26,0,40058,Zac Blair,85.00%,969,1140
27,0,46340,Alex Smalley,84.95%,875,1030
28,0,45609,Tyler Duncan,84.94%,829,976
28,0,34256,Andrew Putnam,84.94%,936,1102
30,0,34098,Russell Henley,84.89%,871,1026
31,0,39327,Ben Silverman,84.79%,914,1078
31,0,49960,Sepp Straka,84.79%,914,1078
33,0,48319,Tom Whitney,84.75%,800,944
34,0,32333,Kevin Tway,84.61%,709,838
35,0,29535,Brice Garnett,84.58%,565,668
36,0,60067,Joe Highsmith,84.57%,822,972
37,0,35310,Lanto Griffin,84.50%,845,1000
38,0,27330,Josh Teater,84.49%,610,722
39,0,47983,Chad Ramey,84.41%,969,1148
40,0,29908,C.T. Pan,84.35%,690,818
41,0,27349,Alex Noren,84.34%,808,958
42,0,23320,Ryan Palmer,84.20%,485,576
43,0,33204,Shane Lowry,84.18%,825,980
44,0,34021,Bud Cauley,84.13%,631,750
45,0,52372,Cameron Champ,84.10%,661,786
45,0,32366,Kevin Chappell,84.10%,656,780
47,0,57362,Austin Eckroat,84.05%,1054,1254
48,0,51349,Nico Echavarria,83.91%,1027,1224
49,0,32367,Jorge Campillo,83.89%,599,714
50,0,39997,Corey Conners,83.83%,1021,1218
51,0,50484,Hayden Springer,83.77%,836,998
52,0,50493,Justin Suh,83.75%,861,1028
53,0,30926,Chris Kirk,83.73%,906,1082
54,0,27214,Kevin Streelman,83.68%,805,962
55,0,37455,Si Woo Kim,83.66%,1024,1224
55,0,39324,J.J. Spaun,83.66%,927,1108
57,0,36871,Matt NeSmith,83.63%,838,1002
58,0,28252,Seamus Power,83.61%,1117,1336
59,0,55893,Sam Stevens,83.60%,1132,1354
60,0,46717,Viktor Hovland,83.58%,667,798
61,0,47988,Nick Hardy,83.55%,1016,1216
62,0,27644,Brian Harman,83.47%,1015,1216
63,0,48084,Wesley Bryan,83.43%,584,700
63,0,24024,Zach Johnson,83.43%,559,670
65,0,57900,Chandler Phillips,83.39%,954,1144
66,0,40162,Justin Lower,83.37%,1118,1341
67,0,40115,Adam Svensson,83.36%,1242,1490
68,0,56630,Akshay Bhatia,83.33%,1000,1200
69,0,30927,Brendon Todd,83.31%,1148,1378
70,0,48117,Kurt Kitayama,83.24%,914,1098
71,0,55708,Hayden Buckley,83.20%,822,988
72,0,33486,Roger Sloan,83.15%,760,914
73,0,32791,K.H. Lee,83.10%,895,1077
73,0,51997,Andrew Novak,83.10%,949,1142
75,0,39546,Keith Mitchell,83.07%,932,1122
76,0,54628,Lee Hodges,83.02%,1051,1266
77,0,29725,Tony Finau,83.00%,913,1100
78,0,52374,Brandon Wu,82.89%,935,1128
79,0,48887,Matt Wallace,82.88%,736,888
80,0,34099,Harris English,82.87%,1079,1302
80,0,27936,Martin Laird,82.87%,832,1004
82,0,34046,Jordan Spieth,82.86%,812,980
83,0,47663,Kevin Dougherty,82.83%,709,856
84,0,40006,Erik van Rooyen,82.76%,912,1102
85,0,23108,Matt Kuchar,82.74%,839,1014
86,0,54783,Dylan Wu,82.67%,916,1108
87,0,58168,Davis Thompson,82.66%,1030,1246
88,0,60004,Jacob Bridgeman,82.56%,895,1084
89,0,54591,Ben Griffin,82.54%,1281,1552
90,0,48867,Matti Schmid,82.50%,891,1080
91,0,45242,Kevin Yu,82.45%,836,1014
92,0,34563,Chesson Hadley,82.42%,755,916
92,0,54421,Garrick Higgo,82.42%,905,1098
92,0,48081,Xander Schauffele,82.42%,905,1098
95,0,25493,Nick Taylor,82.41%,951,1154
96,0,35461,Beau Hossler,82.37%,972,1180
