RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,23320,Ryan Palmer,-.164
2,0,46113,Ryan McCormick,-.157
3,0,57975,Harry Hall,-.124
4,0,52215,Robert MacIntyre,-.091
5,0,27349,Alex Noren,-.087
6,0,33948,Byeong Hun An,-.085
6,0,24502,Adam Scott,-.085
8,0,39971,Sungjae Im,-.081
8,0,46046,Scottie Scheffler,-.081
10,0,48084,Wesley Bryan,-.080
11,0,59143,Mac Meissner,-.075
12,0,48081,Xander Schauffele,-.066
13,0,28775,Nate Lashley,-.064
14,0,52375,Doug Ghim,-.061
15,0,27064,Jhonattan Vegas,-.060
16,0,30926,Chris Kirk,-.058
17,0,49947,Taylor Moore,-.057
18,0,25493,Nick Taylor,-.056
19,0,51977,Max Greyserman,-.052
19,0,33968,ThorbjÃ¸rn Olesen,-.052
21,0,54783,Dylan Wu,-.051
22,0,32757,Patton Kizzire,-.047
22,0,35617,Martin Trainer,-.047
24,0,29725,Tony Finau,-.041
25,0,33448,Justin Thomas,-.039
26,0,52514,Trace Crowe,-.038
27,0,60004,Jacob Bridgeman,-.037
27,0,51634,Sahith Theegala,-.037
29,0,47663,Kevin Dougherty,-.036
29,0,48117,Kurt Kitayama,-.036
31,0,59095,Chris Gotterup,-.035
31,0,35461,Beau Hossler,-.035
33,0,55893,Sam Stevens,-.033
34,0,27936,Martin Laird,-.031
35,0,52374,Brandon Wu,-.030
36,0,36699,Patrick Rodgers,-.029
37,0,39997,Corey Conners,-.026
38,0,37212,Paul Barjon,-.025
39,0,40162,Justin Lower,-.023
40,0,35310,Lanto Griffin,-.021
41,0,27139,David Skinns,-.020
41,0,57366,Cameron Young,-.020
43,0,39546,Keith Mitchell,-.019
44,0,60067,Joe Highsmith,-.018
45,0,54576,Patrick Fishburn,-.013
45,0,54591,Ben Griffin,-.013
47,0,50095,Austin Smotherman,-.012
48,0,35506,Mackenzie Hughes,-.010
48,0,26596,Ryan Moore,-.010
50,0,34587,Chan Kim,-.008
50,0,32640,Troy Merritt,-.008
52,0,34021,Bud Cauley,E
52,0,28089,Jason Day,E
52,0,25900,Lucas Glover,E
52,0,29420,Billy Horschel,E
52,0,37378,Min Woo Lee,E
52,0,34046,Jordan Spieth,E
52,0,27214,Kevin Streelman,E
59,0,47591,Eric Cole,+.005
59,0,46442,Maverick McNealy,+.005
61,0,34255,Joseph Bramlett,+.006
61,0,45242,Kevin Yu,+.006
63,0,50484,Hayden Springer,+.007
64,0,52955,Ludvig Ãberg,+.008
65,0,40006,Erik van Rooyen,+.012
66,0,34374,Erik Barnes,+.013
67,0,56630,Akshay Bhatia,+.014
67,0,51349,Nico Echavarria,+.014
67,0,57900,Chandler Phillips,+.014
70,0,48867,Matti Schmid,+.015
71,0,47504,Sam Burns,+.016
71,0,51894,Vince Whaley,+.016
73,0,51696,Rico Hoey,+.018
74,0,27649,Brandt Snedeker,+.020
75,0,46340,Alex Smalley,+.021
76,0,12716,Charley Hoffman,+.024
76,0,50188,S.H. Kim,+.024
78,0,48887,Matt Wallace,+.028
79,0,22371,Aaron Baddeley,+.029
79,0,32333,Kevin Tway,+.029
81,0,32366,Kevin Chappell,+.030
81,0,60767,Blaine Hale Jr.,+.030
83,0,29936,Ryan Fox,+.031
83,0,30163,Henrik Norlander,+.031
85,0,51890,Greyson Sigg,+.032
86,0,55182,Tom Kim,+.033
86,0,34256,Andrew Putnam,+.033
86,0,37275,Sam Ryder,+.033
89,0,36799,Stephan Jaeger,+.034
89,0,36326,David Lipsky,+.034
91,0,51766,Wyndham Clark,+.036
91,0,46414,Aaron Rai,+.036
93,0,32367,Jorge Campillo,+.037
94,0,35450,Patrick Cantlay,+.040
94,0,46717,Viktor Hovland,+.040
94,0,48699,Callum Tarren,+.040
97,0,37455,Si Woo Kim,+.041
98,0,55789,Taylor Montgomery,+.043
98,0,36871,Matt NeSmith,+.043
100,0,48153,Matthieu Pavon,+.044
101,0,32839,Hideki Matsuyama,+.045
101,0,46441,Robby Shelton,+.045
103,0,35532,Tom Hoge,+.046
104,0,33486,Roger Sloan,+.047
105,0,40058,Zac Blair,+.048
106,0,28237,Rory McIlroy,+.049
106,0,48119,Ben Taylor,+.049
108,0,39977,Max Homa,+.051
109,0,40250,Taylor Pendrith,+.054
110,0,39327,Ben Silverman,+.055
111,0,51997,Andrew Novak,+.056
112,0,33399,Adam Hadwin,+.057
112,0,47347,Adam Schenk,+.057
114,0,40098,Matt Fitzpatrick,+.058
114,0,27330,Josh Teater,+.058
116,0,56149,Wilson Furr,+.061
117,0,52666,Sami Valimaki,+.062
