RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,06527,Steve Stricker,31' 7",29378.917,930,1 Under
1,0,08793,Tiger Woods,31' 7",21020.917,665,1 Under
3,0,10809,Jim Furyk,31' 8",38404.750,1214,1 Under
4,0,23135,Tim Clark,32' 0",33312.083,1041,Under
5,0,02239,Scott Verplank,32' 2",39271.667,1221,Under
6,0,01381,Fred Funk,32' 3",49109.417,1524,Under
6,0,01945,Kenny Perry,32' 3",34651.500,1074,Under
6,0,22293,Heath Slocum,32' 3",48477.083,1504,Under
9,0,22405,Justin Rose,32' 6",50037.417,1540,Under
9,0,02214,Kirk Triplett,32' 6",28445.833,876,Under
11,0,08385,Omar Uresti,32' 7",29661.833,911,Under
12,0,01388,Robert Gamez,32' 9",48114.167,1469,Over
13,0,06251,Chris DiMarco,32' 11",35836.583,1090,Under
14,0,20229,Stewart Cink,33' 3",43605.917,1311,Under
15,0,01142,Bart Bryant,33' 6",42659.500,1275,Under
16,0,06350,Bob May,33' 7",32216.583,960,Under
16,0,24138,Ian Poulter,33' 7",25285.583,752,Under
16,0,02101,Joey Sindelar,33' 7",45748.667,1363,Over
19,0,19846,Brian Gay,33' 9",60277.333,1788,Under
19,0,24502,Adam Scott,33' 9",30995.250,918,Under
19,0,02110,Jerry Smith,33' 9",50921.500,1510,Under
22,0,08537,J.P. Hayes,33' 10",30114.833,890,Under
22,0,02104,Jeff Sluman,33' 10",50327.917,1486,Under
24,0,20498,Briny Baird,33' 11",42550.417,1256,Under
24,0,20766,Padraig Harrington,33' 11",23101.833,681,Under
24,0,02206,David Toms,33' 11",37646.000,1110,Under
27,0,01139,Olin Browne,34' 0",52306.500,1537,Under
27,0,01619,Skip Kendall,34' 0",35700.167,1049,Under
27,0,10860,Justin Leonard,34' 0",39569.583,1163,Under
30,0,01219,John Cook,34' 1",33506.750,983,Under
30,0,22378,Trevor Immelman,34' 1",44674.250,1310,1 Under
30,0,24024,Zach Johnson,34' 1",47096.000,1381,Under
30,0,01928,Corey Pavin,34' 1",34928.500,1026,Under
34,0,07867,Woody Austin,34' 2",56905.417,1664,Under
35,0,06012,Greg Kraft,34' 3",41077.917,1200,Over
36,0,20472,Alex Cejka,34' 4",49012.583,1429,Under
36,0,06621,Joe Durant,34' 4",59122.750,1720,Under
36,0,23621,Rory Sabbatini,34' 4",39298.250,1145,Under
36,0,22548,Patrick Sheehan,34' 4",53515.833,1557,Over
40,0,12510,Chad Campbell,34' 5",41397.583,1204,Under
40,0,19881,Robert Damron,34' 5",50584.417,1470,Over
40,0,01320,Bob Estes,34' 5",46310.083,1347,Under
43,0,06004,Stephen Ames,34' 6",27225.083,790,Under
43,0,06643,Paul Goydos,34' 6",39503.833,1146,Under
43,0,20382,Stephen Leaney,34' 6",47581.000,1379,Under
46,0,06197,Michael Allen,34' 7",44507.250,1286,Under
47,0,10505,Shane Bertsch,34' 8",55736.917,1609,Over
47,0,23983,Luke Donald,34' 8",26855.833,774,Under
47,0,01810,Phil Mickelson,34' 8",29248.250,844,Under
47,0,21949,Joe Ogilvie,34' 8",48428.917,1398,Under
47,0,23322,Brett Wetterich,34' 8",45331.417,1308,Under
52,0,22621,Ben Curtis,34' 9",41784.083,1201,Over
53,0,21646,David Branshaw,34' 10",54287.333,1558,Under
53,0,08075,Jerry Kelly,34' 10",52391.500,1505,Under
53,0,20628,Arron Oberholser,34' 10",38745.750,1112,Under
56,0,01024,Billy Andrade,34' 11",37425.000,1073,Under
56,0,24507,Jason Bohn,34' 11",55886.167,1599,Under
56,0,08835,Kris Cox,34' 11",44997.083,1289,Under
56,0,24358,Robert Garrigus,34' 11",46124.417,1322,Over
60,0,01035,Tommy Armour III,35' 0",33143.917,948,Over
60,0,20645,John Senden,35' 0",49417.500,1413,Under
60,0,23349,Charles Warren,35' 0",50768.500,1450,Under
63,0,09011,David Duval,35' 1",33195.667,947,Over
63,0,19913,Ron Whittaker,35' 1",44602.833,1272,Over
63,0,21878,Mark Wilson,35' 1",45244.750,1291,Under
66,0,01706,Davis Love III,35' 2",35727.083,1016,Under
66,0,06515,Shaun Micheel,35' 2",48978.083,1393,Under
66,0,23325,Vaughn Taylor,35' 2",48490.750,1378,Under
69,0,20094,Jonathan Kaye,35' 3",54247.750,1539,Under
69,0,20634,Peter Lonard,35' 3",41779.083,1186,Over
69,0,10423,Mike Weir,35' 3",39943.083,1132,Under
72,0,08123,Jeff Brehaut,35' 4",53757.917,1522,Under
72,0,20157,Retief Goosen,35' 4",29137.333,824,Under
72,0,12680,Shigeki Maruyama,35' 4",50729.833,1436,Under
72,0,06567,Vijay Singh,35' 4",53263.083,1507,1 Under
76,0,01132,Mark Brooks,35' 5",46946.167,1327,Over
76,0,07457,Steve Flesch,35' 5",65167.250,1842,Under
76,0,21959,Ted Purdy,35' 5",50841.917,1435,Under
76,0,27770,Camilo Villegas,35' 5",51700.167,1461,Under
80,0,24925,Jonathan Byrd,35' 6",34310.083,967,Under
80,0,23673,Michael Connell,35' 6",26565.083,749,Over
80,0,25900,Lucas Glover,35' 6",54882.250,1545,Under
80,0,20105,Jeff Gove,35' 6",51492.167,1451,Under
80,0,21731,Freddie Jacobson,35' 6",34387.000,968,Under
80,0,10733,Kent Jones,35' 6",55901.417,1576,Under
80,0,11032,Frank Lickliter II,35' 6",54021.250,1520,Under
87,0,10885,Robert Allenby,35' 7",38174.917,1073,Under
87,0,23614,Rich Beem,35' 7",41371.583,1164,Under
87,0,24357,K.J. Choi,35' 7",50250.667,1413,Under
87,0,21209,Sergio Garcia,35' 7",24789.500,696,Under
87,0,24980,Scott Gutschewski,35' 7",28656.750,805,Over
92,0,01313,Steve Elkington,35' 9",29336.500,821,Under
92,0,06373,José María Olazábal,35' 9",24910.917,697,Under
92,0,23623,Bo Van Pelt,35' 9",57750.250,1614,Under
95,0,12782,Tim Herron,35' 10",39774.167,1111,Over
95,0,21470,Daisuke Maruyama,35' 10",45024.000,1256,Under
95,0,20812,Tjaart van der Walt,35' 10",33488.333,935,Over
95,0,12755,Vance Veazey,35' 10",34419.417,961,Over
95,0,02246,Duffy Waldorf,35' 10",52619.667,1469,Under
100,0,20099,Doug Barron,35' 11",43113.667,1200,Over
100,0,07013,Wes Short Jr.,35' 11",54538.250,1518,Over
100,0,08375,Paul Stankowski,35' 11",40405.417,1125,Over
103,0,22892,Jason Gore,36' 0",46150.500,1282,Over
103,0,23353,J.J. Henry,36' 0",49744.083,1381,Under
103,0,20608,David Howell,36' 0",19297.667,536,Under
103,0,01823,Larry Mize,36' 0",26380.000,733,Over
107,0,06575,Dudley Hart,36' 1",45987.500,1275,Over
107,0,10565,Ian Leggatt,36' 1",45115.417,1250,Over
107,0,01677,Tom Lehman,36' 1",30444.917,844,Over
107,0,20631,David McKenzie,36' 1",44631.000,1237,Over
107,0,02223,Bob Tway,36' 1",43422.333,1203,Over
112,0,23048,Eric Axley,36' 2",51153.167,1413,Under
112,0,01161,Mark Calcavecchia,36' 2",51064.333,1413,Over
112,0,06573,Brandt Jobe,36' 2",45269.000,1253,Under
112,0,01766,Billy Mayfair,36' 2",49903.583,1381,Under
112,0,26596,Ryan Moore,36' 2",37504.500,1038,Under
112,0,20548,Hidemichi Tanaka,36' 2",41887.500,1158,1 Over
118,0,21753,Brian Davis,36' 3",52498.333,1448,Under
118,0,01553,John Huston,36' 3",42285.083,1167,Over
118,0,01577,Lee Janzen,36' 3",44231.500,1220,Over
118,0,26420,Richard Johnson,36' 3",55044.750,1518,Under
118,0,01599,Steve Jones,36' 3",44804.583,1237,Over
118,0,24781,Hunter Mahan,36' 3",57870.750,1597,Under
118,0,20572,Rod Pampling,36' 3",42153.500,1163,Under
118,0,22913,John Rollins,36' 3",49036.167,1354,Under
118,0,23788,D.J. Trahan,36' 3",49383.000,1361,Over
127,0,27943,Matt Hansen,36' 4",37656.750,1036,Over
127,0,27141,J.B. Holmes,36' 4",40873.167,1126,Under
127,0,24912,Will MacKenzie,36' 4",48762.417,1343,Under
127,0,07749,Brett Quigley,36' 4",61291.250,1687,1 Under
131,0,21407,Arjun Atwal,36' 5",53516.000,1470,Over
131,0,21805,Harrison Frazar,36' 5",48687.417,1336,Under
131,0,24924,Bill Haas,36' 5",57477.667,1577,Under
131,0,01707,Steve Lowery,36' 5",54349.833,1492,Under
131,0,20691,Greg Owen,36' 5",40458.750,1110,Under
136,0,01042,Paul Azinger,36' 6",52054.667,1427,Under
136,0,23718,Nathan Green,36' 6",61196.250,1675,Under
136,0,12662,Thomas Levet,36' 6",31431.417,861,Over
136,0,25345,Carl Pettersson,36' 6",49100.750,1344,Under
136,0,25804,Bubba Watson,36' 6",47081.250,1291,Under
136,0,12602,Dean Wilson,36' 6",60965.500,1670,Under
142,0,20127,Chris Riley,36' 7",45092.417,1234,Under
143,0,06522,Ernie Els,36' 8",30773.833,840,Under
144,0,20098,Stuart Appleby,36' 9",42230.333,1148,Under
144,0,01724,Jeff Maggert,36' 9",44539.583,1211,Over
144,0,25842,Jon Mills,36' 9",35516.750,966,Over
147,0,07223,Brian Bateman,36' 10",38911.000,1056,Over
147,0,06034,Marco Dawson,36' 10",50705.833,1377,Under
147,0,20378,Mathias Grönberg,36' 10",51941.750,1409,Under
147,0,12716,Charley Hoffman,36' 10",58443.083,1586,Under
147,0,23320,Ryan Palmer,36' 10",53978.083,1466,Under
147,0,24361,Pat Perez,36' 10",27718.917,753,Over
153,0,26360,Bubba Dickerson,36' 11",56718.167,1538,Over
153,0,20121,Todd Fischer,36' 11",59389.667,1610,Over
153,0,01666,Bernhard Langer,36' 11",39040.667,1058,Under
153,0,01941,Tom Pernice Jr.,36' 11",57578.250,1559,Under
157,0,22046,Geoff Ogilvy,37' 0",34285.250,927,Under
158,0,21350,Ryuji Imada,37' 1",57731.833,1557,Under
158,0,06595,Kevin Sutherland,37' 1",57841.917,1560,Under
160,0,11123,Chris Couch,37' 2",44362.583,1194,Over
160,0,28780,Nicholas Thompson,37' 2",52125.583,1402,Over
162,0,12760,Danny Ellis,37' 3",39850.333,1069,Under
163,0,22946,Henrik Bjornstad,37' 4",59384.250,1592,Over
164,0,25936,Alex Aragon,37' 5",36138.000,965,Over
164,0,20850,Daniel Chopra,37' 5",60204.917,1608,Under
166,0,23541,Ben Crane,37' 8",41015.167,1089,Under
166,0,01685,J.L. Lewis,37' 8",33856.417,898,Over
166,0,23497,Tag Ridings,37' 8",60618.500,1609,Over
166,0,27095,Nick Watney,37' 8",57981.583,1538,Under
170,0,25240,D.A. Points,37' 9",48045.750,1273,Over
171,0,12645,Brent Geiberger,37' 10",60849.917,1608,Under
171,0,28475,Jeff Overton,37' 10",58932.833,1558,Under
173,0,01226,Fred Couples,37' 11",21759.833,574,Over
173,0,01249,John Daly,37' 11",27766.417,732,Over
175,0,12823,Carlos Franco,38' 0",52401.667,1378,Over
175,0,01473,Todd Hamilton,38' 0",38222.500,1005,1 Over
177,0,22371,Aaron Baddeley,38' 1",46305.167,1217,Over
177,0,19824,Craig Barlow,38' 1",39735.083,1043,Under
179,0,24140,Sean O'Hair,38' 3",52073.750,1361,Over
179,0,02106,Chris Smith,38' 3",40375.750,1055,Over
181,0,27120,Troy Matteson,38' 4",60294.417,1572,Over
181,0,11011,Mike Sposa,38' 4",39751.833,1038,Over
183,0,01761,Len Mattiace,38' 6",35794.750,930,Over
184,0,20574,Mathew Goggin,38' 8",40180.417,1040,Over
184,0,23307,Roger Tambellini,38' 8",36745.833,950,Over
186,0,21961,Charles Howell III,38' 9",54869.917,1417,Under
187,0,20593,Greg Chalmers,38' 10",39574.083,1018,Over
187,0,01948,Tim Petrovic,38' 10",57840.917,1488,Over
187,0,21660,Jason Schultz,38' 10",45133.583,1162,Over
190,0,25632,Jimmy Walker,38' 11",39052.250,1004,Over
191,0,01329,Brad Faxon,39' 1",51194.083,1311,Over
192,0,12660,Jesper Parnevik,39' 6",51662.167,1308,Under
193,0,01887,Mark O'Meara,39' 8",25642.917,647,Over
194,0,23409,James Driscoll,39' 9",54027.667,1358,Over
195,0,25935,John Engler Jr.,40' 10",46137.083,1130,Over
195,0,23616,Ryan Hietala,40' 10",37162.000,910,Over
