RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,46046,Scottie Scheffler,5,2,3
2,0,54576,Patrick Fishburn,6,5,1
3,0,51696,Rico Hoey,17,1,16
4,0,40026,Daniel Berger,26,14,12
5,0,46340,Alex Smalley,28,9,19
6,0,35310,Lanto Griffin,29,24,5
7,0,27064,Jhonattan Vegas,32,26,6
8,0,60067,Joe Highsmith,36,11,25
9,0,52375,Doug Ghim,38,34,4
10,0,34587,Chan Kim,40,22,18
11,0,50095,Austin Smotherman,42,40,2
11,0,32333,Kevin Tway,42,15,27
13,0,32757,Patton Kizzire,47,40,7
14,0,45242,Kevin Yu,50,40,10
15,0,39546,Keith Mitchell,51,28,23
16,0,39997,Corey Conners,54,28,26
17,0,48081,Xander Schauffele,55,20,35
18,0,46414,Aaron Rai,56,47,9
19,0,48867,Matti Schmid,59,17,42
20,0,30163,Henrik Norlander,63,55,8
21,0,52372,Cameron Champ,70,3,67
22,0,50484,Hayden Springer,71,23,48
23,0,52513,Carson Young,72,28,44
24,0,40006,Erik van Rooyen,74,36,38
25,0,52955,Ludvig Åberg,77,4,73
25,0,59143,Mac Meissner,77,43,34
27,0,58168,Davis Thompson,80,21,59
28,0,34076,Joel Dahmen,81,66,15
29,0,51977,Max Greyserman,91,31,60
29,0,39324,J.J. Spaun,91,75,16
31,0,55893,Sam Stevens,97,66,31
32,0,36871,Matt NeSmith,99,79,20
33,0,29535,Brice Garnett,100,86,14
33,0,48117,Kurt Kitayama,100,46,54
33,0,36884,Ben Kohles,100,68,32
36,0,59836,Pierceson Coody,101,43,58
36,0,30911,Tommy Fleetwood,101,7,94
38,0,33141,Keegan Bradley,110,15,95
38,0,47988,Nick Hardy,110,88,22
40,0,33204,Shane Lowry,115,17,98
41,0,28252,Seamus Power,116,37,79
42,0,47663,Kevin Dougherty,118,62,56
42,0,51349,Nico Echavarria,118,88,30
44,0,48319,Tom Whitney,119,70,49
45,0,36699,Patrick Rodgers,120,82,38
46,0,32791,K.H. Lee,121,34,87
46,0,51890,Greyson Sigg,121,110,11
48,0,34255,Joseph Bramlett,123,86,37
48,0,48084,Wesley Bryan,123,82,41
48,0,28775,Nate Lashley,123,88,35
51,0,57362,Austin Eckroat,125,8,117
51,0,51070,Vincent Norrman,125,55,70
53,0,45609,Tyler Duncan,127,37,90
53,0,29725,Tony Finau,127,75,52
53,0,54628,Lee Hodges,127,53,74
56,0,46717,Viktor Hovland,128,45,83
57,0,34563,Chesson Hadley,133,70,63
58,0,34021,Bud Cauley,134,113,21
59,0,32070,Rafael Campos,135,69,66
60,0,36799,Stephan Jaeger,136,13,123
61,0,49960,Sepp Straka,139,47,92
62,0,34099,Harris English,140,12,128
62,0,28237,Rory McIlroy,140,6,134
62,0,34046,Jordan Spieth,140,10,130
65,0,25900,Lucas Glover,142,92,50
65,0,46442,Maverick McNealy,142,64,78
67,0,27330,Josh Teater,143,79,64
68,0,36801,Mark Hubbard,145,73,72
69,0,35461,Beau Hossler,147,102,45
69,0,26596,Ryan Moore,147,92,55
69,0,57366,Cameron Young,147,31,116
72,0,51287,Ryo Hisatsune,149,126,23
73,0,40115,Adam Svensson,150,59,91
74,0,56630,Akshay Bhatia,151,27,124
75,0,40250,Taylor Pendrith,154,57,97
76,0,26476,Chez Reavie,157,107,50
77,0,30926,Chris Kirk,158,25,133
77,0,27214,Kevin Streelman,158,82,76
77,0,50493,Justin Suh,158,62,96
80,0,55182,Tom Kim,164,47,117
81,0,39975,Michael Kim,165,137,28
82,0,29420,Billy Horschel,166,61,105
83,0,47504,Sam Burns,170,17,153
84,0,54421,Garrick Higgo,172,92,80
85,0,50525,Collin Morikawa,174,31,143
