RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,25686,Jason Dufner,30.91,34,110,-28,-4.00
2,0,47959,Bryson DeChambeau,30.77,60,195,-62,-3.00
3,0,21528,Henrik Stenson,30.69,31,101,-32,E
4,0,34264,Hudson Swafford,30.51,36,118,-36,-3.00
5,0,26499,Rafa Cabrera Bello,30.00,27,90,-29,-8.00
6,0,27936,Martin Laird,29.69,38,128,-36,-8.00
7,0,32839,Hideki Matsuyama,29.50,41,139,-43,-7.00
8,0,29268,Bronson Burgoon,29.10,39,134,-43,-2.00
9,0,39546,Keith Mitchell,29.09,64,220,-60,-8.00
10,0,39324,J.J. Spaun,29.08,41,141,-40,-7.00
11,0,29484,Peter Uihlein,28.87,41,142,-43,-14.00
12,0,30911,Tommy Fleetwood,28.68,39,136,-45,-10.00
13,0,29478,Kevin Kisner,28.57,30,105,-35,-13.00
13,0,30944,Jason Kokrak,28.57,64,224,-64,+10.00
15,0,31323,Gary Woodland,28.49,53,186,-59,-4.00
16,0,23325,Vaughn Taylor,28.45,33,116,-32,-30.00
17,0,50526,Tom Lovelady,28.27,54,191,-55,+3.00
18,0,30925,Dustin Johnson,28.10,43,153,-48,-9.00
19,0,24924,Bill Haas,27.87,34,122,-36,E
20,0,39328,Conrad Shindler,27.16,22,81,-29,-1.00
21,0,33419,Cameron Tringale,27.06,23,85,-23,+1.00
22,0,33418,Shawn Stefani,27.05,33,122,-34,-18.00
23,0,37275,Sam Ryder,27.04,43,159,-38,-5.00
24,0,34563,Chesson Hadley,26.97,48,178,-54,-22.00
25,0,22056,Cameron Percy,26.92,21,78,-25,-10.00
26,0,34409,David Lingmerth,26.89,32,119,-28,-11.00
27,0,22405,Justin Rose,26.67,32,120,-28,-9.00
28,0,33948,Byeong Hun An,26.63,45,169,-46,+3.00
29,0,20229,Stewart Cink,26.61,33,124,-36,+2.00
30,0,29518,Brendan Steele,26.53,39,147,-39,+4.00
31,0,46970,Jon Rahm,26.47,36,136,-37,+3.00
32,0,32366,Kevin Chappell,26.22,43,164,-38,-10.00
33,0,32816,Satoshi Kodaira,26.15,17,65,-18,+9.00
34,0,26758,David Hearn,26.09,18,69,-19,-9.00
35,0,30692,Scott Stallings,26.06,43,165,-46,-10.00
36,0,25804,Bubba Watson,25.97,47,181,-53,-8.00
37,0,32102,Rickie Fowler,25.76,34,132,-36,-8.00
38,0,33141,Keegan Bradley,25.65,49,191,-51,-7.00
39,0,27942,Rob Oppenheim,25.61,21,82,-19,-15.00
40,0,35545,Blayne Barber,25.45,28,110,-28,-2.00
41,0,36689,Brooks Koepka,25.35,36,142,-38,E
42,0,34363,Tyrrell Hatton,25.33,19,75,-21,-17.00
43,0,35421,Brandon Harkins,25.25,50,198,-55,+2.00
43,0,25892,Steve Wheatcroft,25.25,25,99,-25,-7.00
45,0,27349,Alex Noren,25.21,30,119,-29,-2.00
46,0,22371,Aaron Baddeley,25.17,36,143,-34,-2.00
47,0,34098,Russell Henley,25.00,30,120,-32,-14.00
47,0,23320,Ryan Palmer,25.00,37,148,-38,-4.00
47,0,32333,Kevin Tway,25.00,61,244,-61,-8.00
47,0,47128,Richy Werenski,25.00,35,140,-38,-12.00
47,0,08793,Tiger Woods,25.00,29,116,-30,-13.00
52,0,34076,Joel Dahmen,24.68,38,154,-39,-2.00
53,0,30978,Kiradech Aphibarnrat,24.66,18,73,-22,E
54,0,28252,Seamus Power,24.29,34,140,-32,-17.00
55,0,29725,Tony Finau,24.19,52,215,-55,-3.00
56,0,32150,Michael Thompson,24.18,22,91,-18,-14.00
57,0,35310,Lanto Griffin,24.17,29,120,-32,+1.00
58,0,30926,Chris Kirk,24.12,41,170,-42,-34.00
59,0,47993,Denny McCarthy,24.04,25,104,-25,+4.00
60,0,35891,Cameron Smith,24.03,31,129,-33,-16.00
61,0,30110,Kyle Stanley,23.94,34,142,-33,-12.00
62,0,27141,J.B. Holmes,23.93,39,163,-42,-15.00
62,0,33122,Russell Knox,23.93,28,117,-29,-11.00
64,0,33204,Shane Lowry,23.89,27,113,-22,+1.00
65,0,29420,Billy Horschel,23.84,41,172,-42,-22.00
66,0,29535,Brice Garnett,23.81,35,147,-35,-5.00
66,0,32448,James Hahn,23.81,35,147,-39,E
68,0,25240,D.A. Points,23.75,19,80,-23,+11.00
69,0,23621,Rory Sabbatini,23.72,37,156,-42,-16.00
70,0,24502,Adam Scott,23.62,30,127,-32,-7.00
71,0,29223,Sam Saunders,23.57,37,157,-40,-1.00
72,0,45609,Tyler Duncan,23.39,40,171,-42,+2.00
72,0,25632,Jimmy Walker,23.39,29,124,-30,+7.00
74,0,29485,Brett Stegmaier,23.33,21,90,-23,-16.00
75,0,36799,Stephan Jaeger,23.13,31,134,-32,-9.00
76,0,34099,Harris English,23.08,36,156,-37,+5.00
77,0,46601,Trey Mullinax,22.92,33,144,-35,-6.00
78,0,19846,Brian Gay,22.88,27,118,-26,-41.00
78,0,47347,Adam Schenk,22.88,35,153,-36,+4.00
80,0,25900,Lucas Glover,22.86,24,105,-26,-4.00
80,0,34431,Robert Streb,22.86,24,105,-22,-7.00
82,0,46501,Ollie Schniederjans,22.79,31,136,-27,-19.00
83,0,27129,Luke List,22.75,53,233,-56,-4.00
83,0,34213,Grayson Murray,22.75,38,167,-33,+27.00
85,0,27974,Sung Kang,22.66,29,128,-26,+8.00
86,0,37454,Whee Kim,22.64,24,106,-26,-26.00
87,0,10809,Jim Furyk,22.50,9,40,-9,-21.00
