RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,27129,Luke List,77.73,185,53
2,0,36689,Brooks Koepka,77.14,108,32
3,0,31323,Gary Woodland,73.71,143,51
4,0,29725,Tony Finau,72.69,173,65
5,0,30911,Tommy Fleetwood,72.67,109,41
6,0,35450,Patrick Cantlay,72.40,139,53
7,0,46970,Jon Rahm,71.92,105,41
8,0,50526,Tom Lovelady,71.90,151,59
9,0,25804,Bubba Watson,71.13,138,56
10,0,39546,Keith Mitchell,70.33,173,73
11,0,21528,Henrik Stenson,70.31,90,38
12,0,30944,Jason Kokrak,69.63,188,82
13,0,33448,Justin Thomas,69.57,128,56
14,0,27064,Jhonattan Vegas,69.27,133,59
15,0,29518,Brendan Steele,68.90,113,51
16,0,48081,Xander Schauffele,68.69,136,62
17,0,28237,Rory McIlroy,68.57,96,44
17,0,27349,Alex Noren,68.57,96,44
19,0,29223,Sam Saunders,68.04,132,62
20,0,32839,Hideki Matsuyama,67.07,110,54
21,0,23320,Ryan Palmer,67.04,120,59
22,0,32254,Xinjun Zhang,66.87,111,55
23,0,34046,Jordan Spieth,66.84,127,63
24,0,24358,Robert Garrigus,66.51,145,73
25,0,34360,Patrick Reed,66.49,125,63
26,0,47959,Bryson DeChambeau,66.38,154,78
27,0,33141,Keegan Bradley,65.84,160,83
28,0,29268,Bronson Burgoon,65.48,110,58
29,0,34213,Grayson Murray,65.20,133,71
30,0,32366,Kevin Chappell,64.36,121,67
31,0,40026,Daniel Berger,64.12,109,61
32,0,25198,Francesco Molinari,64.10,100,56
33,0,34099,Harris English,64.08,132,74
34,0,30925,Dustin Johnson,63.89,115,65
35,0,26300,Matt Jones,63.77,88,50
36,0,46601,Trey Mullinax,63.53,108,62
37,0,29974,Branden Grace,63.43,85,49
38,0,32333,Kevin Tway,63.31,176,102
39,0,30978,Kiradech Aphibarnrat,63.04,58,34
40,0,27963,Chris Stroud,62.21,107,65
41,0,39954,Cody Gribble,61.90,104,64
42,0,33948,Byeong Hun An,61.68,132,82
42,0,27141,J.B. Holmes,61.68,132,82
44,0,29461,Jamie Lovemark,61.57,149,93
45,0,37455,Si Woo Kim,61.54,144,90
46,0,45609,Tyler Duncan,61.28,144,91
47,0,22405,Justin Rose,61.11,99,63
48,0,32102,Rickie Fowler,61.05,105,67
49,0,45526,Abraham Ancer,61.02,155,99
50,0,47347,Adam Schenk,60.89,123,79
51,0,36799,Stephan Jaeger,60.82,118,76
52,0,35891,Cameron Smith,60.80,107,69
53,0,35421,Brandon Harkins,60.77,158,102
54,0,34264,Hudson Swafford,60.63,97,63
55,0,28307,Matt Every,60.62,117,76
56,0,37189,Harold Varner III,60.55,132,86
57,0,34098,Russell Henley,60.49,98,64
57,0,33204,Shane Lowry,60.49,98,64
59,0,26331,Charl Schwartzel,60.48,75,49
60,0,22056,Cameron Percy,60.00,72,48
61,0,01810,Phil Mickelson,59.80,122,82
62,0,29420,Billy Horschel,59.66,139,94
63,0,37275,Sam Ryder,59.26,128,88
64,0,12716,Charley Hoffman,59.13,123,85
64,0,26851,Marc Leishman,59.13,123,85
66,0,40009,Dominic Bozzelli,59.09,104,72
66,0,25686,Jason Dufner,59.09,91,63
68,0,25900,Lucas Glover,58.75,94,66
69,0,20572,Rod Pampling,58.67,88,62
70,0,47125,Matt Atkins,58.59,75,53
71,0,34076,Joel Dahmen,58.57,123,87
72,0,49964,Aaron Wise,58.40,139,99
73,0,25892,Steve Wheatcroft,58.33,84,60
74,0,29926,Danny Lee,57.99,127,92
75,0,24140,Sean O'Hair,57.89,110,80
76,0,29484,Peter Uihlein,57.81,111,81
77,0,24925,Jonathan Byrd,57.64,83,61
78,0,24502,Adam Scott,57.63,102,75
79,0,27895,Jonas Blixt,57.43,85,63
80,0,08793,Tiger Woods,57.06,97,73
81,0,47993,Denny McCarthy,57.04,81,61
82,0,24781,Hunter Mahan,56.98,98,74
83,0,30110,Kyle Stanley,56.84,108,82
84,0,35310,Lanto Griffin,56.82,100,76
85,0,30692,Scott Stallings,56.72,135,103
86,0,31646,Emiliano Grillo,56.60,120,92
87,0,46402,Talor Gooch,56.54,108,83
88,0,22371,Aaron Baddeley,56.48,122,94
89,0,28089,Jason Day,56.34,80,62
90,0,35506,Mackenzie Hughes,56.31,116,90
91,0,32448,James Hahn,56.13,119,93
92,0,25364,Paul Casey,56.06,74,58
93,0,25493,Nick Taylor,56.03,130,102
94,0,33399,Adam Hadwin,56.00,112,88
95,0,23621,Rory Sabbatini,55.90,128,101
96,0,33413,Ben Martin,55.68,98,78
97,0,28252,Seamus Power,55.56,110,88
98,0,32757,Patton Kizzire,55.41,123,99
99,0,32640,Troy Merritt,55.31,125,101
100,0,35532,Tom Hoge,55.29,141,114
100,0,49771,J.T. Poston,55.29,94,76
102,0,27936,Martin Laird,55.15,107,87
103,0,31416,Derek Fathauer,54.95,111,91
103,0,26596,Ryan Moore,54.95,111,91
105,0,34021,Bud Cauley,54.93,78,64
106,0,21961,Charles Howell III,54.82,125,103
107,0,39997,Corey Conners,54.74,127,105
