RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,27129,Luke List,78.45,222,61,-125,-4
2,0,31323,Gary Woodland,76.15,182,57,-118,-4
3,0,36689,Brooks Koepka,75.56,136,44,-77,E
4,0,50526,Tom Lovelady,73.60,184,66,-107,+3
5,0,35450,Patrick Cantlay,73.28,181,66,-106,-2
6,0,29725,Tony Finau,73.10,212,78,-138,-3
7,0,30911,Tommy Fleetwood,72.43,134,51,-94,-10
8,0,46970,Jon Rahm,72.19,135,52,-74,+3
9,0,39546,Keith Mitchell,71.91,215,84,-127,-8
10,0,21528,Henrik Stenson,71.63,101,40,-61,E
11,0,25804,Bubba Watson,71.55,171,68,-104,-8
12,0,28237,Rory McIlroy,71.08,118,48,-78,-2
13,0,48081,Xander Schauffele,69.70,184,80,-104,-1
14,0,32839,Hideki Matsuyama,69.15,139,62,-81,-7
15,0,33448,Justin Thomas,69.11,170,76,-116,-11
16,0,23320,Ryan Palmer,68.87,146,66,-79,-4
17,0,30944,Jason Kokrak,68.83,223,101,-130,+10
18,0,29518,Brendan Steele,68.37,147,68,-73,+4
19,0,24358,Robert Garrigus,67.98,172,81,-68,+1
20,0,34213,Grayson Murray,67.76,166,79,-86,+27
21,0,29223,Sam Saunders,67.67,157,75,-97,-1
22,0,27349,Alex Noren,67.61,119,57,-71,-2
23,0,32333,Kevin Tway,67.56,227,109,-128,-8
24,0,25198,Francesco Molinari,67.34,134,65,-70,-7
25,0,47959,Bryson DeChambeau,67.01,193,95,-129,-3
26,0,27064,Jhonattan Vegas,66.94,164,81,-79,-1
27,0,30925,Dustin Johnson,66.81,151,75,-104,-9
28,0,33141,Keegan Bradley,66.55,191,96,-106,-7
29,0,29268,Bronson Burgoon,66.01,134,69,-81,-2
30,0,34360,Patrick Reed,65.79,150,78,-88,-1
31,0,32254,Xinjun Zhang,65.48,129,68,-61,E
32,0,32366,Kevin Chappell,65.02,158,85,-86,-10
32,0,46601,Trey Mullinax,65.02,132,71,-62,-6
34,0,30978,Kiradech Aphibarnrat,64.60,73,40,-40,E
35,0,34046,Jordan Spieth,64.52,160,88,-94,-8
36,0,34099,Harris English,64.44,154,85,-80,+5
37,0,33948,Byeong Hun An,64.20,165,92,-93,+3
38,0,26300,Matt Jones,63.47,106,61,-67,+7
39,0,39954,Cody Gribble,63.27,124,72,-64,+12
40,0,27141,J.B. Holmes,62.89,161,95,-86,-15
41,0,28307,Matt Every,62.83,142,84,-74,+6
42,0,12716,Charley Hoffman,62.79,162,96,-77,-4
43,0,29461,Jamie Lovemark,62.76,182,108,-101,-5
44,0,37189,Harold Varner III,62.50,165,99,-96,-8
45,0,22405,Justin Rose,62.43,118,71,-83,-9
46,0,47347,Adam Schenk,62.40,151,91,-81,+4
47,0,40026,Daniel Berger,62.34,144,87,-79,-6
48,0,27963,Chris Stroud,62.21,135,82,-63,+8
49,0,35421,Brandon Harkins,62.06,193,118,-113,+2
50,0,26331,Charl Schwartzel,61.78,97,60,-48,+3
51,0,45609,Tyler Duncan,61.51,171,107,-97,+2
52,0,37455,Si Woo Kim,61.46,177,111,-94,+2
53,0,29974,Branden Grace,61.45,102,64,-61,-6
54,0,49964,Aaron Wise,61.35,173,109,-106,-3
55,0,37275,Sam Ryder,61.24,158,100,-85,-5
56,0,01810,Phil Mickelson,61.13,151,96,-103,-10
57,0,33204,Shane Lowry,61.08,113,72,-61,+1
58,0,29420,Billy Horschel,60.56,172,112,-112,-22
59,0,45526,Abraham Ancer,60.39,186,122,-80,-19
59,0,34076,Joel Dahmen,60.39,154,101,-80,-2
61,0,26851,Marc Leishman,60.30,161,106,-90,-1
62,0,47993,Denny McCarthy,60.12,104,69,-58,+4
63,0,29926,Danny Lee,60.08,155,103,-71,+2
64,0,32102,Rickie Fowler,59.82,131,88,-78,-8
64,0,24140,Sean O'Hair,59.82,131,88,-65,-9
66,0,34264,Hudson Swafford,59.60,118,80,-69,-3
67,0,36799,Stephan Jaeger,59.56,134,91,-81,-9
68,0,47125,Matt Atkins,59.48,91,62,-48,+7
69,0,40009,Dominic Bozzelli,59.35,127,87,-64,+8
70,0,35891,Cameron Smith,59.26,128,88,-74,-16
71,0,24502,Adam Scott,59.24,125,86,-74,-7
72,0,29484,Peter Uihlein,59.00,141,98,-81,-14
73,0,25892,Steve Wheatcroft,58.93,99,69,-56,-7
74,0,25364,Paul Casey,58.48,100,71,-65,-8
75,0,25900,Lucas Glover,58.33,105,75,-53,-4
76,0,30692,Scott Stallings,58.16,164,118,-80,-10
77,0,31646,Emiliano Grillo,58.10,147,106,-81,-17
78,0,23621,Rory Sabbatini,58.05,155,112,-97,-16
