RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
151,0,21209,Sergio Garcia,80.00,40,32
151,0,21806,Paul Gow,80.00,40,32
151,0,20502,Michael Long,80.00,25,20
158,0,20099,Doug Barron,79.55,44,35
159,0,19846,Brian Gay,79.49,39,31
160,0,01666,Bernhard Langer,79.17,24,19
161,0,23552,Hank Kuehne,78.95,38,30
162,0,08545,Glen Hnatiuk,78.38,37,29
162,0,27095,Nick Watney,78.38,37,29
164,0,01457,Jay Haas,78.26,23,18
165,0,21805,Harrison Frazar,78.18,55,43
166,0,23540,Jason Allred,77.78,27,21
166,0,10585,Scott McCarron,77.78,36,28
168,0,12823,Carlos Franco,77.42,31,24
169,0,01723,Andrew Magee,77.14,35,27
170,0,07457,Steve Flesch,76.92,26,20
171,0,24507,Jason Bohn,76.79,56,43
172,0,11032,Frank Lickliter II,76.74,43,33
173,0,12826,Paul Claxton,76.67,30,23
174,0,20645,John Senden,76.47,51,39
175,0,10860,Justin Leonard,76.32,38,29
175,0,20691,Greg Owen,76.32,38,29
175,0,23788,D.J. Trahan,76.32,38,29
178,0,02106,Chris Smith,76.19,42,32
179,0,01042,Paul Azinger,76.00,25,19
179,0,12645,Brent Geiberger,76.00,25,19
181,0,23621,Rory Sabbatini,75.86,29,22
182,0,21498,Hideto Tanihara,75.00,24,18
183,0,01127,Danny Briggs,74.19,31,23
184,0,01685,J.L. Lewis,74.07,54,40
184,0,10425,Jay Williamson,74.07,27,20
186,0,21753,Brian Davis,74.00,50,37
186,0,20572,Rod Pampling,74.00,50,37
188,0,06373,José María Olazábal,73.91,23,17
189,0,24361,Pat Perez,73.68,38,28
190,0,06515,Shaun Micheel,73.33,30,22
191,0,08385,Omar Uresti,72.92,48,35
192,0,19824,Craig Barlow,71.88,32,23
193,0,10423,Mike Weir,71.43,21,15
194,0,24290,D.J. Brigman,70.83,24,17
195,0,25240,D.A. Points,70.00,40,28
196,0,01553,John Huston,69.81,53,37
197,0,08931,Glen Day,69.23,39,27
198,0,20396,Lee Westwood,65.00,20,13
199,0,01361,Dan Forsman,63.64,22,14
200,0,20472,Alex Cejka,63.33,30,19
201,0,01175,Jim Carter,61.29,31,19
202,0,23108,Matt Kuchar,61.11,18,11
