RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,01677,Tom Lehman,69.321,5527,- 50.635,79
2,0,01226,Fred Couples,69.574,4601,- 9.127,66
3,0,01887,Mark O'Meara,69.690,5594,- 18.774,80
4,0,02256,Tom Watson,69.734,3800,- 34.371,54
5,0,01876,Greg Norman,69.759,3601,- 43.278,51
6,0,06522,Ernie Els,69.774,4591,- 55.677,65
7,0,01928,Corey Pavin,69.789,5705,- 52.130,81
8,0,01706,Davis Love III,69.807,5600,- 15.444,80
9,0,01326,Nick Faldo,69.923,3947,- 31.303,56
10,0,01329,Brad Faxon,69.938,5767,- 32.114,82
11,0,01527,Scott Hoch,70.019,6729,- 7.199,96
12,0,06527,Steve Stricker,70.098,5802,- 53.950,82
13,0,09011,David Duval,70.156,5284,- 22.319,75
14,0,02104,Jeff Sluman,70.188,7447,- 7.055,106
15,0,06567,Vijay Singh,70.191,6347,- 29.806,90
16,0,01810,Phil Mickelson,70.228,5412,- 4.416,77
17,0,01968,Nick Price,70.255,3674,- 20.732,52
18,0,06613,Tommy Tolles,70.299,6687,- 8.605,95
19,0,02010,Loren Roberts,70.357,5710,- 11.068,81
20,0,01116,Michael Bradley,70.358,6120,1.155,87
21,0,01132,Mark Brooks,70.392,7145,- 35.381,101
22,0,01457,Jay Haas,70.400,6273,- 7.431,89
23,0,01313,Steve Elkington,70.419,4529,- 22.187,64
24,0,01945,Kenny Perry,70.438,5724,- 18.518,81
25,0,01797,Rocco Mediate,70.448,4879,- 18.104,69
26,0,10860,Justin Leonard,70.471,7138,- 20.478,101
27,0,01724,Jeff Maggert,70.478,6436,- 22.541,91
28,0,01864,Larry Nelson,70.490,5352,5.206,76
29,0,01381,Fred Funk,70.512,7631,- 15.702,108
30,0,02223,Bob Tway,70.516,5662,- 20.719,80
31,0,01219,John Cook,70.517,6277,- 1.001,89
32,0,01837,Gil Morgan,70.520,4294,7.716,61
33,0,12660,Jesper Parnevik,70.530,4780,16.061,68
34,0,01161,Mark Calcavecchia,70.557,7277,- 9.624,103
35,0,01975,Tom Purtzer,70.562,5853,3.624,83
36,0,07867,Woody Austin,70.566,8269,- 12.807,117
37,0,01577,Lee Janzen,70.567,6516,- 23.867,92
38,0,02214,Kirk Triplett,70.580,5176,- 23.632,73
39,0,08931,Glen Day,70.605,6273,10.820,89
40,0,01599,Steve Jones,70.610,5893,- 32.367,83
41,0,10809,Jim Furyk,70.628,7083,- 20.161,100
42,0,01943,Chris Perry,70.634,4804,- .870,68
43,0,02146,Payne Stewart,70.640,6135,10.686,87
44,0,01331,Rick Fehr,70.643,5211,16.589,74
45,0,01891,David Ogrin,70.650,7197,9.250,102
46,0,01201,Lennie Clements,70.655,5863,1.369,83
47,0,01040,Emlyn Aubrey,70.670,4126,- 27.125,58
48,0,01633,Tom Kite,70.726,4921,- 40.889,69
49,0,01093,Ronnie Black,70.771,6009,6.569,85
50,0,01323,Brad Fabel,70.781,6090,- 2.821,86
51,0,01139,Olin Browne,70.796,6669,- 14.199,94
52,0,01553,John Huston,70.799,5960,- 12.903,84
53,0,01920,Craig Parry,70.831,5754,- 16.698,81
54,0,02321,Fuzzy Zoeller,70.846,3756,- 1.169,53
55,0,01203,Russ Cochran,70.852,5885,- 4.269,83
56,0,02133,Craig Stadler,70.868,3985,- 16.368,56
57,0,01378,David Frost,70.869,5052,- 20.277,71
58,0,01042,Paul Azinger,70.879,5463,- 5.346,77
58,0,01098,Jay Don Blake,70.879,6433,16.950,91
60,0,02023,Clarence Rose,70.901,6025,1.590,85
61,0,02159,Curtis Strange,70.930,5626,- 22.563,79
62,0,02101,Joey Sindelar,70.940,6184,- 12.203,87
63,0,01823,Larry Mize,70.950,5194,- 14.681,73
64,0,01766,Billy Mayfair,70.954,6606,- 7.232,93
65,0,01408,Kelly Gibson,70.967,8101,- 10.726,114
66,0,02099,Scott Simpson,70.976,5000,- 31.682,70
67,0,01783,Mark McCumber,71.001,3635,- 13.943,51
68,0,10585,Scott McCarron,71.015,6129,- 21.683,86
69,0,01682,Wayne Levi,71.027,5046,- 3.068,71
70,0,07235,John Morse,71.036,6684,- 6.617,94
71,0,01175,Jim Carter,71.059,7595,8.317,107
72,0,01096,Phil Blackmar,71.077,6701,- 19.783,94
72,0,01723,Andrew Magee,71.077,5407,- 5.120,76
74,0,01549,Mike Hulbert,71.088,6691,- 8.710,94
75,0,06124,Patrick Burke,71.099,5113,6.134,72
76,0,01024,Billy Andrade,71.100,6204,- 18.334,87
77,0,02267,D.A. Weibring,71.105,3787,- 18.454,53
78,0,01748,Doug Martin,71.106,6540,1.791,92
