RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,06567,Vijay Singh,68.97,4621,67
2,0,08793,Tiger Woods,69.09,3109,45
3,0,10885,Robert Allenby,69.43,3055,44
4,0,01706,Davis Love III,69.50,3058,44
5,0,01361,Dan Forsman,69.57,3061,44
6,0,10809,Jim Furyk,69.61,3898,56
7,0,01945,Kenny Perry,69.64,3691,53
8,0,06251,Chris DiMarco,69.71,3346,48
9,0,20127,Chris Riley,69.73,3556,51
10,0,01553,John Huston,69.78,2582,37
11,0,06621,Joe Durant,69.87,3144,45
11,0,08075,Jerry Kelly,69.87,3843,55
13,0,01320,Bob Estes,70.00,3360,48
14,0,20157,Retief Goosen,70.02,2871,41
15,0,06522,Ernie Els,70.03,2661,38
16,0,12510,Chad Campbell,70.05,4063,58
17,0,02239,Scott Verplank,70.08,3364,48
18,0,23552,Hank Kuehne,70.09,2383,34
19,0,07749,Brett Quigley,70.10,2874,41
20,0,20498,Briny Baird,70.11,4557,65
20,0,20094,Jonathan Kaye,70.11,3155,45
22,0,02223,Bob Tway,70.13,3647,52
23,0,02214,Kirk Triplett,70.15,2806,40
24,0,06004,Stephen Ames,70.17,2877,41
24,0,20572,Rod Pampling,70.17,3298,47
26,0,01685,J.L. Lewis,70.22,2879,41
27,0,02010,Loren Roberts,70.23,3020,43
28,0,10860,Justin Leonard,70.24,2669,38
28,0,10423,Mike Weir,70.24,2950,42
30,0,22371,Aaron Baddeley,70.28,2249,32
31,0,20229,Stewart Cink,70.29,3936,56
32,0,06515,Shaun Micheel,70.30,3093,44
33,0,20095,Carl Paulson,70.31,3164,45
34,0,01226,Fred Couples,70.34,2673,38
34,0,21209,Sergio Garcia,70.34,2040,29
34,0,21961,Charles Howell III,70.34,4080,58
37,0,20645,John Senden,70.38,3660,52
38,0,01948,Tim Petrovic,70.39,4012,57
39,0,01457,Jay Haas,70.40,2816,40
39,0,02206,David Toms,70.40,2957,42
41,0,20548,Hidemichi Tanaka,70.43,3803,54
42,0,06332,Neal Lancaster,70.45,3452,49
43,0,02104,Jeff Sluman,70.47,3453,49
44,0,12782,Tim Herron,70.49,3454,49
44,0,12680,Shigeki Maruyama,70.49,3172,45
46,0,07721,Pat Bates,70.51,3737,53
47,0,01388,Robert Gamez,70.53,4232,60
47,0,10733,Kent Jones,70.53,2539,36
49,0,01139,Olin Browne,70.54,3950,56
49,0,02002,John Riegger,70.54,1693,24
51,0,01938,David Peoples,70.55,3457,49
52,0,19824,Craig Barlow,70.57,3246,46
52,0,10585,Scott McCarron,70.57,2964,42
54,0,22293,Heath Slocum,70.60,3671,52
55,0,01619,Skip Kendall,70.61,3460,49
56,0,21805,Harrison Frazar,70.63,3037,43
56,0,06643,Paul Goydos,70.63,3249,46
58,0,20628,Arron Oberholser,70.64,2755,39
59,0,20098,Stuart Appleby,70.68,2898,41
59,0,07457,Steve Flesch,70.68,3958,56
59,0,01378,David Frost,70.68,2403,34
59,0,01677,Tom Lehman,70.68,2403,34
