RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,23800,Bryce Molder,32.0,114,356,+0.61
2,0,24490,George McNeill,36.3,126,347,+1.98
3,0,22371,Aaron Baddeley,37.0,129,349,+0.93
4,0,29461,Jamie Lovemark,38.2,108,283,+1.85
5,0,34261,Scott Langley,38.8,163,420,+2.33
6,0,22378,Trevor Immelman,39.6,146,369,+1.71
7,0,20593,Greg Chalmers,39.9,163,409,+2.21
8,0,26851,Marc Leishman,40.1,150,374,+0.87
9,0,21878,Mark Wilson,40.2,104,259,+2.31
10,0,32640,Troy Merritt,40.4,113,280,+1.77
11,0,02206,David Toms,40.7,77,189,+2.21
12,0,20160,Charlie Wi,41.1,151,367,+1.19
13,0,28259,Sangmoon Bae,41.5,139,335,+1.08
14,0,26331,Charl Schwartzel,41.9,121,289,+0.33
15,0,25191,Gonzalo Fernandez-Castaño,42.1,157,373,+2.87
16,0,25349,Tim Wilkinson,42.2,171,405,+1.93
17,0,06522,Ernie Els,42.3,163,385,+1.72
18,0,23621,Rory Sabbatini,42.5,171,402,+2.81
19,0,26758,David Hearn,42.7,152,356,+2.63
19,0,22405,Justin Rose,42.7,126,295,+2.14
21,0,24138,Ian Poulter,43.1,93,216,+0.75
22,0,24781,Hunter Mahan,43.3,142,328,+1.41
22,0,27330,Josh Teater,43.3,170,393,+1.35
24,0,32333,Kevin Tway,43.6,115,264,+1.13
24,0,27095,Nick Watney,43.6,119,273,+2.35
26,0,29478,Kevin Kisner,43.8,158,361,+1.20
27,0,32448,James Hahn,43.9,167,380,+1.80
28,0,10423,Mike Weir,44.5,153,344,+2.61
29,0,32102,Rickie Fowler,45.2,140,310,+1.86
29,0,29740,Brad Fritsch,45.2,99,219,+1.92
29,0,27408,Martin Kaymer,45.2,113,250,+3.81
32,0,23541,Ben Crane,45.3,158,349,+2.09
32,0,12716,Charley Hoffman,45.3,186,411,+0.81
32,0,20396,Lee Westwood,45.3,101,223,+2.28
35,0,26300,Matt Jones,45.4,152,335,+0.99
36,0,32839,Hideki Matsuyama,45.5,155,341,+0.90
37,0,29535,Brice Garnett,45.7,197,431,+1.37
37,0,33122,Russell Knox,45.7,169,370,+1.54
39,0,34360,Patrick Reed,45.8,203,443,+1.18
40,0,28500,Martin Flores,45.9,181,394,+0.88
40,0,27120,Troy Matteson,45.9,134,292,+1.57
42,0,22913,John Rollins,46.0,168,365,+1.19
42,0,31323,Gary Woodland,46.0,180,391,+1.61
44,0,37273,Derek Ernst,46.1,141,306,+2.48
45,0,31557,Jim Herman,46.3,114,246,+1.14
45,0,27556,Ted Potter Jr.,46.3,118,255,+2.03
47,0,27895,Jonas Blixt,46.4,116,250,+2.16
47,0,25686,Jason Dufner,46.4,98,211,+1.84
47,0,30110,Kyle Stanley,46.4,168,362,+2.92
50,0,23135,Tim Clark,46.6,103,221,+2.72
50,0,25720,Chad Collins,46.6,157,337,+2.68
52,0,28089,Jason Day,47.0,86,183,+1.86
53,0,35300,Andrew Loupe,47.2,150,318,+1.07
54,0,30925,Dustin Johnson,47.3,112,237,+1.70
54,0,24502,Adam Scott,47.3,134,283,+0.97
54,0,06567,Vijay Singh,47.3,190,402,+1.37
57,0,24357,K.J. Choi,47.4,147,310,+2.59
57,0,21731,Freddie Jacobson,47.4,208,439,+1.15
59,0,10809,Jim Furyk,47.5,121,255,+0.66
60,0,32334,Charlie Beljan,47.6,176,370,+1.82
61,0,20104,Ken Duke,47.8,129,270,+2.64
61,0,35139,Richard Lee,47.8,154,322,+2.40
61,0,34046,Jordan Spieth,47.8,211,441,+1.85
61,0,27214,Kevin Streelman,47.8,121,253,+2.56
65,0,26289,Boo Weekley,47.9,116,242,+0.78
66,0,22621,Ben Curtis,48.0,145,302,+2.14
67,0,24925,Jonathan Byrd,48.1,161,335,+1.61
67,0,30750,Tommy Gainey,48.1,163,339,+2.52
67,0,24924,Bill Haas,48.1,194,403,+0.93
70,0,24361,Pat Perez,48.2,190,394,+2.26
70,0,25345,Carl Pettersson,48.2,223,463,+0.94
72,0,32366,Kevin Chappell,48.4,191,395,+1.83
73,0,34174,John Huh,48.5,150,309,+2.80
73,0,35732,Wes Roach,48.5,132,272,+2.50
75,0,28092,D.H. Lee,48.6,103,212,+3.40
75,0,25804,Bubba Watson,48.6,140,288,+0.86
77,0,20645,John Senden,48.7,190,390,+1.53
78,0,20157,Retief Goosen,48.8,229,469,+1.75
79,0,30852,Ryo Ishikawa,48.9,196,401,+1.73
79,0,29518,Brendan Steele,48.9,192,393,+1.67
81,0,21209,Sergio Garcia,49.0,99,202,+0.81
81,0,29289,S.Y. Noh,49.0,215,439,+1.49
81,0,22046,Geoff Ogilvy,49.0,200,408,+1.45
84,0,30927,Brendon Todd,49.1,218,444,+1.06
84,0,34265,Will Wilcox,49.1,108,220,+1.20
86,0,20098,Stuart Appleby,49.2,220,447,+1.95
86,0,30926,Chris Kirk,49.2,219,445,+1.05
86,0,27064,Jhonattan Vegas,49.2,161,327,+1.06
86,0,25632,Jimmy Walker,49.2,227,461,+0.40
90,0,33461,Morgan Hoffmann,49.3,269,546,+2.71
91,0,20848,Ángel Cabrera,49.4,163,330,+1.72
92,0,34264,Hudson Swafford,49.5,143,289,+0.42
93,0,23409,James Driscoll,49.6,186,375,+2.15
93,0,36689,Brooks Koepka,49.6,120,242,+0.50
95,0,08075,Jerry Kelly,49.7,153,308,+0.92
95,0,25396,Kevin Na,49.7,183,368,+1.09
95,0,28475,Jeff Overton,49.7,186,374,+1.18
98,0,21961,Charles Howell III,49.8,301,604,E
99,0,24912,Will MacKenzie,50.0,177,354,+2.71
99,0,27963,Chris Stroud,50.0,178,356,+1.46
101,0,30692,Scott Stallings,50.1,181,361,+3.15
102,0,25444,Justin Hicks,50.2,166,331,+2.59
103,0,10860,Justin Leonard,50.3,158,314,+2.53
103,0,23320,Ryan Palmer,50.3,183,364,+0.38
103,0,28486,Michael Putnam,50.3,233,463,+1.89
106,0,34099,Harris English,50.5,199,394,+1.21
106,0,19846,Brian Gay,50.5,165,327,+1.88
108,0,34098,Russell Henley,50.7,180,355,+2.44
108,0,34409,David Lingmerth,50.7,181,357,+2.43
110,0,28780,Nicholas Thompson,50.8,158,311,+2.72
111,0,35539,Luke Guthrie,50.9,215,422,+1.16
111,0,31202,William McGirt,50.9,198,389,+1.21
113,0,30944,Jason Kokrak,51.0,180,353,+0.78
114,0,29479,Scott Brown,51.1,191,374,+1.83
114,0,25900,Lucas Glover,51.1,117,229,+2.39
116,0,24358,Robert Garrigus,51.2,207,404,+1.69
117,0,24846,Ricky Barnes,51.3,245,478,+0.82
117,0,34021,Bud Cauley,51.3,136,265,+2.50
119,0,26596,Ryan Moore,51.4,130,253,+2.77
120,0,01724,Jeff Maggert,51.5,103,200,+1.46
121,0,33141,Keegan Bradley,51.6,175,339,+2.29
121,0,31560,Brian Stuard,51.6,177,343,+1.98
121,0,25834,Daniel Summerhays,51.6,206,399,+1.55
124,0,32200,Roberto Castro,51.7,153,296,+1.96
124,0,24140,Sean O'Hair,51.7,209,404,+1.87
124,0,24663,Y.E. Yang,51.7,149,288,+2.08
127,0,12510,Chad Campbell,51.9,121,233,+0.99
127,0,23638,Brendon de Jonge,51.9,206,397,+1.36
129,0,33413,Ben Martin,52.0,156,300,+1.54
130,0,24024,Zach Johnson,52.2,179,343,+1.56
131,0,25364,Paul Casey,52.3,126,241,+3.02
132,0,26956,Bronson La'Cassie,52.5,106,202,+1.04
132,0,35541,John Peterson,52.5,139,265,+2.59
134,0,20498,Briny Baird,52.7,117,222,+3.08
134,0,33419,Cameron Tringale,52.7,245,465,+1.14
136,0,24494,Erik Compton,52.8,214,405,+2.20
136,0,25562,Andres Romero,52.8,218,413,+1.28
138,0,20229,Stewart Cink,52.9,212,401,+1.60
139,0,27644,Brian Harman,53.0,286,540,+1.96
140,0,23353,J.J. Henry,53.1,200,377,+0.80
140,0,22293,Heath Slocum,53.1,121,228,+0.50
142,0,07867,Woody Austin,53.2,160,301,+1.81
142,0,24507,Jason Bohn,53.2,184,346,+2.17
144,0,27141,J.B. Holmes,53.3,232,435,+2.03
144,0,23108,Matt Kuchar,53.3,178,334,+1.18
146,0,28237,Rory McIlroy,53.4,134,251,+0.45
147,0,29425,Andrew Svoboda,53.6,164,306,+1.40
148,0,29221,Webb Simpson,53.7,198,369,+1.06
149,0,27770,Camilo Villegas,53.8,240,446,+1.83
150,0,27936,Martin Laird,54.1,153,283,+1.63
151,0,25240,D.A. Points,54.4,155,285,+2.97
152,0,32150,Michael Thompson,54.5,170,312,+2.29
152,0,26951,Johnson Wagner,54.5,181,332,+2.49
154,0,31193,Jim Renner,54.7,169,309,+2.60
155,0,26329,Louis Oosthuizen,54.8,86,157,+2.91
156,0,26679,Kevin Stadler,55.0,166,302,+2.47
157,0,01810,Phil Mickelson,55.4,153,276,+1.11
158,0,21753,Brian Davis,55.7,199,357,+1.66
159,0,25274,Steven Bowditch,55.8,260,466,+2.15
160,0,34431,Robert Streb,56.0,191,341,+0.99
161,0,23983,Luke Donald,56.1,125,223,+2.56
161,0,21528,Henrik Stenson,56.1,83,148,+2.89
163,0,23623,Bo Van Pelt,56.3,187,332,+1.87
164,0,27466,Spencer Levin,56.5,140,248,+2.36
164,0,33418,Shawn Stefani,56.5,157,278,+1.85
166,0,29420,Billy Horschel,56.7,174,307,+1.90
167,0,27649,Brandt Snedeker,57.0,180,316,+1.17
168,0,27436,Graham DeLaet,57.4,190,331,+2.26
168,0,29926,Danny Lee,57.4,186,324,+1.72
170,0,27933,John Merrick,57.5,177,308,+1.98
171,0,29222,Billy Hurley III,57.9,168,290,+2.56
172,0,34563,Chesson Hadley,58.1,234,403,+2.74
173,0,01706,Davis Love III,58.4,202,346,+2.03
174,0,28307,Matt Every,58.7,212,361,+1.46
174,0,25572,Graeme McDowell,58.7,115,196,+2.26
174,0,28132,Tyrone Van Aswegen,58.7,233,397,+2.10
177,0,10885,Robert Allenby,63.8,229,359,+1.44
