RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,25686,Jason Dufner,1.37,8,586,+0.50
2,0,30927,Brendon Todd,1.50,19,1263,+0.37
3,0,23353,J.J. Henry,1.58,17,1078,+0.94
4,0,10809,Jim Furyk,1.74,16,918,+0.25
5,0,26289,Boo Weekley,1.78,14,785,+0.43
6,0,29425,Andrew Svoboda,1.85,17,918,+0.59
7,0,28259,Sangmoon Bae,1.88,17,904,+0.24
7,0,25572,Graeme McDowell,1.88,12,640,+0.75
9,0,22293,Heath Slocum,1.96,17,867,+0.71
10,0,23108,Matt Kuchar,1.99,21,1056,+0.43
10,0,29926,Danny Lee,1.99,19,956,+0.63
12,0,02206,David Toms,2.00,15,750,+0.73
13,0,26758,David Hearn,2.12,24,1134,+0.79
13,0,01724,Jeff Maggert,2.12,13,612,+0.77
15,0,24024,Zach Johnson,2.13,25,1174,+0.40
16,0,08075,Jerry Kelly,2.18,20,916,+0.30
17,0,29222,Billy Hurley III,2.19,22,1003,+0.73
18,0,33419,Cameron Tringale,2.21,30,1356,+0.57
19,0,25364,Paul Casey,2.30,14,609,+0.86
19,0,26596,Ryan Moore,2.30,20,869,+0.30
21,0,25444,Justin Hicks,2.31,29,1253,+0.69
22,0,20104,Ken Duke,2.39,22,921,+0.59
23,0,26331,Charl Schwartzel,2.41,18,748,+0.50
24,0,31560,Brian Stuard,2.43,25,1028,+0.24
24,0,27095,Nick Watney,2.43,19,783,+0.84
26,0,24138,Ian Poulter,2.48,14,565,+0.36
27,0,34264,Hudson Swafford,2.50,20,801,+0.70
28,0,26679,Kevin Stadler,2.54,23,905,+0.65
29,0,23135,Tim Clark,2.55,22,862,+0.95
30,0,31202,William McGirt,2.57,30,1168,+0.23
31,0,27933,John Merrick,2.59,26,1002,+1.04
32,0,33122,Russell Knox,2.60,30,1155,+0.40
33,0,23638,Brendon de Jonge,2.66,34,1277,+0.44
33,0,24924,Bill Haas,2.66,30,1129,+0.30
35,0,29479,Scott Brown,2.67,31,1160,+0.58
35,0,28089,Jason Day,2.67,12,450,+0.58
37,0,29420,Billy Horschel,2.70,26,963,+0.73
38,0,32200,Roberto Castro,2.71,22,811,+0.68
39,0,34261,Scott Langley,2.75,30,1091,+0.83
39,0,25240,D.A. Points,2.75,21,763,+0.81
41,0,20645,John Senden,2.76,31,1122,+0.65
42,0,23541,Ben Crane,2.78,30,1078,+0.63
43,0,37273,Derek Ernst,2.84,25,879,+1.12
43,0,34409,David Lingmerth,2.84,26,915,+0.62
45,0,34174,John Huh,2.87,28,975,+0.68
46,0,28780,Nicholas Thompson,2.89,28,969,+0.68
47,0,07867,Woody Austin,2.90,23,792,+0.87
47,0,24925,Jonathan Byrd,2.90,26,898,+0.46
47,0,24781,Hunter Mahan,2.90,29,1001,+0.17
50,0,10860,Justin Leonard,2.91,25,858,+1.00
51,0,34431,Robert Streb,2.93,26,887,+0.12
52,0,25396,Kevin Na,2.97,32,1078,+0.53
53,0,28237,Rory McIlroy,3.01,20,665,+0.10
54,0,33141,Keegan Bradley,3.02,28,928,+0.61
54,0,25834,Daniel Summerhays,3.02,37,1226,+0.49
56,0,21753,Brian Davis,3.03,34,1123,+0.65
56,0,25349,Tim Wilkinson,3.03,30,990,+0.33
58,0,27466,Spencer Levin,3.04,21,691,+0.86
58,0,21878,Mark Wilson,3.04,24,790,+0.83
60,0,24490,George McNeill,3.10,30,968,+0.53
61,0,12510,Chad Campbell,3.12,20,642,+0.65
61,0,27556,Ted Potter Jr.,3.12,26,834,+0.88
61,0,34360,Patrick Reed,3.12,32,1027,+0.53
64,0,22621,Ben Curtis,3.16,28,885,+0.79
64,0,31557,Jim Herman,3.16,21,665,+0.43
66,0,28092,D.H. Lee,3.19,20,626,+1.20
67,0,34046,Jordan Spieth,3.20,35,1094,+0.40
68,0,01706,Davis Love III,3.25,28,862,+0.54
68,0,32839,Hideki Matsuyama,3.25,29,893,+0.38
68,0,32333,Kevin Tway,3.25,21,647,+0.81
71,0,24507,Jason Bohn,3.27,33,1010,+0.64
71,0,35541,John Peterson,3.27,25,764,+0.76
73,0,24912,Will MacKenzie,3.28,33,1006,+0.24
74,0,10885,Robert Allenby,3.32,32,965,+0.44
75,0,30926,Chris Kirk,3.34,40,1199,+0.48
76,0,20098,Stuart Appleby,3.35,39,1164,+0.54
76,0,27214,Kevin Streelman,3.35,28,836,+0.43
78,0,27649,Brandt Snedeker,3.39,31,914,+0.58
79,0,26300,Matt Jones,3.40,28,823,+0.71
79,0,29518,Brendan Steele,3.40,33,971,+0.33
81,0,29221,Webb Simpson,3.41,35,1026,+0.54
82,0,21209,Sergio Garcia,3.44,19,552,+0.42
83,0,23320,Ryan Palmer,3.45,32,928,+0.28
83,0,24663,Y.E. Yang,3.45,29,841,+0.76
85,0,22378,Trevor Immelman,3.46,32,925,+0.31
86,0,27436,Graham DeLaet,3.50,31,885,+0.77
87,0,27064,Jhonattan Vegas,3.51,31,882,+0.55
88,0,20498,Briny Baird,3.53,22,624,+0.77
88,0,35539,Luke Guthrie,3.53,37,1048,+0.73
90,0,24357,K.J. Choi,3.57,33,925,+0.67
91,0,24502,Adam Scott,3.58,28,783,+0.18
91,0,34265,Will Wilcox,3.58,20,559,+0.75
