RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,01320,Bob Estes,66.70,667,10
2,0,01706,Davis Love III,67.20,672,10
3,0,10585,Scott McCarron,67.43,472,7
4,0,01553,John Huston,67.50,135,2
5,0,01938,David Peoples,67.57,473,7
6,0,01203,Russ Cochran,67.60,338,5
6,0,10423,Mike Weir,67.60,338,5
8,0,01677,Tom Lehman,67.63,541,8
9,0,12652,Cameron Beckman,67.67,406,6
9,0,19881,Robert Damron,67.67,203,3
9,0,01374,Robin Freeman,67.67,203,3
12,0,09011,David Duval,67.83,407,6
12,0,20127,Chris Riley,67.83,407,6
14,0,06251,Chris DiMarco,68.00,816,12
14,0,02239,Scott Verplank,68.00,544,8
14,0,06591,Rocky Walcher,68.00,68,1
17,0,01307,Joel Edwards,68.20,341,5
17,0,06332,Neal Lancaster,68.20,341,5
19,0,06515,Shaun Micheel,68.33,410,6
20,0,01175,Jim Carter,68.40,342,5
20,0,08633,Per-Ulrik Johansson,68.40,342,5
22,0,01619,Skip Kendall,68.43,479,7
22,0,01945,Kenny Perry,68.43,479,7
24,0,23614,Rich Beem,68.50,137,2
24,0,01313,Steve Elkington,68.50,137,2
24,0,12760,Danny Ellis,68.50,411,6
24,0,06350,Bob May,68.50,274,4
24,0,01943,Chris Perry,68.50,137,2
29,0,12660,Jesper Parnevik,68.57,480,7
29,0,23621,Rory Sabbatini,68.57,480,7
31,0,06522,Ernie Els,68.60,343,5
32,0,06573,Brandt Jobe,68.67,206,3
32,0,08793,Tiger Woods,68.67,412,6
34,0,01771,Blaine McCallister,68.75,275,4
35,0,21209,Sergio Garcia,68.80,344,5
35,0,21961,Charles Howell III,68.80,344,5
35,0,02206,David Toms,68.80,344,5
38,0,07457,Steve Flesch,68.83,413,6
38,0,01724,Jeff Maggert,68.83,413,6
40,0,06567,Vijay Singh,68.86,482,7
41,0,01014,Fulton Allem,69.00,345,5
41,0,01042,Paul Azinger,69.00,138,2
41,0,01219,John Cook,69.00,276,4
41,0,01577,Lee Janzen,69.00,483,7
41,0,01766,Billy Mayfair,69.00,414,6
41,0,10457,Frank Nobilo,69.00,138,2
41,0,01968,Nick Price,69.00,207,3
41,0,20566,Kaname Yokoo,69.00,345,5
49,0,02223,Bob Tway,69.14,484,7
50,0,20098,Stuart Appleby,69.17,415,6
51,0,07867,Woody Austin,69.20,346,5
51,0,01723,Andrew Magee,69.20,346,5
53,0,08057,Brian Wilson,69.25,277,4
54,0,01707,Steve Lowery,69.29,485,7
55,0,11011,Mike Sposa,69.40,347,5
56,0,20498,Briny Baird,69.50,278,4
56,0,20593,Greg Chalmers,69.50,139,2
56,0,08931,Glen Day,69.50,278,4
56,0,12823,Carlos Franco,69.50,139,2
56,0,02214,Kirk Triplett,69.50,139,2
61,0,20229,Stewart Cink,69.57,487,7
62,0,06034,Marco Dawson,69.67,209,3
62,0,08881,Tripp Isenhour,69.67,209,3
62,0,10733,Kent Jones,69.67,209,3
65,0,02110,Jerry Smith,69.75,279,4
66,0,01035,Tommy Armour III,69.80,349,5
66,0,01249,John Daly,69.80,349,5
66,0,19846,Brian Gay,69.80,349,5
66,0,06012,Greg Kraft,69.80,349,5
70,0,21949,Joe Ogilvie,69.83,419,6
71,0,01132,Mark Brooks,70.00,280,4
71,0,01329,Brad Faxon,70.00,210,3
71,0,21805,Harrison Frazar,70.00,70,1
71,0,10201,Matt Gogel,70.00,280,4
71,0,22892,Jason Gore,70.00,210,3
71,0,07547,Craig Kanada,70.00,210,3
71,0,12680,Shigeki Maruyama,70.00,280,4
71,0,01797,Rocco Mediate,70.00,210,3
71,0,01823,Larry Mize,70.00,140,2
71,0,01887,Mark O'Meara,70.00,350,5
71,0,01927,Dennis Paulson,70.00,70,1
71,0,02218,Ted Tryba,70.00,420,6
71,0,10425,Jay Williamson,70.00,280,4
84,0,19817,Michael Muehr,70.17,421,6
85,0,10885,Robert Allenby,70.20,351,5
85,0,01226,Fred Couples,70.20,351,5
85,0,06621,Joe Durant,70.20,351,5
88,0,02104,Jeff Sluman,70.25,281,4
89,0,02002,John Riegger,70.40,352,5
89,0,02099,Scott Simpson,70.40,352,5
91,0,19972,José Coceres,70.43,493,7
91,0,10860,Justin Leonard,70.43,493,7
93,0,06036,Scott Dunlap,70.50,141,2
93,0,10809,Jim Furyk,70.50,282,4
93,0,20094,Jonathan Kaye,70.50,423,6
93,0,01666,Bernhard Langer,70.50,282,4
93,0,22122,Andrew McLardy,70.50,141,2
93,0,06595,Kevin Sutherland,70.50,423,6
99,0,12645,Brent Geiberger,70.67,212,3
99,0,01487,Jeff Hart,70.67,424,6
99,0,06617,Brian Henninger,70.67,424,6
102,0,06809,Bob Burns,70.75,283,4
102,0,08545,Glen Hnatiuk,70.75,283,4
102,0,08553,Lee Porter,70.75,283,4
105,0,01378,David Frost,70.80,354,5
106,0,01098,Jay Don Blake,70.83,425,6
106,0,01941,Tom Pernice Jr.,70.83,425,6
106,0,02245,Grant Waite,70.83,425,6
109,0,06004,Stephen Ames,71.00,213,3
109,0,01185,Brandel Chamblee,71.00,142,2
109,0,01418,Bill Glasson,71.00,284,4
109,0,08063,Kelly Grunewald,71.00,142,2
109,0,01527,Scott Hoch,71.00,142,2
109,0,08075,Jerry Kelly,71.00,142,2
109,0,12753,David Morland IV,71.00,284,4
109,0,20095,Carl Paulson,71.00,284,4
117,0,01139,Olin Browne,71.20,356,5
118,0,01157,Tom Byrum,71.25,285,4
118,0,20574,Mathew Goggin,71.25,285,4
120,0,12388,Michael Clark II,71.33,428,6
120,0,01381,Fred Funk,71.33,214,3
120,0,01926,Steve Pate,71.33,214,3
120,0,08375,Paul Stankowski,71.33,214,3
124,0,23353,J.J. Henry,71.40,357,5
124,0,10565,Ian Leggatt,71.40,357,5
126,0,21806,Paul Gow,71.50,143,2
126,0,12782,Tim Herron,71.50,143,2
126,0,01920,Craig Parry,71.50,286,4
126,0,10213,Dicky Pride,71.50,286,4
126,0,06613,Tommy Tolles,71.50,143,2
131,0,10962,Bradley Hughes,71.67,215,3
132,0,11032,Frank Lickliter II,71.80,359,5
133,0,06643,Paul Goydos,71.83,431,6
134,0,01024,Billy Andrade,72.00,216,3
134,0,07003,David Berganio Jr.,72.00,216,3
134,0,01161,Mark Calcavecchia,72.00,288,4
134,0,01200,Keith Clearwater,72.00,216,3
134,0,07763,Doug Dunakey,72.00,216,3
134,0,20043,Edward Fryatt,72.00,144,2
134,0,01388,Robert Gamez,72.00,144,2
134,0,10963,Jimmy Green,72.00,360,5
134,0,01599,Steve Jones,72.00,144,2
134,0,06315,Pete Jordan,72.00,288,4
134,0,12705,Cliff Kresge,72.00,144,2
134,0,08339,Spike McRoy,72.00,288,4
134,0,06140,Sean Murphy,72.00,72,1
134,0,01928,Corey Pavin,72.00,72,1
134,0,02010,Loren Roberts,72.00,144,2
134,0,02106,Chris Smith,72.00,216,3
134,0,02170,Hal Sutton,72.00,72,1
134,0,20436,Garrett Willis,72.00,216,3
152,0,21633,Steve Allan,72.33,217,3
152,0,23125,Brad Elder,72.33,217,3
152,0,06514,Kevin Johnson,72.33,217,3
152,0,08535,Gary Nicklaus,72.33,217,3
156,0,01685,J.L. Lewis,72.43,507,7
157,0,25083,Jeremy Anderson,72.50,145,2
157,0,06078,Esteban Toledo,72.50,290,4
159,0,21007,Gabriel Hjertstedt,72.67,218,3
159,0,12714,Chris Tidland,72.67,218,3
161,0,10912,Craig Perks,72.75,291,4
162,0,22046,Geoff Ogilvy,73.00,219,3
162,0,10649,Tom Scherrer,73.00,292,4
162,0,02279,Mark Wiebe,73.00,73,1
165,0,02246,Duffy Waldorf,73.25,293,4
166,0,22051,Ben Ferguson,73.33,220,3
167,0,01761,Len Mattiace,73.50,147,2
167,0,06090,Jim McGovern,73.50,147,2
169,0,24604,Hunter Haas,74.33,223,3
170,0,21584,Richie Coughlan,74.67,224,3
171,0,24357,K.J. Choi,75.00,75,1
172,0,20099,Doug Barron,75.50,151,2
173,0,20433,Mark Hensby,77.00,77,1
